dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t085:marisa_214214p,marisa_214214p,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214214P"",""move_group"":""super_arts"",""move_name"":""Meteorite"",""notes_sc"":""Useful anti-air, reversal, and juggle ender; can be steered by holding forward/back; this affects the range, allowing you to hold back for close anti-airs or hold forward in ranged juggles or fireball punishes; upward hit triggers a cinematic; on block/whiff, ends with a downward slam that does 500 less damage than the cinematic version (still does full Drive Damage on hit); Marisa's collision box extends far downward, preventing opponent from walking or dashing underneath (opponent can still jump to avoid 2nd hit)"",""punish_adv"":""HKD +17"",""raw_source_token"":""marisa_214214p""}",marisa_077_2_1_4_2_1_4_p,marisa,Meteorite,214214P,super_arts,85,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t064:marisa_214hp_6p,marisa_214hp_6p,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214HP~6P"",""move_group"":""dimachaerus_follow_up"",""move_name"":""HP Dimachaerus Follow-up"",""notes_sc"":""Only comes out after 214HP hits or is armor absorbed"",""punish_adv"":""KD +50 Bounce"",""raw_source_token"":""marisa_214hp_6p""}",,marisa,HP Dimachaerus Follow-up,214HP~6P,dimachaerus_follow_up,64,E,False,not_required,,marisa_1_4_p_p_6_p_followup,marisa_057_2_1_4_p_p_6_p
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t074:marisa_214k,marisa_214k,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214K"",""move_group"":""scutum"",""move_name"":""Scutum"",""notes_sc"":""Stance with 1-hit armor can be extended an extra 90f by holding the button, followed by 26 unarmored recovery frames; no armor on lower half of body; cancelable into follow-ups after 8f; stance cannot be canceled into from other attacks; absorbing an attack automatically triggers counterattack follow-up; Marisa takes a fixed 6f hitstop when absorbing attacks (causing the counterattack to often land as a Counter-hit rather than a Punish Counter against medium/heavy attacks)"",""punish_adv"":""-"",""raw_source_token"":""marisa_214k""}",,marisa,Scutum,214K,scutum,74,E,False,not_required,,marisa_1_4_k_followup,marisa_066_2_1_4_k
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t076:marisa_214k_counter,marisa_214k_counter,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214K"",""move_group"":""scutum"",""move_name"":""Scutum (Counter)"",""notes_sc"":""Automatically triggers counterattack after 214K absorbs attack; Marisa is in a Punish Counter state for entire duration; can hold button to remain in Scutum stance after counterattack; hit advantage depends on attack that is absorbed; Marisa's short 6f hitstop causes attack to land as a +1 Counter-hit against most Medium/Heavy normals, while landing as a +3 Punish Counter against Lights"",""punish_adv"":""+3"",""raw_source_token"":""marisa_214k_counter""}",,marisa,Scutum (Counter),214K,scutum,76,E,False,not_required,,marisa_1_4_k_followup,marisa_066_2_1_4_k
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t081:marisa_214k_lplk,marisa_214k_lplk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214K~LPLK"",""move_group"":""enfold"",""move_name"":""Enfold"",""notes_sc"":""Marisa is in a Punish Counter state for entire duration; Range: 1.109 (final active frame: 1.164); range includes 0.218 forward movement from 214K startup"",""punish_adv"":""HKD +18"",""raw_source_token"":""marisa_214k_lplk""}",,marisa,Enfold,214K~LPLK,enfold,81,E,False,not_required,,marisa_073_lplk_followup,marisa_073_lplk
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t075:marisa_214kk,marisa_214kk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214KK"",""move_group"":""scutum"",""move_name"":""Scutum"",""notes_sc"":""Stance with 2-hit full-body armor can be extended an extra 30f by holding a kick button, followed by 29 unarmored recovery frames; cancelable into follow-ups after 8f; stance cannot be canceled into from other attacks; absorbing an attack automatically triggers counterattack follow-up; Marisa takes a fixed 6f hitstop when absorbing attacks (causing the counterattack to often land as a Counter-hit rather than a Punish Counter against medium/heavy attacks)"",""punish_adv"":""-"",""raw_source_token"":""marisa_214kk""}",,marisa,Scutum,214KK,scutum,75,E,False,not_required,,marisa_1_4_k_k_followup,marisa_068_2_1_4_k_k
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t077:marisa_214kk_counter,marisa_214kk_counter,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214KK"",""move_group"":""scutum"",""move_name"":""Scutum (Counter)"",""notes_sc"":""Automatically triggers counterattack after 214KK absorbs attack; Marisa is in a Punish Counter state for entire duration; can hold button to remain in Scutum stance after counterattack; hit advantage depends on attack that is absorbed; Marisa's short 6f hitstop causes attack to land as a +1 Counter-hit against most Medium/Heavy normals, while landing as a +3 Punish Counter against Lights"",""punish_adv"":""+3"",""raw_source_token"":""marisa_214kk_counter""}",,marisa,Scutum (Counter),214KK,scutum,77,E,False,not_required,,marisa_1_4_k_k_followup,marisa_068_2_1_4_k_k
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t062:marisa_214lp_6p,marisa_214lp_6p,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214LP~6P"",""move_group"":""dimachaerus_follow_up"",""move_name"":""LP Dimachaerus Follow-up"",""notes_sc"":""Only comes out after 214LP hits or is armor absorbed"",""punish_adv"":""KD +31"",""raw_source_token"":""marisa_214lp_6p""}",,marisa,LP Dimachaerus Follow-up,214LP~6P,dimachaerus_follow_up,62,E,False,not_required,,marisa_1_4_p_p_6_p_followup,marisa_057_2_1_4_p_p_6_p
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t063:marisa_214mp_6p,marisa_214mp_6p,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214MP~6P"",""move_group"":""dimachaerus_follow_up"",""move_name"":""MP Dimachaerus Follow-up"",""notes_sc"":""Only comes out after 214MP hits or is armor absorbed; gives a slight ground bounce on hit (can follow up with juggle vs. airborne opponents)"",""punish_adv"":""KD +36"",""raw_source_token"":""marisa_214mp_6p""}",,marisa,MP Dimachaerus Follow-up,214MP~6P,dimachaerus_follow_up,63,E,False,not_required,,marisa_1_4_p_p_6_p_followup,marisa_057_2_1_4_p_p_6_p
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t065:marisa_214pp_6p,marisa_214pp_6p,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214PP~6P"",""move_group"":""dimachaerus_follow_up"",""move_name"":""OD Dimachaerus Follow-up"",""notes_sc"":""Only comes out after 214PP hits or is armor absorbed"",""punish_adv"":""-"",""raw_source_token"":""marisa_214pp_6p""}",,marisa,OD Dimachaerus Follow-up,214PP~6P,dimachaerus_follow_up,65,E,False,not_required,,marisa_1_4_p_p_6_p_followup,marisa_057_2_1_4_p_p_6_p
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t090:marisa_4pppkkk,marisa_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""This will be fun! *crack*\"""",""punish_adv"":""-"",""raw_source_token"":""marisa_4pppkkk""}",,marisa,Back Taunt,4PPPKKK,taunts,90,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t088:marisa_5pppkkk,marisa_5pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5PPPKKK"",""move_group"":""taunts"",""move_name"":""Neutral Taunt"",""notes_sc"":""\""I may need a second helping of you!\"""",""punish_adv"":""-"",""raw_source_token"":""marisa_5pppkkk""}",,marisa,Neutral Taunt,5PPPKKK,taunts,88,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t089:marisa_6pppkkk,marisa_6pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""6PPPKKK"",""move_group"":""taunts"",""move_name"":""Forward Taunt"",""notes_sc"":""\""Come on, the first hit's free.\""; active frames refer to armored period"",""punish_adv"":""-"",""raw_source_token"":""marisa_6pppkkk""}",,marisa,Forward Taunt,6PPPKKK,taunts,89,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t042:marisa_lplk,marisa_lplk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""LPLK"",""move_group"":""throws"",""move_name"":""Mounted Grace"",""notes_sc"":""Can use Drive Rush for a corner throw loop with 2f timing on standard characters; a successful Throw Escape builds 1 Drive bar and 1000 Super gauge (10% bar); Throw Escape is awarded to a random player if input simultaneously"",""punish_adv"":""HKD +23"",""raw_source_token"":""marisa_lplk""}",,marisa,Mounted Grace,LPLK,throws,42,E,False,not_required,,marisa_073_lplk_followup,marisa_073_lplk
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t047:marisa_mpmk,marisa_mpmk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""Drive Parry"",""notes_sc"":""See Drive Parry . Perfect Parrying has only 1F of recovery and disables the opponent from canceling their attack. Perfect Parrying projectiles puts you into fixed 11 frames of recovery. After a Perfect Parry, all Super Gauge gain is reduced by 20% and Drive Gauge gain/damage is reduced by 50% for the entire punish combo."",""punish_adv"":""-"",""raw_source_token"":""marisa_mpmk""}",,marisa,Drive Parry,MPMK,system,47,D,False,not_required,marisa_073_lplk | marisa_080_5_6_lplk | marisa_084_hphk | marisa_087_mpmk | marisa_088_mpmk | marisa_089_mpmk,,
supercombo_enrichment,supercombo,20260412T211012Z-72a84215,20260412T211012Z-72a84215:t032:marisa_nj2hp,marisa_nj2hp,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""NJ.2HP"",""move_group"":""normals"",""move_name"":""Caelum Arc"",""notes_sc"":""Can hit Cross-up; can hold button 20f for improved properties; causes spike knockdown vs. airborne opponents; lower body projectile invuln 9f until land except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"",""punish_adv"":""+15(+19)"",""raw_source_token"":""marisa_nj2hp""}",,marisa,Caelum Arc,NJ.2HP,normals,32,G,False,not_required,,,
