character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
rashid,rashid_001_5_lp,立ち弱P （スタンドスラップ）,5LP,normals,4,4-5,9,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
rashid,rashid_002_5_lk,立ち弱K （ニースマッシュ）,5LK,normals,4,4-6,10,,3,-1,C,300,始動補正20%,250,-500,-2000,300,上,
rashid,rashid_003_5_mp,立ち中P （スタッブエルボー）,5MP,normals,6,6-8,14,,5,1,C,600,,1500,-3000,-4000,500,上,
rashid,rashid_004_5_mk,立ち中K （スコーピオンテイル）,5MK,normals,8,8-10,17,,6,-3,,600,,2000,-4000,-6000,700,上,空振り時硬直2F増加
rashid,rashid_005_5_hp,立ち強P （ウインドスラスト）,5HP,normals,9,9-11,21,,1,-4,C,800,,2000,-5000,-8000,1000,上,
rashid,rashid_006_5_hk,立ち強K （レッグツイスター）,5HK,normals,13,13-20,18,,-1,-5,,800,,4000,-6000,-10000,1000,上,強制立ち効果 | 空中ヒット時吹き飛びダウン | パニッシュカウンター時吹き飛びダウン
rashid,rashid_007_2_lp,しゃがみ弱P （グランドスラップ）,2LP,normals,5,5-7,7,,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
rashid,rashid_008_2_lk,しゃがみ弱K （スティングロー）,2LK,normals,5,5-7,8,,3,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
rashid,rashid_009_2_mp,しゃがみ中P （ライジングビーク）,2MP,normals,6,6-9,13,,4,1,C,600,,1500,-3000,-4000,500,上,
rashid,rashid_010_2_mk,しゃがみ中K （ファルコンキック）,2MK,normals,7,7-9,18,,-1,-5,C,500,始動補正20%,1000,-2000,-4000,600,下,
rashid,rashid_011_2_hp,しゃがみ強P （グランドスラスト）,2HP,normals,12,12-14,21,,5,-6,SA,900,始動補正20%,2500,-5000,-8000,1000,上,空振り時硬直2F増加
rashid,rashid_012_2_hk,しゃがみ強K （サイクロンスライサー）,2HK,normals,9,9-11,24,,D,-11,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
rashid,rashid_013_j_lp,ジャンプ弱P （エリアルスマッシュ）,j.LP,normals,4,4-8,着地後3,,,,,300,,500,-1500,-2000,300,中,
rashid,rashid_014_j_lk,ジャンプ弱K （エリアルエッジ）,j.LK,normals,5,5-9,着地後3,,,,,300,,500,-1500,-2000,300,中,
rashid,rashid_015_j_mp,ジャンプ中P （エリアルビーク）,j.MP,normals,9,9-13,着地後3,,,,C,600,,1000,-3000,-4000,500,中,空中ヒット時吹き飛びダウン
rashid,rashid_016_j_mk,ジャンプ中K （グライダードロップ）,j.MK,normals,7,7-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,
rashid,rashid_018_j_hk,ジャンプ強K （サンライズキック）,j.HK,normals,10,10-14,着地後3,,,,,800,,2000,-4000,-5000,1000,中,ウイング・ストローク、アラビアン・スカイハイからの派生した場合、 | 空中ヒット時叩き付けダウン
rashid,rashid_019_6,ラン,6,command_normals,,,,,,,,0,,0,0,0,0,,2F-60F間で移動の停止が可能 | 6F-60F 専用技、前方ジャンプに派生可 | 停止時は5Fの硬直 | 1F-60F 気流干渉可
rashid,rashid_020_6_p,バックアップ,6P,command_normals,8,8-17,17,,7,-10,SA,800,始動補正20%,2000,-3000,-7500,1000,下,1F-17F 気流干渉可 | 2段目のみSAでキャンセル可能
rashid,rashid_024_6_hp,アサルト・ビーク,6HP,command_normals,22,22-24,21,,3,-3,,800,,2000,-5000,-5000,1000,中,4-25F 気流干渉可
rashid,rashid_025_6_hk,クレセントキック,6HK,command_normals,16,16-19,20,,2,-3,,900,始動補正20%,3000,-6000,-10000,1000,上,空振り時硬直3F増加 | 6-19F 気流干渉可
rashid,rashid_026_2_hp,ブリッツストライク,2HP,command_normals,10,10-14,着地後3,,,,C,850,始動補正15%,2000,-4000,-5000,1000,中,ヒット、ガード時12-23F 空中での必殺技へ派生可 | 24-着地まで 空中での通常技及び必殺技へ派生可 | 空中ヒット時床バウンド
rashid,rashid_027_8_hk,エリアルシュート,8HK,command_normals,8,8-12,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時吹き飛びダウン
