dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:通常技:018:ジャンプ強p_エリアルダブルスラスト,,official_active_ambiguous,"{""active"":""8-16 8-10, 14-16"",""input"":""j.HP"",""move_group"":""normals"",""move_name"":""ジャンプ強P （エリアルダブルスラスト）"",""recovery"":""着地後3"",""startup"":""8""}",rashid_017_j_hp,rashid,ジャンプ強P （エリアルダブルスラスト）,j.HP,normals,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:特殊技:023:テンペスト_ムーン,,official_active_ambiguous,"{""active"":""16-24 16-17, 22-24"",""block_adv"":""-4"",""input"":""6K"",""move_group"":""command_normals"",""move_name"":""テンペスト・ムーン"",""recovery"":""21"",""startup"":""16""}",rashid_021_6_k,rashid,テンペスト・ムーン,6K,command_normals,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:特殊技:024:気流強化_テンペスト_ムーン,,official_active_ambiguous,"{""active"":""9-40 9-11, 33-34,38-40"",""block_adv"":""-5"",""input"":""6K"",""move_group"":""command_normals"",""move_name"":""【気流強化】 テンペスト・ムーン"",""recovery"":""22"",""startup"":""9""}",rashid_022_6_k,rashid,【気流強化】 テンペスト・ムーン,6K,command_normals,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:特殊技:025:フラップ_スピン,,official_active_ambiguous,"{""active"":""8-25 8-9, 24-25"",""block_adv"":""-3"",""input"":""6MP"",""move_group"":""command_normals"",""move_name"":""フラップ・スピン"",""recovery"":""18"",""startup"":""8""}",rashid_023_6_mp,rashid,フラップ・スピン,6MP,command_normals,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:必殺技:034:弱_スピニング_ミキサー,,official_active_ambiguous,"{""active"":""8-23 8, 16-17, 22-23"",""block_adv"":""-3"",""input"":""236LP"",""move_group"":""specials"",""move_name"":""弱 スピニング・ミキサー"",""recovery"":""19"",""startup"":""8""}",rashid_031_2_3_6_lp,rashid,弱 スピニング・ミキサー,236LP,specials,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:必殺技:035:気流強化_弱_スピニング_ミキサー,,official_active_ambiguous,"{""active"":""6-59 6, 12-14, 18-20,25-27,31-33,38-40,44-46,51-53,57-59"",""block_adv"":""2"",""input"":""236LP"",""move_group"":""specials"",""move_name"":""【気流強化】 弱 スピニング・ミキサー"",""recovery"":""15"",""startup"":""6""}",rashid_032_2_3_6_lp,rashid,【気流強化】 弱 スピニング・ミキサー,236LP,specials,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:必殺技:036:中_スピニング_ミキサー,,official_active_ambiguous,"{""active"":""8-26 8,9-10,13-14,20-21,25-26"",""block_adv"":""-45"",""input"":""236MP"",""move_group"":""specials"",""move_name"":""中 スピニング・ミキサー"",""recovery"":""着地後11"",""startup"":""8""}",rashid_033_2_3_6_mp,rashid,中 スピニング・ミキサー,236MP,specials,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:必殺技:037:気流強化_中_スピニング_ミキサー,,official_active_ambiguous,"{""active"":""5-59 5,6-7,10-11,16-17,21-22,29-30,34-35,41-42,46-47,53-54,58-59"",""block_adv"":""-78"",""input"":""236MP"",""move_group"":""specials"",""move_name"":""【気流強化】 中 スピニング・ミキサー"",""recovery"":""着地後15"",""startup"":""5""}",rashid_034_2_3_6_mp,rashid,【気流強化】 中 スピニング・ミキサー,236MP,specials,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:必殺技:038:強_スピニング_ミキサー,,official_active_ambiguous,"{""active"":""6-39 6-7, 10-12, 16-18, 23-25, 30-32, 37-39"",""block_adv"":""-55"",""input"":""236HP"",""move_group"":""specials"",""move_name"":""強 スピニング・ミキサー"",""recovery"":""着地後14"",""startup"":""6""}",rashid_035_2_3_6_hp,rashid,強 スピニング・ミキサー,236HP,specials,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:必殺技:039:気流強化_強_スピニング_ミキサー,,official_active_ambiguous,"{""active"":""5-51 5-7, 9-11, 15-17, 22-24, 28-30, 33-35,38-40,43-45,49-51"",""block_adv"":""-83"",""input"":""236HP"",""move_group"":""specials"",""move_name"":""【気流強化】 強 スピニング・ミキサー"",""recovery"":""着地後14"",""startup"":""5""}",rashid_036_2_3_6_hp,rashid,【気流強化】 強 スピニング・ミキサー,236HP,specials,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:必殺技:040:od_スピニング_ミキサー,,official_active_ambiguous,"{""active"":""6-48 6, 7-8, 11-13, 16-19, 22-25, 28-31, 34-37, 40-43, 46-48"",""block_adv"":""-42"",""input"":""236PP"",""move_group"":""specials"",""move_name"":""OD スピニング・ミキサー"",""recovery"":""着地後15"",""startup"":""6""}",rashid_037_2_3_6_p_p,rashid,OD スピニング・ミキサー,236PP,specials,,,,,,,
official_raw,official,20260412T161520Z-c1af6585,20260412T161520Z-c1af6585:必殺技:041:気流強化_od_スピニング_ミキサー,,official_active_ambiguous,"{""active"":""4-59 4, 5-6, 9-11, 14-17, 20-23, 26-29, 32-35, 38-41, 44-47,50-53,56-59"",""block_adv"":""-72"",""input"":""236PP"",""move_group"":""specials"",""move_name"":""【気流強化】 OD スピニング・ミキサー"",""recovery"":""着地後15"",""startup"":""4""}",rashid_038_2_3_6_p_p,rashid,【気流強化】 OD スピニング・ミキサー,236PP,specials,,,,,,,
