dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t015:rashid_jhp,rashid_jhp,supercombo_missing_official_safe_row,"{""binding_class"":""B"",""input"":""j.HP"",""move_group"":""normals"",""move_name"":""Jumping Heavy Punch"",""notes_sc"":""1st hit puts airborne opponents into limited juggle state, 2nd hit causes spike knockdown; if 1st hit is stand blocked, the 2nd hit will not hit overhead against crouch block; lower body projectile invuln 8-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"",""punish_adv"":""+15(+19)"",""raw_source_token"":""rashid_jhp""}",rashid_017_j_hp,rashid,Jumping Heavy Punch,j.HP,normals,15,B,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t020:rashid_6mp,rashid_6mp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""6MP"",""move_group"":""command_normals"",""move_name"":""Flapping Spin"",""notes_sc"":""() refers to startup of 2nd hit; 1st hit puts airborne opponents into limited juggle state (or maintains juggle state when used mid-combo); 2nd hit causes air reset; counter-hit/Punish Counter bonus advantage applies to both hits; decent range for whiff punishing; can be affected by Air Current on frames 3-10 (travels fullscreen)"",""punish_adv"":""+5"",""raw_source_token"":""rashid_6mp""}",rashid_023_6_mp,rashid,Flapping Spin,6MP,command_normals,20,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t068:rashid_214p_6k_k,rashid_214p_6k_k,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214P~6K~K"",""move_group"":""nail_assault"",""move_name"":""Nail Assault"",""notes_sc"":""Puts opponent into limited juggle state; crouching state for entire move duration; cannot hit cross-ups behind Rashid; outside of juggles, only combos naturally from 214HP/214PP versions"",""punish_adv"":""KD +44"",""raw_source_token"":""rashid_214p_6k_k""}",,rashid,Nail Assault,214P~6K~K,nail_assault,68,E,False,not_required,,rashid_k_k_followup,rashid_029_6_k_k
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t045:rashid_236hp,rashid_236hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236HP"",""move_group"":""spinning_mixer"",""move_name"":""Spinning Mixer"",""notes_sc"":""Good anti-air that can hit cross-ups; can be affected by Air Current on frames 2-5; if the final hit whiffs as an anti-air, Rashid can get a follow-up juggle"",""punish_adv"":""KD +33"",""raw_source_token"":""rashid_236hp""}",,rashid,Spinning Mixer,236HP,spinning_mixer,45,D,False,not_required,rashid_035_2_3_6_hp | rashid_036_2_3_6_hp,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t046:rashid_236hp_enhanced,rashid_236hp_enhanced,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236HP"",""move_group"":""spinning_mixer"",""move_name"":""(Air Current) Spinning Mixer"",""notes_sc"":""Good anti-air that can hit cross-ups"",""punish_adv"":""KD +27"",""raw_source_token"":""rashid_236hp_enhanced""}",,rashid,(Air Current) Spinning Mixer,236HP,spinning_mixer,46,D,False,not_required,rashid_035_2_3_6_hp | rashid_036_2_3_6_hp,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t057:rashid_236k,rashid_236k,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236K"",""move_group"":""whirlwind_shot"",""move_name"":""Whirlwind Shot"",""notes_sc"":""1-hit projectile that travels forward before arcing upward; can hold button to charge for a powered-up version; trajectory depends on button strength (LK = farthest/horizontal, MK = middle, HK = shortest/vertical); projectile comes out in 6f if button is released from frames 11-27 (total startup 17-33f); cannot use if SA2 is active"",""punish_adv"":""+3"",""raw_source_token"":""rashid_236k""}",,rashid,Whirlwind Shot,236K,whirlwind_shot,57,D,False,not_required,rashid_047_2_3_6_lk | rashid_050_2_3_6_mk | rashid_053_2_3_6_hk,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t059:rashid_236k_hold,rashid_236k_hold,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236[K]"",""move_group"":""whirlwind_shot"",""move_name"":""Whirlwind Shot (Hold)"",""notes_sc"":""3-hit projectile; trajectory depends on button strength (LK = farthest/horizontal, MK = middle, HK = shortest/vertical); must hold button 48f for fully charged version; counter-hit/Punish Counter bonus advantage applies to all hits; creates Air Current effect on frame 51 next to Rashid that lasts 60f and enhances many of his moves; cannot use if SA2 is active"",""punish_adv"":""+20"",""raw_source_token"":""rashid_236k_hold""}",,rashid,Whirlwind Shot (Hold),236[K],whirlwind_shot,59,D,False,not_required,rashid_049_2_3_6_lk | rashid_052_2_3_6_mk | rashid_055_2_3_6_hk,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t058:rashid_236k_partial_hold,rashid_236k_partial_hold,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236{K}"",""move_group"":""whirlwind_shot"",""move_name"":""Whirlwind Shot (Partial Hold)"",""notes_sc"":""2-hit projectile; trajectory depends on button strength (LK = farthest/horizontal, MK = middle, HK = shortest/vertical); must hold button 28f; counter-hit/Punish Counter bonus advantage applies to both hits; projectile comes out in 6f if button is released from frames 28-47 (total startup 34-53f); cannot use if SA2 is active"",""punish_adv"":""+9"",""raw_source_token"":""rashid_236k_partial_hold""}",,rashid,Whirlwind Shot (Partial Hold),236{K},whirlwind_shot,58,D,False,not_required,rashid_048_2_3_6_lk | rashid_051_2_3_6_mk | rashid_054_2_3_6_hk,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t041:rashid_236lp,rashid_236lp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236LP"",""move_group"":""spinning_mixer"",""move_name"":""Spinning Mixer"",""notes_sc"":""Great pressure tool that is safe on block and can blow throw armor; 5f extra recovery on whiff; Counter-hit/Punish Counter bonus advantage applies through all hits (allows for follow-up combo); can be affected by Air Current on frames 2-16; if the 3rd hit whiffs in a Burnout pressure sequence, Rashid is safe at -3 oB"",""punish_adv"":""+6"",""raw_source_token"":""rashid_236lp""}",,rashid,Spinning Mixer,236LP,spinning_mixer,41,D,False,not_required,rashid_031_2_3_6_lp | rashid_032_2_3_6_lp,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t042:rashid_236lp_enhanced,rashid_236lp_enhanced,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236LP"",""move_group"":""spinning_mixer"",""move_name"":""(Air Current) Spinning Mixer"",""notes_sc"":""Fullscreen advancing move that gives a combo on hit and frame advantage on block; counter-hit/Punish Counter bonus advantage applies through all hits (allows for a stronger follow-up combo)"",""punish_adv"":""+8"",""raw_source_token"":""rashid_236lp_enhanced""}",,rashid,(Air Current) Spinning Mixer,236LP,spinning_mixer,42,D,False,not_required,rashid_031_2_3_6_lp | rashid_032_2_3_6_lp,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t043:rashid_236mp,rashid_236mp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236MP"",""move_group"":""spinning_mixer"",""move_name"":""Spinning Mixer"",""notes_sc"":""The last 11f of landing recovery is cancelable into special moves or supers on hit only; 4f worse advantage and 1 less hit when crouch blocked; cannot anti-air cross-ups; can be affected by Air Current on frames 2-8"",""punish_adv"":""KD +31"",""raw_source_token"":""rashid_236mp""}",,rashid,Spinning Mixer,236MP,spinning_mixer,43,D,False,not_required,rashid_033_2_3_6_mp | rashid_034_2_3_6_mp,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t044:rashid_236mp_enhanced,rashid_236mp_enhanced,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236MP"",""move_group"":""spinning_mixer"",""move_name"":""(Air Current) Spinning Mixer"",""notes_sc"":""On block, gets +1 hit vs. tall standing characters, and -1 hit vs. crouching characters (affects block data, chip, meter gain, etc.); cannot anti-air cross-ups; travels fullscreen"",""punish_adv"":""KD +37"",""raw_source_token"":""rashid_236mp_enhanced""}",,rashid,(Air Current) Spinning Mixer,236MP,spinning_mixer,44,D,False,not_required,rashid_033_2_3_6_mp | rashid_034_2_3_6_mp,,
supercombo_enrichment,supercombo,20260412T212019Z-7e4c58e2,20260412T212019Z-7e4c58e2:t047:rashid_236pp,rashid_236pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236PP"",""move_group"":""spinning_mixer"",""move_name"":""Spinning Mixer"",""notes_sc"":""Shorter animation with less landing recovery on block only; cannot anti-air cross-ups; can only hit twice vs. grounded opponents (will not break DI armor); 5f extra knockdown advantage if the final hit whiffs (keeps Rashid safe); can be affected by Air Current on frames 2-8"",""punish_adv"":""KD +9"",""raw_source_token"":""rashid_236pp""}",,rashid,Spinning Mixer,236PP,spinning_mixer,47,D,False,not_required,rashid_037_2_3_6_p_p | rashid_038_2_3_6_p_p,,
