character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
ryu,ryu_001_5_lp,立ち弱P（ジャブ）,5LP,normals,4,4-6,7,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
ryu,ryu_002_5_lk,立ち弱K（ローキック）,5LK,normals,5,5-7,11,,2,-4,C,300,始動補正20%,250,-500,-2000,300,上,
ryu,ryu_003_5_mp,立ち中P（鉤突き）,5MP,normals,6,6-9,11,,7,-1,C,600,,1500,-3000,-4000,500,上,空振り時硬直2F増加
ryu,ryu_004_5_mk,立ち中K（横蹴り）,5MK,normals,9,9-11,18,,4,-4,,700,,2000,-4000,-6000,700,上,
ryu,ryu_005_5_hp,立ち強P（正拳突き）,5HP,normals,10,10-14,18,,4,-2,C,800,,2000,-5000,-8000,1000,上,強制立ち効果
ryu,ryu_006_5_hk,立ち強K（後ろ回し蹴り）,5HK,normals,12,12-15,20,,9,1,,900,,3000,-6000,-10000,1000,上,空中ヒット時吹き飛びダウン | パニッシュカウンター時に膝崩れダウンに+36F | 空中パニッシュカウンター時吹き飛び時間延長
ryu,ryu_007_2_lp,しゃがみ弱P（ジャブ）,2LP,normals,4,4-5,9,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
ryu,ryu_008_2_lk,しゃがみ弱K（キック）,2LK,normals,5,5-6,10,,3,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
ryu,ryu_009_2_mp,しゃがみ中P（ストレート）,2MP,normals,6,6-9,13,,5,0,C,600,,1500,-3000,-4000,500,上,空振り時硬直2F増加
ryu,ryu_010_2_mk,しゃがみ中K（くるぶしキック）,2MK,normals,8,8-10,19,,1,-6,C,500,始動補正20%,1000,-2000,-4000,500,下,
ryu,ryu_011_2_hp,しゃがみ強P（突き上げアッパー）,2HP,normals,9,9-14,22,,1,-7,C,800,,3000,-7500,-10000,1200,上,キャンセルは持続の1F目がヒットした時のみ | 強制立ち効果
ryu,ryu_012_2_hk,しゃがみ強K（回転足払い）,2HK,normals,9,9-11,23,,D,-12,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
ryu,ryu_013_j_lp,ジャンプ弱P（肘落とし）,j.LP,normals,4,4-13,着地後3,,,,,300,,500,-1500,-2000,300,中,
ryu,ryu_014_j_lk,ジャンプ弱K（ひざ蹴り）,j.LK,normals,6,6-15,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
ryu,ryu_015_j_mp,ジャンプ中P（すくい突き）,j.MP,normals,8,8-12,着地後3,,,,C,700,,1000,-3000,-5000,500,中 上,空中ヒット時吹き飛びダウン
ryu,ryu_016_j_mk,ジャンプ中K（飛び蹴り）,j.MK,normals,7,7-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
ryu,ryu_017_j_hp,ジャンプ強P（ストレート）,j.HP,normals,9,9-14,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中カウンター/パニッシュカウンター時叩きつけダウン
ryu,ryu_018_j_hk,ジャンプ強K（跳び前蹴り）,j.HK,normals,10,10-17,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
ryu,ryu_019_6_mp,鎖骨割り,6MP,command_normals,20,20-23,19,,3,-3,,600,,1500,-2500,-5000,500,※ 中 上,※初段が空振り時のみ2段目が中段判定
ryu,ryu_020_6_hp,鳩尾砕き,6HP,command_normals,20,20-24,16,,6,3,,800,,2500,-5000,-8000,1000,上,
ryu,ryu_021_4_hp,上げ突き,4HP,command_normals,7,7-10,26,,1,-13,C,800,,2000,-5000,-8000,1000,上,キャンセルは持続の1F目がヒットした時のみ | 強制立ち効果
ryu,ryu_023_6_hk,旋風脚,6HK,command_normals,16,16-19,20,,2,-4,※,800,,2500,-5000,-8000,1000,上,※空中竜巻旋風脚(OD版を含む)でキャンセル可能
ryu,ryu_024_hp_hk,上段二連撃,HP>HK,command_normals,9,9-12,20,,D,-8,※,1000,,2500,-7000,-10000,1000,上,※ヒット時、電刃錬気でのみキャンセル可能 | クラシック操作:↓+P、モダン操作:↓＋攻撃
