character_slug,move_id,move_name,input,move_group,hitconfirm_window,hitstun,blockstun,hitstop,punish_adv,perf_parry_adv,dr_cancel_hit,dr_cancel_blk,after_dr_hit,after_dr_blk,invuln,armor,airborne,jug_start,jug_increase,jug_limit,proj_speed,atk_range,super_gain_blk,notes_sc
ryu,ryu_001_5_lp,Standing Light Punch,5LP,normals,13,14,9,9,+8,-8,+4,-1,+8,+3,-,-,-,1,1,0,-,1.01,150 (75),Chains into 5LP/2LP/2LK
ryu,ryu_003_5_mp,Standing Medium Punch,5MP,normals,16 (18 TC),22,14,11,+11,-13,+12,+4,+11,+3,-,-,-,1,1,0,-,1.01,250 (125),2f extra recovery on whiff; useful combo tool with a Target Combo follow-up; extends a wider body hurtbox until the end of recovery
ryu,ryu_004_5_mk,Standing Medium Kick,5MK,normals,-,25,17,11,+8,-19,-,-,+8,0,-,-,-,1,1,0,-,1.568,350 (175),Solid poke; front leg hurtbox is raised on frames 4-11 (can avoid low pokes)
ryu,ryu_005_5_hp,Standing Heavy Punch,5HP,normals,19 (22 TC),27,21,13,+8,-21,+17,+11,+8,+2,-,-,-,1,1,0,-,1.545,500 (250),"Forces stand on hit (allowing Target Combo follow-up to work on crouching opponents); good poke with hitbox priority, many active frames, and a reactable hitconfirm window"
ryu,ryu_006_5_hk,Standing Heavy Kick,5HK,normals,-,33,24,13,KD +84 Crumple,-21,-,-,+13,+5,-,-,-,1 [-1 PC Ground],1,0,-,1.572,500 (250),Whiffs on crouching opponents unless they extend a vertical hurtbox; 2 extra recovery frames on block; good horizontal anti-air that puts airborne opponents into limited juggle state (higher launch on Punish Counter juggle); +11 before Punish Counter crumple state goes airborne; extends a hurtbox 1f before active that is vulnerable to projectiles
ryu,ryu_007_2_lp,Crouching Light Punch,2LP,normals,11,15,10,9,+8,-9,+5,0,+8,+3,-,-,-,1,1,0,-,0.94,150 (75),Chains into 5LP/2LP/2LK; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
ryu,ryu_008_2_lk,Crouching Light Kick,2LK,normals,-,15,11,9,+7,-10,-,-,+7,+3,-,-,-,1,1,0,-,1.05,150 (75),Chains into 5LP/2LP/2LK
ryu,ryu_009_2_mp,Crouching Medium Punch,2MP,normals,16,22,17,11,+9,-15,+12,+7,+9,+4,-,-,-,1,1,0,-,1.14,250 (125),2f extra recovery on whiff; combo and pressure tool; topmost hurtbox on frames 1-9 is vulnerable only to aerial strikes (preventing its use as an anti-air); extends a wider hurtbox until the end of recovery
ryu,ryu_010_2_mk,Crouching Medium Kick,2MK,normals,13,23,16,9,+5,-20,+11,+4,+5,-2,-,-,-,1,1,0,-,1.482,250 (125),Range: 1.482; DR cancel is delayed until after active frames
ryu,ryu_011_2_hp,Crouching Heavy Punch,2HP,normals,18,27(22),19,13,+5,-24,+17,+9,+5,-3,-,-,-,1,1,0,-,1.137,600 (300),Forces stand on hit; decent anti-air; cannot hit cross-ups; fist hurtbox is invincible to air strikes on frame 9; head hurtbox is invincible to air strikes on frames 10-14; only 1st active frame is cancelable (extends a combo-only hitbox to match the range of the 2nd active frame for combo consistency); () refers to hit/block recovery on 1st active frame only; 5f less hitstun on active frames 2-5 (can be punishable on meaty timing)
ryu,ryu_012_2_hk,Low Spinning Sweep,2HK,normals,-,-,19,13,HKD +47,-28,-,-,KD +40,-8,-,-,-,1,1,5,-,1.793,500 (250),"Good range and hitbox priority; has some juggle potential; on block, always plays out a fixed 29f recovery (cannot be made safer with meaty timing)"
