dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t047:sagat_236hk,sagat_236hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""Tiger Knee Crush"",""notes_sc"":""Furthest horizontal distance; much better block advantage when spaced at max range; 2nd hit active frames 1-9 whiff on crouching opponents; this means that if the Knee is spaced out so the first hit whiffs, it connects on the 2nd to last active frame vs. crouching opponents (+4 on block); if the 1st hit is crouch blocked, opponent cannot switch to stand block the 2nd hit; puts opponent into a limited juggle state (in the corner, can juggle 623LP if the last 6 active frames connect, or 623MP / SA2 if the final active frame connects); blocked Knee causes a screen shake when Sagat has frame advantage; Sweet Spot occurs when juggling into the 3rd or 4th active frame, dealing 1300 damage (single hit) with a higher spinning juggle launch (ensures a follow-up juggle is possible even midscreen); the 2nd hit's extended Knee hitbox is too high to connect on standing characters on active frames 2-7 (tall characters: active frames 4-6); sets up corner safe jump in certain juggle scenarios (e.g. after juggled 2MP~HP)"",""punish_adv"":""KD +40~41 (KD +37~47)"",""raw_source_token"":""sagat_236hk""}",sagat_039_2_3_6_hk,sagat,Tiger Knee Crush,236HK,specials,47,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t048:sagat_236kk,sagat_236kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""Tiger Knee Crush"",""notes_sc"":""1st hit transitions to a different follow-up on hit, resulting in higher damage and a tumbling +66 knockdown (allows a 623LP juggle in the corner); if 1st hit whiffs, the next 2 hits deal 500 damage each and give a worse knockdown (only 1 hit at farthest ranges); safe on block but usually lands inside the opponent's throw range; 2nd hit active frames 2-10 whiff on crouching opponents; this means that if the Knee is spaced out, it connects on the last active frame vs. crouching opponents (+1 on block); unlike HK Knee, the opponent can switch to stand block after the first hit connects, leaving Sagat at -2; blocked Knee causes a screen shake when Sagat has frame advantage; later hits put opponent into a limited juggle state (in the corner, can juggle 623LP)"",""punish_adv"":""KD +66 Tumble (KD +44~50)"",""raw_source_token"":""sagat_236kk""}",sagat_040_2_3_6_k_k,sagat,Tiger Knee Crush,236KK,specials,48,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t051:sagat_214hk,sagat_214hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""Tiger Nexus"",""notes_sc"":""Slow startup, only combos naturally from the first hit of 5HK (requires Drive Rush or Punish Counter to combo from 2HP, 4HP launch, or 5HK 2nd hit); 214HK cannot frame trap when canceled from a normal (except for Burnout + Drive Rush into 2MP/2HP/5HK); combos naturally into all follow-ups including 6HK; cancel into 6HK follow-up leaves a 7f gap on block (can frame trap 4f normals in Burnout); 2f extra recovery on Perfect Parry only; if the 1st hit is Perfect Parried, 2nd hit will interrupt any punish slower than 5f startup (trades with 6f attacks); cannot perform follow-up attacks if both hits whiff; carries Counter-hit/Punish Counter advantage through both hits; can juggle after DR~4HP (easier execution but less damaging than his MP Tiger Shot juggle sequence); opponents can beat all follow-ups with invincible reversals (but standard 6f reversals will not punish 214HK)"",""punish_adv"":""+8"",""raw_source_token"":""sagat_214hk""}",sagat_043_2_1_4_hk,sagat,Tiger Nexus,214HK,specials,51,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t052:sagat_214kk,sagat_214kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214KK"",""move_group"":""specials"",""move_name"":""Tiger Nexus"",""notes_sc"":""Similar to HK version but faster (can cancel from more starters like 2HP, 4HP launch, and 5HK 2nd hit); combos naturally into all follow-ups including 6HK; cancel into 6HK follow-up leaves a 7f gap on block (can frame trap 4f normals in Burnout); 2f extra recovery on Perfect Parry only; if the 1st hit is Perfect Parried, 2nd hit will interrupt any punish slower than 5f startup (trades with 6f attacks); cannot perform follow-up attacks if both hits whiff; carries Counter-hit/Punish Counter advantage through both hits; opponents can beat all follow-ups with invincible reversals (but standard 6f reversals will not punish 214KK)"",""punish_adv"":""+8"",""raw_source_token"":""sagat_214kk""}",sagat_044_2_1_4_k_k,sagat,Tiger Nexus,214KK,specials,52,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t060:sagat_214214k,sagat_214214k,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214214K"",""move_group"":""super_arts"",""move_name"":""Savage Tiger"",""notes_sc"":""Goes into one of 4 follow-ups after frame 76 on hit (depending on which direction is held while clutching the opponent); Sagat's best reversal Super (but is still slow enough to be baited by an opponent's safejab setup); can be used as a projectile counter from about half screen; Sagat has travel time throughout the active frames (takes longer than SA3 to reach full range)"",""punish_adv"":""HKD ~"",""raw_source_token"":""sagat_214214k""}",,sagat,Savage Tiger,214214K,super_arts,60,E,False,not_required,,sagat_1_4_2_1_4_k_followup,sagat_052_2_1_4_2_1_4_k
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t061:sagat_214214k_5,sagat_214214k_5,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""214214K~5"",""move_group"":""super_arts"",""move_name"":""Savage Tiger Raid (Damage)"",""notes_sc"":""Highest damage variant of SA2; leaves the opponent far away with no oki; has significant corner carry (over 1/2 screen)"",""punish_adv"":""HKD +4"",""raw_source_token"":""sagat_214214k_5""}",,sagat,Savage Tiger Raid (Damage),214214K~5,super_arts,61,E,False,not_required,,sagat_1_4_2_1_4_k_followup,sagat_052_2_1_4_2_1_4_k
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t058:sagat_214kk_6hk,sagat_214kk_6hk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214KK~6HK"",""move_group"":""nova_tiger"",""move_name"":""Nova Tiger"",""notes_sc"":""Connects on both standing/crouching opponents; launches opponent into a limited juggle state; combos naturally from 214KK; after blocked 214KK, interruptible 7f blockstring gap (frame trap vs. Burnout); unsafe to reversal Drive Impact and susceptible to Perfect Parry on reaction (becomes DI-safe from 214KK if opponent delays it by 2f or longer); opponent is left inside throw range on block (but Sagat cannot shimmy an immediate throw tech)"",""punish_adv"":""KD +62"",""raw_source_token"":""sagat_214kk_6hk""}",,sagat,Nova Tiger,214KK~6HK,nova_tiger,58,D,False,not_required,sagat_049_6_hk | sagat_050_6_hk,,
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t054:sagat_214kk_6lk,sagat_214kk_6lk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214KK~6LK"",""move_group"":""mighty_tiger"",""move_name"":""Mighty Tiger"",""notes_sc"":""Mixup tool that is unsafe on block; the threat of overhead makes ~6MK follow-up stronger while the threat of a frame trap makes ~6HK follow-up stronger; safe vs. Burnout but no longer frame traps, making it a weak option; puts airborne opponents into a limited juggle state (e.g. after DI wallsplat juggle); causes immediate knockdown on Counter-hit/Punish Counter; safe to reversal Drive Impact after blocked 214KK unless the 6LK input is delayed"",""punish_adv"":""KD +25"",""raw_source_token"":""sagat_214kk_6lk""}",,sagat,Mighty Tiger,214KK~6LK,mighty_tiger,54,D,False,not_required,sagat_045_6_lk | sagat_046_6_lk,,
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t056:sagat_214kk_6mk,sagat_214kk_6mk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214KK~6MK"",""move_group"":""greedy_tiger"",""move_name"":""Greedy Tiger"",""notes_sc"":""Whiffs on crouching opponents; 2f extra recovery on whiff; puts opponent into a limited juggle state (only allows 623LP/PP juggle in the corner); frame data vs. crouch from 214KK: -17 oH / -24 oB / -13 onPC; safe to reversal Drive Impact after blocked 214KK; 3f blockstring gap after 214KK (frame trap vs. standing normals but still loses to reversal crouching normals); risky to attempt on block, but the threat of the overhead and frame trap from ~6LK follow-up can condition opponents to stand block or parry; opponent cannot walk back out of throw range on block"",""punish_adv"":""KD +48 (-13 crouch)"",""raw_source_token"":""sagat_214kk_6mk""}",,sagat,Greedy Tiger,214KK~6MK,greedy_tiger,56,D,False,not_required,sagat_047_6_mk | sagat_048_6_mk,,
supercombo_enrichment,supercombo,20260412T214829Z-28e9df44,20260412T214829Z-28e9df44:t069:sagat_4pppkkk,sagat_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""If you're on a path to attain strength, show me your worth!\"""",""punish_adv"":""-"",""raw_source_token"":""sagat_4pppkkk""}",,sagat,Back Taunt,4PPPKKK,taunts,69,G,False,not_required,,,
