character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
terry,terry_001_5_lp,立ち弱P （ジャブ）,5LP,normals,4,4-6,7,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
terry,terry_002_5_lk,立ち弱K （ローキック）,5LK,normals,5,5-6,12,,2,-2,C,300,始動補正20%,250,-500,-2000,300,上,
terry,terry_003_5_mp,立ち中P （ストレート）,5MP,normals,7,7-9,16,,2,-3,C,700,,1500,-3000,-4000,500,上,
terry,terry_004_5_mk,立ち中K （ミドルキック）,5MK,normals,9,9-11,18,,5,-2,,700,,2000,-4000,-6000,700,上,
terry,terry_005_5_hp,立ち強P （ボディ）,5HP,normals,9,9-12,18,,2,1,C,800,,2000,-5000,-8000,1000,上,ガード時硬直2F減少
terry,terry_006_5_hk,立ち強K （回し蹴り）,5HK,normals,12,12-15,21,,1,-4,,900,,3000,-6000,-8000,1000,上,パニッシュカウンター時に膝崩れダウンに ＋18
terry,terry_007_2_lp,しゃがみ弱P （しゃがみジャブ）,2LP,normals,4,4-6,8,,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
terry,terry_008_2_lk,しゃがみ弱K（足払い蹴り）,2LK,normals,5,5-6,11,,3,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
terry,terry_009_2_mp,しゃがみ中P （しゃがみストレート）,2MP,normals,6,6-9,13,,5,-1,C,600,,1500,-3000,-4000,600,上,ガード時硬直1F増加 | 空振り時硬直2F増加
terry,terry_010_2_mk,しゃがみ中K （ヒールキック）,2MK,normals,8,8-10,19,,-2,-6,C,500,始動補正20%,1000,-2000,-4000,500,下,
terry,terry_011_2_hp,しゃがみ強P（ワイルドアッパー）,2HP,normals,8,8-13,22,,1,-4,C,800,,2000,-5000,-8000,1000,上,強制立ち効果 | ヒット・ガード時硬直3F減少
terry,terry_012_2_hk,しゃがみ強K （スライドキック）,2HK,normals,10,10-12,24,,D,-11,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
terry,terry_013_j_lp,ジャンプ弱P （ジャンプ手刀）,j.LP,normals,4,4-10,着地後3,,,,,300,,500,-1500,-2000,300,中,
terry,terry_014_j_lk,ジャンプ弱K （ジャンプ前蹴り）,j.LK,normals,5,5-11,着地後3,,,,,300,,500,-1500,-2000,300,中,
terry,terry_015_j_mp,ジャンプ中P （ジャンプバックナックル）,j.MP,normals,7,7-12,着地後3,,,,,500,,1000,-2500,-4000,500,中,空中ヒット時吹き飛びダウン
terry,terry_016_j_mk,ジャンプ中K （ナイト・ブレイカー）,j.MK,normals,7,7-10,着地後3,,,,,700,,1000,-2500,-4000,500,中,めくり性能
terry,terry_017_j_hp,ジャンプ強P （ジャンプ正拳突き）,j.HP,normals,9,9-14,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中カウンター/パニッシュカウンター時叩きつけダウン
terry,terry_018_j_hk,ジャンプ強K （ジャンプテリーキック）,j.HK,normals,10,10-16,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
terry,terry_019_6_hp,ハンマーパンチ,6HP,command_normals,22,22-24,19,,2,-3,,800,,2000,-5000,-4000,1000,中,
