dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t040:terry_214lp,terry_214lp,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214LP"",""move_group"":""specials"",""move_name"":""Quick Burn"",""notes_sc"":""2 hits; functionally 22f startup as an overhead; on hit, leaves Terry at close range for a strike/throw/shimmy mixup; short range, primarily used in light confirms"",""punish_adv"":""+6"",""raw_source_token"":""terry_214lp""}",terry_031_2_1_4_lp,terry,Quick Burn,214LP,specials,40,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t055:terry_214hk,terry_214hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""214HK"",""move_group"":""specials"",""move_name"":""Crack Shoot"",""notes_sc"":""2 hits vs. grounded, up to 3 hits vs. airborne; first 7 active frames can only hit airborne opponents (functionally 30f startup); cannot hit cross-up; puts airborne opponent into limited juggle state; kicking leg is anti-air invuln on frames 28-30; can be spaced out to hit once with 2f better advantage; technically has 4 hits, but up to 3 can land at once; damage is highly variable depending on which hits connect (last hit does most damage, but landing all 3 airborne hits allows strong juggle extensions); can hop over many grounded attacks (even some standing); can be used for a sideswitch mid-combo or a corpse hop on downed opponents; strong vs. Burnout, dealing chip while staying close range with frame advantage (but too slow to cancel into for Burnout loops); last hit is lower to the ground than other versions and can beat moves that low profile other versions"",""punish_adv"":""KD +43~45"",""raw_source_token"":""terry_214hk""}",terry_042_2_1_4_hk,terry,Crack Shoot,214HK,specials,55,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t041:terry_214lpmp,terry_214lpmp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214LPMP"",""move_group"":""quick_burn"",""move_name"":""or 214LPHP Quick Burn"",""notes_sc"":""2 hits that transition to a 3rd attack on hit only; functionally 22f startup as an overhead"",""punish_adv"":""KD +33"",""raw_source_token"":""terry_214lpmp""}",,terry,or 214LPHP Quick Burn,214LPMP,quick_burn,41,D,False,not_required,terry_032_2_1_4_p_p | terry_035_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t009:terry_2hp,terry_2hp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""2HP"",""move_group"":""normals"",""move_name"":""Crouching Heavy Punch"",""notes_sc"":""Forces stand; good anti-air on frames 10-13 but cannot hit cross-up; very short horizontal range; only first 2 active frames are cancelable; if the attack connects on the first 2 active frames, it has 2 fewer active and recovery frames (meaty timing can be up to 2f worse on hit/block if 3rd active frame connects); active frames 4-6 whiff on crouching opponents unless they extend a vertical hurtbox; delaying the cancel into 236PP can grant better frame advantage for combo extensions"",""punish_adv"":""+5"",""raw_source_token"":""terry_2hp""}",,terry,Crouching Heavy Punch,2HP,normals,9,E,False,not_required,,terry_hp_followup,terry_011_2_hp
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t027:terry_2mk_2hk,terry_2mk_2hk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""2MK~2HK"",""move_group"":""target_combos"",""move_name"":""Fire Kick"",""notes_sc"":""Puts opponent into limited juggle state; () refers to scaled damage from 2MK combo starter; can always be interrupted by an invincible reversal if DR canceled on block; DR cancel is delayed until after 2nd recovery frame; special cancel is delayed until after 3rd recovery frame"",""punish_adv"":""KD +35"",""raw_source_token"":""terry_2mk_2hk""}",,terry,Fire Kick,2MK~2HK,target_combos,27,E,False,not_required,,terry_mk_2_hk_followup,terry_026_2_mk_2_hk
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t066:terry_4pppkkk,terry_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""We gonna fight or what? I don't have all day. *whistle* Jeez.\"""",""punish_adv"":""-"",""raw_source_token"":""terry_4pppkkk""}",,terry,Back Taunt,4PPPKKK,taunts,66,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t021:terry_5mp_hk,terry_5mp_hk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""5MP~HK"",""move_group"":""target_combos"",""move_name"":""Power Shoot"",""notes_sc"":""Puts opponent into limited juggle state; does not combo naturally on grounded opponents (requires at least Counter-hit or meaty timing); can be used in juggle routes; can follow up with Power Dunk on hit only; 5f gap between hits if blocked"",""punish_adv"":""KD +39"",""raw_source_token"":""terry_5mp_hk""}",,terry,Power Shoot,5MP~HK,target_combos,21,D,False,not_required,terry_006_5_hk | terry_012_2_hk | terry_018_j_hk,,
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t022:terry_5mp_hk_hk,terry_5mp_hk_hk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5MP~HK~HK"",""move_group"":""target_combos"",""move_name"":""Power Dunk"",""notes_sc"":""() refers to scaled damage from CH 5MP combo starter; this standard version occurs when buffering Power Dunk early or within the final 2f of the cancel window; KD advantage varies depending on timing (early input gives better advantage); can only be performed on hit; useful for corner carry and oki"",""punish_adv"":""-"",""raw_source_token"":""terry_5mp_hk_hk""}",,terry,Power Dunk,5MP~HK~HK,target_combos,22,E,False,not_required,,terry_hk_followup,terry_021_mp_hk
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t023:terry_5mp_hk_hk_just,terry_5mp_hk_hk_just,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5MP~HK~HK"",""move_group"":""target_combos"",""move_name"":""Power Dunk (Just Frame)"",""notes_sc"":""() refers to scaled damage from CH 5MP combo starter; extra damage when performed within a strict 2f timing window (success indicated by screen shake); can only be performed on hit; useful for corner carry and oki"",""punish_adv"":""-"",""raw_source_token"":""terry_5mp_hk_hk_just""}",,terry,Power Dunk (Just Frame),5MP~HK~HK,target_combos,23,E,False,not_required,,terry_hk_followup,terry_021_mp_hk
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t020:terry_5mp_hp,terry_5mp_hp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5MP~HP"",""move_group"":""target_combos"",""move_name"":""Power Drive"",""notes_sc"":""() refers to scaled damage when comboed from 5MP; puts opponent into limited juggle state (no follow-up juggles possible); high pushback on block keeps Terry safe if well-spaced; 3f gap on block for a frame trap (but can lose to 3f startup counters/armor moves)"",""punish_adv"":""KD +29"",""raw_source_token"":""terry_5mp_hp""}",,terry,Power Drive,5MP~HP,target_combos,20,E,False,not_required,,terry_hp_followup,terry_011_2_hp
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t024:terry_5mp_mk,terry_5mp_mk,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5MP~MK"",""move_group"":""target_combos"",""move_name"":""Passing Sway"",""notes_sc"":""Invuln applies during recovery on hit only; no collision box during invuln frames; can be followed up with Jumping Lariat or Jumping Knee; follow-ups cause invuln to be extended until the attack active frames (can significantly delay the follow-up for much longer invincibility); 1f gap between hits on block (can be delayed for a 2f gap)"",""punish_adv"":""+1"",""raw_source_token"":""terry_5mp_mk""}",,terry,Passing Sway,5MP~MK,target_combos,24,E,False,not_required,,terry_mk_2_hk_followup,terry_026_2_mk_2_hk
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t063:terry_5pppkkk,terry_5pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5PPPKKK"",""move_group"":""taunts"",""move_name"":""Neutral Taunt"",""notes_sc"":""\""Hey, come on, come on!\"""",""punish_adv"":""-"",""raw_source_token"":""terry_5pppkkk""}",,terry,Neutral Taunt,5PPPKKK,taunts,63,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t064:terry_5pppkkk_burnout,terry_5pppkkk_burnout,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""5PPPKKK"",""move_group"":""taunts"",""move_name"":""Neutral Taunt (Burnout)"",""notes_sc"":""\""Hey buddy, I got tons of fight left in me!\""; only occurs when Terry is in Burnout"",""punish_adv"":""-"",""raw_source_token"":""terry_5pppkkk_burnout""}",,terry,Neutral Taunt (Burnout),5PPPKKK,taunts,64,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t065:terry_6pppkkk,terry_6pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""6PPPKKK"",""move_group"":""taunts"",""move_name"":""Forward Taunt"",""notes_sc"":""\""No line here? Alright\"""",""punish_adv"":""-"",""raw_source_token"":""terry_6pppkkk""}",,terry,Forward Taunt,6PPPKKK,taunts,65,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t033:terry_mpmk,terry_mpmk,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""Drive Parry"",""notes_sc"":""See Drive Parry . Perfect Parrying has only 1F of recovery and disables the opponent from canceling their attack. Perfect Parrying projectiles puts you into fixed 11 frames of recovery. After a Perfect Parry, all Super Gauge gain is reduced by 20% and Drive Gauge gain/damage is reduced by 50% for the entire punish combo."",""punish_adv"":""-"",""raw_source_token"":""terry_mpmk""}",,terry,Drive Parry,MPMK,system,33,D,False,not_required,terry_021_mp_hk | terry_023_mp_mk | terry_055_5_6_lplk | terry_059_hphk | terry_062_mpmk | terry_063_mpmk | terry_064_mpmk,,
supercombo_enrichment,supercombo,20260412T213442Z-a27a5cb6,20260412T213442Z-a27a5cb6:t035:terry_mpmk_66_drc,terry_mpmk_66_drc,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""MPMK"",""move_group"":""system"",""move_name"":""or 66 Drive Rush Cancel"",""notes_sc"":""See Drive Rush ; 3-bar version performed on hit/block from a cancelable normal; can also be performed on whiff from cancelable light normals; startup refers to minimum time before an attack can cancel the Drive Rush animation; the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties"",""punish_adv"":""-"",""raw_source_token"":""terry_mpmk_66_drc""}",,terry,or 66 Drive Rush Cancel,MPMK,system,35,D,False,not_required,terry_062_mpmk | terry_063_mpmk | terry_064_mpmk,,
