character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
vega_mbison,vega_mbison_001_5_lp,立ち弱P（ジャブ）,5LP,normals,5,5-6,11,,4,-3,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
vega_mbison,vega_mbison_002_5_lk,立ち弱K（ヘルニーキック）,5LK,normals,4,4-5,10,,3,-1,C,300,始動補正20%,250,-500,-2000,300,上,
vega_mbison,vega_mbison_003_5_mp,立ち中P（ヘルボディーブロー）,5MP,normals,8,8-10,15,,6,0,C,600,,1500,-3000,-4000,500,上,
vega_mbison,vega_mbison_004_5_mk,立ち中K（シャドーミドルキック）,5MK,normals,10,10-12,17,,2,-3,,700,,2000,-4000,-6000,700,上,
vega_mbison,vega_mbison_005_5_hp,立ち強P（サイコパイル）,5HP,normals,19,19-21,17,,4,1,SA,1000,始動補正20%,2000,-5000,-10000,1000,上,空振り/アーマーヒット時硬直3F増加 | 空中ヒット時床バウンド | パニッシュカウンター時+17F
vega_mbison,vega_mbison_006_5_hk,立ち強K（シャドーサイス）,5HK,normals,13,13-16,19,,6,-2,,900,,3000,-5000,-10000,1000,上,空中ヒット時吹き飛びダウン | パニッシュカウンター時に膝崩れダウンに+32F | 空中パニッシュカウンター時吹き飛び時間延長
vega_mbison,vega_mbison_007_2_lp,しゃがみ弱P（ジャブ）,2LP,normals,4,4-5,10,,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
vega_mbison,vega_mbison_008_2_lk,しゃがみ弱K（ヘルレッグ）,2LK,normals,5,5-6,10,,4,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
vega_mbison,vega_mbison_009_2_mp,しゃがみ中P（ストレート）,2MP,normals,6,6-8,14,,5,-1,C,600,,1500,-3000,-4000,500,上,※空振り時硬直3F増加
vega_mbison,vega_mbison_010_2_mk,しゃがみ中K（デスレッグ）,2MK,normals,8,8-10,19,,-2,-6,C,500,始動補正20%,1000,-2000,-4000,500,下,
vega_mbison,vega_mbison_011_2_hp,しゃがみ強P（サイコアッパー）,2HP,normals,10,10-15,21,,0,-9,C,900,,2000,-5000,-8000,1000,上,強制立ち効果 | 空中カウンター/パニッシュカウンター時吹き飛びダウン
vega_mbison,vega_mbison_012_2_hk,しゃがみ強K（シャドースイープ）,2HK,normals,11,11-13,26,,D,-12,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
vega_mbison,vega_mbison_013_j_lp,ジャンプ弱P（ヘルフック）,j.LP,normals,5,5-8,着地後3,,,,,300,,500,-1500,-2000,300,中,
vega_mbison,vega_mbison_014_j_lk,ジャンプ弱K（ヒールスタンプ）,j.LK,normals,5,5-11,着地後3,,,,,300,,500,-1500,-2000,300,中,めくり性能
vega_mbison,vega_mbison_015_j_mp,ジャンプ中P（ヘルナックル）,j.MP,normals,8,8-11,着地後3,,,,,700,,1000,-3000,-4000,500,中,空中ヒット時吹き飛びダウン
vega_mbison,vega_mbison_016_j_mk,ジャンプ中K（ニーミサイル）,j.MK,normals,7,7-13,着地後3,,,,,500,,1000,-2500,-4000,500,中,めくり性能
vega_mbison,vega_mbison_017_j_hp,ジャンプ強P（サイコエルボー）,j.HP,normals,9,9-14,着地後3,,,,,800,,2000,-4000,-5000,1000,中,空中カウンター/パニッシュカウンター時叩きつけダウン
vega_mbison,vega_mbison_018_j_hk,ジャンプ強K（トマホークキック）,j.HK,normals,10,10-15,着地後3,,,,,800,,2000,-4000,-5000,1000,中,
vega_mbison,vega_mbison_019_6_hp,サイコハンマー,6HP,command_normals,22,22-24,20,,3,-3,,800,,2000,-5000,-7000,1000,中,空中ヒット時床バウンド
vega_mbison,vega_mbison_020_4_hk,イビルニー,4HK,command_normals,10,10-13,17,,4,1,C,800,,3000,-3000,-8000,1000,上,
vega_mbison,vega_mbison_021_3_hk,ホバーキック,3HK,command_normals,15,15-24,23,,D,-15,,900,,3000,-4000,-10000,1000,下,カウンター/パニッシュカウンター時ダウン時間増加
vega_mbison,vega_mbison_022_mp_6_hp,シャドウハンマー,MP>6HP,command_normals,22,22-24,20,,3,-3,,800,,2000,-5000,-7000,500,中,空中ヒット時床バウンド
vega_mbison,vega_mbison_023_mp_2_hk,シャドウスピア,MP>2HK,command_normals,16,16-19,20,,3,-3,,700,,3000,-3000,-4000,600,下,
vega_mbison,vega_mbison_024_mp_mp,ヘルアタック,MP>MP,command_normals,7,7-10,着地後3,,,,,700,,1000,-3000,-4000,500,上,
vega_mbison,vega_mbison_025_6_lp,弱 サイコクラッシャーアタック,6LP,specials,14,14-29,24,,D,-20,SA3,1200,始動補正30%,2000,-6000,-10000,1200,上,6-15F 空中判定の打撃・空弾属性に対して無敵 | 20-29F 空中判定 | 飛び道具相殺判定あり（1回）
vega_mbison,vega_mbison_026_6_lp,[サイコマイン付与時]弱 サイコクラッシャーアタック,6LP,specials,14,14-29,24,,D,6,SA3,1700,始動補正30%,4000,-9000,-10000,1700,上,6-15F 空中判定の打撃・空弾属性に対して無敵 | 20-29F 空中判定 | 飛び道具相殺判定あり（1回） | ヒット/ガード時にサイコマインを誘爆
vega_mbison,vega_mbison_027_6_mp,中 サイコクラッシャーアタック,6MP,specials,20,20-35,24,,D,-20,SA3,1400,始動補正30%,3500,-7000,-10000,1300,上,6-21F 空中判定の打撃・空弾属性に対して無敵 | 26-45F 空中判定 | 飛び道具相殺判定あり（1回）
vega_mbison,vega_mbison_028_6_mp,[サイコマイン付与時]中 サイコクラッシャーアタック,6MP,specials,20,20-35,24,,D,6,SA3,1900,始動補正30%,5500,-10000,-10000,1800,上,6-21F 空中判定の打撃・空弾属性に対して無敵 | 26-45F 空中判定 | 飛び道具相殺判定あり（1回） | ヒット/ガード時にサイコマインを誘爆
vega_mbison,vega_mbison_029_6_hp,強 サイコクラッシャーアタック,6HP,specials,24,24-49,24,,D,-23,SA3,1600,始動補正30%,5000,-8000,-10000,1500,上,6-25F 空中判定の打撃・空弾属性に対して無敵 | 30-49F 空中判定 | 飛び道具相殺判定あり（1回）
vega_mbison,vega_mbison_030_6_hp,[サイコマイン付与時]強 サイコクラッシャーアタック,6HP,specials,24,24-49,24,,D,5,SA3,2100,始動補正30%,7000,-11000,-10000,2000,上,6-25F 空中判定の打撃・空弾属性に対して無敵 | 30-49F 空中判定 | 飛び道具相殺判定あり（1回） | ヒット/ガード時にサイコマインを誘爆
vega_mbison,vega_mbison_031_6_p_p,OD サイコクラッシャーアタック,6PP,specials,16,16-31,20,,D,-3,SA2,1300,始動補正30%,0,-5000,-7000,1200,上,7-17F 空中判定の打撃・空弾属性に対して無敵 | 13-31F 飛び道具無敵 | 20-31F 空中判定
vega_mbison,vega_mbison_032_6_p_p,[サイコマイン付与時]OD サイコクラッシャーアタック,6PP,specials,16,16-31,20,,D,10,,1600,始動補正30%,0,-8000,-7000,2800,上,7-17F 空中判定の打撃・空弾属性に対して無敵 | 13-31F 飛び道具無敵 | 20-31F 空中判定 | ヒット/ガード時にサイコマインを誘爆
vega_mbison,vega_mbison_045_specials_045,サイコマイン（自動爆発）,,specials,,,,,,,,500,,2000,-3000,-5000,500,上 ・ 弾,
vega_mbison,vega_mbison_046_8_lk,弱 シャドウライズ,8LK,specials,,,全体 53,53,,,,0,,0,0,0,0,,18F～46Fまで、ヘッドプレス(OD版を含む)、デビルリバース(OD版を含む)に派生可能 | 9F以降、空中判定
vega_mbison,vega_mbison_047_8_mk,中 シャドウライズ,8MK,specials,,,全体 58,58,,,,0,,0,0,0,0,,18F～46Fまで、ヘッドプレス(OD版を含む)、デビルリバース(OD版を含む)に派生可能 | 9F以降、空中判定
vega_mbison,vega_mbison_048_8_hk,強 シャドウライズ,8HK,specials,,,全体 63,63,,,,0,,0,0,0,0,,18F～46Fまで、ヘッドプレス(OD版を含む)、デビルリバース(OD版を含む)に派生可能 | 9F以降、空中判定
vega_mbison,vega_mbison_049_8_k_k,OD シャドウライズ,8KK,specials,,,全体 55,55,,,,0,,0,0,0,0,,16F～42Fまで、ODヘッドプレス、ODデビルリバースに派生可能 | 1-8F 投げに対して無敵 | 9F以降、空中判定
vega_mbison,vega_mbison_052_p,サマーソルトスカルダイバー,P,specials,12,12-21,29,,,,,800,,2500,-6000,-5000,1200,中,
vega_mbison,vega_mbison_058_2_1_4_2_1_4_k,SA2 サイコパニッシャー,214214K,super_arts,24,24-30,52,,D,-34,,3000,,0,-5000,-10000,0,上,1-25F 完全無敵 | カウンター/パニッシュカウンターで数値が変動しない | 最低保障ダメージ40％
vega_mbison,vega_mbison_059_2_3_6_2_3_6_p,SA3 アンリミテッドサイコクラッシャー,236236P,super_arts,10,10-15,65,,D,-46,,4000,※即時補正10%,0,-7500,-15000,0,上,1-15F 完全無敵 | 最低保障ダメージ50％ | カウンター/パニッシュカウンターで数値が変動しない | ※必殺技キャンセル時のみ適用
vega_mbison,vega_mbison_060_2_3_6_2_3_6_p,CA アンリミテッドサイコクラッシャー,236236P,super_arts,10,10-15,65,,D,-46,,4500,※即時補正10%,0,-10000,-20000,0,上,1-15F 完全無敵 | 最低保障ダメージ50％ | カウンター/パニッシュカウンターで数値が変動しない | ※必殺技キャンセル時のみ適用
vega_mbison,vega_mbison_061_5_6_lplk,デッドリースルー,5|6LPLK,throws,5,5-7,23,,D,,,1200,即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 | ・ダメージ2040 | ・SAゲージ4000増加 | ・ハードノックダウン
vega_mbison,vega_mbison_062_4_lplk,デスタワー,4LPLK,throws,5,5-7,23,,D,,,1200,即時補正20%,2000,0,-10000,2000,投,パニッシュカウンター時以下の性能変化 | ・ダメージ2040 | ・SAゲージ4000増加 | ・ハードノックダウン
vega_mbison,vega_mbison_063_6_6,前方ステップ,66,system,,,全体 19,19,,,,0,,0,0,0,0,,
vega_mbison,vega_mbison_064_4_4,後方ステップ,44,system,,,全体 23,23,,,,0,,0,0,0,0,,1-15F 投げ無敵
vega_mbison,vega_mbison_065_hphk,ドライブインパクト（ヘルツイスト）,HPHK,system,26,26-27,35,,D,-3,,800,始動補正20%,0,-5000,-15000,0,上,1-27F アーマー判定（2回） | ヒットバックでステージ端に到達すると壁やられが発生 | パニッシュカウンター、もしくはアーマー成立後にヒットで以下の性能変化 | ・地上ヒット膝崩れ | ・空中ヒット吹き飛び時間増加 | ・SAゲージ3000増加
vega_mbison,vega_mbison_066_6_hphk,[ガード時]ドライブリバーサル（ヘルドライブ）,6HPHK,system,20,20-22,26,,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ | 1-22F 完全無敵 | ヒット時硬直5F増加
vega_mbison,vega_mbison_067_6_hphk,[起き上がり時]ドライブリバーサル（ヘルドライブ）,6HPHK,system,18,18-20,26,,D,-6,,500,,0,0,0,0,上,リカバリアブルダメージ | 1-20F 完全無敵 | ヒット時硬直5F増加
