dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t042:m.bison_236lk,m.bison_236lk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236LK"",""move_group"":""specials"",""move_name"":""Double Knee Press"",""notes_sc"":""5f extra recovery on whiff; Low Crush 7-15f (not airborne); Counter-hit/Punish Counter bonus advantage carries through both hits; strong pressure tool that gives strike/throw mixup on hit while easily spaced safely on block"",""punish_adv"":""+6(+7)"",""raw_source_token"":""m.bison_236lk""}",vega_mbison_033_2_3_6_lk,vega_mbison,Double Knee Press,236LK,specials,42,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t043:m.bison_236mk,m.bison_236mk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236MK"",""move_group"":""specials"",""move_name"":""Double Knee Press"",""notes_sc"":""5f extra recovery on whiff; Low Crush 11-19f (not airborne); Counter-hit/Punish Counter bonus advantage carries through both hits; strong pressure tool that gives strike/throw mixup on hit while easily spaced safely on block"",""punish_adv"":""+7(+8)"",""raw_source_token"":""m.bison_236mk""}",vega_mbison_034_2_3_6_mk,vega_mbison,Double Knee Press,236MK,specials,43,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t044:m.bison_236hk,m.bison_236hk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236HK"",""move_group"":""specials"",""move_name"":""Double Knee Press"",""notes_sc"":""5f extra recovery on whiff; Low Crush 14-24f (not airborne); Counter-hit/Punish Counter bonus advantage carries through both hits; extremely powerful punish starter due to high damage, frame advantage, and lack of damage scaling; strong pressure tool that gives strike/throw mixup on hit while easily spaced safely on block"",""punish_adv"":""+7(+8)"",""raw_source_token"":""m.bison_236hk""}",vega_mbison_035_2_3_6_hk,vega_mbison,Double Knee Press,236HK,specials,44,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t045:m.bison_236kk,m.bison_236kk,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236KK"",""move_group"":""specials"",""move_name"":""Double Knee Press"",""notes_sc"":""Low Crush 12-19f (not airborne); puts opponent into limited juggle state; cancel is only useful if the first 2 hits are absorbed by Drive Impact (stronger juggle routes always possible); 3rd hit comes out even on whiff"",""punish_adv"":""KD +55"",""raw_source_token"":""m.bison_236kk""}",vega_mbison_036_2_3_6_k_k,vega_mbison,Double Knee Press,236KK,specials,45,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t063:m.bison_236236k,m.bison_236236k,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236236K"",""move_group"":""super_arts"",""move_name"":""Knee Press Nightmare"",""notes_sc"":""First hit cause Bison to enter the full animation; connecting with the 2nd-4th hits leads to a weaker version with only 600-1200 damage and much worse KD advantage; causes planted Psycho Mine to disappear; opponents can jump out after Super freeze to escape chip damage (except Dhalsim/Lily/Zangief)"",""punish_adv"":""KD +11 (KD +2)"",""raw_source_token"":""m.bison_236236k""}",vega_mbison_057_2_3_6_2_3_6_k,vega_mbison,Knee Press Nightmare,236236K,super_arts,63,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t069:m.bison_214214p,m.bison_214214p,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""214214P"",""move_group"":""final_psycho_crusher"",""move_name"":""Final Psycho Crusher"",""notes_sc"":""Shin Bison only (requires detonating Psycho Mine with Forward Taunt); cannot hit cross-up; 1st active frame only connects when Bison is cornered (usually connects on 7th active frame midscreen, making it functionally 15f startup); fullscreen anti-air and anti-projectile Super; during recovery, flies off-screen then reappears on the opposite side of opponent (does not switch sides vs. cornered opponents on HIT"",""punish_adv"":""KD 0(+6)"",""raw_source_token"":""m.bison_214214p""}",,vega_mbison,Final Psycho Crusher,214214P,final_psycho_crusher,69,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t048:m.bison_214hp,m.bison_214hp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214HP"",""move_group"":""backfist_combo"",""move_name"":""Backfist Combo"",""notes_sc"":""Plants Psycho Mine onto opponent on 2nd hit (detonates after 300f or when another Backfist Combo, Psycho Crusher, or Devil Reverse connects); useful ender for some juggles (higher KD advantage in high-connect juggles); Potential Bug: builds more Super gauge on hit when comboed into (denoted with [] in data)"",""punish_adv"":""KD +31"",""raw_source_token"":""m.bison_214hp""}",,vega_mbison,Backfist Combo,214HP,backfist_combo,48,D,False,not_required,vega_mbison_041_2_1_4_hp | vega_mbison_042_2_1_4_hp,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t052:m.bison_214hp_mine,m.bison_214hp_mine,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214HP"",""move_group"":""backfist_combo_mine"",""move_name"":""Backfist Combo (Mine)"",""notes_sc"":""Detonates Psycho Mine on hit/block; Mine detonation does not count as a hit for damage scaling; puts opponent into limited juggle state that allows follow-up juggles (can combo into midscreen 2HK / 3HK / LP Crusher / OD Backfist / SA1 / SA3, as well as corner LP Backfist); 2nd hit triggers Mine detonation even on Perfect Parry (punishable 5f gap before explosion hits); lets Bison maintain pressure on block; can be timed to plant another Psycho Mine if the previous one detonates during this attack's hitstun; POSSIBLE BUG: builds more Super gauge when comboed into compared to raw connect"",""punish_adv"":""KD +49"",""raw_source_token"":""m.bison_214hp_mine""}",,vega_mbison,Backfist Combo (Mine),214HP,backfist_combo_mine,52,D,False,not_required,vega_mbison_041_2_1_4_hp | vega_mbison_042_2_1_4_hp,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t046:m.bison_214lp,m.bison_214lp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214LP"",""move_group"":""backfist_combo"",""move_name"":""Backfist Combo"",""notes_sc"":""Plants Psycho Mine onto opponent on 2nd hit (detonates after 300f or when another Backfist Combo, Psycho Crusher, or Devil Reverse connects); useful ender for many juggles (higher KD advantage in high-connect juggles); 3f extra recovery on hit"",""punish_adv"":""KD +21"",""raw_source_token"":""m.bison_214lp""}",,vega_mbison,Backfist Combo,214LP,backfist_combo,46,D,False,not_required,vega_mbison_037_2_1_4_lp | vega_mbison_038_2_1_4_lp,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t050:m.bison_214lp_mine,m.bison_214lp_mine,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214LP"",""move_group"":""backfist_combo_mine"",""move_name"":""Backfist Combo (Mine)"",""notes_sc"":""Detonates Psycho Mine on hit/block; Mine detonation does not count as a hit for damage scaling; puts opponent into limited juggle state; sets up auto-timed safe jump vs. grounded or low-height opponents; 2nd hit triggers Mine detonation even on Perfect Parry (punishable 5f gap before explosion hits); lets Bison maintain pressure on block; can be timed to plant another Psycho Mine if the previous one detonates during this attack's hitstun"",""punish_adv"":""KD +42"",""raw_source_token"":""m.bison_214lp_mine""}",,vega_mbison,Backfist Combo (Mine),214LP,backfist_combo_mine,50,D,False,not_required,vega_mbison_037_2_1_4_lp | vega_mbison_038_2_1_4_lp,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t047:m.bison_214mp,m.bison_214mp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214MP"",""move_group"":""backfist_combo"",""move_name"":""Backfist Combo"",""notes_sc"":""Plants Psycho Mine onto opponent on 2nd hit (detonates after 300f or when another Backfist Combo, Psycho Crusher, or Devil Reverse connects); useful ender for some juggles (higher KD advantage in high-connect juggles); +23 KD Advantage sets up a dash into strike/throw mixup, or a perfectly meaty 6HP (+5 oH / -1 oB); 3f extra recovery on hit"",""punish_adv"":""KD +20"",""raw_source_token"":""m.bison_214mp""}",,vega_mbison,Backfist Combo,214MP,backfist_combo,47,D,False,not_required,vega_mbison_039_2_1_4_mp | vega_mbison_040_2_1_4_mp,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t051:m.bison_214mp_mine,m.bison_214mp_mine,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214MP"",""move_group"":""backfist_combo_mine"",""move_name"":""Backfist Combo (Mine)"",""notes_sc"":""Detonates Psycho Mine on hit/block; Mine detonation does not count as a hit for damage scaling; puts opponent into limited juggle state; can juggle into 2HK or SA1/SA3 anywhere on screen; 2nd hit triggers Mine detonation even on Perfect Parry (punishable 5f gap before explosion hits); lets Bison maintain pressure on block; can be timed to plant another Psycho Mine if the previous one detonates during this attack's hitstun"",""punish_adv"":""KD +44"",""raw_source_token"":""m.bison_214mp_mine""}",,vega_mbison,Backfist Combo (Mine),214MP,backfist_combo_mine,51,D,False,not_required,vega_mbison_039_2_1_4_mp | vega_mbison_040_2_1_4_mp,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t049:m.bison_214pp,m.bison_214pp,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""backfist_combo"",""move_name"":""Backfist Combo"",""notes_sc"":""Plants Psycho Mine onto opponent on 2nd hit (detonates after 300f or when another Backfist Combo, Psycho Crusher, or Devil Reverse connects); puts opponent into limited juggle OTG state on hit; useful ender for some juggles (higher KD advantage in high-connect juggles)"",""punish_adv"":""KD +24"",""raw_source_token"":""m.bison_214pp""}",,vega_mbison,Backfist Combo,214PP,backfist_combo,49,D,False,not_required,vega_mbison_043_2_1_4_p_p | vega_mbison_044_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t053:m.bison_214pp_mine,m.bison_214pp_mine,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""214PP"",""move_group"":""backfist_combo_mine"",""move_name"":""Backfist Combo (Mine)"",""notes_sc"":""Detonates Psycho Mine on hit/block; Mine detonation does not count as a hit for damage scaling; launches opponent into a limited juggle state that allows follow-up juggles; 3rd hit triggers Mine detonation even on Perfect Parry (punishable 5f gap before explosion hits); does not let Bison maintain block pressure like the meterless versions; can be timed to plant another Psycho Mine if the previous one detonates during this attack's hitstun"",""punish_adv"":""KD +48"",""raw_source_token"":""m.bison_214pp_mine""}",,vega_mbison,Backfist Combo (Mine),214PP,backfist_combo_mine,53,D,False,not_required,vega_mbison_043_2_1_4_p_p | vega_mbison_044_2_1_4_p_p,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t054:m.bison_28k,m.bison_28k,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""[2]8K"",""move_group"":""shadow_rise"",""move_name"":""Shadow Rise"",""notes_sc"":""40f charge time (charge lasts 10f after releasing down direction); button strength determines trajectory (LK close, MK mid, HK far); landing recovery and total frame refers to LK/MK/HK version respectively; Bison is in a crouching state on the final landing recovery frame; can use the OD versions of follow-ups by pressing PP or KK; foot hurtbox is projectile invincible"",""punish_adv"":""-"",""raw_source_token"":""m.bison_28k""}",,vega_mbison,Shadow Rise,[2]8K,shadow_rise,54,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t060:m.bison_28k_k,m.bison_28k_k,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""[2]8K~K"",""move_group"":""head_press"",""move_name"":""Head Press"",""notes_sc"":""Bounces off opponent's head on hit/block/armor (can steer left/right after bounce); can hit cross-up; Hard Knockdown on Punish Counter; puts airborne opponents into limited juggle OTG state; Bison can auto-correct to face the opponent before descending; good hitbox and delayed descent makes it tricky to anti-air; drops straight to the ground on Perfect Parry (no follow-up possible)"",""punish_adv"":""HKD +13(+15)"",""raw_source_token"":""m.bison_28k_k""}",,vega_mbison,Head Press,[2]8K~K,head_press,60,E,False,not_required,,vega_k_followup,vega_mbison_050_k
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t062:m.bison_28k_k_p,m.bison_28k_k_p,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""[2]8K~K~P"",""move_group"":""head_press"",""move_name"":""Somersault Skull Diver"",""notes_sc"":""Can only be performed after meterless Head Press after bouncing on hit/block/armor; lower body hurtbox shifts upward 1-21f (startup + active) as Bison tucks his knees in; puts airborne opponents into limited juggle state; cannot be performed after Perfect Parry or after connecting on a counter like JP's Amnesia or Marisa's charged SA1"",""punish_adv"":""+12(+17)"",""raw_source_token"":""m.bison_28k_k_p""}",,vega_mbison,Somersault Skull Diver,[2]8K~K~P,head_press,62,E,False,not_required,,vega_p_followup,vega_mbison_052_p
supercombo_enrichment,supercombo,20260412T213236Z-83650a27,20260412T213236Z-83650a27:t056:m.bison_28k_p,m.bison_28k_p,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""[2]8K~P"",""move_group"":""devil_reverse"",""move_name"":""Devil Reverse"",""notes_sc"":""Can be steered left/right; cannot hit cross-up (but will turn around if Punch is input behind the opponent); puts opponent into limited juggle state; gives good advantage on block; final landing recovery frame is in a crouching state; extends a wide full-body hurtbox forward on frame 9~ and a forward/downward hurtbox on the arms while active (easy to anti-air)"",""punish_adv"":""KD +35(+43)"",""raw_source_token"":""m.bison_28k_p""}",,vega_mbison,Devil Reverse,[2]8K~P,devil_reverse,56,E,False,not_required,,vega_p_followup,vega_mbison_052_p
