character_slug,move_id,move_name,input,move_group,startup,active,recovery,total,hit_adv,block_adv,cancel,damage,starter_scaling,drive_gain_hit,drive_loss_guard,drive_loss_punish,sa_gain,attribute,notes_official
zangief,zangief_001_5_lp,立ち弱P（ブレーンチョップ）,5LP,normals,7,7-9,9,,4,2,C,400,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
zangief,zangief_002_5_lp,[連打版]立ち弱P（ブレーンチョップ）,5LP,normals,4,4-6,9,,4,2,C,400,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
zangief,zangief_003_5_lk,立ち弱K（ローキック）,5LK,normals,7,7-8,17,,-2,-4,C,400,始動補正20%,250,-500,-2000,300,上,
zangief,zangief_004_5_mp,立ち中P（カウンターチョップ）,5MP,normals,9,9-12,17,,2,-2,,700,,2500,-5000,-6000,700,上,
zangief,zangief_005_5_mk,立ち中K（ミドルキック）,5MK,normals,10,10-13,19,,1,-4,,900,,3000,-6000,-8000,900,上,
zangief,zangief_006_5_hp,立ち強P（ダイナマイトパンチ）,5HP,normals,16,16-18,22,,3,-3,,1000,,3500,-6000,-8000,1000,上,カウンター/パニッシュカウンター時吹き飛びダウン | 空振り時硬直2F増加 | ボタンホールド時、4F～上半身アーマー判定（1回） | 23F以上ホールドすると性能変化
zangief,zangief_007_5_hp,立ち強P（ダイナマイトパンチ）（ホールド）,5HP,normals,32,32-34,22,,D,3,,1400,,6000,-10000,-13000,1400,上,4-34F 上半身アーマー判定（1回） | パニッシュカウンター時吹き飛び時間増加 | 空振り時硬直2F増加
zangief,zangief_008_5_hk,立ち強K（ロシアンハイキック）,5HK,normals,13,13-16,21,,3,1,,1000,,4000,-7000,-11000,1000,上,空中ヒット時吹き飛びダウン | パニッシュカウンター時吹き飛びダウン&吹き飛び時間増加
zangief,zangief_009_2_lp,しゃがみ弱P（ヘルフィンガー）,2LP,normals,6,6-7,8,,6,1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
zangief,zangief_010_2_lp,[連打版]しゃがみ弱P（ヘルフィンガー）,2LP,normals,3,3-4,8,,6,1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
zangief,zangief_011_2_lk,しゃがみ弱K（ショートスタンプ）,2LK,normals,4,4-6,12,,0,-3,,250,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
zangief,zangief_012_2_lk,[連打版]しゃがみ弱K（ショートスタンプ）,2LK,normals,3,3-5,12,,0,-3,,250,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
zangief,zangief_013_2_mp,しゃがみ中P（ロシアンフィスト）,2MP,normals,8,8-10,16,,3,-1,C,700,,3000,-6000,-8000,800,上,
