dataset,source,snapshot_id,source_row_id,raw_source_token,reason_codes,raw_excerpt,move_id,character_slug,move_name,input,move_group,table_index,binding_class,publish_eligible,confirmation_status,candidate_move_ids,collision_group,conflicting_move_ids
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t062:zangief_236236p_hold_p,zangief_236236p_hold_p,supercombo_missing_official_safe_row,"{""binding_class"":""A"",""input"":""236236[P]"",""move_group"":""super_arts"",""move_name"":""Cyclone Lariat (hold P)"",""notes_sc"":""Launches opponent into free juggle state on grounded hit, limited juggle state if juggled into; too slow to work as a reversal against many attacks, but half-screen suction makes it powerful as a projectile counter; 25f recovery on hit, 52f recovery on whiff/block; active frame distribution: vacuum 94f, juggle 3(5)2(7)2(8)2(7)2(8)2(9)2(7)2(9)2(8)3 starting on frame 33"",""punish_adv"":""KD +87 Launch"",""raw_source_token"":""zangief_236236p_hold_p""}",zangief_052_2_3_6_2_3_6_p,zangief,Cyclone Lariat (hold P),236236[P],super_arts,62,A,True,not_required,,,
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t061:zangief_236236p,zangief_236236p,supercombo_binding_one_to_many,"{""binding_class"":""D"",""input"":""236236P"",""move_group"":""super_arts"",""move_name"":""Cyclone Lariat"",""notes_sc"":""Switches sides on hit; can hold forward/back on hit to move in that direction, dealing 100 less damage; holding forward keeps opponent on the same side with 4f worse KD Advantage; too slow to work as a reversal against many attacks, but half-screen suction makes it powerful as a projectile counter; can hold button for a fully charged launching version; plays out the held version on block or when juggled into; active frame distribution: vacuum 91f, juggle 1(4)2(7)2(8)2(7)2(8)2(9)2(7)2(9)2(8)3 starting on frame 33"",""punish_adv"":""HKD +5(+1)"",""raw_source_token"":""zangief_236236p""}",,zangief,Cyclone Lariat,236236P,super_arts,61,D,False,not_required,zangief_053_2_3_6_2_3_6_p | zangief_054_2_3_6_2_3_6_p,,
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t068:zangief_2pppkkk,zangief_2pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""2PPPKKK"",""move_group"":""taunts"",""move_name"":""Down Taunt"",""notes_sc"":""\""The power of Zangief is limitless!\"""",""punish_adv"":""-"",""raw_source_token"":""zangief_2pppkkk""}",,zangief,Down Taunt,2PPPKKK,taunts,68,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t049:zangief_360hp,zangief_360hp,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""360+HP"",""move_group"":""screw_piledriver"",""move_name"":""Screw Piledriver"",""notes_sc"":""Can be input up to 6th jump frame; () refers to Punish Counter damage; highest damage for meterless SPD but shortest range"",""punish_adv"":""HKD +28"",""raw_source_token"":""zangief_360hp""}",,zangief,Screw Piledriver,360+HP,screw_piledriver,49,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t047:zangief_360lp,zangief_360lp,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""360+LP"",""move_group"":""screw_piledriver"",""move_name"":""Screw Piledriver"",""notes_sc"":""Can be input up to 6th jump frame; () refers to Punish Counter damage; longest range SPD but least damage"",""punish_adv"":""HKD +30"",""raw_source_token"":""zangief_360lp""}",,zangief,Screw Piledriver,360+LP,screw_piledriver,47,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t048:zangief_360mp,zangief_360mp,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""360+MP"",""move_group"":""screw_piledriver"",""move_name"":""Screw Piledriver"",""notes_sc"":""Can be input up to 6th jump frame; () refers to Punish Counter damage; middle ground for range and damage"",""punish_adv"":""HKD +28"",""raw_source_token"":""zangief_360mp""}",,zangief,Screw Piledriver,360+MP,screw_piledriver,48,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t050:zangief_360pp,zangief_360pp,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""360+PP"",""move_group"":""screw_piledriver"",""move_name"":""Screw Piledriver"",""notes_sc"":""Can be input up to 6th jump frame; () refers to Punish Counter damage; highest damage SPD, slightly less range than LP version"",""punish_adv"":""HKD +28"",""raw_source_token"":""zangief_360pp""}",,zangief,Screw Piledriver,360+PP,screw_piledriver,50,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t067:zangief_4pppkkk,zangief_4pppkkk,supercombo_binding_excluded,"{""binding_class"":""G"",""input"":""4PPPKKK"",""move_group"":""taunts"",""move_name"":""Back Taunt"",""notes_sc"":""\""You're lacking, just bring it!\"""",""punish_adv"":""-"",""raw_source_token"":""zangief_4pppkkk""}",,zangief,Back Taunt,4PPPKKK,taunts,67,G,False,not_required,,,
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t029:zangief_5mp_mp,zangief_5mp_mp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5MP~MP"",""move_group"":""target_combos"",""move_name"":""Machine Gun Chops 1"",""notes_sc"":""Can combo from 5MP on counter-hit, Punish Counter, or Drive Rush with lenient confirm timing; combos into a third MP with no counter-hit required; can perform TC on whiff; 2nd hit may whiff if 5MP connects from too far away; 6f blockstring gap between 5MP~MP hits"",""punish_adv"":""+6"",""raw_source_token"":""zangief_5mp_mp""}",,zangief,Machine Gun Chops 1,5MP~MP,target_combos,29,E,False,not_required,,zangief_mp_followup,zangief_031_mp_mp
supercombo_enrichment,supercombo,20260412T211429Z-385c15f2,20260412T211429Z-385c15f2:t030:zangief_5mp_mp_mp,zangief_5mp_mp_mp,supercombo_binding_collision,"{""binding_class"":""E"",""input"":""5MP~MP~MP"",""move_group"":""target_combos"",""move_name"":""Machine Gun Chops 2"",""notes_sc"":""Combos naturally from 5MP~MP; can be performed on whiff; 7f blockstring gap between 2nd and 3rd hits of TC; puts airborne opponents into limited juggle state"",""punish_adv"":""KD +27"",""raw_source_token"":""zangief_5mp_mp_mp""}",,zangief,Machine Gun Chops 2,5MP~MP~MP,target_combos,30,E,False,not_required,,zangief_mp_followup,zangief_031_mp_mp
