row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
36,Specials,special,cammy_236hk_hold,236[HK],Spiral Arrow,"150x4,200",27(25),3(1)12,20,62(60),KD +47 Launch,-14,LH,SA3 (4th),34,"37x4,50",,KD +47 Launch,-20,,,,,,24 total,"5,5,5,5, 13(11)Hit/16(14)Blk","300x4,2800 (4000)",[1000x5],"150x4,1900 (2500)",200x5 (140x5),100x5 (50x5),29-45 Throw,,30-45 (FKD),4.550 (2.023),,"4 (1,21 air)","0x4,21",10x5,,,,SF6_Cammy_236hk_hold.png,"SF6_Cammy_236hk_hold_hitbox_preview.png, SF6_Cammy_236hk_hold_hitbox_1.png, SF6_Cammy_236hk_hold_hitbox_2.png",Switches sides on hit; puts opponent into limited juggle state; super cancel comes out on 4th hit; holding HK for 9-15f gives regular 236HK with slower startup; holding 16-17f results in a full charge 2f faster than normal (allows it to combo from CH 5HP or PC 2MP),supercombo_only,,,,,,,
41,Specials,special,cammy_623hk_hold,623[HK],Cannon Spike,"1100,100x4 (900)",24(22),12,29+16 Land,80(78),KD +16,-40,LH,SA3,12,275,,KD +16,-54,,,,,,16,"10,5,5,5,13 (13)",4000,[5000],"700,200x3,700 (700)","600,100x4 (420,70x4)",300 (150),"1-7 Air, 20-25 Full",,26-64 (FKD),1.09 (1st),,1x5,"1,0x3,40","4/40,40x4",,,,SF6_Cammy_623hk_hold.png,SF6_Cammy_623kk_hitbox.png,"Long horizontal range (but can drop when canceled from 5HP outside close range); () refers to damage and juggle limit on active frames 5-12 (becomes 1 hit if these frames connect); switches sides on hit; first hit can successfully juggle to SA3; holding HK for 15-16f results in a full charge up to 2f faster (full invuln window shifts 2f earlier, and allows it to combo from CH 2MP); cannot anti-air cross-ups",supercombo_only,,,,,,,
50,Specials,special,cammy_236hp_hold,236[HP],Hooligan Combination,-,40(60),-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,27-60 Lower Body Projectile,,27-60 (FKD),,,,,,,,,SF6_Cammy_236p.png,SF6_Cammy_236p_hitbox.png,Startup refers to earliest/latest follow-up input timings; holding HP for 18-19f results in a full charge up to 2f faster than normal; can cross over crouching opponents; follow-ups gain properties of OD versions (except for SA2 cancelability),supercombo_only,,,,,,,
52,Specials,special,cammy_236p_no_input,236P~No Input,Razor's Edge Slicer,1000,50,9,13,71,KD +48,+2,L,SA3,22,250,20% Starter,KD +48,-20,,,,,,24,13,3000,[7000],2500,1000 (700),500 (250),,,,,,1,10,10,,,,SF6_Cammy_236p_no_input.png,SF6_Cammy_236p_no_input_hitbox.png,Puts opponent into limited juggle state on hit; low profile 50-63f; crouching state during recovery,supercombo_only,,,,,,,
53,Specials,special,cammy_236hp_hold_no_input,236[HP]~No Input,Razor's Edge Slicer,"800,400",70,9(10)5,17,110(108),KD +48,+2,"L,L",SA3,50,"200,100",20% Starter,KD +48,-20,,,,,,43(24),"13,13","3000,2000",[3500x2],"2500,1500",500x2 (350x2),250x2 (125x2),,,,,,1 (2nd hit),"10,10","10,10",,,,SF6_Cammy_236p_no_input.png,"SF6_Cammy_236pp_no_input_hitbox_preview.png, SF6_Cammy_236p_no_input_hitbox.png, SF6_Cammy_236pp_no_input_hitbox_2.png",Puts opponent into limited juggle state on hit; low profile 70-98f; can be up to 2f faster if HP is held for only 18f; crouching state during recovery,supercombo_only,,,,,,,
54,Specials,special,cammy_236pp_no_input,236PP~No Input,Razor's Edge Slicer,"800,400",50,9(10)5,17,90,KD +48,+2,"L,L",SA2 SA3,50,"200,100",20% Starter,KD +48,-20,,,,,,43(24),"13,13","3000,2000",[3500x2],,500x2 (350x2),250x2 (125x2),,,,,,1 (2nd hit),"10,10","10,10",,,,SF6_Cammy_236pp_no_input.png,"SF6_Cammy_236pp_no_input_hitbox_preview.png, SF6_Cammy_236p_no_input_hitbox.png, SF6_Cammy_236pp_no_input_hitbox_2.png",Puts opponent into limited juggle state on hit; low profile 50-80f; crouching state during recovery,supercombo_only,,,,,,,
55,Specials,special,cammy_236p_k,236P~K,Hooligan Cannon Strike,600,20+13,until land,12 land,54~,-1(+9),-7(+3),LH,-,,150,20% Starter,+3(+13),-20(-12),,,,,22,16,13,2000,[4000],1000,800 (560),400 (200),,,Until Land (FKD),,,1 air,10,10,,,,SF6_Cammy_236p_k.png,SF6_Cammy_j214lk_hitbox.png,"Startup refers to earliest timing from Hooligan; button strength affects divekick trajectory (LK short, MK medium, HK far); spike knockdown vs. airborne opponents; autocorrects toward opponent after crossing over",supercombo_only,,,,,,,
56,Specials,special,cammy_236hp_hold_k,236[HP]~K,Hooligan Cannon Strike,800,40+13,until land,12 land,74~,-1(+9),0(+5),LH,-,,200,20% Starter; 10% Immediate,+3(+13),-16(-11),,,,,22,18,13,2000,[4000],1000,800 (560),400 (200),,,Until Land (FKD),,,2 air,2,5,,,,SF6_Cammy_236p_k.png,SF6_Cammy_j214hk_hitbox.png,Startup refers to earliest timing from Hooligan; button strength does not affect divekick trajectory; puts airborne opponents into limited juggle state; autocorrects toward opponent after crossing over; can be up to 2f faster if HP is held for only 18f,supercombo_only,,,,,,,
57,Specials,special,cammy_236pp_k,236PP~K,Hooligan Cannon Strike,800,20+13,until land,12 land,54~,-1(+9),0(+5),LH,SA2,19,200,20% Starter; 10% Immediate,+3(+13),-16(-11),,,,,22,18,13,2000,[4000],,800 (560),400 (200),,,Until Land (FKD),,,2 air,2,5,,,,SF6_Cammy_236pp_k.png,SF6_Cammy_j214hk_hitbox.png,Startup refers to earliest timing from Hooligan; button strength does not affect divekick trajectory; puts airborne opponents into limited juggle state; autocorrects toward opponent after crossing over,supercombo_only,,,,,,,
58,Specials,special,cammy_236p_2k,236P~2K,Reverse Edge,800,20+18,4,13 land,56~,+5(+9),-5(-1),H,-,,200,20% Starter,+9(+13),-18(-14),,,,,25,15,13,4000,[7000],2500,800 (560),400 (200),,,Until Land (FKD),,,1 air,3,10,,,,SF6_Cammy_236p_2k.png,SF6_Cammy_236p_2k_hitbox.png,236P trajectory affects frame advantage (lower height is better); up to 3f more recovery before landing (depends on activation height); does not autocorrect toward opponent after crossing over; crouching state during landing recovery,supercombo_only,,,,,,,
