category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（手突）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（手突）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,7,5,-3,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_5lp,5LP,Standing Light Punch,300,4,3,7,13,+5,-3,LH,SS Chn Sp SA,13,,20% Starter,+9,-8,+4,-3,+9,+1,15,7,9,500,[2000],250,300 (210),150 (75),,,,1.05,,1,1,0,,0.320,0.343,SF6_Chun-Li_5lp.png,SF6_Chun-Li_5lp_hitbox.png,Chains into 5LP/2LP/2LK; combos naturally to 5MP; Stance Cancel: -1/-8; special/DR cancel is delayed until after 2nd active frame
1,通常技,2,立ち弱K（斧刃脚）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（斧刃脚）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,10,2,-2,C,300,始動補正20%,250,-500,-2000,300,上,,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_5lk,5LK,Standing Light Kick,300,5,3,10,17,+2,-2,LH,SS Sp SA,13,,20% Starter,+6,-11,+4,0,+6,+2,15,11,9,500,[2000],250,300 (210),150 (75),,,,1.13,"Chun's longest 5-frame normal, short compared to most 5f punishes (may need to use 236LK instead)",1,1,0,,,,SF6_Chun-Li_5lk.png,SF6_Chun-Li_5lk_hitbox.png,Stance Cancel: 0/-3; DR cancel is delayed until after 2nd active frame
1,通常技,3,立ち中P（頸穿刀）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（頸穿刀）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-8,10,6,1,C,600,,1500,-3000,-4000,600,上,,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""5-8"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_5mp,5MP,Standing Medium Punch,600,5,4,10,18,+6,+1,LH,SS Sp SA,16,,,+10,-12,+8,+3,+10,+5,20,15,11,3000,[4000],1500,600 (420),300 (150),,,,0.803,"Short range, but strong 5f punish starter if it reaches",1,1,0,,,,SF6_Chun-Li_5mp.png,SF6_Chun-Li_5mp_hitbox.png,Good combo/frame trap starter; Stance Cancel: +3/-1; special/DR cancel is delayed until after 3rd active frame
1,通常技,4,立ち中K（外擺脚）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（外擺脚）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-10,16,4,-2,C,500,,1500,-3000,-4000,700,上,,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""7-10"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""500"", ""official_raw"": ""500"", ""supercombo"": ""500"", ""supercombo_raw"": ""500""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_5mk,5MK,Standing Medium Kick,500,7,4,16,26,+4,-2,LH,SS Sp SA,16,,,+8,-18,+14,+8,+8,+2,24,18,11,3000,[4000],1500,700 (490),350 (175),,,,0.73,,1,1,0,,,,SF6_Chun-Li_5mk.png,SF6_Chun-Li_5mk_hitbox.png,Cannot hit crouching opponents; good anti-air (cannot hit cross-up); Stance Cancel: +9/+4
1,通常技,5,立ち強P（顎狙突拳）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（顎狙突拳）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",13,13-15,20,2,-3,※,800,,4000,-6000,-8000,800,上,ヒット・ガード時、行雲流水でキャンセル可能,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""13-15"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""13"", ""official_raw"": ""13"", ""supercombo"": ""13"", ""supercombo_raw"": ""13""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_5hp,5HP,Standing Heavy Punch,800,13,3,20,35,+2,-3,LH,SS,19 (stance),,,+6,-21,,,+6,0,25,20,13,6000,[8000],4000,800 (560),400 (200),,,,1.756 (1.697),,1,1,0,,,,SF6_Chun-Li_5hp.png,SF6_Chun-Li_5hp_hitbox.png,"Great long-ranged poke and whiff punish tool; cancelable into Stance and can input follow-ups after 16f; combos naturally to Stance LP if close enough, or stance MK/HK on Punish Counter; Stance Cancel: +6/+1 into follow-up, -4/-9 into blocking"
1,通常技,6,立ち強K（前周脚）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（前周脚）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",14,14-16,18,4,0,※,900,始動補正20%,3000,-6000,-10000,1000,上,ヒット・ガード時、行雲流水でキャンセル可能 空中ヒット時吹き飛びダウン,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""14-16"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""18"", ""official_raw"": ""18"", ""supercombo"": ""18"", ""supercombo_raw"": ""18""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""14"", ""official_raw"": ""14"", ""supercombo"": ""14"", ""supercombo_raw"": ""14""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_5hk,5HK,Standing Heavy Kick,900,14,3,18,34,+4,0,LH,SS,18 (stance),,20% Starter,+8,-19,,,+8,+4,25,21,13,6000,[10000],3000,1000 (700),500 (250),,,,1.841,,1 air [0 PC Air],1,0,,,,SF6_Chun-Li_5hk.png,"SF6_Chun-Li_5hk_hitbox_preview.png, SF6_Chun-Li_5hk_hitbox_1.png, SF6_Chun-Li_5hk_hitbox_2.png","Cannot hit crouching opponents; slow but rewarding mid-range anti-air (leg/head are invulnerable to airborne strikes 14-16f); cannot hit cross-up; puts airborne opponents into limited juggle state; Stance Cancel: +10/+6 into follow-up, -3/-7 into blocking"
1,通常技,7,しゃがみ弱P（尖打）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（尖打）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,7,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_2lp,2LP,Crouching Light Punch,300,4,3,7,13,+4,-2,LH,SS Chn Sp SA,13,,20% Starter,+8,-8,+4,-2,+8,+2,14,8,9,500,[2000],250,300 (210),150 (75),,,,0.91,,1,1,0,,0.321,0.338,SF6_Chun-Li_2lp.png,SF6_Chun-Li_2lp_hitbox.png,Chains into 5LP/2LP/2LK; Stance Cancel: -1/-6
1,通常技,8,しゃがみ弱K（前掃腿）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（前掃腿）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,10,0,-2,C,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""4-5"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_2lk,2LK,Crouching Light Kick,200,4,2,10,15,0,-2,L,SS Chn Sp SA,12,,20% Starter,+4,-10,+2,0,+4,+2,12,10,9,500,[2000],250,300 (210),150 (75),,,,0.85,,1,1,0,,0.325,0.330,SF6_Chun-Li_2lk.png,SF6_Chun-Li_2lk_hitbox.png,Chains into 5LP/2LP/2LK; fully cancelable (rare for a 2LK); Stance Cancel: -3/-4
1,通常技,9,しゃがみ中P（丹頂拳）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（丹頂拳）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,13,4,-2,C,600,,1500,-3000,-4000,600,上,空振り時硬直1F増加,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""6-9"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": ""13"", ""official_raw"": ""13"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""13"", ""supercombo_raw"": ""13(14)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_2mp,2MP,Crouching Medium Punch,600,6,4,13(14),22(23),+4,-2,LH,SS Sp SA,16,,,+8,-15,+11,+5,+8,+2,21,15,11,3000,[4000],1500,600 (420),300 (150),,,,1.10,,1,1,0,,,,SF6_Chun-Li_2mp.png,SF6_Chun-Li_2mp_hitbox.png,1f extra recovery on whiff; decent range and hitbox disjoint for a poke; Stance Cancel: +6/+1; topmost hurtbox on frames 1-9 is vulnerable only to aerial strikes (preventing its use as an anti-air)
1,通常技,10,しゃがみ中K（後掃旋腿）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（後掃旋腿）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-9,19,-2,-6,C,500,始動補正20%,1000,-2000,-4000,500,下,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""7-9"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""500"", ""official_raw"": ""500"", ""supercombo"": ""500"", ""supercombo_raw"": ""500""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""19"", ""official_raw"": ""19"", ""supercombo"": ""19"", ""supercombo_raw"": ""19""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}",,,,,Normals and Target Combos,ground_normal,Chun-Li_2mk,2MK,Crouching Medium Kick,500,7,3,19,28,-2,-6,L,SS Sp SA,13,,20% Starter,+2,-20,+8,+4,+2,-2,20,16,9,2000,[4000],1000,500 (350),250 (125),,,,1.477,,1,1,0,,,,SF6_Chun-Li_2mk.png,SF6_Chun-Li_2mk_hitbox.png,Good range for a cancelable low poke; Stance Cancel: +5/+2; Range: 1.477; DR cancel is delayed until after active frames
