row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
18,Normals and Target Combos,air_normal,Chun-Li_jhk,7HK or 9HK,Jumping Heavy Kick,800,8,5,3 land,-,+8(+16),+3(+11),H,-,,,,+12(+20),-10(-2),,,,,20,15,13,4000,[5000],2000,1000 (700),500 (250),,,,0.73,,1,0,0,,,,SF6_Chun-Li_jhk.png,SF6_Chun-Li_jhk_hitbox.png,"Can be used as a fuzzy instant overhead vs. JP/Marisa/Zangief (opponent must be in Burnout for true blockstring); lower body projectile invuln 8-19f and 8-25f on kicking leg (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)",supercombo_only,,,,,,,
19,Normals and Target Combos,air_normal,Chun-Li_8jhk,8HK,Neutral Jump Heavy Kick,800,8,7,3 land,-,+11(+16),+6(+11),H,-,,,,+15(+20),-7(-2),,,,,20,15,13,4000,[5000],2000,1000 (700),500 (250),,,,0.96,,1,0,0,,,,SF6_Chun-Li_8jhk.png,SF6_Chun-Li_8jhk_hitbox.png,"Hits on both sides, preventing the opponent from walking under for a punish; useful air-to-air; lower body projectile invuln 8-19f and 8-25f on kicking legs (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)",supercombo_only,,,,,,,
20,Specials,special,Chun-Li_walljump,9 (against wall),Wall Jump,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,Until Land (FKD),,,,,,,,,SF6_Chun-Li_walljump.png,SF6_Chun-Li_walljump_hitbox.png,"Counter-hit state during entire duration; can be done from Back or Neutral jump if fully against the wall, or after Forward Jump against a cornered opponent",supercombo_only,,,,,,,
27,Normals and Target Combos,air_normal,Chun-Li_jhp_jhp,j.HP~j.HP,Soaring Eagle Punches,500,6,4,3 land,-,-,-,H,-,,,,,≤ -2,,,,,24,19,10,5000,[5000],2000,1000 (700),500 (250),,,,,,1,1,20,,,,SF6_Chun-Li_jhp_jhp.png,SF6_Chun-Li_jhp_jhp_hitbox.png,Can be performed on whiff; puts airborne opponents into limited juggle state,supercombo_only,,,,,,,
28,Normals and Target Combos,air_normal,Chun-Li_j2mk_2,j.2MK~j.2MK,Yoso Kick 2,300,6,11,3 land,-,-,-,LH,TC Sp SA,,,,,≤ -26,,,,,17,10,11,1500,[4000],1000,500 (350),250 (125),,,Until Land (FKD after bounce),,,1,1,2,,,,SF6_Chun-Li_j2mk_j2mk.png,SF6_Chun-Li_j2mk_j2mk_hitbox.png,Cancelable into itself on hit/block (up to 3 total uses) or into other air moves; puts airborne opponents into limited juggle state; can hit cross-up (bounces away from wall if opponent is fully cornered),supercombo_only,,,,,,,
29,Normals and Target Combos,air_normal,Chun-Li_j2mk_3,j.2MK~j.2MK~j.2MK,Yoso Kick 3,500,6,11,3 land,-,-,-,LH,Sp SA,,,,,≤ -26,,,,,17,17,11,1500,[4000],1000,500 (350),250 (125),,,Until Land (FKD after bounce),,,1,1,3,,,,SF6_Chun-Li_j2mk_j2mk_j2mk.png,SF6_Chun-Li_j2mk_j2mk_j2mk_hitbox.png,Cancelable into other air moves on hit/block but cannot chain into any further Yoso Kicks; causes spike knockdown vs. airborne opponents; can hit cross-up (bounces away from wall if opponent is fully cornered),supercombo_only,,,,,,,
31,Normals and Target Combos,serenity_stream,Chun-Li_214p_214p,214P~214P,Serenity Stream Exit,-,-,-,23(18),-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Chun-Li_214p_214p.png,SF6_Chun-Li_214p_214p_hitbox.png,"Input 214P again to manually exit stance (fastest total Serenity Stream time is 37f); cannot block while exiting stance; counter-hit state for entire animation; final 14f of recovery is in a standing state; 18f version occurs automatically after 14+57f (can delay by holding crouch); when Stance Exit occurs automatically after LP/LK/MK stance attacks, the total exit duration is increased and Chun can stand block before the final 18f recovery period",supercombo_only,,,,,,,
32,Normals and Target Combos,serenity_stream,Chun-Li_214p_lp,214P~LP,Orchid Palm,500,5,5,16[36],25[45],-2(-22),-3(-23),LH,Sp SA,15,,,+2(-18),-37,+6,+5,,,19,18,9,1500,[2000],500,300 (210),150 (75),,,,0.84,,1,1,0,,,,SF6_Chun-Li_214p_lp.png,SF6_Chun-Li_214p_lp_hitbox.png,"No charge required to cancel into Kikoken or Spinning Bird Kick; [] refers to recovery when exiting Serenity Stream; slight low profile for entire move duration; special/DR cancel is delayed until after 4th active frame; on Perfect Parry, Chun-Li is forced to exit the stance (2f less total recovery on PP) and is in a Punish Counter state during the entire stance exit animation; when automatically transitioning into Stance Exit, Chun-Li can block for the first 2 transition frames (except on Perfect Parry)",supercombo_only,,,,,,,
33,Normals and Target Combos,serenity_stream,Chun-Li_214p_mp,214P~MP,Snake Strike,750,6,12,19[32],36[49],KD +34(+45) [KD +21(+32)],-15(-4) [-28(-17)],L,-,,,,KD +34(+45) [KD +21(+32)],[-42(-31)],,,,,,16,11,3000,[4000],2000,300 (210),150 (75),,,,2.30 (1.753),Slides forward; Range 1.75 on 1st active frame,1,1,0,,,,SF6_Chun-Li_214p_mp.png,SF6_Chun-Li_214p_mp_hitbox.png,"Low profile/upper body projectile invuln: 1-31f (exit stance) / 1-36f (remain crouched); extra-low profile 8-21f (can even go under Drive Impact); [] refers to recovery when exiting Serenity Stream; () refers to KD Adv. when exiting Serenity Stream on hit; on Perfect Parry, Chun-Li is forced to exit the stance and is in a Punish Counter state during the entire stance exit animation (1f worse PP disadvantage if she holds downback); the final active frame does not move forward (can only achieve the highest frame advantage with meaty timing, not with spacing)",supercombo_only,,,,,,,
34,Normals and Target Combos,serenity_stream,Chun-Li_214p_hp,214P~HP,Lotus Fist,"400,500",23,2(6)2,19,51,+2,-3,"H,H",Sp SA,27,,,+6,-19,+13,+8,,,31 total,26 total,"4,12",2500x2,[3000x2],1000x2,300x2 (210x2),150x2 (75x2),,,,1.677 (1.40),,1,"1,1","0,0",,,,SF6_Chun-Li_214p_hp.png,"SF6_Chun-Li_214p_hp_hitbox_preview.png, SF6_Chun-Li_214p_hp_hitbox_1.png, SF6_Chun-Li_214p_hp_hitbox_2.png","No charge required to cancel into Kikoken or Spinning Bird Kick; exits Serenity Stream upon use; only first hit is an overhead; 1-2f low profile, 1-5f crouching state; 29-42f no head hurtbox",supercombo_only,,,,,,,
35,Normals and Target Combos,serenity_stream,Chun-Li_214p_lk,214P~LK,Forward Strike,500,8,5,13[36],25[48],0(-23),-4(-27),L,Sp SA,15,,,+4(-19),-34,+8,+4,,,18,14,9,1500,[2000],500,300 (210),150 (75),,,,1.519 (1.493),,1,1,0,,,,SF6_Chun-Li_214p_lk.png,SF6_Chun-Li_214p_lk_hitbox.png,"No charge required to cancel into Kikoken or Spinning Bird Kick; [] refers to recovery when exiting Serenity Stream; on Perfect Parry, Chun-Li is forced to exit the stance (5f less total recovery on PP) and is in a Punish Counter state during the entire stance exit animation; when automatically transitioning into Stance Exit, Chun-Li can block for the first 5 transition frames (except on Perfect Parry)",supercombo_only,,,,,,,
36,Normals and Target Combos,serenity_stream,Chun-Li_214p_mk,214P~MK,Senpu Kick,800,10,5,22[46],36[60],-3(-27),-9(-33),L,Sp SA,18,,,+1(-23),-43,+11,+5,,,24,18,11,3000,[4000],2000,1000 (700),500 (250),,,,1.715,,1,1,5,,,,SF6_Chun-Li_214p_mk.png,SF6_Chun-Li_214p_mk_hitbox.png,"No charge required to cancel into Kikoken or Spinning Bird Kick; [] refers to recovery when exiting Serenity Stream; puts airborne opponents into limited juggle state; special/DR cancel is delayed until after 4th active frame; on Perfect Parry, Chun-Li is forced to exit the stance (6f less total recovery on PP) and is in a Punish Counter state during the entire stance exit animation; when automatically transitioning into Stance Exit, Chun-Li can block for the first 6 transition frames (except on Perfect Parry)",supercombo_only,,,,,,,
37,Normals and Target Combos,serenity_stream,Chun-Li_214p_hk,214P~HK,Tenku Kick,700,8,5,24,[36],KD +41,-9,LH,Jmp,30 (jump),,,KD +41,-27,,,,,,20,11,5000,[10000],2000,300 (210),150 (75),,,,1.09,,1,1,0,,,,SF6_Chun-Li_214p_hk.png,SF6_Chun-Li_214p_hk_hitbox.png,Jump cancelable on hit only; puts opponent into limited juggle state; exits Serenity Stream upon use; 1-6f crouching state,supercombo_only,,,,,,,
