category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,enrichment_review_queues,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（スナップナックル）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（スナップナックル）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,8,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応 ハイジャンプキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,c.viper_5lp,5LP,Standing Light Punch,300,4,3,8,14,+4,-2,LH,Chn Sp SA HJ,13,,20% Starter,+8,-9,+5,-1,+8,+2,15,9,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.288,0.333,SF6_Cviper_5lp.png,SF6_Cviper_5lp_hitbox.png,Chains into 5LP/2LP/2LK; 214HP Feint cancel: -4 oH / -10 oB; more range than 2LP but worse advantage on hit/block
1,通常技,2,立ち弱K（ヒールキック）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（ヒールキック）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,11,3,-2,C,300,始動補正20%,250,-500,-2000,300,上,ハイジャンプキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,c.viper_5lk,5LK,Standing Light Kick,300,5,3,11,18,+3,-2,LH,Sp SA HJ,13 (DR: 14),,20% Starter,+7,-12,+5,0,+7,+2,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.20,,1,1,0,,,,SF6_Cviper_5lk.png,SF6_Cviper_5lk_hitbox.png,Primary 5f punish tool; higher hitstun than other lights (can combo into 214MP); links from 2LP allowing C.Viper to combo 4 light normals; DR cancel is delayed until after active frames; 214HP Feint cancel: -2 oH / -7 oB
1,通常技,3,立ち中P（ハンマーフック）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（ハンマーフック）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-11,12,6,1,C,600,,1500,-3000,-4000,500,上,ハイジャンプキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""8-11"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,c.viper_5mp,5MP,Standing Medium Punch,600,8,4,12,23,+6,+1,LH,Sp SA HJ,16,,,+10,-14,+12,+7,+10,+5,22,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.01,,1,1,0,,,,SF6_Cviper_5mp.png,SF6_Cviper_5mp_hitbox.png,Primary combo and frame trap starter; 214HP Feint cancel: +3 oH / -2 oB
1,通常技,4,立ち中K（フロントキック）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（フロントキック）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,18,4,-3,,700,,2000,-4000,-6000,700,上,空振り時硬直2F増加 ハイジャンプキャンセル可能,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,condition_dependent_field;uncomparable_notation,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""8-10"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": false, ""official"": ""18"", ""official_raw"": ""18"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""18"", ""supercombo_raw"": ""18(20)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,c.viper_5mk,5MK,Standing Medium Kick,700,8,3,18(20),28(30),+4,-3,LH,HJ,15 (HJ),,,+8,-19,,,+8,+1,25,18,11,4000,[6000],2000,700 (490),350 (175),,,,1.57,,1,1,0,,,,SF6_Cviper_5mk.png,SF6_Cviper_5mk_hitbox.png,Strong poke that can combo into specials with a High Jump cancel (214HP can whiff at farther ranges); 2f extra recovery on whiff; HJC~214HP Feint cancel: +4 oH / -3 oB
1,通常技,5,立ち強P（トマホークチョップ）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（トマホークチョップ）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-14,21,3,-2,,900,,3000,-6000,-10000,1000,上,ハイジャンプキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""12-14"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""21"", ""official_raw"": ""21"", ""supercombo"": ""21"", ""supercombo_raw"": ""21""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}}",,,,,Normals and Target Combos,ground_normal,c.viper_5hp,5HP,Standing Heavy Punch,900,12,3,21,35,+3,-2,LH,HJ,17 (HJ),,,+7,-22,,,+7,+2,27,22,13,6000,[10000],3000,1000 (700),500 (250),,,,1.78,,1,1,0,,,,SF6_Cviper_5hp.png,SF6_Cviper_5hp_hitbox.png,Long range poke that can be converted into damaging combos with High Jump cancel into Feint or Seismo; HJC~214HP Feint cancel: +6 oH / +1 oB
1,通常技,6,立ち強K（ヴァイパーブレード）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（ヴァイパーブレード）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-13,20,4,-3,,900,,3000,-6000,-10000,1000,上,空中ヒット時床バウンド パニッシュカウンター時+19 ハイジャンプキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""10-13"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}",,,,,Normals and Target Combos,ground_normal,c.viper_5hk,5HK,Standing Heavy Kick,900,10,4,20,33,+4,-3,LH,HJ,18 (HJ),,,+19,-22,,,+8,+1,28,21,13,6000,[10000],3000,1000 (700),500 (250),,,,1.36,,2,1,3,,,,SF6_Cviper_5hk.png,SF6_Cviper_5hk_hitbox.png,"Staggers opponent on Punish Counter; shorter range vs. crouching opponents; puts airborne opponents into a limited juggle OTG bounce that can be followed up with High Jump cancel into Thunder Dash, OD Burning Kick, or any Super; can be juggled into after Seismo > HJC Air Burning Kick, then High Jump canceled into more damage; extends a hurtbox 1f before active that is vulnerable to projectiles; HJC~214HP Feint cancel: +7 oH / 0 oB / +22 onPC; HJC~214K~Dash cancel onPC: +8 meterless / +11 OD; strict 2f timing to input HJC into grounded Burning Kick (cannot be buffered on the first frame of High Jump)"
1,通常技,7,しゃがみ弱P（ジャブ）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（ジャブ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,8,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応 ハイジャンプキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,c.viper_2lp,2LP,Crouching Light Punch,300,4,3,8,14,+5,-1,LH,Chn Sp SA HJ,13,,20% Starter,+9,-9,+5,-1,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,0.95,,1,1,0,,0.276,0.330,SF6_Cviper_2lp.png,SF6_Cviper_2lp_hitbox.png,"Chains into 5LP/2LP/2LK; DR cancel is delayed until after 2nd active frame; 214HP Feint cancel: -3 oH / -9 oB; topmost hurtbox on frames 1-6 is vulnerable only to aerial attacks, preventing its use as an anti-air"
1,通常技,8,しゃがみ弱K（クラウチングヒールキック）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（クラウチングヒールキック）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-6,9,4,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応 ハイジャンプキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,c.viper_2lk,2LK,Crouching Light Kick,200,5,2,9,15,+4,-1,L,Chn HJ,12 (HJ),,20% Starter,+8,-9,,,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,1.06,,1,1,0,,,,SF6_Cviper_2lk.png,SF6_Cviper_2lk_hitbox.png,Chains into 5LP/2LP/2LK; can be High Jump canceled allowing for stronger combo options than most 2LKs; HJC~214HP Feint cancel: -6 oH / -11 oB
1,通常技,9,しゃがみ中P（ヴァイパーブロー）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（ヴァイパーブロー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,16,5,-2,C,600,,1500,-3000,-4000,500,上,ハイジャンプキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""6-9"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}",,,,,Normals and Target Combos,ground_normal,c.viper_2mp,2MP,Crouching Medium Punch,600,6,4,16,25,+5,-2,LH,Sp SA HJ,15,,,+9,-18,+15,+8,+9,+2,25,18,11,3000,[4000],1500,500 (250),250 (125),,,,1.14,,1,1,0,,,,SF6_Cviper_2mp.png,SF6_Cviper_2mp_hitbox.png,"High hitstun for a medium normal (combos into OD Seismo); special/DI/High Jump cancel is delayed until after 2nd active frame; 214HP Feint cancel: +5 oH / -2 oB; topmost hurtbox on frames 1-8 is vulnerable only to aerial attacks, preventing its use as an anti-air"
1,通常技,10,しゃがみ中K（グランドキック）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（グランドキック）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,17,5,-1,,600,始動補正20%,2000,-3000,-5000,600,下,ハイジャンプキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""8-10"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""17"", ""official_raw"": ""17"", ""supercombo"": ""17"", ""supercombo_raw"": ""17""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,c.viper_2mk,2MK,Crouching Medium Kick,600,8,3,17,27,+5,-1,L,HJ,13 (HJ),,20% Starter,+9,-18,,,+9,+3,25,19,9,3000,[5000],2000,600 (420),300 (150),,,,1.60,High Jump cancel only (requires 1 bar),1,1,0,,,,SF6_Cviper_2mk.png,SF6_Cviper_2mk_hitbox.png,Amazing range for a low poke that can lead to combos with High Jump cancel; HJC~214HP Feint cancel: +4 oH / -2 oB
1,通常技,11,しゃがみ強P（ヴァイパースライサー）,key-d key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強P（ヴァイパースライサー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,20,2,-5,C,800,,2000,-5000,-8000,1000,上,ハイジャンプキャンセル可能 強制立ち効果,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""9-11"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}",,,,,Normals and Target Combos,ground_normal,c.viper_2hp,2HP,Crouching Heavy Punch,800,9,3,20,31,+2,-5,LH,Sp SA HJ,17,,,+6,-21,+15,+8,+6,-1,25,18,13,5000,[8000],2000,1000 (700),500 (250),,,,1.54,,1,1,0,,,,SF6_Cviper_2hp.png,SF6_Cviper_2hp_hitbox.png,C.Viper's main cancelable poke (no High Jump cancel required) that combos into meterless Seismic Hammer; forces stand on hit; 214HP Feint cancel: +6 oH / -1 oB
