row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
19,,air_normal8,c.viper_8jhk,8HK,Neutral Jump Heavy Kick,800,10,7,3 land,-,+11(+16),+6(+11),H,-,,,,+15(+20),-7(-2),,,,,20,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.20,,1,0,0,,,,SF6_Cviper_8jhk.png,SF6_Cviper_8jhk_hitbox.png,"Longest horizontal range of Viper's air normals; in the corner or against wide characters (Blanka/E.Honda/Zangief), can combo Punish Counter 5HK into High Jump cancel nj.HK for powerful combo extension; lower body projectile invuln 10-19f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)",supercombo_only,,,,,,,
28,Drive and Throw,drive,c.viper_mpmk_66_pdr,MPMK~66,Parry Drive Rush,-,3+8,-,15(37),26(48),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-10000,,,,,,,,,,,,,,SF6_Cviper_66.png,SF6_Cviper_66_hitbox.png,"See Drive Rush; 1-bar version performed out of a Parry; startup refers to minimum time before an attack can cancel the Drive Rush animation (if performed immediately after a successful Parry, only 1+8 startup); the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties; Distance: 0.374 (min/throw), 1.756 (min/block), 3.355 (max/final DR frame)",supercombo_only,,,,,,,
29,Drive and Throw,drive,c.viper_mpmk_66_drc,MPMK or 66,Drive Rush Cancel,-,9,-,15(37),24(46),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-30000,,,,,,,,,,,,,,SF6_Cviper_66.png,SF6_Cviper_66_hitbox.png,See Drive Rush; 3-bar version performed on hit/block from a cancelable normal; can also be performed on whiff from cancelable light normals; startup refers to minimum time before an attack can cancel the Drive Rush animation; the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties,supercombo_only,,,,,,,
30,Specials,special,c.viper_2_8,2~8,High Jump,-,6 prejump,40 air,3 land,49,-,-,-,Sp SA,,,,,,,,,,,,,,,-10000,,,,,7-46 (FKD),,,,,,,,,SF6_Cviper_2_8.png,SF6_Cviper_2_8_hitbox.png,"Costs 1 bar of Drive gauge (except during SA1 install); jumps slightly higher and over 50% farther than a standard jump; can be input in neutral or canceled on hit/block from all normals (except 2HK/6MP/6HK) and from Seismic Hammer; can be input as a forward or neutral jump (cannot High Jump backwards, but attempting this as a cancel results in neutral jump); cancelable into grounded special moves and Supers during prejump frames 2-6, effectively allowing any HJ-cancelable attack to be special/super cancelable; C. Viper is in a Counter-hit state for the entire duration and in a Forced Knockdown state when airborne; Drive Gauge recovery acts similar to OD specials (can start regaining meter quickly, effectively refunding part of its cost by hitting the opponent afterward; grounded High Jump Cancel into grounded Burning Kick cannot be buffered on the first jump frame (results in a strict 2f window to properly input a combo sequence like juggled 5HK > HJC OD Burning Kick); can be used in safe jump setups with a KD Advantage of +45; the Up direction must be input no later than the 8th frame after initiating the Down direction (holding down before inputting a jump does not result in a High Jump)",supercombo_only,,,,,,,
35,Specials,special,c.viper_214p_k,214P~K,Thunder Dash Feint,-,12/8/6,-,12,24/20/18,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Cviper_214p_k.png,SF6_Cviper_214p_k_hitbox.png,Feint animation lasts 12f but occurs at a different timing from each meterless strength of Thunder Dash (LP 12+12 / MP 8+12 / HP 6+12); can be input more easily by holding any K while inputting 214P; 214HP version gives better combo potential from 2HP or from High Jump canceled 5HP/5HK; Counter-hit state for entire feint animation,supercombo_only,,,,,,,
36,Specials,special,c.viper_214lp_6pp,214LP~6PP,Tracer Combination,600,15,3,28,45,KD +37,-15,LH,SA3,48 (both hits),150,,KD +37,,,,,,,16,13,4000,[4000],-10000,500 (350),250 (125),1-17 Upper Body Proj,,,2.52 (2.30),,1,1,10,,,,SF6_Cviper_214lp_6pp.png,SF6_Cviper_214lp_6pp_hitbox.png,Costs 1 extra bar of Drive gauge (except during SA1 install); maintains the Projectile Invuln and crouch-sized hurtbox of 214LP on frames 1-17; best version for confirming into SA3 (combos naturally); forms a true blockstring from 214LP; gives solid oki with Drive Rush or a Forward Dash + manually timed walk,supercombo_only,,,,,,,
37,Specials,special,c.viper_214mp_6pp,214MP~6PP,Tracer Combination,600,21,4,25,49,KD +18 (KD +30~34),-13,LH,SA3,55*,150,,KD +18,-27,,,,,,16,13,4000,[4000],-10000,500 (350),250 (125),,,,2.21 (2.15),,1,1,10,,,,SF6_Cviper_214mp_6pp.png,SF6_Cviper_214mp_6pp_hitbox.png,"Costs 1 extra bar of Drive gauge (except during SA1 install); cancel into SA3 does not combo on grounded opponents; puts airborne opponents into a limited juggle OTG bounce state (KD +30 at lowest height, allows SA3 cancel to juggle); 2f gap on block can set up a risky frame trap (no gap during Burnout or if the final 2 active frames of 214MP connect); grounded hit gives the worst oki of all Thunder Dash follow-ups (-3 after Dash)",supercombo_only,,,,,,,
38,Specials,special,c.viper_214hp_6pp,214HP~6PP,Tracer Combination,500,17,4,11+26 land,57,KD +25(+34),-,LH,-,,-,,,,,,,,,,13,,,-10000,500 (350),,,,Until Land,2.67 (2.46),,1,1,10,,,,SF6_Cviper_214hp_6pp.png,SF6_Cviper_214hp_6pp_hitbox.png,Costs 1 extra bar of Drive gauge (except during SA1 install); can only be canceled into on hit; can whiff on high juggled opponents; gives the best oki out of all Thunder Dash follow-ups; useful way to extend C. Viper's anti-air damage,supercombo_only,,,,,,,
43,Specials,special,c.viper_236k_pp,236K~PP,Knuckled Pursuit,800,12,4,14+20 land,49,KD +23(+30),-15,LH,-,,200,,KD +24(+31),,,,,,,23,13,4000,[4000],-10000,500 (350),250 (125),,,Until Land (FKD),2.43 (2.19),,1,1,10,,,,SF6_Cviper_236k_pp.png,SF6_Cviper_236k_pp_hitbox.png,Costs 1 extra bar of Drive gauge (except during SA1 install); true blockstring and natural combo from Burning Kick; higher KD advantage if Burning Kick lands as a Punish Counter or hits airborne opponent; KD +9 when follow-up hits a grounded opponent (e.g. after Burning Kick is absorbed by 1-hit armor like Luke 236KK or Zangief Charged 5HP),supercombo_only,,,,,,,
44,Specials,special,c.viper_236k_kk,236K~KK,Double Burn,600,21,5,3+17 land,45,KD +40 (KD +34~40),+2,LH,-,,150,,KD +40 (KD +34~40),-23,,,,,,27,13,4000,[6000],-10000,500 (350),250 (125),,,Until Land (FKD),2.55 (2.35),,1,1,10,,,,SF6_Cviper_236k_kk.png,SF6_Cviper_236k_kk_hitbox.png,"Costs 1 extra bar of Drive gauge (except during SA1 install); leaves a 3f gap on block from Burning Kick that can beat non-invincible attacks (but loses to Drive Impact and anti-air invuln moves); true blockstring vs. opponents in Burnout and +6 oB making it a great pressure tool; KD +40 on grounded opponents (e.g. frame trap after Burning Kick) and +34 on airborne opponents (e.g. combo after PC Burning Kick or in juggle routes, up to KD +40 in very high juggles); does not combo naturally from Burning Kick on grounded opponents (requires Punish Counter or airborne connect); whiffing this attack on grounded hit results in a +13 knockdown with oki only possible in the corner",supercombo_only,,,,,,,
51,Specials,special,c.viper_623p_k,623P~K,Seismic Hammer Feint,-,11,-,16,27,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Cviper_623p_k.png,SF6_Cviper_623p_k_hitbox.png,Useful for baiting neutral responses like jumps or anti-projectile Supers; much slower than HP Thunder Dash feint (not useful for combos/pressure when canceled from normals); can only be performed from meterless Seismic Hammer after 11 frames of startup (27f total animation); can be performed by holding K for easier execution; Counter-hit state for entire feint animation,supercombo_only,,,,,,,
54,Specials,special,c.viper_214k_partial_hold,214{K},Focus Force (Lv.2),600x2 (1200),20~58+10,4(4)4,36,77~115,KD +26,-16,LH,Dash,,150x2 (300),50% Starter,KD +56 Crumple,-38(-35),,,,,"27,KD","21,24 (32 total)","12,12",2000x2,[3000x2],2000x2,500x2 (350x2),250x2 (125x2),,6~release,,2.42 (1.85),,"1,1","1,1","3,4",,,,"SF6_Cviper_214k_1.png, SF6_Cviper_214k_2.png","SF6_Cviper_214k_hitbox_1.png, SF6_Cviper_214k_hitbox_preview.png, SF6_Cviper_214k_hitbox_2.png, SF6_Cviper_214k_hitbox_3.png","Partially charged Lv.2 version when button is held at least 20f (up to 58f); Punish Counter causes a limited juggle crumple state (+8 before opponent falls to the ground); 1-hit armor frames cover the full body, ending immediately if button is released after frame 13; attack hitbox starts up 10f after button release (no armor on these frames); absorbing a strike results in an automatic counter-attack with 10f startup; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 12 until button is released (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke); Focus + Dash can be used to absorb projectiles when Drive gauge is too low for Parry",supercombo_only,,,,,,,
55,Specials,special,c.viper_214kk_partial_hold,214{KK},Focus Force (Lv.2),850x2 (1700),20~56+10,4(4)4,36,77~113,KD +26,-16,LH,Dash,,212x2 (424),50% Starter,KD +56 Crumple,-38(-35),,,,,"27,KD","21,24 (32 total)","12,12",2000x2,[4000x2],-20000,500x2 (350x2),250x2 (125x2),,3~release,,2.42 (1.85),,"1,1","1,1","3,4",,,,"SF6_Cviper_214k_1.png, SF6_Cviper_214k_2.png","SF6_Cviper_214k_hitbox_1.png, SF6_Cviper_214k_hitbox_preview.png, SF6_Cviper_214k_hitbox_2.png, SF6_Cviper_214k_hitbox_3.png","Partially charged Lv.2 version when button is held at least 20f (up to 56f); Punish Counter causes a limited juggle crumple state (+8 before opponent falls to the ground); 1-hit armor frames cover the full body, ending immediately if button is released after frame 10; attack hitbox starts up 10f after button release (no armor on these frames); absorbing a strike results in an automatic counter-attack with 10f startup; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 9 until button is released (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke)",supercombo_only,,,,,,,
56,Specials,special,c.viper_214k_hold,214[K],Focus Force (Lv.3),700x2 (1400),59+10,4(4)4,36,116,KD +73 Crumple,-10,LH,Dash,,175x2 (350),20% Starter,KD +77 Crumple,-38(-35),,,,,"27,KD","19,30 (38 total)","12,12",2500x2,[4000x2],2500x2,600x2 (420x2),300x2 (150x2),,6-59,,2.42 (1.85),,"1,1","1,1","10,10",,,,"SF6_Cviper_214k_1.png, SF6_Cviper_214k_2.png","SF6_Cviper_214k_hitbox_1.png, SF6_Cviper_214k_hitbox_preview.png, SF6_Cviper_214k_hitbox_2.png, SF6_Cviper_214k_hitbox_3.png",Fully charged Lv.3 version when button is held at least 59f; Punish Counter causes a limited juggle crumple state (+29 before opponent falls to the ground); 1-hit armor frames cover the full body; attack hitbox starts up 10f after reaching full charge (no armor on these frames); absorbing a strike while charging results in an automatic counter-attack with 10f startup; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 12-60 (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke),supercombo_only,,,,,,,
57,Specials,special,c.viper_214kk_hold,214[KK],Focus Force (Lv.3),1000x2 (2000),57+10,4(4)4,36,114,KD +73 Crumple,-10,LH,Dash,,250x2 (500),20% Starter,KD +77 Crumple,-38(-35),,,,,"27,KD","19,30 (38 total)","12,12",2500x2,[5000x2],-20000,600x2 (420x2),300x2 (150x2),,3-57,,2.42 (1.85),,"1,1","1,1","10,10",,,,"SF6_Cviper_214k_1.png, SF6_Cviper_214k_2.png","SF6_Cviper_214k_hitbox_1.png, SF6_Cviper_214k_hitbox_preview.png, SF6_Cviper_214k_hitbox_2.png, SF6_Cviper_214k_hitbox_3.png",Fully charged Lv.3 version when button is held at least 57f; Punish Counter causes a limited juggle crumple state (+29 before opponent falls to the ground); extremely powerful combo starter for Stun or punishing very unsafe Supers; 1-hit armor frames cover the full body; attack hitbox starts up 10f after reaching full charge (no armor on these frames); absorbing a strike while charging results in an automatic counter-attack with 10f startup; C. Viper incurs only 7f armor hitstop from absorbing a strike; armor can absorb projectiles but does not perform counter-attack (C. Viper incurs 10f projectile hitstop during armor); cancelable into Forward Dash from frame 9-58 (not possible after absorbing a strike); C. Viper is in a Punish Counter state for entire duration (including Forward Dash cancel); only the first hit gains the bonus damage from a Counter-hit/Punish Counter; -17 on Punish Counter if only the first hit of counter-attack reaches opponent (e.g. absorbing a ranged Dhalsim poke),supercombo_only,,,,,,,
62,Taunts,taunt,c.viper_5pppkkk,5PPPKKK,Neutral Taunt,-,605 (total),-,-,605,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Cviper_5pppkkk.png,,"""Ugh, could you just like, give up now? I have other work to do.""",supercombo_only_taunt,,,,,,,
63,Taunts,taunt,c.viper_6pppkkk,6PPPKKK,Forward Taunt,-,740 (total),-,-,740,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Cviper_6pppkkk.png,,"""I hate to admit, you're not half bad! Even messed up my makeup. Hmm, alright, all done up.""",supercombo_only_taunt,,,,,,,
64,Taunts,taunt,c.viper_4pppkkk,4PPPKKK,Back Taunt,-,965 (total),-,-,965,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Cviper_4pppkkk.png,,"Begins with ""You're a stubborn one —"" / ""You're becoming a pain in —"" / ""I have a few new tricks up —"" / ""Decouple power limiters —"" / ""This is going on far too —"" / ""I think it's about time I —""; after being interrupted, plays out one of 6 potential phone conversations.",supercombo_only_taunt,,,,,,,
