row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
19,Normals and Target Combos,ground_normal,ed_5hp_hold_lv1,5[HP],Psycho Knuckle (Lv.1),800,30+9,1~15,25~35,71~117,Crumple +76 (+12 ground),-2(+2),LH,6KK*,,,20% Starter,Crumple +80 (+16 ground),-26,,,Crumple +76 (+12 ground),+2(+6),,28,13,6000,[10000],3000,1000 (700),500 (250),,,,6.305,,1,1,10,,,,SF6_Ed_5hp_hold.png,"SF6_Ed_5hp_hold_start_hitbox.png, SF6_Ed_5hp_hold_lv1_hitbox.png","Requires 30f of charge time; side switch on hit/block unless opponent is cornered (4f better block advantage in corner); crumples opponent on hit; 4f extra grounded advantage on Punish Counter; charging animation is cancelable only into Kill Rush Forward (5/6KK or 66) on frames 9-30; transitions from active to recovery if Ed crosses behind the opponent; extended foot hurtbox from frame 7 onward; Recovery: 29 on hit/block (25 on corner block only), 32 on whiff, 35 on corner whiff if all 15 active frames play out; POSSIBLE BUG: if attack connects on active frame 10-15 (only possible in meaty oki scenarios), Ed will not switch sides on block and will incur 35f recovery, making it punishable (-13 to -8)",supercombo_only,,,,,,,
20,Normals and Target Combos,ground_normal,ed_5hp_hold_lv2,5[HP],Psycho Knuckle (Lv.2),1200,60+9,1~15,29~35,101~118,Crumple +76 (+12 ground),+4,LH,6KK*,,,20% Starter,Crumple +80 (+16 ground),-26,,,Crumple +76 (+12 ground),+8,,34,13,8000,[12000],4000,1200 (840),600 (300),,,,6.305,,1,1,10,,,,SF6_Ed_5hp_hold.png,"SF6_Ed_5hp_hold_start_hitbox.png, SF6_Ed_5hp_hold_lv2_hitbox.png","Requires 60f of charge time; has 1 hit of meterless projectile durability during active frames (8f hitstop when clashing); side switch on hit/block unless opponent is cornered; crumples opponent on hit; 4f extra grounded advantage on Punish Counter; charging animation is cancelable only into Kill Rush Forward (5/6KK or 66) on frames 9-60; transitions from active to recovery if Ed crosses behind the opponent; extended foot hurtbox from frame 7 onward; Recovery: 29 on hit/block, 32 on whiff, 35 on corner whiff if all 15 active frames play out",supercombo_only,,,,,,,
38,Specials,special,ed_236p_6p,236P~6P,Psycho Shoot,600,12,-,30,42,+3,-8,LH,SA3,4,150,,+7,-20,,,,,34,23,8,2500,[3000],1000,600 (420),300 (150),,,,,,1 air,1,5,0.05 / 0.10 / 0.15,,,SF6_Ed_236p_6p.png,SF6_Ed_236p_6p_hitbox.png,"1-hit projectile; button strength determines projectile speed (LP slow, MP mid, HP fast)",supercombo_only,,,,,,,
39,Specials,special,ed_236pp_6p,236PP~6P,Psycho Shoot,400x2,12,-,28,40,KD +46~,-2,LH,SA2 SA3,10,100x2,,KD +46~,-7,,,,,"18,KD",27 total,"8,8",1250x2,[2500x2],,300x2 (210x2),150x2 (75x2),,,,,,"0,1","0,3","7,8",0.05 / 0.10 / 0.15,,,SF6_Ed_236pp_6p.png,SF6_Ed_236pp_6p_hitbox.png,"2-hit OD projectile; button strength determines projectile speed (LP slow, MP mid, HP fast); only possible after 236PP starter (does not cost additional Drive meter)",supercombo_only,,,,,,,
49,Specials,special,ed_236lk_hold,236[LK],Psycho Flicker (Hold),"800,200",26+5,5,24,59~148,KD +61,+4,LH,SA3 (1st),6,"200,50",20% Starter; Combo (15% extra),KD +61,-19,,,,,,43 total,"13,3",1500x2,[2500x2],1000x2,"600,200 (420,140)","300,100 (150,50)",,,,,,1 ground / 3 air,"1,2","5,20",,,,SF6_Ed_236lk.png,SF6_Ed_236lk_hold_hitbox.png,2-hit projectile hitbox (causes screen freeze on Perfect Parry); can grab opponent through 1-hit non-OD projectile or dissipate 2-hit non-OD projectile; pulls opponent in for a strike/throw mixup on block (pulled in half as far when Parried); launches opponent upward on grounded hit; slams opponent down into limited juggle OTG bounce on airborne hit; recovery refers to whiffed version; great oki tool (especially useful after corner throw); cancelable into Kill Rush (forward or back) on frames 16-115; automatically releases attack after 115f charge time; extends a forward hurtbox on frame 1 until the end of recovery (this hurtbox is projectile invuln until the first active frame),supercombo_only,,,,,,,
51,Specials,special,ed_236mk_hold,236[MK],Psycho Flicker (Hold),"800,200",30+5,5,24,63~148,KD +61,+4,LH,SA3 (1st),6,"200,50",20% Starter; Combo (15% extra),KD +61,-19,,,,,,43 total,"13,3",1500x2,[2500x2],1000x2,"600,200 (420,140)","300,100 (150,50)",,,,,,1 ground / 3 air,"1,2","5,20",,,,SF6_Ed_236mk.png,SF6_Ed_236mk_hold_hitbox.png,2-hit projectile hitbox (causes screen freeze on Perfect Parry); can grab opponent through 1-hit non-OD projectile or dissipate 2-hit non-OD projectile; pulls opponent in for a strike/throw mixup on block (pulled in half as far when Parried); launches opponent upward on grounded hit; slams opponent down into limited juggle OTG bounce on airborne hit; recovery refers to whiffed version; great oki tool; cancelable into Kill Rush (forward or back) on frames 16-115; automatically releases attack after 115f charge time; extends a forward hurtbox on frame 1 until the end of recovery (this hurtbox is projectile invuln until the first active frame),supercombo_only,,,,,,,
53,Specials,special,ed_236hk_hold,236[HK],Psycho Flicker (Hold),"800,200",30+5,10,19,63~148,KD +56(68),-,-,SA3 (1st),6,,20% Starter; Combo (15% extra),KD +56(68),,,,,,,,18,,[2500x2],"1000,2000","600,200 (420,140)",,,,,,,3 air,"1,2","5,20",,,,SF6_Ed_236hk.png,SF6_Ed_236hk_hold_hitbox.png,2-hit projectile hitbox; can only hit airborne opponents; slams opponent down into a limited juggle OTG bounce on hit; KD advantage varies based on height; can hold button for a maximum of 115+5 startup; recovery refers to whiffed version; KD advantage varies based on height; cancelable into Kill Rush (forward or back) on frames 16-115; automatically releases attack after 115f charge time; extends a forward hurtbox on frame 1 until the end of recovery (this hurtbox is projectile invuln until the first active frame),supercombo_only,,,,,,,
56,Specials,special,ed_6kk,5/6KK,Kill Rush (Forward),-,-,-,31,31,-,-,-,6P*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Ed_6kk.png,SF6_Ed_6kk_hitbox.png,"Can be performed while charging 5[HP] or 236[K] (dash can be input as 66 when charging attack, or 6K during 236[K] only); useful for baiting Parry or Drive Impact and dashing in for a punish; cancelable into 6P launching follow-up (11-12f into Kill Switch Break, 13-24f into Kill Switch Chaser); counter-hit state for entire animation; head hurtbox disappears on frames 3-26; Distance: 2.24 (up to 2.69 if nothing is input during the first 17 post-recovery frames)",supercombo_only,,,,,,,
57,Specials,special,ed_6kk_6p,5/6KK~6P,Kill Switch Break,600,11+11,3,20,33,KD +38,-4,LH,SA3,12,150,20% Starter; Combo (2 hits),KD +38,-21,,,,,,19,8,5000,[8000],2000,600 (420),300 (150),,,,,,1,3,10,,,,SF6_Ed_6kk_6p.png,SF6_Ed_6kk_6p_hitbox.png,6P must be input early (from 1-12f); cannot hit cross-up; puts opponent into limited juggle state,supercombo_only,,,,,,,
58,Specials,special,ed_6kk_dl_6p,5/6KK~dl.6P,Kill Switch Chaser,600,13+11,3,20,33,KD +50,-6,LH,SA3,12(10*),150,20% Starter,KD +50,-21,,,,,,17,8,5000,[8000],2000,600 (420),300 (150),,,,,,4,3,10,,,,SF6_Ed_6kk_dl_6p.png,SF6_Ed_6kk_dl_6p_hitbox.png,"6P must be input late (from 13-24f); cannot hit cross-up; launches opponent into limited juggle state (higher than Kill Switch Break, often allowing better follow-ups); SA3 cancel whiffs on the final 2 cancelable frames",supercombo_only,,,,,,,
