category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,enrichment_review_queues,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（チークスパン）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（チークスパン）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-8,8,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""5-8"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,elena_5lp,5LP,Standing Light Punch,300,5,4,8,16,+4,-2,LH,Sp SA,14,,20% Starter,+8,-10,+4,-2,+8,+2,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.16,Much stronger link options than 5LK,1,1,0,,,,SF6_Elena_5lp.png,SF6_Elena_5lp_hitbox.png,"Good range for a light normal; less range than 5LK, but leads to better 5f punish combos; DR cancel is delayed until after 3rd active frame"
1,通常技,2,立ち弱K（スタンドロー）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（スタンドロー）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,11,2,-4,C,300,始動補正20%,250,-500,-2000,300,上,,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,elena_5lk,5LK,Standing Light Kick,300,5,3,11,18,+2,-4,LH,Sp SA,13,,20% Starter,+6,-12,+4,-2,+6,0,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.31,,1,1,0,,,,SF6_Elena_5lk.png,SF6_Elena_5lk_hitbox.png,"Ranged light poke that gives Elena strong punishes and confirms; allows for 4-light confirm strings after chained 2LPs, but does not combo naturally into 214LK; Special/DI cancel is delayed until after 2nd active frame; DR cancel is delayed until after 3rd active frame"
1,通常技,3,立ち中P（ブレイズパーチ）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（ブレイズパーチ）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-12,15,3,-3,SA,600,,1500,-3000,-4000,500,上,パニッシュカウンター時強制立ち効果,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""8-12"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""15"", ""official_raw"": ""15"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,elena_5mp,5MP,Standing Medium Punch,600,8,5,15,27,+3(+5),-3(-1),LH,SA TC,18 SA / 18(20) TC,,,+7(+9),-18(-16),,,+7(+9),+1(+3),23,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.765 (1.495),,1,1,0,,,,SF6_Elena_5mp.png,"SF6_Elena_5mp_hitbox_1.png, SF6_Elena_5mp_hitbox_2.png, SF6_Elena_5mp_hitbox_3.png","Strong neutral buffer tool; active frames 1-2 have shorter range (this close-range hitbox disappears after the 3rd active frame, making it less useful as a meaty); active frames 3-5 gain a longer range foot hitbox, but cannot hit crouching opponents and cannot hit cross-up; these later active frames result in 2f better frame advantage; the final 2 TC cancel frames do not combo without at least a Counter-hit starter; lenient hitconfirm window gives time to confirm a Super, or a TC follow-up if the opponent is standing; forces stand on Punish Counter, ensuring the TC will fully connect"
1,通常技,4,立ち中K（スプルースベンド）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（スプルースベンド）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,13,5,1,C,500,,1000,-2000,-3000,500,上,空振り時硬直2F増加,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,condition_dependent_field;uncomparable_notation,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""6-9"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""500"", ""official_raw"": ""500"", ""supercombo"": ""500"", ""supercombo_raw"": ""500""}, ""recovery"": {""comparable"": false, ""official"": ""13"", ""official_raw"": ""13"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""13"", ""supercombo_raw"": ""13(15)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}",,,,,Normals and Target Combos,ground_normal,elena_5mk,5MK,Standing Medium Kick,500,6,4,13(15),22(24),+5,+1,LH,Sp SA TC,16,,,+9,-15,+12,+8,+9,+5,22,18,11,2000,[3000],1000,500 (350),250 (125),,,,1.11,,1,1,0,,,,SF6_Elena_5mk.png,SF6_Elena_5mk_hitbox.png,2f extra recovery on whiff; useful combo and frame trap tool; short range for a 6-frame medium
1,通常技,5,立ち強P（ラウンドホップ）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（ラウンドホップ）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-15,20,2,-2,,800,,2000,-5000,-8000,1000,上,強制立ち効果 パニッシュカウンター時吹き飛びダウン,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""12-15"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}}",,,,,Normals and Target Combos,ground_normal,elena_5hp,5HP,Standing Heavy Punch,800,12,4,20,35,+2,-2,LH,TC,19 (PC: 31),,,KD +46,-22,,,+6,+2,26,22,13 (PC: 25),5000,[8000],2000,1000 (700),500 (250),,,,1.729,,1,1,0,,,,SF6_Elena_5hp.png,"SF6_Elena_5hp_hitbox_1.png, SF6_Elena_5hp_hitbox_2.png, SF6_Elena_5hp_hitbox_3.png",Forces stand; foot hitbox cannot hit crouching opponents (shorter range vs. crouching); Punish Counter puts opponent into limited juggle state; strong anti-air hitbox at longer ranges but cannot hit cross-up; extends hurtbox 1f before active that is vulnerable to projectiles
1,通常技,6,立ち強K（ラウンドステップ）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（ラウンドステップ）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-15,19,2,-4,,900,,3000,-6000,-10000,1000,上,9-17F 足元無敵 パニッシュカウンター、空中カウンター/パニッシュカウンター時吹き飛びダウン 空中パニッシュカウンター時吹き飛び時間延長,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""12-15"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""19"", ""official_raw"": ""19"", ""supercombo"": ""19"", ""supercombo_raw"": ""19""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}}",,,,,Normals and Target Combos,ground_normal,elena_5hk,5HK,Standing Heavy Kick,900,12,4,19,34,+2,-4,LH,-,,,,KD +53,-21,,,+6,0,25,19,13 (PC: 25),6000,[10000],3000,1000 (700),500 (250),,,,1.915,,1,1,0,,,,SF6_Elena_5hk.png,SF6_Elena_5hk_hitbox.png,Low Crush 9-17f (not airborne); good mid-range poke; Punish Counter puts opponent into limited juggle state (combos reliably into 236KK or SA2 unless whiff punishing a ranged attack); also causes limited juggle state on airborne Counter-hit (into 623HK at close range) and Punish Counter (slightly better juggles than grounded PC); extends hurtbox 1f before active that is vulnerable to projectiles; hitbox does not move forward during the active frames (cannot be spaced in neutral for better advantage)
1,通常技,7,しゃがみ弱P（クラウチングフロント）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（クラウチングフロント）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,8,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,elena_2lp,2LP,Crouching Light Punch,300,4,3,8,14,+5,-1,LH,Chn Sp SA,13,,20% Starter,+9,-9,+5,-1,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.07,,1,1,0,,0.361,0.338,SF6_Elena_2lp.png,SF6_Elena_2lp_hitbox.png,Chains into 2LP/2LK; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air); DR cancel is delayed until after 2nd active frame
1,通常技,8,しゃがみ弱K（リトルラップ）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（リトルラップ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,8,3,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,elena_2lk,2LK,Crouching Light Kick,200,5,3,8,15,+3,-1,L,Chn,,,20% Starter,+7,-9,,,+7,+3,14,10,9,500,[2000],250,300 (210),150 (75),,,,1.09,,1,1,0,,,,SF6_Elena_2lk.png,SF6_Elena_2lk_hitbox.png,Chains into 2LP/2LK
1,通常技,9,しゃがみ中P（リングカッター）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（リングカッター）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,20,1,-4,C,600,,1000,-3000,-4000,600,上,,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""8-10"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,elena_2mp,2MP,Crouching Medium Punch,600,8,3,20,30,+1,-4,LH,Sp SA,15,,,+5,-21,+12,+7,+5,0,24,19,11,3000,[4000],1000,600 (420),300 (150),,,,1.50,,1,1,0,,,,SF6_Elena_2mp.png,SF6_Elena_2mp_hitbox.png,Great cancelable poke in neutral; not an anti-air despite the animation; DR cancel is delayed until after active frames
1,通常技,10,しゃがみ中K（サーフェスキック）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（サーフェスキック）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,18,4,-4,,600,始動補正20%,1000,-3000,-4000,600,下,ヒット時硬直2F減少,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,condition_dependent_field;uncomparable_notation,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""9-11"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": ""18"", ""official_raw"": ""18"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""16"", ""supercombo_raw"": ""16(18)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}",,,,,Normals and Target Combos,ground_normal,elena_2mk,2MK,Crouching Medium Kick,600,9,3,16(18),27(29),+4,-4,L,TC,15,,20% Starter,+8,-19,,,+8,0,23,17,11,3000,[4000],1000,600 (420),300 (150),,,,1.726 (1.669),TC cancel only; 1st active frame: 1.669,1,1,0,,,,SF6_Elena_2mk.png,SF6_Elena_2mk_hitbox.png,"2f extra recovery on whiff/block; good combo starter out of Drive Rush but leaves Elena neutral if blocked; can combo naturally into 2LP, but Elena is always punishable by the opponent's 4f normal at this range"
