row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
34,Drive and Throw,drive,akuma_mpmk_66_pdr,MPMK~66,Parry Drive Rush,-,3+8,-,15(37),26(48),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-10000,,,,,,,,,,,,,,SF6_Akuma_66.png,SF6_Akuma_66_hitbox.png,"See Drive Rush; 1-bar version performed out of a Parry; startup refers to minimum time before an attack can cancel the Drive Rush animation (if performed immediately after a successful Parry, only 1+8 startup); the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties; Distance: 0.880 (min/throw), 2.121 (min/block), 3.425 (max/final DR frame)",supercombo_only,,,,,,,
35,Drive and Throw,drive,akuma_mpmk_66_drc,MPMK or 66,Drive Rush Cancel,-,9,-,15(37),24(46),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-30000,,,,,,,,,,,,,,SF6_Akuma_66.png,SF6_Akuma_66_hitbox.png,See Drive Rush; 3-bar version performed on hit/block from a cancelable normal; can also be performed on whiff from cancelable light normals; startup refers to minimum time before an attack can cancel the Drive Rush animation; the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties,supercombo_only,,,,,,,
40,Specials,special,akuma_236p_partial_hold,236{P},Gou Hadoken Lv.2,"400,600",(25~48)+6,-,29,60~83,KD +55,+2,LH,SA3,15,"100,150",20% Starter; Combo (2 hits),KD +55,-8,,,,,,32 total,"9,10",1250x2,[2500x2],500x2,300x2 (210x2),150x2 (75x2),,,,,,1,"0,2","1,6",LP 0.07 / MP 0.085 / HP 0.105,,,SF6_Akuma_236p_partial_hold.png,SF6_Akuma_236p_partial_hold_hitbox.png,2-hit projectile; projectile speed depends on button strength; button must be held at least 25f and up to 48f for Lv.2 version (total startup 31~54f); projectile hitbox comes out 6f after button release; puts opponents into limited juggle state; useful in certain combo/juggle routes and for zoning; extended arm hurtbox is projectile invuln while charging; has an extended leg hurtbox on frames 13~,supercombo_only,,,,,,,
41,Specials,special,akuma_236p_hold,236[P],Gou Hadoken Lv.3,"250x3,600 (1350)",56,-,21(26),77(82),KD +69,+20,LH,SA3,12,"62x3,150 (336)",20% Starter; Combo (2 hits),KD +69,+22,,,,,,42 total,"5,5,5,10",1000x4,"[2000x3,3000]",1000x4,200x4 (140x4),100x4 (50x4),,,,,,1,"0,0,0,2","1,1,1,6",LP 0.09 / MP 0.115 / HP 0.145,,,SF6_Akuma_236p_hold.png,SF6_Akuma_236p_hold_hitbox.png,4-hit projectile; 5f extra recovery if projectile does not make contact within the first 21 active frames; projectile speed depends on button strength; button must be held 49f to perform full charge; puts opponents into limited juggle state; extended arm hurtbox is projectile invuln while charging; has an extended leg hurtbox on frames 13~,supercombo_only,,,,,,,
42,Specials,special,akuma_236pp_hold,236[PP],OD Gou Hadoken Lv.2,"250x3,600 (1350)",31,-,21(26),52(57),KD +69,+20,LH,SA2 SA3,12,"62x3,150 (336)",20% Starter; Combo (2 hits),KD +69,+22,,,,,,42 total,"5,5,5,10",1000x4,"[2000x3,3000]",-20000,200x4 (140x4),100x4 (50x4),,,,,,1,"0,0,0,2","1,1,1,6",0.145,,,SF6_Akuma_236pp_hold.png,SF6_Akuma_236pp_hold_hitbox.png,4-hit OD projectile; 5f extra recovery if projectile does not make contact within the first 21 active frames; buttons must be held 24f to perform full charge; puts opponents into limited juggle state; extended arm hurtbox is projectile invuln while charging; has an extended leg hurtbox on frames 10~,supercombo_only,,,,,,,
65,Specials,special,akuma_236k_no_input,236K~No Input,Demon Low Slash,1000,53,4,15(19),71(75),HKD +39(+42),+2(+5),L,-,,250,,HKD +54(+57),-17(-14),,,,,,21,13,4000,[10000],1000,1000 (700),500 (250),,,,,,1,1,5,,,,SF6_Akuma_236k_no_input.png,SF6_Akuma_236k_no_input_hitbox.png,4f extra recovery on whiff; recovery is in a crouching state until the final frame (final 5f on whiff); causes Akuma to auto-correct if Demon Raid crosses up; can be spaced for better frame advantage,supercombo_only,,,,,,,
66,Specials,special,akuma_236kk_no_input,236KK~No Input,Demon Low Slash,1000,53,4,15(19),71(75),HKD +39,+2,L,-,,250,,HKD +54,-17,,,,,,21,13,4000,[10000],1000,1000 (700),500 (250),,,,,,1,1,5,,,,SF6_Akuma_236kk_no_input.png,SF6_Akuma_236kk_no_input_hitbox.png,4f extra recovery on whiff; recovery is in a crouching state until the final frame (final 5f on whiff); causes Akuma to auto-correct if Demon Raid crosses up,supercombo_only,,,,,,,
67,Specials,special,akuma_236k_p,236K~P,Demon Guillotine,1300,18+16,until land,9 land,,KD +37(+41),+3(+7),H,-,,325,,KD +37(+41),-15(-11),,,,,,20,13,6000,[5000],1000,1000 (700),500 (250),,,Until Land (FKD),,,1,0,5,,,,SF6_Akuma_236k_p.png,SF6_Akuma_236k_p_hitbox.png,"Overhead with many active frames, making it good for meaty pressure; strong hitbox and mid-air pause makes it more difficult to anti-air; cannot hit cross-up; frames 4-8 of landing recovery have a crouch-sized hurtbox (but still standing)",supercombo_only,,,,,,,
68,Specials,special,akuma_236kk_p,236KK~P,Demon Guillotine,1300,16+16,until land,9 land,,KD +37(+41),+3(+7),H,-,,325,,KD +37(+41),-15(-11),,,,,,20,13,6000,[5000],1000,1000 (700),500 (250),,,Until Land (FKD),,,1,0,5,,,,SF6_Akuma_236kk_p.png,SF6_Akuma_236kk_p_hitbox.png,"Overhead with many active frames, making it good for meaty pressure; strong hitbox and mid-air pause makes it more difficult to anti-air; cannot hit cross-up; frames 4-8 of landing recovery have a crouch-sized hurtbox (but still standing)",supercombo_only,,,,,,,
69,Specials,special,akuma_236k_k,236K~K,Demon Blade Kick,700,18+13,until land,9(14) land,,0(+10),-5(+5),LH,-,,175,30% Starter; Combo (2 hits),+4(+14),-18(-8),,,,,20,15,13,4000,[5000],1000,1000 (700),500 (250),,,Until Land (FKD),,,1,0,4,,,,SF6_Akuma_236k_k.png,SF6_Akuma_236k_k_hitbox.png,"5f extra recovery on whiff; button strength determines angle (LK short, MK mid, HK far); puts airborne opponents into limited juggle state (or maintains juggle state if used mid-combo); extends a large projectile invincible hurtbox on frame 11 until landing (making the divekick easier to anti-air while still being useful for avoiding fireballs)",supercombo_only,,,,,,,
