category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（杯打）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（杯打）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-6,7,5,0,C,300,始動補正20%,250,-500,-2000,300,上,,enriched_review_required,basic_field_conflict:damage;multiple_candidates,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match,2,damage,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": false, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""270"", ""supercombo_raw"": ""270""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,Jamie_5lp,5LP,Stand LP (DL0),270,5,2,7,13,+5,0,LH,Sp SA,12,,20% Starter,+9,-7,+4,-1,+9,+4,14,9,9,500,[2000],250,300 (210),150 (75),,,,0.97,(DL0) Listed for comparison only; use 2LP or 5LK at Drink Lv.0,1,1,0,,,,SF6_Jamie_5lp.png,SF6_Jamie_5lp_hitbox.png,"Drink Lv.0 only (changes at DL1-DL4); better frame advantage than the DL1-DL4 version, but has less range and no Target Combo; SA2 cancel: +7/+2; Drink cancel: -37/-42"
1,通常技,2,立ち弱K（頂奏）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（頂奏）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-6,11,3,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,Jamie_5lk_dl2,5LK,Stand LK (DL2),300,5,2,11,17,+3,-1,LH,Chn Sp SA,13,,20% Starter,+7,-11,+5,+1,+7,+3,16,12,9,500,[2000],250,300 (210),150 (75),,,,1.13,,1,1,0,,,,"SF6_Jamie_5lk.png, SF6_Jamie_5lk_mash.png","SF6_Jamie_5lk_hitbox.png, SF6_Jamie_5lk_mash_hitbox.png","Damage DL0-DL4: 270/285/300/315/330; chains into 5LK/2LP/2LK; chaining out of 5LK shifts Jamie's position forward, making light combos more consistent; chains into itself infinitely even on whiff (different animation than when chained into from other normals); SA2 cancel: +9/+5; Drink cancel: -35/-39; DR cancel is delayed until after 2nd active frame"
1,通常技,3,立ち中P（背束拳）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（背束拳）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-11,14,6,2,,600,,2000,-4000,-6000,500,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""8-11"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""14"", ""official_raw"": ""14"", ""supercombo"": ""14"", ""supercombo_raw"": ""14""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,Jamie_5mp_dl2,5MP,Stand MP (DL2),600,8,4,14,25,+6,+2,LH,-,,,,+10,-16,,,+10,+6,24,20,11,4000,[6000],2000,500 (350),250 (125),,,,1.234,,1,1,0,,,,SF6_Jamie_5mp.png,SF6_Jamie_5mp_hitbox.png,"Damage DL0-DL4: 540/570/600/630/660; good combo and frame trap starter, but has no conversions near its max range"
1,通常技,4,立ち中K（瞬歩脚）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（瞬歩脚）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,17,2,-3,C,600,,1500,-3000,-4000,700,上,空振り時硬直1F増加,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""9-11"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": ""17"", ""official_raw"": ""17"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""17"", ""supercombo_raw"": ""17(18)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}",,,,,Normals and Target Combos,ground_normal,Jamie_5mk_dl2,5MK,Stand MK (DL2),600,9,3,17(18),28(29),+2,-3,LH,Sp SA,15,,,+5,-18,+12,+7,+6,+1,22,17,11,3000,[4000],1500,700 (490),350 (175),,,,1.476,,1,1,0,,,,SF6_Jamie_5mk.png,SF6_Jamie_5mk_hitbox.png,Damage DL0-DL4: 540/570/600/630/660; good poke and mid-range buffer; lifts up leg hurtbox on frames 4-12 (can avoid low pokes); 1f extra recovery on whiff; can combo naturally into 214MP/214PP; extends a wider hurtbox on whiff until the end of recovery; SA2 cancel: +15/+10; Drink cancel: -29/-34
1,通常技,5,立ち強P（連發拳）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（連發拳）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-14,20,1,-3,C,900,,2000,-5000,-8000,1600,上,持続の1F目までキャンセル可 空中ヒット時吹き飛びやられ,enriched_review_required,"uncomparable_basic_field:active_duration,damage",matched,exact_input+family_input+same_family+category_move_type+startup_match+recovery_match,1,,"{""active_duration"": {""comparable"": false, ""official"": ""10"", ""official_raw"": ""5-14"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""1(1)1(4)3""}, ""damage"": {""comparable"": false, ""official"": ""900"", ""official_raw"": ""900"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""100x2,700 (900)""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,Jamie_5hp_dl2,5HP,Stand HP (DL2),"100x2,700 (900)",5,1(1)1(4)3,20,34,+1(+3),-3(-1),LH,Sp SA (2nd),18,,,+5(+7),-21,+8,+2,+5(+7),+1(+3),31(24),27(20),"5,5,13","500x2,4000","[0,0,8000]","250x2,1500","300x2,1000 (210x2,700)","150x2,500 (75x2,250)",,,,1.732 (0.924),Short range on frame 5 (0.924) but very rewarding if it can reach,1,"1,1,1","1,1,2",,,,SF6_Jamie_5hp.png,"SF6_Jamie_5hp_hitbox_preview.png, SF6_Jamie_5hp_hitbox_1.png, SF6_Jamie_5hp_hitbox_2.png, SF6_Jamie_5hp_hitbox_3.png","Damage DL0-DL4: 810/855/900/945/990; very fast startup for heavy normal; 3 hits (can break Drive Impact from close range); great option out of Drive Rush (forward momentum, plus on block, combo on hit) or vs. opponent in Burnout; 3rd hit has longer range (effectively 12f startup with better frame advantage when spaced out); all hits receive counter-hit/Punish Counter advantage; Punish Counter Drive damage will not occur if the attack is canceled; all 3 hits put airborne opponent into limited juggle state (juggling into last 2 hits will maintain juggle state); SA2 cancel: +11/+5; Drink cancel: -33/-39; special/DR cancel is delayed until after 3rd recovery frame on 2nd hit"
1,通常技,6,立ち強K（魔霞弧）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（魔霞弧）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",15,15-17,21,3,-5,C,800,,3000,-4000,-10000,1000,上,パニッシュカウンター時膝くずれ 空中ヒット時吹き飛びやられ,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""15-17"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""21"", ""official_raw"": ""21"", ""supercombo"": ""21"", ""supercombo_raw"": ""21""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""15"", ""official_raw"": ""15"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}}",,,,,Normals and Target Combos,ground_normal,Jamie_5hk_dl2,5HK,Stand HK (DL2),800,15,3,21,38,+3,-5,LH,Sp SA,17 (29 PC),,,KD +71 Crumple,-22,+16,+8,+7,-1,27,19,13,4000,[10000],3000,1000 (700),500 (250),,,,1.803 (1.721),,1 [-1 PC Ground],0,0,,,,SF6_Jamie_5hk.png,"SF6_Jamie_5hk_hitbox_preview.png, SF6_Jamie_5hk_hitbox_1.png, SF6_Jamie_5hk_hitbox_2.png","Damage DL0-DL4: 720/760/800/840/880; grounded Punish Counter crumple is +9 before opponent becomes airborne; puts airborne opponents into limited juggle state; very long range for cancelable normal; on midscreen Punish Counter, can safely cancel into 2 Drinks (corner: Drink, juggle 2LP > 214PP, juggle 2HK~HK~P); SA2 cancel: +19/+11 (PC: KD+87); Drink cancel: -25/-33 (PC: KD+43); special/DR cancel is delayed until after 2nd active frame; extends a hurtbox 1f before active that is vulnerable to projectiles"
1,通常技,7,しゃがみ弱P（杯打）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（杯打）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,9,5,-1,C,250,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""4-5"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""250"", ""official_raw"": ""250"", ""supercombo"": ""250"", ""supercombo_raw"": ""250""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,Jamie_2lp_dl2,2LP,Crouch LP (DL2),250,4,2,9,14,+5,-1,LH,Chn Sp SA,13,,20% Starter,+9,-9,+5,-1,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,0.98,,1,1,0,,0.361,0.374,SF6_Jamie_2lp.png,SF6_Jamie_2lp_hitbox.png,"Damage DL0-DL4: 225/237/250/262/275; chains into 5LK/2LP/2LK; Jamie's only 4f normal, useful for comboing into 5f lights; SA2 cancel: +9/+3; Drink cancel: -35/-41; DR cancel is delayed until after 2nd active frame"
1,通常技,8,しゃがみ弱K（先歩）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（先歩）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-6,11,3,-3,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,Jamie_2lk_dl2,2LK,Crouch LK (DL2),200,5,2,11,17,+3,-3,L,Chn,,,20% Starter,+7,-11,,,+7,+1,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.13,,1,1,0,,,,SF6_Jamie_2lk.png,SF6_Jamie_2lk_hitbox.png,Damage DL0-DL4: 180/190/200/210/220; chains into 5LK/2LP/2LK; useful option out of Drive Rush that links into 2MK for a double-low starter
1,通常技,9,しゃがみ中P（透骨拳）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（透骨拳）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-8,13,5,-1,C,600,,1500,-3000,-4000,500,上,空振り時硬直2F増加,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""6-8"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": ""13"", ""official_raw"": ""13"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""13"", ""supercombo_raw"": ""13(15)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}",,,,,Normals and Target Combos,ground_normal,Jamie_2mp_dl2,2MP,Crouch MP (DL2),600,6,3,13(15),21(23),+5,-1,LH,Sp SA,16,,,+9,-14,+11,+5,+9,+3,21,15,11,3000,[4000],1500,500 (350),250 (125),,,,1.08,,1,1,0,,,,SF6_Jamie_2mp.png,SF6_Jamie_2mp_hitbox.png,"Damage DL0-DL4: 540/570/600/630/660; 2f extra recovery on whiff; decent tool for buffers, combos, and frame traps; extends a hurtbox on whiff until the end of recovery; SA2 cancel: +14/+8; Drink cancel: -30/-36"
1,通常技,10,しゃがみ中K（膝降蹴）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（膝降蹴）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-9,18,-1,-6,C,500,始動補正20%,1000,-2000,-4000,600,下,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""7-9"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""500"", ""official_raw"": ""500"", ""supercombo"": ""500"", ""supercombo_raw"": ""500""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""18"", ""official_raw"": ""18"", ""supercombo"": ""18"", ""supercombo_raw"": ""18""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}",,,,,Normals and Target Combos,ground_normal,Jamie_2mk_dl2,2MK,Crouch MK (DL2),500,7,3,18,27,-1,-6,L,Sp SA,13,,20% Starter,+3,-19,+9,+4,+3,-2,20,15,9,2000,[4000],1000,600 (420),300 (150),,,,1.46,,1,1,0,,,,SF6_Jamie_2mk.png,SF6_Jamie_2mk_hitbox.png,Damage DL0-DL4: 450/475/500/525/550; high pushback on block makes it safer and helps to set up spacing traps; SA2 cancel: +12/+7; Drink cancel: -32/-37; Range: 1.42; special/DR cancel is delayed until after 2nd active frame; has an extended hurtbox on whiff until the end of recovery
