category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（ノーシ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ノーシ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-8,10,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}",,,,,Normals and Target Combos,ground_normal,jp_5lp,5LP,Standing Light Punch,300,6,3,10,18,+4,-2,LH,Chn Sp SA,13,,20% Starter,+8,-11,+6,0,+8,+2,17,11,9,500,[2000],250,300 (210),150 (75),,,,1.22,,1,1,0,,,,SF6_JP_5lp.png,SF6_JP_5lp_hitbox.png,Chains into 5LP/2LP/2LK; DR cancel is delayed until after 2nd active frame
1,通常技,2,立ち弱K（ニージニイ・ウダール）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（ニージニイ・ウダール）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,11,3,-2,C,300,始動補正20%,250,-500,-2000,300,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""11"", ""supercombo"": ""11""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}",,,,,Normals and Target Combos,ground_normal,jp_5lk,5LK,Standing Light Kick,300,5,3,11,18,+3,-2,LH,Sp SA,13,,20% Starter,+7,-12,+6,+1,+7,+2,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.12,JP's longest range 5f punish (among the shortest in the game),1,1,0,,,,SF6_JP_5lk.png,SF6_JP_5lk_hitbox.png,DR cancel is delayed until after 2nd active frame
1,通常技,3,立ち中P（シュトゥールム）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（シュトゥールム）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-14,21,1,-6,※,700,,3000,-4000,-6000,500,上,※ヴィーハト・チェーニのみキャンセル可能,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""recovery"": {""match"": true, ""official"": ""21"", ""supercombo"": ""21""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}",,,,,Normals and Target Combos,ground_normal,jp_5mp,5MP,Standing Medium Punch,700,12,3,21,35,+1,-6,LH,-,15 (214HP),,,+5,-22,,,+5,-2,25,18,11,4000,[6000],3000,500 (250),350 (125),,,,1.90,,1,1,0,,,,SF6_JP_5mp.png,SF6_JP_5mp_hitbox.png,Long-range poke with great hitbox priority; cancelable into 214HP projectile when Departure portal is active
1,通常技,4,立ち中K（ウームヌィ・ウダール）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（ウームヌィ・ウダール）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,19,3,-3,C,600,,1500,-3000,-4000,500,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""recovery"": {""match"": true, ""official"": ""19"", ""supercombo"": ""19""}, ""startup"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}",,,,,Normals and Target Combos,ground_normal,jp_5mk,5MK,Standing Medium Kick,600,8,3,19,29,+3,-3,LH,Sp SA,15,,,+7,-20,+13,+7,+7,+1,25,19,11,3000,[4000],1500,500 (250),350 (125),,,,1.47,,1,1,0,,,,SF6_JP_5mk.png,SF6_JP_5mk_hitbox.png,Cancelable poke and combo tool; special/DR cancel is delayed until after active frames; foot hurtbox does not extend until frame 11 (useful vs. low pokes)
1,通常技,5,立ち強P（キンターヴル）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（キンターヴル）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-13,22,3,-3,C,800,始動補正20%,2000,-5000,-8000,1000,上,空中ヒット時吹き飛びダウン パニッシュカウンター時+25F,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""22"", ""supercombo"": ""22""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}",,,,,Normals and Target Combos,ground_normal,jp_5hp,5HP,Standing Heavy Punch,800,12,2,22,35,+3,-3,LH,Sp SA,16 (23 PC),,20% Starter,+25 Stagger,-22,+17,+11,+7,+1,27,21,13 (20 PC),5000,[8000],2000,1000 (700),500 (250),,,,1.58,,1,4,4,,,,SF6_JP_5hp.png,SF6_JP_5hp_hitbox.png,"JP's main combo/juggle/punish tool (essentially a cancelable version of 5MP with less range); Punish Counter allows a 1-bar Drive Rush follow-up, or a cancel into 214PP with enough frame advantage to link 2MP afterwards; has juggle potential even without Drive Rush; puts airborne opponents into a limited juggle state; extends a large hurtbox 1f before active that is vulnerable to projectiles; hurtbox is extended horizontally during all active and recovery frames for easier whiff punishability"
1,通常技,6,立ち強K（オボロートニ）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（オボロートニ）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-15,17,7,2,,800,,3000,-4000,-10000,1000,上,※ヴィーハト・チェーニのみキャンセル可能,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""17"", ""supercombo"": ""17""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}",,,,,Normals and Target Combos,ground_normal,jp_5hk,5HK,Standing Heavy Kick,800,12,4,17,32,+7,+2,LH,TC,18 TC / 214HP,,,+11,-19,,,+11,+6,28,23,13,4000,[10000],3000,1000 (700),500 (250),"9-15 Air (Head), 12-17 Air (Leg)",,,1.62,,1,1,0,,,,SF6_JP_5hk.png,SF6_JP_5hk_hitbox.png,Useful anti-air and combo/pressure starter with a confirmable Target Combo follow-up; whiffs on crouching opponents from farther away unless they extend a vertical hurtbox; pushback on block keeps JP out of throw range even after Drive Rush; cancelable into 214HP projectile when Departure portal is active
1,通常技,7,しゃがみ弱P（ブィストルイ・ウダール）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（ブィストルイ・ウダール）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,11,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""11"", ""supercombo"": ""11""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}",,,,,Normals and Target Combos,ground_normal,jp_2lp,2LP,Crouching Light Punch,300,4,2,11,16,+4,-1,LH,Chn Sp SA,12,,20% Starter,+8,-11,+6,+1,+8,+3,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.07,,1,1,0,,0.371,0.325,SF6_JP_2lp.png,SF6_JP_2lp_hitbox.png,"Chains into 5LP/2LP/2LK; JP's only 4f normal, making it an important defensive option; DR cancel is delayed until after 2nd active frame; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
1,通常技,8,しゃがみ弱K（リョーフキー・ウダール）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（リョーフキー・ウダール）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-7,10,2,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応 ※ヴィーハト・チェーニのみキャンセル可能,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""200"", ""supercombo"": ""200""}, ""recovery"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}",,,,,Normals and Target Combos,ground_normal,jp_2lk,2LK,Crouching Light Kick,200,6,2,10,17,+2,-2,L,Chn,12 (214HP),,20% Starter,+6,-10,,,+6,+2,14,10,9,500,[2000],250,300 (210),150 (75),,,,1.19,,1,1,0,,,,SF6_JP_2lk.png,SF6_JP_2lk_hitbox.png,Chains into 5LP/2LP/2LK; cancelable into 214HP projectile when Departure portal is active
1,通常技,9,しゃがみ中P（ズミヤー）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（ズミヤー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-10,14,6,-2,C,600,,1500,-3000,-4000,500,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""recovery"": {""match"": true, ""official"": ""14"", ""supercombo"": ""14""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}",,,,,Normals and Target Combos,ground_normal,jp_2mp,2MP,Crouching Medium Punch,600,7,4,14,24,+6,-2,LH,Sp SA,16,,,+10,-16,+11,+3,+10,+2,24,16,11,3000,[4000],1500,500 (250),350 (125),,,,1.22,,1,1,0,,,,SF6_JP_2mp.png,SF6_JP_2mp_hitbox.png,Good poke and combo/buffer tool; special/DR cancel is delayed until after active frames; has an extended hurtbox on whiff until the end of recovery; topmost hurtbox on frames 1-10 is vulnerable only to aerial strikes (preventing its use as an anti-air)
1,通常技,10,しゃがみ中K（ズローバ）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（ズローバ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,17,3,-3,,700,始動補正20%,2000,-4000,-6000,500,下,※ヴィーハト・チェーニのみキャンセル可能,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""recovery"": {""match"": true, ""official"": ""17"", ""supercombo"": ""17""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,ground_normal,jp_2mk,2MK,Crouching Medium Kick,700,9,3,17,28,+3,-3,L,-,15 (214HP),,20% Starter,+7,-18,,,+7,+1,23,17,11,4000,[6000],2000,500 (250),350 (125),,,,1.74,,1,1,0,,,,SF6_JP_2mk.png,SF6_JP_2mk_hitbox.png,"Long range low poke that moves JP forward; after Drive Rush or Punish Counter, can confirm into 2MP; has an extended hurtbox on whiff until the end of recovery; cancelable into 214HP projectile when Departure portal is active"
1,通常技,11,しゃがみ強P（マリートヴァ）,key-d key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強P（マリートヴァ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-14,20,1,-6,C,800,,2000,-5000,-8000,1000,上,強制立ち効果,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,ground_normal,jp_2hp,2HP,Crouching Heavy Punch,800,9,6,20,34,+1,-6,LH,Sp SA,20,,,+5,-24,+17,+10,+5,-2,27,20,13,5000,[8000],2000,1000 (700),500 (250),,,,0.87,,1,4,6,,,,SF6_JP_2hp.png,"SF6_JP_2hp_hitbox_preview.png, SF6_JP_2hp_hitbox_1.png, SF6_JP_2hp_hitbox_2.png","Solid anti-air but cannot hit cross-up; arm hurtbox is anti-air invuln on active frames 2-6; very short horizontal range; fastest of JP's heavy normals, making it useful in some Drive Rush combo routes; high juggle potential even without Drive Rush"
