category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（首甲殺）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（首甲殺）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-7,7,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4-7"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,Juri_5lp,5LP,Standing Light Punch,300,4,4,7,14,+5,-2,LH,Chn Sp SA,14,,20% Starter,+9,-9,+4,-3,+9,+2,16,9,9,500,[2000],250,300 (210),150 (75),,,,0.85,,1,1,0,,0.319,0.333,SF6_Juri_5lp.png,SF6_Juri_5lp_hitbox.png,Chains into 5LP/2LP/2LK; high active frame count makes it a useful meaty (up to +8/+1); SA2 cancel: +8/+1; DR cancel is delayed until after 3rd active frame
1,通常技,2,[チェーンコンボ]立ち弱P（首甲殺）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち弱P（首甲殺）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-7,7,5,-2,C,100,始動補正20%,62,-125,-500,0,上,連打キャンセル対応 空中ヒット時吹き飛びダウン,enriched_review_required,basic_field_conflict:damage;supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match,1,damage,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4-7"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": false, ""official"": ""100"", ""official_raw"": ""100"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,Juri_5lp,5LP,Standing Light Punch,300,4,4,7,14,+5,-2,LH,Chn Sp SA,14,,20% Starter,+9,-9,+4,-3,+9,+2,16,9,9,500,[2000],250,300 (210),150 (75),,,,0.85,,1,1,0,,0.319,0.333,SF6_Juri_5lp.png,SF6_Juri_5lp_hitbox.png,Chains into 5LP/2LP/2LK; high active frame count makes it a useful meaty (up to +8/+1); SA2 cancel: +8/+1; DR cancel is delayed until after 3rd active frame
1,通常技,3,立ち弱K（微弄脚）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（微弄脚）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,9,2,-3,C,300,始動補正20%,250,-500,-2000,300,上,,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,Juri_5lk,5LK,Standing Light Kick,300,5,3,9,16,+2,-3,LH,Sp SA,13,,20% Starter,+6,-10,+4,-1,+6,+1,13,7,9,500,[2000],250,300 (210),150 (75),,,,1.16,,1,1,0,,,,SF6_Juri_5lk.png,SF6_Juri_5lk_hitbox.png,"Good range for a light normal, but can't combo into 214MK; SA2 cancel: +5/0; special cancel is delayed until after 2nd active frame"
1,通常技,4,[チェーンコンボ]立ち弱K（微弄脚）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち弱K（微弄脚）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,9,2,-3,C,100,始動補正20%,62,-125,-500,0,上,空中ヒット時吹き飛びダウン,enriched_review_required,basic_field_conflict:damage;supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match,1,damage,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": false, ""official"": ""100"", ""official_raw"": ""100"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,Juri_5lk,5LK,Standing Light Kick,300,5,3,9,16,+2,-3,LH,Sp SA,13,,20% Starter,+6,-10,+4,-1,+6,+1,13,7,9,500,[2000],250,300 (210),150 (75),,,,1.16,,1,1,0,,,,SF6_Juri_5lk.png,SF6_Juri_5lk_hitbox.png,"Good range for a light normal, but can't combo into 214MK; SA2 cancel: +5/0; special cancel is delayed until after 2nd active frame"
1,通常技,5,立ち中P（胸破殺）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（胸破殺）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,12,7,2,C,600,,1500,-3000,-4000,500,上,,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""6-9"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}",,,,,Normals and Target Combos,ground_normal,Juri_5mp,5MP,Standing Medium Punch,600,6,4,12,21,+7,+2,LH,Sp SA TC,16,,,+11,-14,+12,+7,+11,+6,23,18,11,3000,[4000],1500,500 (350),250 (125),,,,0.93,,1,1,0,,,,SF6_Juri_5mp.png,SF6_Juri_5mp_hitbox.png,"Strong combo/pressure starter and meaty tool, especially out of Drive Rush to minimize pushback; meaty timing can be up to +10/+5; SA2 cancel: +14/+9; special/DR cancel is delayed until after 2nd active frame"
1,通常技,6,[チェーンコンボ]立ち中P（胸破殺）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち中P（胸破殺）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,12,7,2,C,400,,375,-750,-1000,0,上,空中ヒット時吹き飛びダウン,enriched_review_required,basic_field_conflict:damage;supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match,1,damage,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""6-9"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": false, ""official"": ""400"", ""official_raw"": ""400"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}",,,,,Normals and Target Combos,ground_normal,Juri_5mp,5MP,Standing Medium Punch,600,6,4,12,21,+7,+2,LH,Sp SA TC,16,,,+11,-14,+12,+7,+11,+6,23,18,11,3000,[4000],1500,500 (350),250 (125),,,,0.93,,1,1,0,,,,SF6_Juri_5mp.png,SF6_Juri_5mp_hitbox.png,"Strong combo/pressure starter and meaty tool, especially out of Drive Rush to minimize pushback; meaty timing can be up to +10/+5; SA2 cancel: +14/+9; special/DR cancel is delayed until after 2nd active frame"
1,通常技,7,立ち中K（伸腿蹴）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（伸腿蹴）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-10,17,3,-4,C,700,,2000,-4000,-6000,1050,上,,enriched_review_required,"condition_dependent_supercombo_field:startup;uncomparable_basic_field:active_duration,damage,startup;supercombo_row_reused",matched,exact_input+family_input+same_family+category_move_type+recovery_match,1,,"{""active_duration"": {""comparable"": false, ""official"": ""6"", ""official_raw"": ""5-10"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""2(1)3""}, ""damage"": {""comparable"": false, ""official"": ""700"", ""official_raw"": ""700"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""400,300 (700)""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""17"", ""official_raw"": ""17"", ""supercombo"": ""17"", ""supercombo_raw"": ""17""}, ""startup"": {""comparable"": false, ""official"": ""5"", ""official_raw"": ""5"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""5"", ""supercombo_raw"": ""5(8)""}}",,,,,Normals and Target Combos,ground_normal,Juri_5mk,5MK,Standing Medium Kick,"400,300 (700)",5(8),2(1)3,17,27,+3,-4,LH,Sp SA (1st),14,,,+7,-21 / -18,+17,+5,+7,0,"27,23","15,16","11,11",2000x2,[3000x2],1000x2,"350,700 (245,490)","175,350 (87,175)",,,,1.427 (0.74),"Extremely short range as a 5-frame punish (0.74), but more rewarding when landed","1,1","1,1","0,0",,,,"SF6_Juri_5mk_1.png, SF6_Juri_5mk_2.png","SF6_Juri_5mk_hitbox_preview.png, SF6_Juri_5mk_hitbox_1.png, SF6_Juri_5mk_hitbox_2.png",8f startup for 2nd hit only; 1st hit can combo from 5LP and has enough hitstun to combo to 214HK for a launch and Fuha stock; great poke in neutral (1st hit can interrupt opponent's button while 2nd hit extends for long range); very effective when used out of Drive Rush; SA2 cancel: +19/+7 (1st hit)
1,通常技,8,[チェーンコンボ]立ち中K（伸腿蹴）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち中K（伸腿蹴）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-10,17,3,-4,C,500,,500,-1000,-1500,0,上,空中ヒット時吹き飛びダウン,enriched_review_required,"condition_dependent_supercombo_field:startup;uncomparable_basic_field:active_duration,damage,startup;supercombo_row_reused",matched,exact_input+family_input+same_family+category_move_type+recovery_match,1,,"{""active_duration"": {""comparable"": false, ""official"": ""6"", ""official_raw"": ""5-10"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""2(1)3""}, ""damage"": {""comparable"": false, ""official"": ""500"", ""official_raw"": ""500"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""400,300 (700)""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""17"", ""official_raw"": ""17"", ""supercombo"": ""17"", ""supercombo_raw"": ""17""}, ""startup"": {""comparable"": false, ""official"": ""5"", ""official_raw"": ""5"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""5"", ""supercombo_raw"": ""5(8)""}}",,,,,Normals and Target Combos,ground_normal,Juri_5mk,5MK,Standing Medium Kick,"400,300 (700)",5(8),2(1)3,17,27,+3,-4,LH,Sp SA (1st),14,,,+7,-21 / -18,+17,+5,+7,0,"27,23","15,16","11,11",2000x2,[3000x2],1000x2,"350,700 (245,490)","175,350 (87,175)",,,,1.427 (0.74),"Extremely short range as a 5-frame punish (0.74), but more rewarding when landed","1,1","1,1","0,0",,,,"SF6_Juri_5mk_1.png, SF6_Juri_5mk_2.png","SF6_Juri_5mk_hitbox_preview.png, SF6_Juri_5mk_hitbox_1.png, SF6_Juri_5mk_hitbox_2.png",8f startup for 2nd hit only; 1st hit can combo from 5LP and has enough hitstun to combo to 214HK for a launch and Fuha stock; great poke in neutral (1st hit can interrupt opponent's button while 2nd hit extends for long range); very effective when used out of Drive Rush; SA2 cancel: +19/+7 (1st hit)
1,通常技,9,立ち強P（蜘殺）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（蜘殺）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-12,24,-1,-5,C,800,,2000,-5000,-8000,1000,上,強制立ち効果,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""10-12"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""24"", ""official_raw"": ""24"", ""supercombo"": ""24"", ""supercombo_raw"": ""24""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}",,,,,Normals and Target Combos,ground_normal,Juri_5hp,5HP,Standing Heavy Punch,800,10,3,24,36,-1,-5,LH,Sp SA,17,,,+3,-25,+16,+12,+3,-1,26,22,13,5000,[8000],2000,1000 (700),500 (250),,,,1.588 (1.49),,1,1,0,,,,SF6_Juri_5hp.png,SF6_Juri_5hp_hitbox.png,Forces stand on hit; good whiff punish tool with long range; large hurtbox makes it weak as an anti-air; SA2 cancel: +18/+14
1,通常技,10,[チェーンコンボ]立ち強P（蜘殺）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち強P（蜘殺）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-12,24,D,-5,C,600,,500,-1250,-2000,0,上,,enriched_review_required,basic_field_conflict:damage;supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match,1,damage,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""10-12"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": false, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""24"", ""official_raw"": ""24"", ""supercombo"": ""24"", ""supercombo_raw"": ""24""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}",,,,,Normals and Target Combos,ground_normal,Juri_5hp,5HP,Standing Heavy Punch,800,10,3,24,36,-1,-5,LH,Sp SA,17,,,+3,-25,+16,+12,+3,-1,26,22,13,5000,[8000],2000,1000 (700),500 (250),,,,1.588 (1.49),,1,1,0,,,,SF6_Juri_5hp.png,SF6_Juri_5hp_hitbox.png,Forces stand on hit; good whiff punish tool with long range; large hurtbox makes it weak as an anti-air; SA2 cancel: +18/+14
1,通常技,11,立ち強K（空耀脚）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（空耀脚）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",17,17-20,19,2,-3,,900,始動補正20%,4000,-6000,-10000,1000,上,パニッシュカウンター、空中カウンター/パニッシュカウンター時吹き飛びダウン 空中パニッシュカウンター時吹き飛び時間延長,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""17-20"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""19"", ""official_raw"": ""19"", ""supercombo"": ""19"", ""supercombo_raw"": ""19""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""17"", ""official_raw"": ""17"", ""supercombo"": ""17"", ""supercombo_raw"": ""17""}}",,,,,Normals and Target Combos,ground_normal,Juri_5hk,5HK,Standing Heavy Kick,900,17,4,19,39,+2(+5),-3(0),LH,-,,,20% Starter,KD +42(+45) Launch,-21(-18),,,+6(+9),+1(+4),25,20,13,6000,[10000],4000,1000 (700),500 (250),,,,2.264 (2.19),,1 PC Ground [1 CH/PC Air],1,0,,,,SF6_Juri_5hk.png,SF6_Juri_5hk_hitbox.png,Not airborne despite the animation; Counter-Hit/Punish Counter puts airborne opponents into limited juggle state; Punish Counter also puts grounded opponents into limited juggle state with a follow-up juggle; long range and safe on block makes it great in neutral; better frame advantage when well spaced (very difficult to connect with the final active frame); extends a hurtbox 1f before active that is vulnerable to projectiles
