category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（扇打）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（扇打）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,7,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,mai_5lp,5LP,Standing Light Punch,300,4,3,7,13,+5,-2,LH,Chn Sp SA,13,,20% Starter,+9,-8,+5,-2,+9,+2,15,8,9,500,[2000],250,300 (210),150 (75),,,,0.97,,1,1,0,,0.320,0.315,SF6_Mai_5lp.png,SF6_Mai_5lp_hitbox.png,"Chains into 5LP/2LP/2LK; useful in combos due to its extra 1f hitstun over 2LP (combos naturally into 214LP/MP, 236KK, and has more utility in CH/PC/DR routes)"
1,通常技,2,立ち弱K（飛燕脚）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（飛燕脚）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,8,1,-1,C,300,始動補正20%,250,-500,-2000,300,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,mai_5lk,5LK,Standing Light Kick,300,4,3,8,14,+1,-1,LH,Sp SA TC,14 Sp/TC,,20% Starter,+5,-9,+2,0,+5,+3,12,10,10,500,[2000],250,300 (210),150 (75),,,,0.77,,1,1,0,,0.325,0.330,SF6_Mai_5lk.png,SF6_Mai_5lk_hitbox.png,Very short range (only combos naturally from point blank 5LP/2LP); only useful for 5LK~LK~LK Target Combo
1,通常技,3,立ち中P（扇子突き）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（扇子突き）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-11,15,2,-3,C,600,,1500,-3000,-4000,600,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""8-11"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""15"", ""official_raw"": ""15"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,mai_5mp,5MP,Standing Medium Punch,600,8,4,15,26,+2,-3,LH,Sp SA,16,,,+6,-17,+11,+6,+6,+1,21,16,11,3000,[4000],1500,600 (420),300 (150),,,,1.46 (1.408),,1,1,0,,,,SF6_Mai_5mp.png,"SF6_Mai_5mp_hitbox.png, SF6_Mai_5mp_hitbox_2.png, SF6_Mai_5mp_hitbox_3.png",Great range for a cancelable poke; solid hitbox priority; important combo tool from Punish Counter 2LP (works from max range); has an extended hurtbox on whiff until the end of recovery
1,通常技,4,立ち中K（舞蹴撃）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（舞蹴撃）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,18,5,-4,,700,,1500,-3000,-4000,700,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""9-11"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""18"", ""official_raw"": ""18"", ""supercombo"": ""18"", ""supercombo_raw"": ""18""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}",,,,,Normals and Target Combos,ground_normal,mai_5mk,5MK,Standing Medium Kick,700,9,3,18,29,+5,-4,LH,-,,,,+9,-19,,,+9,0,26,17,11,3000,[4000],1500,700 (490),350 (175),,,,1.58,,1,1,0,,,,SF6_Mai_5mk.png,SF6_Mai_5mk_hitbox.png,Solid poke with good hitbox priority that can lead to combos with CH/PC/DR; links consistently into SA2 when used as a whiff punish; Mai lifts up her front hurtbox on frames 4-17 making it useful vs. low attacks
1,通常技,5,立ち強P（大扇打）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（大扇打）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,21,1,-3,C,800,,2000,-4000,-8000,800,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""9-11"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""21"", ""official_raw"": ""21"", ""supercombo"": ""21"", ""supercombo_raw"": ""21""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}",,,,,Normals and Target Combos,ground_normal,mai_5hp,5HP,Standing Heavy Punch,800,9,3,21,32,+1(+3),-3(-1),LH,Sp SA,17,,,+5(+7),-22(-20),+15,+11,+5(+7),+1(+3),25,21,13,4000,[8000],2000,800 (560),400 (200),,,,1.613 (1.467),,1,1,0,,,,SF6_Mai_5hp.png,"SF6_Mai_5hp_hitbox.png, SF6_Mai_5hp_hitbox_2.png",Very long range for a cancelable poke; great for combos and whiff punishing; combos from PC/DR 5LP for optimal conversions; slightly less pushback on Counter-hit/Punish Counter (makes some ranged 214P cancels more reliable)
1,通常技,6,立ち強K（背面蹴り）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（背面蹴り）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",14,14-16,19,3,-3,,900,始動補正20%,4000,-6000,-10000,1000,上,空振り時硬直3F増加 パニッシュカウンター時に膝崩れダウンに ＋22,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""14-16"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": false, ""official"": ""19"", ""official_raw"": ""19"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""19"", ""supercombo_raw"": ""19(22)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""14"", ""official_raw"": ""14"", ""supercombo"": ""14"", ""supercombo_raw"": ""14""}}",,,,,Normals and Target Combos,ground_normal,mai_5hk,5HK,Standing Heavy Kick,900,14,3,19(22),35(38),+3,-3,LH,-,,,20% Starter,KD +61 Crumple,-20,,,+7,+1,25,19,13,6000,[10000],4000,1000 (700),500 (250),,,,1.97,,1 [-1 PC],1,0,,,,SF6_Mai_5hk.png,SF6_Mai_5hk_hitbox.png,"3f extra recovery on whiff; Great range for a safe poke; Mai lifts up her leg hurtbox on frames 10-16 making it decent vs. low attacks; grounded Punish Counter causes a crumple state (opponent is airborne for all follow-up hits); airborne Punish Counter puts opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; extends a hurtbox at mid-height for the first 17 recovery frames, making it more whiff punishable by standing or high-angled crouching buttons"
1,通常技,7,しゃがみ弱P（龍尾髪）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（龍尾髪）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,7,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,mai_2lp,2LP,Crouching Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.03,,1,1,0,,0.321,0.311,SF6_Mai_2lp.png,SF6_Mai_2lp_hitbox.png,Chains into 5LP/2LP/2LK; longest range of Mai's light normals; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
1,通常技,8,しゃがみ弱K（摺り蹴り）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（摺り蹴り）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,8,2,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,mai_2lk,2LK,Crouching Light Kick,200,5,3,8,15,+2,-2,L,Chn,,,20% Starter,+6,-9,,,+6,+2,13,9,9,500,[2000],250,300 (210),150 (75),,,,0.99,,1,1,0,,,,SF6_Mai_2lk.png,SF6_Mai_2lk_hitbox.png,Chains into 5LP/2LP/2LK
1,通常技,9,しゃがみ中P（背面ひじ打ち）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（背面ひじ打ち）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,15,5,-3,C,600,,1500,-3000,-4000,600,上,空振り時硬直2F増加,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""6-9"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": ""15"", ""official_raw"": ""15"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""15"", ""supercombo_raw"": ""15(17)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}",,,,,Normals and Target Combos,ground_normal,mai_2mp,2MP,Crouching Medium Punch,600,6,4,15(17),24(26),+5,-3,LH,Sp SA,16,,,+9,-17,+14,+6,+9,+1,24,16,11,3000,[4000],1500,600 (420),300 (150),,,,1.23 (1.207),,1,1,0,,,,SF6_Mai_2mp.png,SF6_Mai_2mp_hitbox.png,2f extra recovery on whiff; good range for a cancelable 6f medium; the forward movement makes it riskier to whiff than similar attacks
1,通常技,10,しゃがみ中K（捌き蹴り）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（捌き蹴り）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-9,19,-2,-6,C,500,始動補正20%,1000,-2000,-4000,500,下,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""7-9"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""500"", ""official_raw"": ""500"", ""supercombo"": ""500"", ""supercombo_raw"": ""500""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""19"", ""official_raw"": ""19"", ""supercombo"": ""19"", ""supercombo_raw"": ""19""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}",,,,,Normals and Target Combos,ground_normal,mai_2mk,2MK,Crouching Medium Kick,500,7,3,19,28,-2,-6,L,Sp SA,13,,20% Starter,+2,-20,+8,+4,+2,-2,20,16,9,2000,[4000],1000,500 (350),250 (125),,,,1.438,,1,1,0,,,,SF6_Mai_2mk.png,SF6_Mai_2mk_hitbox.png,Cancelable low poke with decent range; useful Counter-hit conversion after 5LP at ranges where 2MP whiffs; has an extended hurtbox on whiff until the end of recovery; DR cancel is delayed until after active frames
1,通常技,11,しゃがみ強P（回転扇打）,key-d key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強P（回転扇打）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-22,19,4,-3,,800,,2000,-5000,-8000,1000,上,,enriched_review_required,"uncomparable_basic_field:active_duration,damage",matched,exact_input+family_input+same_family+category_move_type+startup_match+recovery_match,1,,"{""active_duration"": {""comparable"": false, ""official"": ""13"", ""official_raw"": ""10-22"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""2(8)3""}, ""damage"": {""comparable"": false, ""official"": ""800"", ""official_raw"": ""800"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""400x2""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""19"", ""official_raw"": ""19"", ""supercombo"": ""19"", ""supercombo_raw"": ""19""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}",,,,,Normals and Target Combos,ground_normal,mai_2hp,2HP,Crouching Heavy Punch,400x2,10,2(8)3,19,41,+4,-3,"LH,LH",-,,,,+8,-20,,,+8,+1,36(26),29(19),"5,9",2500x2,[4000x2],1000x2,"600,400 (420,280)","300,200 (150,100)",,,,1.605 (1.294),,"1,1","0,0","0,1",,,,"SF6_Mai_2hp.png, SF6_Mai_2hp_2.png","SF6_Mai_2hp_hitbox.png, SF6_Mai_2hp_2_hitbox.png",2 hits; first hit has great hitbox priority for counter-poking and pulls the opponent closer on hit/block; useful as an approach or combo extension with Drive Rush; Counter-hit/Punish Counter advantage carries through both hits
