category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（ハジメ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ハジメ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,10,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,manon_5lp,5LP,Standing Light Punch,300,4,3,10,16,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-11,+5,0,+8,+3,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.424,0.433,SF6_Manon_5lp.png,SF6_Manon_5lp_hitbox.png,Chains into 5LP/2LP/2LK; higher hitstun than other light normals allows a natural combo into 214LK/214MK; DR cancel is delayed until after active frames
1,通常技,2,立ち弱K（タンジュ）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（タンジュ）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-6,12,2,-2,C,300,始動補正20%,250,-500,-2000,300,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,manon_5lk,5LK,Standing Light Kick,300,5,2,12,18,+2,-2,LH,Sp SA,12,,20% Starter,+6,-12,+6,+2,+6,+2,16,12,9,500,[2000],250,300 (210),150 (75),,,,1.35,,1,1,0,,,,SF6_Manon_5lk.png,SF6_Manon_5lk_hitbox.png,Longest ranged light normal (important for punishing -5 or -6 attacks); does not naturally combo into 214LK/214MK outside of Punish Counter situations
1,通常技,3,立ち中P（ツリテ）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（ツリテ）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-10,15,2,-2,C,600,,1500,-3000,-4000,500,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""7-10"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""15"", ""official_raw"": ""15"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}",,,,,Normals and Target Combos,ground_normal,manon_5mp,5MP,Standing Medium Punch,600,7,4,15,25,+2,-2,LH,Sp SA TC,16 (19 TC),,,+6,-17,+11,+7,+6,+2,21,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.48,,1,1,0,,,,SF6_Manon_5mp.png,SF6_Manon_5mp_hitbox.png,Moves forward during startup; easily hitconfirmable into TC follow-up (always a true blockstring even if delayed); high active frame count makes it good for oki; Punish Counter causes the follow-up Target Combo (5MP~MK) to change properties (causes hard knockdown instead of standing reset); strong Drive Rush check that can combo into 236LP on counter-hit for a medal
1,通常技,4,立ち中K（ラ・シェーヌ）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（ラ・シェーヌ）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-12,18,-2,-5,C,600,,1500,-3000,-4000,700,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""10-12"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""18"", ""official_raw"": ""18"", ""supercombo"": ""18"", ""supercombo_raw"": ""18""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}",,,,,Normals and Target Combos,ground_normal,manon_5mk,5MK,Standing Medium Kick,600,10,3,18,30,-2,-5,LH,Sp SA,18,,,+2,-19,+7,+4,+2,-1,19,16,11,3000,[4000],1500,700 (490),350 (175),,,,1.587 (1.408),,1,1,0,,,,SF6_Manon_5mk.png,SF6_Manon_5mk_hitbox.png,"Front leg hurtbox is raised on frames 9-12, making it a good poke against low attacks; DR cancel is delayed until after active frames"
1,通常技,5,立ち強P（ランドリ）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（ランドリ）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-13,20,0,-3,SA,800,,3000,-6000,-10000,1000,上,空中ヒット時吹き飛びダウン,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""10-13"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}",,,,,Normals and Target Combos,ground_normal,manon_5hp,5HP,Standing Heavy Punch,800,10,4,20,33,0,-3,LH,SA TC,18 SA (29 TC),,,+4,-22,,,+4,+1,24,21,13,6000,[10000],3000,1000 (700),500 (250),,,,1.66,,1,1,1,,,,SF6_Manon_5hp.png,SF6_Manon_5hp_hitbox.png,Very lenient hitconfirm window (always a true blockstring even if delayed); puts airborne opponents into limited juggle state; Punish Counter causes the follow-up Target Combo (5HP~HP) to change properties (causes limited juggle state knockdown instead of standing reset); can be used in juggle routes to cancel into 5HP~HP or SA2 (e.g. after j.MP / 236P~K / corner 236KK / corner 236PP~K > 4HP)
1,通常技,6,立ち強K（ピエ・ドンジュ）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（ピエ・ドンジュ）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",15,15-17,26,※1,-6,,900,,3000,-6000,-10000,1000,上,※地上パニッシュカウンター時+17F 空中パニッシュカウンター時吹き飛びダウン,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""15-17"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": false, ""official"": ""26"", ""official_raw"": ""26"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""23"", ""supercombo_raw"": ""23(26)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""15"", ""official_raw"": ""15"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}}",,,,,Normals and Target Combos,ground_normal,manon_5hk,5HK,Standing Heavy Kick,900,15,3,23(26),40(43),+1,-6,LH,-,,,,+17 Stagger,-27,,,+5,-2,27,23,13,6000,[10000],3000,1000 (700),500 (250),,,,2.28 (2.241),,1 [0 PC Air],0,0,,,,SF6_Manon_5hk.png,SF6_Manon_5hk_hitbox.png,3f extra recovery on block/whiff; incredibly long range poke that can combo into 214LK/214MK on Punish Counter from max range; Punish Counter puts airborne opponents into spinning free juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; the slow startup and recovery makes it especially vulnerable to Drive Impact
1,通常技,7,しゃがみ弱P（ソデキリ）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（ソデキリ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,11,3,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""4-5"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,manon_2lp,2LP,Crouching Light Punch,300,4,2,11,16,+3,-2,LH,Chn Sp SA,12,,20% Starter,+7,-11,+6,+1,+7,+2,16,11,9,500,[2000],250,300 (210),150 (75),,,,1.09,,1,1,0,,0.427,0.436,SF6_Manon_2lp.png,SF6_Manon_2lp_hitbox.png,"Chains into 5LP/2LP/2LK; true blockstring when chained into 5LP/2LP; cannot combo into 214LK/214MK, but gives more reliable 3-hit light confirm; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
1,通常技,8,しゃがみ弱K（シーニュ・ナジェ）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（シーニュ・ナジェ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-6,13,-1,-3,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""13"", ""official_raw"": ""13"", ""supercombo"": ""13"", ""supercombo_raw"": ""13""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,manon_2lk,2LK,Crouching Light Kick,200,5,2,13,19,-1,-3,L,Chn,,,20% Starter,+3,-13,,,+3,+1,14,12,9,500,[2000],250,300 (210),150 (75),,,,1.33,,1,1,0,,,,SF6_Manon_2lk.png,SF6_Manon_2lk_hitbox.png,Chains into 5LP/2LP/2LK; primary low combo starter; less pushback than other chainable light normals (allows tick throws and easier 3-light string confirms)
1,通常技,9,しゃがみ中P（ヒキテ）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（ヒキテ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-9,11,6,-1,C,600,,1500,-3000,-4000,500,上,空振り時硬直4F増加,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""7-9"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": ""11"", ""official_raw"": ""11"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""11"", ""supercombo_raw"": ""11(15)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}",,,,,Normals and Target Combos,ground_normal,manon_2mp,2MP,Crouching Medium Punch,600,7,3,11(15),20(24),+6,-1,LH,Sp SA,15,,,+10,-12,+10,+3,+10,+3,20,13,11,3000,[4000],1500,500 (350),250 (125),,,,1.29,,1,1,0,,,,SF6_Manon_2mp.png,SF6_Manon_2mp_hitbox.png,4f extra recovery on whiff; Manon's primary combo starter
1,通常技,10,しゃがみ中K（ストゥニュー）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（ストゥニュー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-11,16,3,-2,,600,始動補正20%,2000,-4000,-6000,600,下,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""8-11"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,manon_2mk,2MK,Crouching Medium Kick,600,8,4,16,27,+3,-2,L,-,,,20% Starter,+7,-18,,,+7,+2,23,18,11,4000,[6000],2000,600 (420),300 (150),,,,1.62 (1.60),,1,1,0,,,,SF6_Manon_2mk.png,SF6_Manon_2mk_hitbox.png,"Good range low poke that leads to combos and frame advantage when used out of Drive Rush; high pushback on hit and block; after Drive Rush, can link into 5MP at closer ranges"
1,通常技,11,しゃがみ強P（ヴィクトワール・ポーム）,key-d key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強P（ヴィクトワール・ポーム）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-14,21,-2,-8,,600,,3000,-6000,-10000,1000,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""10-14"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""21"", ""official_raw"": ""21"", ""supercombo"": ""21"", ""supercombo_raw"": ""21""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}",,,,,Normals and Target Combos,ground_normal,manon_2hp,2HP,Crouching Heavy Punch,600,10,5,21,35,-2,-8,LH,TC,23 TC,,,+2,-24,,,+2,-4,24,18,11,6000,[10000],3000,1000 (700),500 (250),7-34 Air (Arm/Head),,,0.89,,10,10,0,,,,SF6_Manon_2hp.png,SF6_Manon_2hp_hitbox.png,"Very strong anti-air but cannot hit cross-up; the hurtbox on Manon's arm and head is invincible to airborne strikes, and her hurtbox remains in a crouching state for the entire animation allowing for late anti-airs to work"
