category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（ライトパンチ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ライトパンチ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-8,11,0,-2,,400,始動補正20%,250,-500,-2000,300,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""6-8"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""400"", ""official_raw"": ""400"", ""supercombo"": ""400"", ""supercombo_raw"": ""400""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}",,,,,Normals and Target Combos,ground_normal,marisa_5lp,5LP,Standing Light Punch,400,6,3,11,19,0,-2,LH,TC,13,,20% Starter,+4,-12,,,+4,+2,14,12,9,500,[2000],250,300 (210),150 (75),,,,1.216,,1,1,1,,,,SF6_Marisa_5lp.png,SF6_Marisa_5lp_hitbox.png,Good neutral buffer into 5LP~LP Target Combo (requires at least a Counter-hit to combo); causes air reset if juggled into
1,通常技,2,立ち弱K（ティビアブレイク）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（ティビアブレイク）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-7,14,0,-2,C,400,始動補正20%,250,-500,-2000,300,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""6-7"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""400"", ""official_raw"": ""400"", ""supercombo"": ""400"", ""supercombo_raw"": ""400""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""14"", ""official_raw"": ""14"", ""supercombo"": ""14"", ""supercombo_raw"": ""14""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}",,,,,Normals and Target Combos,ground_normal,marisa_5lk,5LK,Standing Light Kick,400,6,2,14,21,0,-2,LH,Sp SA,15,,20% Starter,+4,-14,+2,0,+4,+2,16,14,9,500,[2000],250,300 (210),150 (75),,,,1.433,,1,1,0,,,,SF6_Marisa_5lk.png,SF6_Marisa_5lk_hitbox.png,"At farther ranges, can only combo into SA2; special cancel is delayed until after 2nd recovery frame; DR cancel is delayed until after 3rd recovery frame"
1,通常技,3,立ち中P（ミドルパンチ）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（ミドルパンチ）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-10,15,2,-1,,700,,1500,-3000,-4000,500,上,空振り時硬直2F増加,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""7-10"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": false, ""official"": ""15"", ""official_raw"": ""15"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""15"", ""supercombo_raw"": ""15(17)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}",,,,,Normals and Target Combos,ground_normal,marisa_5mp,5MP,Standing Medium Punch,700,7,4,15(17),25(27),+2,-1,LH,TC,16,,,+6,-17,,,+6,+3,21,18,11,3000,[4000],1500,500 (350),250 (125),,,,1.356,,1,1,1,,,,SF6_Marisa_5mp.png,SF6_Marisa_5mp_hitbox.png,2f extra recovery on whiff; great hitbox and a strong buffer into 5MP~MP Target Combo
1,通常技,4,立ち中K（スターナムブレイク）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（スターナムブレイク）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",11,11-14,16,4,-2,,800,,2000,-4000,-6000,700,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""11-14"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}}",,,,,Normals and Target Combos,ground_normal,marisa_5mk,5MK,Standing Medium Kick,800,11,4,16,30,+4,-2,LH,-,,,,+8,-18,,,+8,+2,24,18,11,4000,[6000],2000,700 (490),350 (175),,,,1.749,,1,1,1,,,,SF6_Marisa_5mk.png,SF6_Marisa_5mk_hitbox.png,Good poke and Drive Rush starter
1,通常技,5,立ち強P（ヘビィーパンチ）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（ヘビィーパンチ）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-13,23,3,-3,,1000,始動補正10%,2000,-5000,-8000,1000,上,18F以上ホールドすると性能変化,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""12-13"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""1000"", ""official_raw"": ""1000"", ""supercombo"": ""1000"", ""supercombo_raw"": ""1000""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""23"", ""official_raw"": ""23"", ""supercombo"": ""23"", ""supercombo_raw"": ""23""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}}",,,,,Normals and Target Combos,ground_normal,marisa_5hp,5HP,Standing Heavy Punch,1000,12,2,23,36,+3,-3,LH,TC,18,,10% Starter,+7,-23,,,+7,+1,28,22,13,5000,[8000],2000,1000 (700),500 (250),,,,1.958,,1,1,1,,,,SF6_Marisa_5hp.png,"SF6_Marisa_5hp_hitbox_preview.png, SF6_Marisa_5hp_hitbox_1.png, SF6_Marisa_5hp_hitbox_2.png",Can hold button 21f for improved properties; strong whiff punish tool
1,通常技,6,立ち強P（ヘビィーパンチ）（ホールド）,icon_punch_h 強ホールド,"[{""type"": ""text"", ""value"": ""立ち強P（ヘビィーパンチ）（ホールド）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強ホールド""}, {""type"": ""separator"", ""value"": ""|""}]",23,23-24,22,7,4,,1200,始動補正10%,3000,-8000,-12000,1000,上,空中ヒット時吹き飛びダウン パニッシュカウンター時+15F ヒット・ガード時硬直1F減少,enriched_review_required,"basic_field_conflict:damage,recovery,startup;supercombo_row_reused",matched,exact_input+family_input+same_family+category_move_type+active_duration_match,1,"damage,recovery,startup","{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""23-24"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": false, ""official"": ""1200"", ""official_raw"": ""1200"", ""supercombo"": ""1000"", ""supercombo_raw"": ""1000""}, ""recovery"": {""comparable"": true, ""match"": false, ""official"": ""22"", ""official_raw"": ""22"", ""supercombo"": ""23"", ""supercombo_raw"": ""23""}, ""startup"": {""comparable"": true, ""match"": false, ""official"": ""23"", ""official_raw"": ""23"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}}",,,,,Normals and Target Combos,ground_normal,marisa_5hp,5HP,Standing Heavy Punch,1000,12,2,23,36,+3,-3,LH,TC,18,,10% Starter,+7,-23,,,+7,+1,28,22,13,5000,[8000],2000,1000 (700),500 (250),,,,1.958,,1,1,1,,,,SF6_Marisa_5hp.png,"SF6_Marisa_5hp_hitbox_preview.png, SF6_Marisa_5hp_hitbox_1.png, SF6_Marisa_5hp_hitbox_2.png",Can hold button 21f for improved properties; strong whiff punish tool
1,通常技,7,立ち強K（リブブレイク）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（リブブレイク）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",15,15-16,25,1,-3,,1000,始動補正10%,3000,-5000,-8000,1000,上,14F以上ホールドすると性能変化 空中ヒット時吹き飛びダウン パニッシュカウンター時吹き飛びダウン,enriched_review_required,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""15-16"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""1000"", ""official_raw"": ""1000"", ""supercombo"": ""1000"", ""supercombo_raw"": ""1000""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""25"", ""official_raw"": ""25"", ""supercombo"": ""25"", ""supercombo_raw"": ""25""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""15"", ""official_raw"": ""15"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}}",,,,,Normals and Target Combos,ground_normal,marisa_5hk,5HK,Standing Heavy Kick,1000,15,2,25,41,+1,-3,LH,-,,,10% Starter,KD +58 Launch,-25,,,+5,+1,28,24,13,5000,[8000],3000,1000 (700),500 (250),,,,2.045 (2.016),,1 [0 PC],1,1,,,,SF6_Marisa_5hk.png,SF6_Marisa_5hk_hitbox.png,Can hold button 17f for improved properties; solid poke with good hitbox priority; Punish Counter puts opponent into free juggle state; puts airborne opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles
1,通常技,8,立ち強K（リブブレイク）（ホールド）,icon_kick_h 強ホールド,"[{""type"": ""text"", ""value"": ""立ち強K（リブブレイク）（ホールド）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強ホールド""}, {""type"": ""separator"", ""value"": ""|""}]",24,24-25,25,D,1,,1200,始動補正10%,3000,-8000,-12000,1000,上,パニッシュカウンター時吹き飛び時間増加,enriched_review_required,"basic_field_conflict:damage,startup;supercombo_row_reused",matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match,1,"damage,startup","{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""24-25"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": false, ""official"": ""1200"", ""official_raw"": ""1200"", ""supercombo"": ""1000"", ""supercombo_raw"": ""1000""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""25"", ""official_raw"": ""25"", ""supercombo"": ""25"", ""supercombo_raw"": ""25""}, ""startup"": {""comparable"": true, ""match"": false, ""official"": ""24"", ""official_raw"": ""24"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}}",,,,,Normals and Target Combos,ground_normal,marisa_5hk,5HK,Standing Heavy Kick,1000,15,2,25,41,+1,-3,LH,-,,,10% Starter,KD +58 Launch,-25,,,+5,+1,28,24,13,5000,[8000],3000,1000 (700),500 (250),,,,2.045 (2.016),,1 [0 PC],1,1,,,,SF6_Marisa_5hk.png,SF6_Marisa_5hk_hitbox.png,Can hold button 17f for improved properties; solid poke with good hitbox priority; Punish Counter puts opponent into free juggle state; puts airborne opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles
1,通常技,9,しゃがみ弱P（アンダーライト）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（アンダーライト）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,10,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""4-5"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,marisa_2lp,2LP,Crouching Light Punch,300,4,2,10,15,+4,-1,LH,Chn Sp SA,15,,20% Starter,+8,-10,+3,-2,+8,+3,16,11,9,500,[2000],250,300 (210),150 (75),,,,1.17,,1,1,0,,0.363,0.389,SF6_Marisa_2lp.png,SF6_Marisa_2lp_hitbox.png,Chains into 2LP/2LK; Marisa's only 4f normal; special cancel is delayed until after active frames; DR cancel is delayed until after 2nd recovery frame
1,通常技,10,しゃがみ弱K（フットバッシュ）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（フットバッシュ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,12,2,-3,,300,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,marisa_2lk,2LK,Crouching Light Kick,300,5,3,12,19,+2,-3,L,Chn,,,20% Starter,+6,-13,,,+6,+1,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.34,"Terrible punish, but the only 5-frame option when outside of 2LP range",1,1,0,,,,SF6_Marisa_2lk.png,SF6_Marisa_2lk_hitbox.png,Chains into 2LP/2LK
1,通常技,11,しゃがみ中P（アンダーミドル）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（アンダーミドル）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,16,3,-2,C,700,,1500,-3000,-4000,500,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""8-10"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,marisa_2mp,2MP,Crouching Medium Punch,700,8,3,16,26,+3,-2,LH,Sp SA,15,,,+7,-17,+12,+7,+7,+2,22,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.45,,1,1,0,,,,SF6_Marisa_2mp.png,SF6_Marisa_2mp_hitbox.png,Long range for a cancelable 2MP (but slower than average startup); topmost hurtboxes on frames 8-15 are projectile invincible (avoids Sagat's MP/HP Tiger Shot)
