category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（ジャブ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ジャブ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,7,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}",,,,,Normals and Target Combos,ground_normal,ryu_5lp,5LP,Standing Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.289,0.378,SF6_Ryu_5lp.png,SF6_Ryu_5lp_hitbox.png,Chains into 5LP/2LP/2LK
1,通常技,2,立ち弱K（ローキック）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（ローキック）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,11,2,-4,C,300,始動補正20%,250,-500,-2000,300,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""11"", ""supercombo"": ""11""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}",,,,,Normals and Target Combos,ground_normal,ryu_5lk,5LK,Standing Light Kick,300,5,3,11,18,+2,-4,LH,Sp SA,13,,20% Starter,+6,-12,+5,-1,+6,0,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.30,,1,1,0,,,,SF6_Ryu_5lk.png,SF6_Ryu_5lk_hitbox.png,Good range for a 5f light (useful in punishes and neutral buffers); DR cancel is delayed until after 2nd active frame
1,通常技,3,立ち中P（鉤突き）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（鉤突き）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,11,7,-1,C,600,,1500,-3000,-4000,500,上,空振り時硬直2F増加,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}",,,,,Normals and Target Combos,ground_normal,ryu_5mp,5MP,Standing Medium Punch,600,6,4,11(13),20(22),+7,-1,LH,Sp SA TC,16 (18 TC),,,+11,-13,+12,+4,+11,+3,22,14,11,3000,[4000],1500,500 (350),250 (125),,,,1.01,,1,1,0,,,,SF6_Ryu_5mp.png,SF6_Ryu_5mp_hitbox.png,2f extra recovery on whiff; useful combo tool with a Target Combo follow-up; extends a wider body hurtbox until the end of recovery
1,通常技,4,立ち中K（横蹴り）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（横蹴り）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,18,4,-4,,700,,2000,-4000,-6000,700,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""recovery"": {""match"": true, ""official"": ""18"", ""supercombo"": ""18""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,ground_normal,ryu_5mk,5MK,Standing Medium Kick,700,9,3,18,29,+4,-4,LH,-,,,,+8,-19,,,+8,0,25,17,11,4000,[6000],2000,700 (490),350 (175),,,,1.568,,1,1,0,,,,SF6_Ryu_5mk.png,SF6_Ryu_5mk_hitbox.png,Solid poke; front leg hurtbox is raised on frames 4-11 (can avoid low pokes)
1,通常技,5,立ち強P（正拳突き）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（正拳突き）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-14,18,4,-2,C,800,,2000,-5000,-8000,1000,上,強制立ち効果,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""18"", ""supercombo"": ""18""}, ""startup"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}}",,,,,Normals and Target Combos,ground_normal,ryu_5hp,5HP,Standing Heavy Punch,800,10,5,18,32,+4,-2,LH,Sp SA TC,19 (22 TC),,,+8,-21,+17,+11,+8,+2,27,21,13,5000,[8000],2000,1000 (700),500 (250),,,,1.545,,1,1,0,,,,SF6_Ryu_5hp.png,SF6_Ryu_5hp_hitbox.png,"Forces stand on hit (allowing Target Combo follow-up to work on crouching opponents); good poke with hitbox priority, many active frames, and a reactable hitconfirm window"
1,通常技,6,立ち強K（後ろ回し蹴り）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（後ろ回し蹴り）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-15,20,9,1,,900,,3000,-6000,-10000,1000,上,空中ヒット時吹き飛びダウン パニッシュカウンター時に膝崩れダウンに+36F 空中パニッシュカウンター時吹き飛び時間延長,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""900"", ""supercombo"": ""900""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}",,,,,Normals and Target Combos,ground_normal,ryu_5hk,5HK,Standing Heavy Kick,900,12,4,20(22),35,+9,+1,LH,-,,,,KD +84 Crumple,-21,,,+13,+5,33,24,13,6000,[10000],3000,1000 (700),500 (250),,,,1.572,,1 [-1 PC Ground],1,0,,,,SF6_Ryu_5hk.png,SF6_Ryu_5hk_hitbox.png,Whiffs on crouching opponents unless they extend a vertical hurtbox; 2 extra recovery frames on block; good horizontal anti-air that puts airborne opponents into limited juggle state (higher launch on Punish Counter juggle); +11 before Punish Counter crumple state goes airborne; extends a hurtbox 1f before active that is vulnerable to projectiles
1,通常技,7,しゃがみ弱P（ジャブ）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（ジャブ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,9,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}",,,,,Normals and Target Combos,ground_normal,ryu_2lp,2LP,Crouching Light Punch,300,4,2,9,14,+4,-1,LH,Chn Sp SA,11,,20% Starter,+8,-9,+5,0,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,0.94,,1,1,0,,0.277,0.330,SF6_Ryu_2lp.png,SF6_Ryu_2lp_hitbox.png,Chains into 5LP/2LP/2LK; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
1,通常技,8,しゃがみ弱K（キック）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（キック）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-6,10,3,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""200"", ""supercombo"": ""200""}, ""recovery"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}",,,,,Normals and Target Combos,ground_normal,ryu_2lk,2LK,Crouching Light Kick,200,5,2,10,16,+3,-1,L,Chn,,,20% Starter,+7,-10,,,+7,+3,15,11,9,500,[2000],250,300 (210),150 (75),,,,1.05,,1,1,0,,,,SF6_Ryu_2lk.png,SF6_Ryu_2lk_hitbox.png,Chains into 5LP/2LP/2LK
1,通常技,9,しゃがみ中P（ストレート）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（ストレート）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,13,5,0,C,600,,1500,-3000,-4000,500,上,空振り時硬直2F増加,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}",,,,,Normals and Target Combos,ground_normal,ryu_2mp,2MP,Crouching Medium Punch,600,6,4,13(15),22(24),+5,0,LH,Sp SA,16,,,+9,-15,+12,+7,+9,+4,22,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.14,,1,1,0,,,,SF6_Ryu_2mp.png,SF6_Ryu_2mp_hitbox.png,2f extra recovery on whiff; combo and pressure tool; topmost hurtbox on frames 1-9 is vulnerable only to aerial strikes (preventing its use as an anti-air); extends a wider hurtbox until the end of recovery
1,通常技,10,しゃがみ中K（くるぶしキック）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（くるぶしキック）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,19,1,-6,C,500,始動補正20%,1000,-2000,-4000,500,下,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""500"", ""supercombo"": ""500""}, ""recovery"": {""match"": true, ""official"": ""19"", ""supercombo"": ""19""}, ""startup"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}",,,,,Normals and Target Combos,ground_normal,ryu_2mk,2MK,Crouching Medium Kick,500,8,3,19,29,+1,-6,L,Sp SA,13,,20% Starter,+5,-20,+11,+4,+5,-2,23,16,9,2000,[4000],1000,500 (350),250 (125),,,,1.482,,1,1,0,,,,SF6_Ryu_2mk.png,SF6_Ryu_2mk_hitbox.png,Range: 1.482; DR cancel is delayed until after active frames
1,通常技,11,しゃがみ強P（突き上げアッパー）,key-d key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強P（突き上げアッパー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-14,22,1,-7,C,800,,3000,-7500,-10000,1200,上,キャンセルは持続の1F目がヒットした時のみ 強制立ち効果,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,ground_normal,ryu_2hp,2HP,Crouching Heavy Punch,800,9,6,21(22),35,+1,-7,LH,Sp SA,18,,,+5,-24,+17,+9,+5,-3,27(22),19,13,7500,[10000],3000,1200 (840),600 (300),,,,1.137,,1,1,0,,,,SF6_Ryu_2hp.png,"SF6_Ryu_2hp_hitbox_preview.png, SF6_Ryu_2hp_hitbox_1.png, SF6_Ryu_2hp_hitbox_2.png, SF6_Ryu_2hp_hitbox_3.png",Forces stand on hit; decent anti-air; cannot hit cross-ups; fist hurtbox is invincible to air strikes on frame 9; head hurtbox is invincible to air strikes on frames 10-14; only 1st active frame is cancelable (extends a combo-only hitbox to match the range of the 2nd active frame for combo consistency); () refers to hit/block recovery on 1st active frame only; 5f less hitstun on active frames 2-5 (can be punishable on meaty timing)
