category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（ブレーンチョップ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ブレーンチョップ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-9,9,4,2,C,400,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""400"", ""supercombo"": ""400""}, ""recovery"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,ground_normal,zangief_5lp,5LP,Standing Light Punch,400,7(4),3,9,18,+4,+2,LH,Chn Sp SA,13,,20% Starter,+8,-10,+6,+4,+8,+6,16,14,9,500,[2000],250,300 (210),150 (75),,,,1.56 (1.51),,1,1,0,,,,SF6_Zangief_5lp.png,"SF6_Zangief_5lp_hitbox.png, SF6_Zangief_5lp_hitbox_2.png",Chains into 5LP/2LP/2LK with no gap on blockstring; 4f startup when chained into; sets up a true mixup on block between strike and command throw
1,通常技,2,[連打版]立ち弱P（ブレーンチョップ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""[連打版]立ち弱P（ブレーンチョップ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,9,4,2,C,400,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""400"", ""supercombo"": ""400""}, ""recovery"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,ground_normal,zangief_5lp,5LP,Standing Light Punch,400,7(4),3,9,18,+4,+2,LH,Chn Sp SA,13,,20% Starter,+8,-10,+6,+4,+8,+6,16,14,9,500,[2000],250,300 (210),150 (75),,,,1.56 (1.51),,1,1,0,,,,SF6_Zangief_5lp.png,"SF6_Zangief_5lp_hitbox.png, SF6_Zangief_5lp_hitbox_2.png",Chains into 5LP/2LP/2LK with no gap on blockstring; 4f startup when chained into; sets up a true mixup on block between strike and command throw
1,通常技,3,立ち弱K（ローキック）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（ローキック）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-8,17,-2,-4,C,400,始動補正20%,250,-500,-2000,300,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""400"", ""supercombo"": ""400""}, ""recovery"": {""match"": true, ""official"": ""17"", ""supercombo"": ""17""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}",,,,,Normals and Target Combos,ground_normal,zangief_5lk,5LK,Standing Light Kick,400,7,2,17,25,-2,-4,LH,Sp SA,13,,20% Starter,+2,-17,+7,+5,+2,0,17,15,9,500,[2000],250,300 (210),150 (75),,,,1.668 (1.657),,1,1,0,,,,SF6_Zangief_5lk.png,SF6_Zangief_5lk_hitbox.png,Very long range for a light normal (slightly longer than 5MP)
1,通常技,4,立ち中P（カウンターチョップ）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（カウンターチョップ）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-12,17,2,-2,,700,,2500,-5000,-6000,700,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""recovery"": {""match"": true, ""official"": ""17"", ""supercombo"": ""17""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}",,,,,Normals and Target Combos,ground_normal,zangief_5mp,5MP,Standing Medium Punch,700,9,4,17,29,+2,-2,LH,TC,28,,,+6,-19,,,+6,+2,23,19,11,5000,[6000],2500,700 (490),350 (175),,,,1.66,,1,1,0,,,,SF6_Zangief_5mp.png,SF6_Zangief_5mp_hitbox.png,"Great poke due to its range and hitbox; TC follow-up is extremely lenient, but only works after counter-hit, Punish Counter, or Drive Rush; can perform TC follow-up on whiff; 6f blockstring gap when canceling to 5MP~MP"
1,通常技,5,立ち中K（ミドルキック）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（ミドルキック）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-13,19,1,-4,,900,,3000,-6000,-8000,900,上,,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""900"", ""supercombo"": ""900""}, ""recovery"": {""match"": true, ""official"": ""19"", ""supercombo"": ""19""}, ""startup"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}}",,,,,Normals and Target Combos,ground_normal,zangief_5mk,5MK,Standing Medium Kick,900,10,4,19,32,+1,-4,LH,-,,,,+5,-21,,,+5,0,24,19,11,6000,[8000],3000,900 (630),450 (225),,,,1.778,,1,1,0,,,,SF6_Zangief_5mk.png,SF6_Zangief_5mk_hitbox.png,Strong poke due to its range and hitbox priority
1,通常技,6,立ち強P（ダイナマイトパンチ）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（ダイナマイトパンチ）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",16,16-18,22,3,-3,,1000,,3500,-6000,-8000,1000,上,カウンター/パニッシュカウンター時吹き飛びダウン 空振り時硬直2F増加 ボタンホールド時、4F～上半身アーマー判定（1回） 23F以上ホールドすると性能変化,enriched,,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""1000"", ""supercombo"": ""1000""}}",,,,,Normals and Target Combos,ground_normal,zangief_5hp,5HP,Standing Heavy Punch,1000,(6~22)+10,3,22(24),40(42),+3,-3,LH,-,,,,KD +32,-23,,,+7,+1,28,22,13,6000,[8000],3500,1000 (700),500 (250),,4-release (Upper Body),,2.186 (2.136),,1 air,1,0,,,,SF6_Zangief_5hp.png,"SF6_Zangief_5hp_hitbox.png, SF6_Zangief_5hp_hitbox_2.png, SF6_Zangief_5hp_hitbox_3.png",Button can be held up to 22f for armored partial charge (armor loses to hitboxes that connect on Zangief's lower body); 10f startup after button release (total startup 16-32f); 2 extra recovery frames on whiff; counter-hit also gives KD +32; puts airborne opponents into limited juggle state
1,通常技,7,立ち強P（ダイナマイトパンチ）（ホールド）,icon_punch_h 強ホールド,"[{""type"": ""text"", ""value"": ""立ち強P（ダイナマイトパンチ）（ホールド）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強ホールド""}, {""type"": ""separator"", ""value"": ""|""}]",32,32-34,22,D,3,,1400,,6000,-10000,-13000,1400,上,4-34F 上半身アーマー判定（1回） パニッシュカウンター時吹き飛び時間増加 空振り時硬直2F増加,enriched_reviewed,manual_match,matched_manual,zangief_name_override+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""1400"", ""supercombo"": ""1400""}, ""startup"": {""match"": true, ""official"": ""32"", ""supercombo"": ""32""}}",accepted,hold_supplemental_link,keep_official_startup_damage_active; retain_supercombo_hold_and_armor_notes_as_supplemental,立ち強P（ホールド）は `zangief_5hp_hold` を補助リンクとして採用する。startup 32、active duration 3、damage 1400 が公式値と対応する。SuperCombo の lower-body armor note と whiff recovery decomposition は補助情報として保持する。,Normals and Target Combos,ground_normal,zangief_5hp_hold,5[HP],Standing Heavy Punch (hold),1400,32,3,22(24),56(58),KD +40,+3,LH,-,,,,HKD +54,-23,,,KD +40,+7,,28,13,10000,[13000],6000,1000 (700),500 (250),,4-34 (Upper Body),,2.446 (2.396),,1,1,0,,,,SF6_Zangief_5hp_hold.png,"SF6_Zangief_5hp_hold_hitbox.png, SF6_Zangief_5hp_hold_hitbox_2.png, SF6_Zangief_5hp_hold_hitbox_3.png, SF6_Zangief_5hp_hold_hitbox_4.png",Armor loses to hitboxes that connect on Zangief's lower body; button must be held 23f for full charge; 2 extra recovery frames on whiff; Counter-hit gives HKD +40; Punish Counter causes opponent to slide far along the ground
1,通常技,8,立ち強K（ロシアンハイキック）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（ロシアンハイキック）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",13,13-16,21,3,1,,1000,,4000,-7000,-11000,1000,上,空中ヒット時吹き飛びダウン パニッシュカウンター時吹き飛びダウン&吹き飛び時間増加,enriched,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""1000"", ""supercombo"": ""1000""}, ""recovery"": {""match"": true, ""official"": ""21"", ""supercombo"": ""21""}, ""startup"": {""match"": true, ""official"": ""13"", ""supercombo"": ""13""}}",,,,,Normals and Target Combos,ground_normal,zangief_5hk,5HK,Standing Heavy Kick,1000,13,4,21,37,+3,+1,LH,-,,,,KD +51 Spin,-23,,,+7,+5,28,26,13,7000,[11000],4000,1000 (700),500 (250),13-22 Air (Leg),,,1.892,,1 air [0 PC Ground/Air],1,0,,,,SF6_Zangief_5hk.png,SF6_Zangief_5hk_hitbox.png,Cannot hit crouching opponents; puts airborne opponents into limited juggle state; Punish Counter puts grounded/airborne opponents into free juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; good anti-air but slow to startup
1,通常技,9,しゃがみ弱P（ヘルフィンガー）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（ヘルフィンガー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-7,8,6,1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}",,,,,Normals and Target Combos,ground_normal,zangief_2lp,2LP,Crouching Light Punch,300,6(3),2,8,15,+6,+1,LH,Chn Sp SA,12,,20% Starter,+10,-8,+6,+1,+10,+5,16,11,9,500,[2000],250,300 (210),150 (75),,,,1.52,,1,1,0,,,,SF6_Zangief_2lp.png,SF6_Zangief_2lp_hitbox.png,Chains into 5LP/2LP/2LK with no blockstring gap into 2LP/2LK; 3f startup when chained into; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
1,通常技,10,[連打版]しゃがみ弱P（ヘルフィンガー）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""[連打版]しゃがみ弱P（ヘルフィンガー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",3,3-4,8,6,1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,supercombo_row_reused,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}",,,,,Normals and Target Combos,ground_normal,zangief_2lp,2LP,Crouching Light Punch,300,6(3),2,8,15,+6,+1,LH,Chn Sp SA,12,,20% Starter,+10,-8,+6,+1,+10,+5,16,11,9,500,[2000],250,300 (210),150 (75),,,,1.52,,1,1,0,,,,SF6_Zangief_2lp.png,SF6_Zangief_2lp_hitbox.png,Chains into 5LP/2LP/2LK with no blockstring gap into 2LP/2LK; 3f startup when chained into; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
