category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes
1,通常技,1,立ち弱P（ライトパンチ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ライトパンチ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-8,11,0,-2,,400,始動補正20%,250,-500,-2000,300,上,
1,通常技,2,立ち弱K（ティビアブレイク）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（ティビアブレイク）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-7,14,0,-2,C,400,始動補正20%,250,-500,-2000,300,上,
1,通常技,3,立ち中P（ミドルパンチ）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（ミドルパンチ）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-10,15,2,-1,,700,,1500,-3000,-4000,500,上,空振り時硬直2F増加
1,通常技,4,立ち中K（スターナムブレイク）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（スターナムブレイク）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",11,11-14,16,4,-2,,800,,2000,-4000,-6000,700,上,
1,通常技,5,立ち強P（ヘビィーパンチ）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（ヘビィーパンチ）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-13,23,3,-3,,1000,始動補正10%,2000,-5000,-8000,1000,上,18F以上ホールドすると性能変化
1,通常技,6,立ち強P（ヘビィーパンチ）（ホールド）,icon_punch_h 強ホールド,"[{""type"": ""text"", ""value"": ""立ち強P（ヘビィーパンチ）（ホールド）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強ホールド""}, {""type"": ""separator"", ""value"": ""|""}]",23,23-24,22,7,4,,1200,始動補正10%,3000,-8000,-12000,1000,上,空中ヒット時吹き飛びダウン パニッシュカウンター時+15F ヒット・ガード時硬直1F減少
1,通常技,7,立ち強K（リブブレイク）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（リブブレイク）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",15,15-16,25,1,-3,,1000,始動補正10%,3000,-5000,-8000,1000,上,14F以上ホールドすると性能変化 空中ヒット時吹き飛びダウン パニッシュカウンター時吹き飛びダウン
1,通常技,8,立ち強K（リブブレイク）（ホールド）,icon_kick_h 強ホールド,"[{""type"": ""text"", ""value"": ""立ち強K（リブブレイク）（ホールド）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強ホールド""}, {""type"": ""separator"", ""value"": ""|""}]",24,24-25,25,D,1,,1200,始動補正10%,3000,-8000,-12000,1000,上,パニッシュカウンター時吹き飛び時間増加
1,通常技,9,しゃがみ弱P（アンダーライト）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（アンダーライト）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,10,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,10,しゃがみ弱K（フットバッシュ）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（フットバッシュ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,12,2,-3,,300,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
