row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
31,Drive and Throw,drive,a.k.i._mpmk_66_pdr,MPMK~66,Parry Drive Rush,-,3+8,-,15(37),26(48),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-10000,,,,,,,,,,,,,,SF6_A.K.I._66.png,SF6_A.K.I._66_hitbox.png,"See Drive Rush; 1-bar version performed out of a Parry; startup refers to minimum time before an attack can cancel the Drive Rush animation (if performed immediately after a successful Parry, only 1+8 startup); the first 15 recovery frames are cancelabe into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties; Distance: 0.907 (min/throw), 2.437 (min/block), 4.049 (max/final DR frame)",supercombo_only,,,,,,,
32,Drive and Throw,drive,a.k.i._mpmk_66_drc,MPMK or 66,Drive Rush Cancel,-,9,-,15(37),24(46),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-30000,,,,,,,,,,,,,,SF6_A.K.I._66.png,SF6_A.K.I._66_hitbox.png,See Drive Rush; 3-bar version performed on hit/block from a cancelable normal; can also be performed on whiff from cancelable light normals; startup refers to minimum time before an attack can cancel the Drive Rush animation; the first 15 recovery frames are cancelabe into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties,supercombo_only,,,,,,,
35,Specials,special,a.k.i._214lp_6p,214LP~6P,Nightshade Chaser,500[800],13,2,34,48,-4 [KD +38],-16(-11),LH,SA3,8[13] SA,125,,0 [KD +38],-34(-25),,,,,32,20,3[8(13)],2500,[2000],1000 [TB: 5000],600 (420),300 (150),,,,,,[1],1,6,,,,SF6_A.K.I._214lp_6p.png,SF6_A.K.I._214lp_6p_hitbox.png,"Poisons opponent on hit; refers to the non-burst version (projectile dissipates, causing the whip to strike the opponent rather than the bubble); [] refers to data when whip connects during Toxic Blossom, causing a limited juggle state; the whip is a 1-hit projectile that will detonate the 214LP bubble if still active on-screen (despite being a projectile, a perfect parry gives screen freeze like a strike); at close range, there is a 1f gap between the projectile and whip on block (can be delayed to create frame traps from farther ranges)",supercombo_only,,,,,,,
36,Specials,special,a.k.i._214lp_6p_burst,214LP~6P,Nightshade Chaser (Burst),800,14,6,29,48,KD +42,-4,LH,-,,200,,KD +42,-24,,,,,,31,13,1000,[2500],1000,300 (210),150 (75),,,,,,1,3,8,,,,SF6_A.K.I._214lp_6p_burst.png,SF6_A.K.I._214lp_6p_burst_hitbox.png,"Poisons opponent on hit; striking the bubble projectile before it makes contact with the opponent causes it to burst, dealing more damage; the burst itself is a large stationary 1-hit projectile hitbox with 6 active frames",supercombo_only,,,,,,,
37,Specials,special,a.k.i._214pp_6p,214PP~6P,Nightshade Chaser,600[800],13,5,28,45,KD +25 [KD +41~44],-13(-10),LH,SA2 SA3,10[15] SA,150,Combo (2 hits),KD +25 [KD +41~44],-31(-22),,,,,,20,3[8(13)],2500,[2000],0 [TB: 2000],600 (420),300 (150),,,,,,[1],1,6,,,,SF6_A.K.I._214pp_6p.png,SF6_A.K.I._214pp_6p_hitbox.png,"Poisons opponent on hit; refers to the non-burst version (projectile dissipates, causing the whip to strike the opponent rather than the bubble); [] refers to data when whip connects during Toxic Blossom; the whip is a projectile that will detonate the 214PP bubble if still active on-screen (despite being a projectile, a perfect parry gives screen freeze like a strike)",supercombo_only,,,,,,,
38,Specials,special,a.k.i._214pp_6p_burst,214PP~6P,Nightshade Chaser (Burst),800x2,14,12,20,45,KD +43(+52~57),-2(+4),LH,SA2 SA3,14[15] SA,"200,150(425)",,KD +43(+57),-21,,,,,,30(31),3(13),3500,[2500],0 [TB: 2000],900 (630),450 (225),,,,,,2(1~4),3,8,,,,SF6_A.K.I._214pp_6p_burst.png,SF6_A.K.I._214pp_6p_burst_hitbox.png,"Poisons opponent on hit; striking the bubble projectile before it makes contact with the opponent causes it to burst, dealing more damage; the burst itself is a large stationary 2-hit OD projectile hitbox; damage/chip/KD Advantage are changed if only 1 hit of the detonation connects on opponent (this can happen when detonating from max range, or immediately after the first hit of 214PP connects); opponent is launched higher on hit, allowing follow-up juggles (much more juggle potential if only the 1 hit of 214PP Burst connects)",supercombo_only,,,,,,,
54,Specials,special,a.k.i._2pp_8,2PP~8,Sinister Slide Exit,-,-,-,21,21,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_A.K.I._2pp_8.png,SF6_A.K.I._2pp_8_hitbox.png,Can be input after 28f of Sinister Slide; maintains low profile 1-10f and semi-low profile 11-21f (crouch height); fastest total Stance + Exit time is 49f; shortest Slide~Exit travel distance: 0.78,supercombo_only,,,,,,,
55,Specials,special,a.k.i._2pp_p,2PP~P,Venomous Fang,1100,11+19,15,30,63,KD +20(34) [Crumple +67(81)],-25(-11),LH,-,,275,,KD +20(34) [Crumple +67(81)],-43(-29),,,,,,20,13,5000,[8000],2000 [TB: 4000],1000 (700),500 (250),"Projectile 1-19 (Upper Body), 20-33 (Full)",,19-33 (FKD),,,1 / [-1 ground],1,5,,,,SF6_A.K.I._2pp_p.png,SF6_A.K.I._2pp_p_hitbox.png,"During Sinister Slide; poisons the opponent on hit; triggers Toxic Blossom for a crumple state vs. grounded opponents, or a tumbling OTG state vs. airborne opponents; low profile 1-17f; low crush 20-31f; good anti-zoning tool, but can lose to slower projectiles at some ranges; sets up high damage punish combos (but does not combo naturally when canceled from any grounded normals)",supercombo_only,,,,,,,
56,Specials,special,a.k.i._2pp_k,2PP~K,Heel Strike,300x2,11+11,3(9)3,17(20),42(45),+4,-3,LH,SA3 (2nd),33(15) SA,75x2,,+8,-21,,,,,36 total,32 total,"6,9",2000x2,[3500x2],1500x2,300x2 (210x2),150x2 (75x2),,,,,,1,"1,1","2,3",,,,SF6_A.K.I._2pp_k.png,"SF6_A.K.I._2pp_k_hitbox.png, SF6_A.K.I._2pp_k_hitbox2.png","During Sinister Slide; 3f extra recovery on whiff; low profile 1-15f, semi-low profile 16-27f, crouch-sized hurtbox 28-35f; Counter-hit/Punish Counter bonus advantage carries through both hits; good combo tool that is also safe on block; both hits put airborne opponent into limited juggle state; 15f hitconfirm window into SA3 refers to 2nd hit only",supercombo_only,,,,,,,
57,Specials,special,a.k.i._2pp_lplk,2PP~LPLK,Entrapment,1852 (2222),11+23,3,55,80,HKD +16,-,T,-,,,,HKD +16,,,,,,,,,,[10010],5000,3000 (2100),,,,,1.59,,,,,,,,SF6_A.K.I._2pp_lplk.png,SF6_A.K.I._2pp_lplk_hitbox.png,During Sinister Slide; () refer to Punish Counter damage; good range but slow startup,supercombo_only,,,,,,,
62,Taunts,taunt,a.k.i._5pppkkk,5PPPKKK,Neutral Taunt,-,611 (total),-,-,611,-,-,-,-,,,,,,,,,,,,,,,,"1000x5,5000 (10000)",,,,,,,,,,,,,SF6_A.K.I._5pppkkk.png,,"""The master's prized poison... ahh, a perfect, beautiful, most brilliantly crafted poison! Now you'll get a taste.""; builds 1 bar of Super gauge after 411f (1000 Super gauge on frames 303, 324, 346, 363, 383, then 5000 Super gauge on frame 411)",supercombo_only_taunt,,,,,,,
63,Taunts,taunt,a.k.i._6pppkkk,6PPPKKK,Forward Taunt,-,484 (total),-,-,484,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_A.K.I._6pppkkk.png,,"""Time for some experimentation... I bet poison would work wonders on you.""",supercombo_only_taunt,,,,,,,
64,Taunts,taunt,a.k.i._4pppkkk,4PPPKKK,Back Taunt,600,175,32,258(264),464,KD -197,-239,LH,-,,150,,KD -197,-254,,,,,,26,8,2500,[2000],1000,600 (420),300 (150),,,,,,2,1,2,,,,SF6_A.K.I._4pppkkk.png,SF6_A.K.I._4pppkkk_hitbox.png,"""Isn't he wonderful? Ahhh~""; ""Ugh, you're a trifling little pest."" bubbles have a large projectile hitbox behind A.K.I.; if popped, A.K.I. says a second line and enters a different recovery animation; puts opponent into limited juggle state",supercombo_only_taunt,,,,,,,
