row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
16,Normals and Target Combos,air_normal,blanka_8jhp,8HP,Neutral Jumping Heavy Punch,800,7,3,3 land,-,+10(+15),+6(+11),H,-,,,,+14(+19),-7(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.29,,1,1,0,,,,SF6_Blanka_8jhp.png,SF6_Blanka_8jhp_hitbox.png,Puts airborne opponents into limited juggle state; lower body projectile invuln 7-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs),supercombo_only,,,,,,,
34,Specials,special,blanka_2pp,2PP,Coward Crouch,-,18,[1~102],28,47(148),-,-,-,-,,,,,,,,,,,,,,,,,,9-29(130) Upper Body Projectile,,,,,,,,,,,SF6_Blanka_2pp.png,SF6_Blanka_2pp_hitbox.png,"9-29(130)f low profile (lasts until final 18f of recovery); can input Surprise Hop or P/K follow-ups beginning on frame 19, and can tap Up to exit stance beginning on frame 20; if no input is made, Blanka stays crouching for 52f (98f total animation); can hold down to extend crouch by an extra 50f (148f total animation); counter-hit state during entire animation; the variable follow-up timing allows Blanka to react to opponent's movements and mix up timing",supercombo_only,,,,,,,
35,Specials,special,blanka_2pp_p,2PP~P,Wild Lift,600,18+8,7,31,45,KD +55,-21,LH,-,,,,KD +55,-36,,,,,,17,11,3000,[4000],1000,500 (350),250 (125),,,,,,1,1,1,,,,SF6_Blanka_2pp_p.png,SF6_Blanka_2pp_p_hitbox.png,Puts opponents into limited juggle state on hit; can combo from 5HP; the final 3 active frames have a great disjointed vertical hitbox for anti-air purposes,supercombo_only,,,,,,,
36,Specials,special,blanka_2pp_k,2PP~K,Raid Jump,-,18~,-,12(3) land,55,-,-,-,-,,,,,,,,,,,,,,,,,,1-9 Upper Body Projectile,,9-43,,,,,,,,,SF6_Blanka_2pp_k.png,SF6_Blanka_2pp_k_hitbox.png,Short hop with a lower trajectory than a regular jump; 12f landing recovery on empty jump (standard 3f landing recovery after inputting air normal); counter-hit state during entire animation (but no Forced Knockdown while airborne),supercombo_only,,,,,,,
37,Specials,special,blanka_6kkk,6KKK,Surprise Forward Hop,-,27(30) total,-,-,27(30),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Blanka_6kkk.png,SF6_Blanka_6kkk_hitbox.png,Distance: 230.945; () refers to 6KKK done from Coward Crouch (3f extra recovery); no collision box on frames 4-22 (can pass through opponents); no head hurtbox on frames 4-11; semi-low crush on frames 12-22 (will not go over all low attacks),supercombo_only,,,,,,,
38,Specials,special,blanka_4kkk,4KKK,Surprise Back Hop,-,32(35) total,-,-,32(35),-,-,-,-,,,,,,,,,,,,,,,,,,,,11-21 (FKD),,,,,,,,,SF6_Blanka_4kkk.png,SF6_Blanka_4kkk_hitbox.png,Distance: 186.108; () refers to 4KKK done from Coward Crouch (3f extra recovery),supercombo_only,,,,,,,
41,Specials,special,blanka_46lp,[4]6LP,Rolling Attack,1000,10,11,3+8 land (32+10 land oB) (41+6 land oH),31,KD +13,-23,LH,SA3,22,250,,KD +13,-41,,,,,,20,20,7500,[5000],2000,1000 (700),500 (250),,,10-23 (FKD),1.537 (0.558),,1,1,1,,,,SF6_Blanka_46p.png,SF6_Blanka_46p_hitbox.png,"40f charge time (charge lasts 10f after releasing back direction); useful for baiting a block/parry by whiffing attack into an immediate throw; all active frames are cancelable into SA3; on hit, Blanka's recovery is in a crouching state",supercombo_only,,,,,,,
42,Specials,special,blanka_46lp_sa2,[4]6LP,Rolling Attack (SA2),1100,10,12,2+8 land (35+5 land oB) (41+6 land oH),31,KD +13,-21,LH,Sp*,58 oH (56 oB),275,10% Starter; 10% Immediate,KD +13,-39,,,,,,20,20,4000,[5000],2000,1000 (700),500 (250),,,10-23 (FKD),1.67 (0.558),,3,1,3,,,,SF6_Blanka_46p.png,SF6_Blanka_46p_sa2_hitbox.png,"SA2 install version (drains 100f/6.7% from install timer); 40f charge time (charge lasts 10f after releasing back direction); no charge required if canceled into; slightly safer on block than regular version, and bounces farther away; activates Blanka-chan doll with electricity (meterless 1-hit version); if opponent crouch blocks, cannot create a true blockstring into Rolling Cannon",supercombo_only,,,,,,,
43,Specials,special,blanka_46mp,[4]6MP,Rolling Attack,1200,12,19,3+8 land (32+10 land oB) (41+6 land oH),41,KD +14,-23,LH,SA3,22,300,,KD +66 Tumble,-41,,,,,,20,20,7500,[5000],2000,1000 (700),500 (250),,,12-33 (FKD),2.252 (1.06),,1,1,1,,,,SF6_Blanka_46p.png,SF6_Blanka_46p_hitbox.png,"40f charge time (charge lasts 10f after releasing back direction); Punish Counter sends opponent tumbling into a limited juggle OTG state (can follow up with SA1 in the corner); only the first 11 active frames are cancelable into SA3; on hit, Blanka's recovery is in a crouching state",supercombo_only,,,,,,,
44,Specials,special,blanka_46mp_sa2,[4]6MP,Rolling Attack (SA2),1300,12,19,3+8 land (35+5 land oB) (41+6 land oH),41,KD +14,-21,LH,Sp*,58 oH (56 oB),325,10% Starter; 10% Immediate,KD +66 Tumble,-39,,,,,,20,20,4000,[5000],2000,1000 (700),500 (250),,,12-33 (FKD),2.556 (1.072),,3,1,3,,,,SF6_Blanka_46p.png,SF6_Blanka_46p_sa2_hitbox.png,"SA2 install version (drains 100f/6.7% from install timer); 40f charge time (charge lasts 10f after releasing back direction); no charge required if canceled into; Punish Counter sends opponent tumbling into a limited juggle OTG state (can follow up with enhanced SA1 or 3P Rolling Cannon anywhere on screen); slightly safer on block than regular version; activates Blanka-chan doll with electricity (meterless 1-hit version); if opponent crouch blocks, cannot create a true blockstring into Rolling Cannon",supercombo_only,,,,,,,
45,Specials,special,blanka_46hp,[4]6HP,Rolling Attack,1300,22,20,2+23 land (28+6 land oB) (30+6 land oH),66,KD +19,-15,LH,SA3,22,325,20% Starter,KD +86 Tumble,-33,,,,,,20,20,10000,[5000],2000,1000 (700),500 (250),,,20-43 (FKD),3.02 (0.85),,1,1,1,,,,SF6_Blanka_46p.png,SF6_Blanka_46p_hitbox.png,"40f charge time (charge lasts 10f after releasing back direction); safe against most characters unless Perfect Parried; Punish Counter sends opponent tumbling into a limited juggle OTG state (can follow up with Drive Rush 3HP anywhere on screen); only the first 6 active frames are cancelable into SA3; on hit, Blanka's recovery is in a crouching state",supercombo_only,,,,,,,
46,Specials,special,blanka_46hp_sa2,[4]6HP,Rolling Attack (SA2),1400,20,22,2+23 land (35+5 land oB) (41+6 land oH),66,KD +19,-21,LH,Sp*,58 oH (56 oB),350,20% Starter; 10% Immediate,KD +81 Tumble,-46,,,,,,20,20,6000,[5000],2000,1000 (700),500 (250),,,18-43 (FKD),3.79 (0.85),,3,1,3,,,,SF6_Blanka_46p.png,SF6_Blanka_46p_sa2_hitbox.png,"SA2 install version (drains 100f/6.7% from install timer); 40f charge time (charge lasts 10f after releasing back direction); no charge required if canceled into; worse on block than regular version and leaves Blanka closer; activates Blanka-chan doll with electricity (meterless 1-hit version); if opponent crouch blocks, cannot create a true blockstring into Rolling Cannon",supercombo_only,,,,,,,
