row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
36,Drive and Throw,drive,dee_jay_mpmk_66_pdr,MPMK~66,Parry Drive Rush,-,3+8,-,15(37),26(48),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-10000,,,,,,,,,,,,,,SF6_Dee_Jay_66.png,SF6_Dee_Jay_66_hitbox.png,"See Drive Rush; 1-bar version performed out of a Parry; startup refers to minimum time before an attack can cancel the Drive Rush animation (if performed immediately after a successful Parry, only 1+8 startup); the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties; Distance: 0.763 (min/throw), 2.535 (min/block), 2.713 (max/final DR frame)",supercombo_only,,,,,,,
37,Drive and Throw,drive,dee_jay_mpmk_66_drc,MPMK or 66,Drive Rush Cancel,-,9,-,15(37),24(46),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-30000,,,,,,,,,,,,,,SF6_Dee_Jay_66.png,SF6_Dee_Jay_66_hitbox.png,See Drive Rush; 3-bar version performed on hit/block from a cancelable normal; can also be performed on whiff from cancelable light normals; startup refers to minimum time before an attack can cancel the Drive Rush animation; the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties,supercombo_only,,,,,,,
38,Specials,special,dee_jay_46lp,[4]6LP,Air Slasher,-,-,-,21,21,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Dee_Jay_46lp.png,SF6_Dee_Jay_46lp_hitbox.png,45 charge time (holds charge for 10f after release); feint that can be used to bait opponent's reaction or extend close range combos/blockstrings,supercombo_only,,,,,,,
39,Specials,special,dee_jay_46mp,[4]6MP,Air Slasher,600,17,-,27,44,0,-5,LH,SA3 22PP,4,150,,+4,-17,,,,,28,23,8,2500,[3000],1000,600 (420),300 (150),,,,,,1,1,1,"0.03 (1-2f), 0.115 (3f~)",,,SF6_Dee_Jay_46mp.png,SF6_Dee_Jay_46mp_hitbox.png,45 charge time (holds charge for 10f after release); 1-hit projectile; safest zoning option against jumps and anti-projectile moves; can be canceled into Speedy Maracas after 23f even on whiff,supercombo_only,,,,,,,
40,Specials,special,dee_jay_46hp,[4]6HP,Air Slasher,500x2,17(34),-,43,60,+3,-3,LH,SA3 22PP,21,125x2,,+7,-16,,,,,"30,30","24,24","8,8",2500x2,[1500x2],750x2,450x2 (315x2),225x2 (112x2),,,,,,"1,1","1,1","1,1","0.03 (1-2f), 0.115/0.155 (3f~)",,,SF6_Dee_Jay_46hp.png,SF6_Dee_Jay_46hp_hitbox.png,45 charge time (holds charge for 10f after release); throws two 1-hit projectiles; useful option in fireball wars but very vulnerable to jumps and anti-projectile moves; Counter-hit/Punish Counter bonus advantage applies to both hits; () refers to startup of 2nd fireball; recovery is counted after first projectile startup; 2nd projectile moves faster than the 1st; can be canceled into Speedy Maracas after 35f even on whiff,supercombo_only,,,,,,,
41,Specials,special,dee_jay_46pp,[4]6PP,Air Slasher,500x2,10(23),[11(1)~],35,45,+5 (KD +69),+2,LH,SA2 SA3,17,125x2,20% Starter,+9 (KD +69),-13,,,,,"29,29","26,26 (24,24)","11,6 (9,9)",1250x2,[2500x2],-20000,300x2 (210x2),150x2 (75x2),,,,,,1 far,"1,2","7,8 close / 8,10 far",0.15 (22f~),,,SF6_Dee_Jay_46pp.png,"SF6_Dee_Jay_46pp_hitbox.png, SF6_Dee_Jay_46pp_hitbox2.png","45 charge time (holds charge for 10f after release); throws two 1-hit projectiles at close range; Counter-hit/Punish Counter bonus advantage carries through both hits; from farther ranges, they merge into a single 2-hit projectile that knocks down on hit (puts opponent into limited juggle state); powerful option for zoning, pressure, Burnout chip sequences, and fireball wars; very low pushback on block, allowing for corner loops and pressure; puts airborne opponents into limited juggle state; projectile starts moving forward on frame 22; can be canceled into Speedy Maracas after 31f even on whiff",supercombo_only,,,,,,,
42,Specials,special,dee_jay_28lk,[2]8LK,Jackknife Maximum,-,23,-,22+6 land,51,-,-,-,-,,,,,,,,,,,,,,,,,,,,6-45 (FKD),,,,,,,,,SF6_Dee_Jay_28lk.png,SF6_Dee_Jay_28lk_hitbox.png,40f charge time (holds charge for 12f after release); startup refers to earliest air normal timing; 6f landing recovery only applies to empty jump version (air normals have the usual 3f landing recovery),supercombo_only,,,,,,,
43,Specials,special,dee_jay_28mk,[2]8MK,Jackknife Maximum,"600,500 (1100)",6,4(9)4,22+10 land,54,KD +41,-32,LH,-,,150,,KD +41,-47,,,,,,17,"8,10",4000,[2500x2],1000x2 (1000),500x2 (350x2),250 (125),"1-5 Air, 5-6 Throw",,5-44 (FKD),1.595 (1st),,"1,1","1,3","1,3",,,,SF6_Dee_Jay_28mk.png,SF6_Dee_Jay_28mk_hitbox.png,40f charge time (holds charge for 12f after release); whiffs on crouching opponents unless they extend a vertical attack hurtbox; puts opponent into limited juggle state (can follow up with [2]8HK/KK or SA1 depending on distance from opponent); can trade with jump-ins due to short invincibility window; cannot hit cross-up,supercombo_only,,,,,,,
44,Specials,special,dee_jay_28hk,[2]8HK,Jackknife Maximum,"600,200,500 (1300)",5,5(7)5(8)4,17+15 land,65,KD +42(+37),-44,LH,-,,150,,KD +42,-59,,,,,,17,"6,6(4),10",4000,[5000],"1000,500x2 (1000)","600,300x2 (420,210x2)",300 (150),"1-9 Air, 5 Throw",,5-50 (FKD),1.59 (1st),,"1,1,1","1,3,99","4,3,12",,,,SF6_Dee_Jay_28hk.png,"SF6_Dee_Jay_28hk_hitbox_preview.png, SF6_Dee_Jay_28hk_hitbox_1.png, SF6_Dee_Jay_28hk_hitbox_2.png, SF6_Dee_Jay_28hk_hitbox_3.png","40f charge time (holds charge for 12f after release); whiffs on crouching opponents unless they extend a vertical attack hurtbox; gives a perfect safe jump setup when connecting vs. grounded opponents; when juggled after [2]8MK, the +37 KD Adv. sets up a safe jump with j.2LK; last hit ends juggle state due to +100 juggle count increase; cannot hit cross-up",supercombo_only,,,,,,,
45,Specials,special,dee_jay_28kk,[2]8KK,Jackknife Maximum,300x5 (1500),6,6(7)3(9)3,29+15 land,77,KD +23,-55,LH,-,,75,,KD +23,-70,,,,,,17,"5,5,8,5,12",4200,,-20000,200x5 (140x5),100 (50),1-11 Full,,5-62 (FKD),1.75 (1st),,"1,1,10x3","1,1,10x3","6,7,50x3",,,,SF6_Dee_Jay_28kk.png,"SF6_Dee_Jay_28kk_hitbox_preview.png, SF6_Dee_Jay_28kk_hitbox_1.png, SF6_Dee_Jay_28kk_hitbox_2.png, SF6_Dee_Jay_28kk_hitbox_3.png","40f charge time (holds charge for 12f after release); 2nd/3rd hits whiff on crouching opponents unless they extend a vertical hurtbox; puts opponent into limited juggle state; cannot hit cross-up; at close range, may cross over opponents on whiff/block; on hit only, Dee Jay performs 2 extra hits that spike the opponent to the ground",supercombo_only,,,,,,,
