category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes,enrichment_status,enrichment_review_flags,enrichment_review_queues,supercombo_match_status,supercombo_match_method,supercombo_candidate_count,supercombo_field_conflicts,supercombo_field_comparisons_json,human_review_status,human_review_decision,human_review_value_policy,human_review_note,supercombo_section,supercombo_move_type,supercombo_move_id,supercombo_input,supercombo_name,supercombo_damage,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_total,supercombo_hit_advantage,supercombo_block_advantage,supercombo_guard,supercombo_cancel,supercombo_hitconfirm,supercombo_chip,supercombo_damage_scaling,supercombo_punish_advantage,supercombo_perfect_parry_advantage,supercombo_drive_rush_cancel_on_hit,supercombo_drive_rush_cancel_on_block,supercombo_after_drive_rush_on_hit,supercombo_after_drive_rush_on_block,supercombo_hitstun,supercombo_blockstun,supercombo_hitstop,supercombo_drive_damage_block,supercombo_drive_damage_hit,supercombo_drive_gain,supercombo_super_gain_hit,supercombo_super_gain_block,supercombo_invuln,supercombo_armor,supercombo_airborne,supercombo_attack_range,supercombo_range_notes,supercombo_juggle_start,supercombo_juggle_increase,supercombo_juggle_limit,supercombo_projectile_speed,supercombo_pushback_hit,supercombo_pushback_block,supercombo_images,supercombo_hitboxes,supercombo_notes
1,通常技,1,立ち弱P（張り手）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（張り手）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,10,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,e.honda_5lp,5LP,Standing Light Punch,300,5,3,10,17,+4,-1,LH,Sp SA TC,13 (18 TC),,20% Starter,+8,-11,+7,+2,+8,+3,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.28,,1,1,0,,,,SF6_Ehonda_5lp.png,SF6_Ehonda_5lp_hitbox.png,Good range for a light normal; very lenient hitconfirm window into 5LP~MP Target Combo for a light normal (though the MP can whiff at max range)
1,通常技,2,立ち弱K（けたぐり）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（けたぐり）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,9,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""4-5"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,e.honda_5lk,5LK,Standing Light Kick,300,4,2,9,14,+5,-1,LH,Sp SA,12,,20% Starter,+9,-9,+6,0,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.12,,1,1,0,,0.531,0.550,SF6_Ehonda_5lk.png,SF6_Ehonda_5lk_hitbox.png,"4f normal with less range than 2LP, but allows a link into 5LP on hit"
1,通常技,3,立ち中P（突っ張り）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（突っ張り）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-13,13,6,1,C,700,,2000,-4000,-6000,500,上,空振り時硬直2F増加,enriched_review_required,condition_dependent_supercombo_field:recovery;uncomparable_basic_field:recovery,condition_dependent_field;uncomparable_notation,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""10-13"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": false, ""official"": ""13"", ""official_raw"": ""13"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""13"", ""supercombo_raw"": ""13(15)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}",,,,,Normals and Target Combos,ground_normal,e.honda_5mp,5MP,Standing Medium Punch,700,10,4,13(15),26(28),+6,+1,LH,Sp SA TC,16,,,+10,-15,+13,+8,+10,+5,23,18,11,4000,[6000],2000,500 (350),250 (125),,,,1.687,,1,1,0,,,,SF6_Ehonda_5mp.png,SF6_Ehonda_5mp_hitbox.png,"2f extra recovery on whiff; good poke and pressure starter due to its hitbox priority, distance traveled, and block advantage"
1,通常技,4,立ち中K（四股蹴り）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（四股蹴り）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-13,16,4,-3,※,700,,1000,-2500,-4000,700,上,※肩屋入り中、百裂張り手でのみキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""10-13"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}",,,,,Normals and Target Combos,ground_normal,e.honda_5mk,5MK,Standing Medium Kick,700,10,4,16,29,+4,-3,LH,-,16*,,,+8,-18,,,+8,+1,24,17,11,2500,[4000],1000,700 (490),350 (175),,,,1.543,,1,1,0,,,,SF6_Ehonda_5mk.png,SF6_Ehonda_5mk_hitbox.png,"No leg hurtbox (except for back foot) on frames 7-13, making it useful vs. low pokes; cancelable into 214P with Sumo Spirit enhancement (combos into any strength version)"
1,通常技,5,立ち強P（ごっつぁんチョップ）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（ごっつぁんチョップ）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-14,20,1,-6,C※,900,,2000,-5000,-8000,1000,上,地上パニッシュカウンター時膝崩れ 空中パニッシュカウンター時床バウンド キャンセルは持続の3F目まで ※8-14F 肩屋入り中、百裂張り手でのみキャンセル可能,enriched_review_required,condition_dependent_supercombo_field:startup;uncomparable_basic_field:startup,condition_dependent_field;uncomparable_notation,matched,exact_input+family_input+same_family+category_move_type+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""8-14"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": false, ""official"": ""8"", ""official_raw"": ""8"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""8"", ""supercombo_raw"": ""8(9)""}}",,,,,Normals and Target Combos,ground_normal,e.honda_5hp,5HP,Standing Heavy Punch,900,8(9),7,20,34,+1(+4),-6(-3),LH,Sp SA,16 (17 SS 214P),,,KD +77(+80) Crumple,-24(-21),+17,+10,+5(+8),-2(+1),27,20,13,5000,[8000],2000,1000 (700),500 (250),8-10 Air (Upper Body),,,1.46 (0.97),,-1 PC ground / 0 PC air,1,0,,,,SF6_Ehonda_5hp.png,"SF6_Ehonda_5hp_hitbox_1.png, SF6_Ehonda_5hp_hitbox_2.png, SF6_Ehonda_5hp_hitbox_3.png, SF6_Ehonda_5hp_hitbox_preview.png","1st active frame only hits above Honda, and 2nd active frame only hits point blank (realistically 10f startup vs. grounded opponents in most scenarios); first 3 active frames are cancelable and a solid anti-air (cannot hit cross-up); Punish Counter causes a crumple vs. grounded opponents, or slams airborne opponents down into a free OTG juggle state (5HP must be canceled to combo afterwards); only the first 3 active frames are cancelable (with Sumo Spirit, later active frames can be canceled into 214P); final 4 active frames make 5HP a solid poke in neutral; extends a hurtbox on frame 10 (1f before longer-range active frames) that is vulnerable to projectiles; special/DR cancel is delayed until after 2nd active frame; Honda's most important meterless route into 236K~2P launcher (higher damage and identical range compared to 5HK 1st hit)"
1,通常技,6,立ち強K（丸太蹴り）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（丸太蹴り）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-14,22,-1,-5,C,800,,3000,-4000,-10000,800,上,強制立ち効果 空中ヒット時吹き飛びダウン,enriched_review_required,uncomparable_basic_field:active_duration,uncomparable_notation,matched,exact_input+family_input+same_family+category_move_type+startup_match+recovery_match,1,,"{""active_duration"": {""comparable"": false, ""official"": ""7"", ""official_raw"": ""8-14"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""2(1)4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""reason"": ""multihit_damage_sum"", ""supercombo"": ""800"", ""supercombo_raw"": ""400x2""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""22"", ""official_raw"": ""22"", ""supercombo"": ""22"", ""supercombo_raw"": ""22""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,e.honda_5hk,5HK,Standing Heavy Kick,400x2,8,2(1)4,22,36,-1,-5(-11),LH,Sp SA,34 (1st: 18 oH/21 oB),,,+3,-27(-24),+17(+15),+8(+11),+3,-1(-7),28(25),"18,21(24)",13,2000x2,[5000x2],1500x2,400x2 (280x2),200x2 (100x2),,,,1.554 (0.974),,"0,1","0,1","0,1",,,,"SF6_Ehonda_5hk.png, SF6_Ehonda_5hk2.png","SF6_Ehonda_5hk_hitbox_preview.png, SF6_Ehonda_5hk_hitbox_1.png, SF6_Ehonda_5hk_hitbox_2.png","1st hit forces stand (can only connect on crouchers at close range); 2nd hit whiffs vs. crouching opponents unless they extend a vertical hurtbox; if 1st hit connects on crouch block and the 2nd hit whiffs, the cancel window of the first hit is extended, making it possible to confirm into a safe special move; 1st hit puts airborne opponents into a free juggle state; 2nd hit puts airborne opponents into a limited juggle state; Counter-hit/Punish Counter advantage carries through both hits; gives Honda a meterless combo into 236K~2P launcher (weaker than 5HP starter, but required in some routes like CH 5MP/2MK or DR~2LP)"
1,通常技,7,しゃがみ弱P（しゃがみ張り手）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（しゃがみ張り手）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,10,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}",,,,,Normals and Target Combos,ground_normal,e.honda_2lp,2LP,Crouching Light Punch,300,4,3,10,16,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-11,+7,+2,+8,+3,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.23,,1,1,0,,0.402,0.412,SF6_Ehonda_2lp.png,SF6_Ehonda_2lp_hitbox.png,Chains into 2LP/2LK; true blockstring when chained into 2LP; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
1,通常技,8,しゃがみ弱K（向こうずねキック）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（向こうずねキック）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-6,9,3,-3,※,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応 ※肩屋入り中、百裂張り手でのみキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}",,,,,Normals and Target Combos,ground_normal,e.honda_2lk,2LK,Crouching Light Kick,200,5,2,9,15,+3,-3,L,Chn,12,,20% Starter,+7,-9,,,+7,+1,14,8,9,500,[2000],250,300 (210),150 (75),,,,1.11,,1,1,0,,,,SF6_Ehonda_2lk.png,SF6_Ehonda_2lk_hitbox.png,Chains into 2LP/2LK; cancelable into 214P with Sumo Spirit enhancement (combos into LP version only)
1,通常技,9,しゃがみ中P（しゃがみ突っ張り）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（しゃがみ突っ張り）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-11,16,3,-3,C,600,,1500,-3000,-4000,500,上,,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""8-11"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}",,,,,Normals and Target Combos,ground_normal,e.honda_2mp,2MP,Crouching Medium Punch,600,8,4,16,27,+3,-3,LH,Sp SA,16,,,+7,-18,+13,+7,+7,+1,23,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.37,,1,1,0,,,,SF6_Ehonda_2mp.png,SF6_Ehonda_2mp_hitbox.png,Great bufferable poke with strong hitbox priority; topmost hurtbox on frames 1-11 is vulnerable only to aerial strikes (preventing its use as an anti-air)
1,通常技,10,しゃがみ中K（掛け足）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（掛け足）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,17,6,-2,※,500,始動補正20%,2000,-4000,-6000,600,下,※肩屋入り中、百裂張り手でのみキャンセル可能,enriched,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""9-11"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""500"", ""official_raw"": ""500"", ""supercombo"": ""500"", ""supercombo_raw"": ""500""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""17"", ""official_raw"": ""17"", ""supercombo"": ""17"", ""supercombo_raw"": ""17""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}",,,,,Normals and Target Combos,ground_normal,e.honda_2mk,2MK,Crouching Medium Kick,500,9,3,17,28,+6,-2,L,-,15,,20% Starter,+10,-18,,,+10,+2,26,18,11,4000,[6000],2000,600 (420),300 (150),,,,1.43,,1,1,0,,,,SF6_Ehonda_2mk.png,SF6_Ehonda_2mk_hitbox.png,Low poke that can combo after hit (much stronger combo opportunities when used out of Drive Rush); cancelable into 214P with Sumo Spirit enhancement (combos into any strength version)
