row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
30,Normals and Target Combos,air_normal,elena_jlp_jmk,j.LP~j.MK,Soaring Raid,500,6,5,3 land,-,+12,+8,LH,-,,,,+16,,,,,,17,13,11,1500,,1000,500 (350),250 (125),,,,1.09,,,,,,,,SF6_Elena_jlp_jmk.png,SF6_Elena_jlp_jmk_hitbox.png,Can hit after cross-up j.LP; can be done from any jump direction; does not work as an air-to-air even after a Forced Knockdown; will not connect if the j.LP hits a crouching opponent,supercombo_only,,,,,,,
31,Normals and Target Combos,air_normal,elena_jmp_jhp,j.MP~j.HP,Raptor Range,700,12,5,3 land,-,KD ~,-,-,-,,,,,,,,,,,,11,,,1000,500 (350),,,,,2.01 (1.81),,1,5,2,,,,SF6_Elena_jmp_jhp.png,SF6_Elena_jmp_jhp_hitbox.png,Knockdown ender from air-to-air j.MP that puts opponent into a limited juggle state; can be done from any jump direction; cannot connect on a grounded opponent,supercombo_only,,,,,,,
56,Specials,special,elena_236p_6lp,236P~6LP,Lynx Whirl,-,15(18)(20)~,-,28 total,28,-,-,-,-,,,,,,,,,,,,,,,,,,1-21 Projectile,,,,,,,,,,,SF6_Elena_236p_enhanced.png,SF6_Elena_236p_hitbox.png,"Accessible from a previous Lynx Song or Spin Scythe; performs an extra spin, enhancing the follow-up specials (~6LK, ~6MK, ~6HK); can continue rolling indefinitely with repeated ~6P inputs; crouch-sized hurtbox 1-26f (but still considered standing); startup refers to minimum number of frames before each follow-up can come out (15-21f ~6LK, 18-21f ~6MK/~6HK, 20-21f ~6P); total roll distance: 1.43; Elena is in a Counter-hit state for the entire roll duration; safest version of empty Roll to cancel into (e.g. Spinning Scythe ~ empty Lynx Whirl to bait DI/Parry/reversal)",supercombo_only,,,,,,,
57,Specials,special,elena_236p_6mp,236P~6MP,Lynx Whirl,-,15(18)(20)~,-,36 total,36,-,-,-,-,,,,,,,,,,,,,,,,,,1-26 Projectile,,,,,,,,,,,SF6_Elena_236p_enhanced.png,SF6_Elena_236p_hitbox.png,"Accessible from a previous Lynx Song or Spin Scythe; performs an extra spin, enhancing the follow-up specials (~6LK, ~6MK, ~6HK); can continue rolling indefinitely with repeated ~6P inputs; crouch-sized hurtbox 1-26f (but still considered standing); startup refers to minimum number of frames before each follow-up can come out (15-21f ~6LK, 18-21f ~6MK/~6HK, 20-21f ~6P); total roll distance: 1.94; Elena is in a Counter-hit state for the entire roll duration",supercombo_only,,,,,,,
58,Specials,special,elena_236p_6hp,236P~6HP,Lynx Whirl,-,15(18)(20)~,-,38 total,38,-,-,-,-,,,,,,,,,,,,,,,,,,1-26 Projectile,,,,,,,,,,,SF6_Elena_236p_enhanced.png,SF6_Elena_236p_hitbox.png,"Accessible from a previous Lynx Song or Spin Scythe; performs an extra spin, enhancing the follow-up specials (~6LK, ~6MK, ~6HK); can continue rolling indefinitely with repeated ~6P inputs; crouch-sized hurtbox 1-26f (but still considered standing); startup refers to minimum number of frames before each follow-up can come out (15-21f ~6LK, 18-21f ~6MK/~6HK, 20-21f ~6P); total roll distance: 2.46; Elena is in a Counter-hit state for the entire roll duration",supercombo_only,,,,,,,
59,Specials,special,elena_236pp_6p,236PP~6P,Lynx Whirl,-,15(18)(20)~,-,34 total,34,-,-,-,-,,,,,,,,,,,,,,,,,,1-26 Projectile,,,,,,,,,,,SF6_Elena_236p_enhanced.png,SF6_Elena_236p_hitbox.png,"Nearly identical to meterless versions except that the cancel window into follow-up specials is extended 3f longer; accessible from a previous OD Lynx Song; performs an extra spin, enhancing the follow-up specials (~6LK, ~6MK, ~6HK); can continue rolling indefinitely with repeated ~6P inputs; crouch-sized hurtbox 1-26f (but still considered standing); startup refers to minimum number of frames before each follow-up can come out (15-24f ~6LK, 18-24f ~6MK/~6HK, 20-24f ~6P); total roll distance: 2.59; Elena is in a Counter-hit state for the entire roll duration",supercombo_only,,,,,,,
60,Specials,special,elena_236p_6lk,236P~6LK,Leopard Snap,1000,Roll+10,5,22,36,KD +35,-5,LH,SA3,20,250,,KD +35,-25,,,,,,22,11,5000,[10000],2000,1000 (700),500 (250),,,,2.14 (+Roll),,1,5,15,,,,SF6_Elena_236p_6lk.png,SF6_Elena_236p_6lk_hitbox.png,"Elena immediately loses crouch-sized hurtbox and projectile invuln from Lynx Song (hard to use vs. projectiles); generally safe on block if spaced as a poke; punishable by most characters at closer ranges (notable exceptions: A.K.I. only gets 2LK, Mai gets nothing); combos when buffered from 2MP or 2MK~HK in neutral; puts the opponent into a limited juggle state (only into SA3 cancel except in high corner juggles); total minimum startup depends on which strength of Lynx Song was used (LP 13+10, MP 13+10, HP 16+10, OD 15+10)",supercombo_only,,,,,,,
61,Specials,special,elena_236pp_6lk,236PP~6LK or 236P~6P~6LK,Leopard Snap,600x2,Roll+10,5(5)3,14(15),36(37),KD +48,+1,LH,SA3,38(17),150x2,,KD +48,1st: -8 2nd: -16,,,,,,28(18),"11,13(11)",2000x2,[5000],1000x2,300x2 (210x2),150x2 (75x2),,,,2.65 (2.14) (+Roll),,"1,1","5,10","15,15",,,,SF6_Elena_236pp_6lk.png,"SF6_Elena_236pp_6lk_hitbox.png, SF6_Elena_236pp_6lk_hitbox_2.png","Elena immediately loses crouch-sized hurtbox and projectile invuln from Lynx Song (hard to use vs. projectiles); strong ender from Spinning Scythe on hit (3f gap) to reset pressure (but does not frame trap on block); useful for pressure on block (can beat 4f normals with 2LP, catch back walk with 2LK~2LP, and throw except vs. midscreen back walk); 1f extra recovery on whiff; the version used from OD Lynx Song is not considered an OD move for cancel purposes (no SA2 cancel); puts the opponent into a limited juggle state",supercombo_only,,,,,,,
62,Specials,special,elena_236p_6mk,236P~6MK,Harvest Circle,900,Roll+8,3,23,33,KD +44,-9,LH,-,,225,30% Starter,KD +44,-24,,,,,,17,11,3000,[5000],2000,600 (420),300 (150),1-10 Projectile,,,1.43 (+Roll),,1,3,11,,,,SF6_Elena_236p_6mk.png,SF6_Elena_236p_6mk_hitbox.png,"Extended kicking foot hurtbox is anti-air invuln while active on frames 8-10 (can anti-air opponents jumping out of roll pressure, but cannot hit cross-up); maintains projectile invuln from Lynx Song to counter fireballs more effectively; Elena immediately loses crouch-sized hurtbox from Lynx Song; total minimum startup depends on which strength of Lynx Song was used (LP 16+8, MP 18+8, HP 19+8, OD 18+8); puts opponent into a limited juggle state",supercombo_only,,,,,,,
63,Specials,special,elena_236pp_6mk,236PP~6MK or 236P~6P~6MK,Harvest Circle,"600,700",Roll+8,3(6)3,14(16),33(35),KD +50,-4,LH,-,,"150,175",30% Starter,KD +50,1st: -7 2nd: -17,,,,,,24,"8,10",2000x2,[4000],"1500,2000","500,600 (350,420)","250,300 (125,150)",1-10 Projectile,,,1.74 (+Roll),,"1,4","0,3","11,11",,,,SF6_Elena_236pp_6mk.png,"SF6_Elena_236pp_6mk_hitbox.png, SF6_Elena_236pp_6mk_hitbox_2.png","2f extra recovery on block/whiff; 1st hit pulls opponents inward on hit/block for combo consistency; extended kicking foot hurtbox is anti-air invuln while active on frames 8-10 (can anti-air opponents jumping out of roll pressure, but cannot hit cross-up); maintains projectile invuln from Lynx Song/Whirl to counter fireballs more effectively; Elena immediately loses crouch-sized hurtbox from Lynx Song; can combo from Spinning Scythe ~ Lynx Whirl on Counter-hit/Punish Counter; puts opponent into a limited juggle state",supercombo_only,,,,,,,
