row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
17,Normals and Target Combos,air_normal,ken_jmk,j.mK,Jumping Medium Kick,500,7,6,3 land,-,+9(+13),+5(+9),H,-,,,,+13(+17),-6(-2),,,,,17,13,11,2500,[4000],1000,500 (350),250 (125),,,,1.18,,1,1,0,,,,SF6_Ken_jmk.png,SF6_Ken_jmk_hitbox.png,"Cross-up; lower body projectile invuln 7-20f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)",supercombo_only,,,,,,,
18,Normals and Target Combos,air_normal,ken_jhk,7HK or 9HK,Jumping Heavy Kick,800,10,7,3 land,-,+11(+15),+7(+11),H,-,,,,+15(+19),-6(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.17,,1,1,0,,,,SF6_Ken_jhk.png,SF6_Ken_jhk_hitbox.png,Great horizontal range for a jump-in; lower body projectile invuln 10-19f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs),supercombo_only,,,,,,,
19,Normals and Target Combos,air_normal,ken_8jhk,8HK,Neutral Jumping Heavy Kick,900,6,6,3 land,-,+13(+15),+9(+11),H,-,,,,+17(+19),-4(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.09,,1,1,0,,,,SF6_Ken_8jhk.png,SF6_Ken_8jhk_hitbox.png,"Strong and fast air-to-air; lower body projectile invuln 6-19f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)",supercombo_only,,,,,,,
52,Specials,special,ken_236k_6lk,236K~6LK,Kazekama Shin Kick,600,6,4,19,28,+3,-5,L,SA3,15,125,20% Starter; Combo (5% extra),HKD +32,-21,,,,,26,18,10,2000,[5000],2000,400 (280),200 (100),,,,1.08,,1,1,5,,,,SF6_Ken_236k_6lk.png,SF6_Ken_236k_6lk_hitbox.png,Follow-up can be input on hit/block/whiff; using 236MK~6LK will counter-hit any opponent button; causes a +32 Hard Knockdown on Counter-hit/Punish Counter (gives good oki but prevents follow-up links),supercombo_only,,,,,,,
53,Specials,special,ken_236k_6mk,236K~6MK,Gorai Axe Kick,1000,18,3,20,40,+3,-3,H,SA3,16,250,,+7,-21,,,,,26,20,12,2500,[4000],1000,500 (350),250 (125),,,,1.36 (1.17),,1,100,5,,,,SF6_Ken_236k_6mk.png,SF6_Ken_236k_6mk_hitbox.png,"Follow-up can be input on hit/block/whiff; lifts Ken's leg hurtbox on frames 4-21, allowing it to dodge some low attacks; due to its slow startup, opponent can easily switch from low block to high block to cover both mixup options; puts airborne opponents into limited juggle OTG bounce state (can only follow up with SA3 cancel if the juggle was started with the 6MK follow-up)",supercombo_only,,,,,,,
54,Specials,special,ken_236k_6hk,236K~6HK,Senka Snap Kick,800,10,3,25,37,KD +33(+38),-3,LH,SA3,19,200,,KD +33(+38),-26,,,,,,25,13,7000,[7000],2000,600 (420),300 (150),,,,1.31,,1,1,5,,,,SF6_Ken_236k_6hk.png,SF6_Ken_236k_6hk_hitbox.png,Follow-up can be input on hit/block/whiff; better KD Adv. after 236HK launch; whiffs on crouching opponents unless they extend a vertical hurtbox (236LK -23/-35; 236MK -22/-31; 236HK KD/-26),supercombo_only,,,,,,,
56,Specials,special,ken_236kk_6lk,236KK~6LK,Kazekama Shin Kick,500,6,3,20,28,+3,-5,L,SA2 SA3,14,125,,+7,-21,,,,,26,18,10,3000,[5000],,400 (280),200 (100),,,,1.08,,1,1,6,,,,SF6_Ken_236kk_6lk.png,SF6_Ken_236kk_6lk_hitbox.png,Follow-up can be input on hit/block/whiff; +7 Punish Counter only possible if first hit whiffs; always a true blockstring even if delayed,supercombo_only,,,,,,,
57,Specials,special,ken_236kk_6mk,236KK~6MK,Gorai Axe Kick,1000,17,3,24,43,-3,-7,H,SA2 SA3,16,250,20% Starter,+1,-25,,,,,24,20,12,2500,[4000],,500 (350),250 (125),,,,1.31 (1.17),,1,1,6,,,,SF6_Ken_236kk_6mk.png,SF6_Ken_236kk_6mk_hitbox.png,"Follow-up can be input on hit/block/whiff; 4f gap between hits on block, good for setting up trade combos (up to 10f gap if delayed); causes OTG bounce vs. airborne opponents; lifts Ken's leg hurtbox on frames 5-18, allowing it to dodge some low attacks",supercombo_only,,,,,,,
58,Specials,special,ken_236kk_6hk,236KK~6HK,Senka Snap Kick,800,10,6,18,33,KD +37,-4 (-18),LH,SA2 SA3,22,200,,KD +37,-22,,,,,,20,13,7000,[7000],,600 (420),300 (150),,,,1.31,,1,1,6,,,,SF6_Ken_236kk_6hk.png,SF6_Ken_236kk_6hk_hitbox.png,"Follow-up can be input on hit/block/whiff; whiffs on crouching opponents (-18 vs. crouch block); true blockstring vs. stand block, can be delayed to create up to 3f gap or to connect on high-juggled opponents",supercombo_only,,,,,,,
59,Specials,special,ken_236kk_6lk_6k,236KK~6LK~6K,Kasai Thrust Kick (LK),500(400),15,3,29,46,KD +31,-12,LH,SA2 SA3,16,125,40% Starter; Combo (2 hits),KD +31,-30,,,,,,20,12,5000,[5000],,600 (420),300 (150),,,,1.20,,1,1,10,,,,SF6_Ken_236kk_6lk_6k.png,SF6_Ken_236kk_6lk_6k_hitbox.png,Follow-up can be input on hit/block/whiff; 2f gap between final 2 hits on block; (refers to scaled damage); starter scaling reduces the effectiveness of fishing for frame trap into SA2 cancel,supercombo_only,,,,,,,
