row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
35,Specials,special,lily_214mp,214MP (HOLD OK),Condor Wind (attack),900,23(4),4,25,51,+2,-8,LH,SA3,20,225,,+6,-27,,,,,31,21,15,4000,[8000],2000,1000 (700),500 (250),,,,2.07 (1.98),,1,1,2,,,,SF6_Lily_214mp.png,SF6_Lily_214mp_hitbox.png,"Windclad stock gained on the first active frame (or frames 46, 71 and 90 if held); can delay the attack by holding MP (attack comes out 4f after button release); cancels and self-hitstop do not occur until after the 2nd active frame; useful for comboing into SA3 as it leaves the opponent grounded on hit; puts airborne opponents into limited juggle state on hit; head hurtbox shrinks during active frames and the first 16 recovery frames",supercombo_only,,,,,,,
36,Specials,special,lily_214hp,214HP (HOLD OK),Condor Wind (attack),1100,25(4),4,25,53,KD +30,-8,LH,SA3*,20*,275,,KD +30,-27,,,,,,21,15,4000,[8000],2000,1000 (700),500 (250),,,,2.12 (1.98),,1,1,2,,,,SF6_Lily_214hp.png,SF6_Lily_214hp_hitbox.png,"Windclad stock gained on the first active frame (or frames 46, 71 and 90 if held); can delay the attack by holding HP (attack comes out 4f after button release); puts opponents into limited juggle state on hit; cancel into SA3 does not combo (only useful when absorbed by armor); cancels and self-hitstop do not occur until after the 2nd active frame; head hurtbox shrinks during active frames and the first 16 recovery frames",supercombo_only,,,,,,,
37,Specials,special,lily_214pp,214PP (HOLD OK),Condor Wind (attack),1200,19(4),4,23,45,KD +39,-5,LH,SA2 SA3*,20,300,20% Starter; Combo (2 hits),KD +39,-25,,,,,,22,15,4000,[8000],-20000,1000 (700),500 (250),,,,2.15 (2.03),,1,1,3,,,,SF6_Lily_214pp.png,SF6_Lily_214pp_hitbox.png,Windclad stock gained on the 1st active frame; holding the buttons for 16-24f increases the startup (attack comes out 4f after button release); puts opponents into limited juggle state on hit (can land a corner follow-up juggle with up to 6f startup); holding for 25f or longer results in non-attack version instead; SA3 cancel does not combo on hit (only useful when absorbed by armor); cancels and self-hitstop do not occur until after the 2nd active frame; head hurtbox shrinks during active frames and the first 16 recovery frames,supercombo_only,,,,,,,
38,Specials,special,lily_214pp_hold,214[PP],Condor Wind (stock),-,38,-,2,40,-,-,-,-,,,,,,,,,,,,,,,-20000,,,,,,,,,,,,,,SF6_Lily_214pp_hold.png,SF6_Lily_214pp_hold_hitbox.png,"Windclad stock gained on frame 38; buttons must be held 25f for the non-attack version to come out; can built up to 3 Windclad stocks; stocks can be spent for enhanced versions of Condor Spire, Tomahawk Buster, or Condor Dive; 7f faster than the LP version, making it much safer to use in neutral",supercombo_only,,,,,,,
43,Specials,special,lily_236lk_1stock,W.236LK,Condor Spire (Windclad),"100x2,800",9,"5(6)11,7",2+12 land,51,KD +47(+46~52),+1(+7),LH,-,,"25x2,200",20% Starter; Combo (2 hits),KD +47(+46~52),-19(-13),,,,,,44(22),"7,7,9","1500x2,2000","[500x2,6000]","600,700x2","250x2,600 (175x2,420)","125x2,300 (62x2,150)",,,9-39 (FKD),3.255 (1.105),,"3,3,1","3,3,1","5,9,12",,,,SF6_Lily_236lk_1stock.png,"SF6_Lily_236lk_1stock_hitbox.png, SF6_Lily_236lk_1stock_hitbox2.png",Consumes 1 Windclad Stock; 3 hits (can lose hits from farther range); can be spaced out for better frame advantage if only 3rd hit connects; puts opponent into limited juggle state on hit; can land a follow-up juggle with 5f startup (up to 10f startup on max range connect),supercombo_only,,,,,,,
44,Specials,special,lily_236mk_1stock,W.236MK,Condor Spire (Windclad),"100x2,900",13,"5(6)11,7",2+12 land,55,KD +49(+47~53),+1(+7),LH,-,,"25x2,225",20% Starter; Combo (2 hits),KD +49(+47~53),-19(-13),,,,,,44(22),"7,7,9","1500x2,2000","[500x2,6000]","600,700x2","250x2,600 (175x2,420)","125x2,300 (62x2,150)",,,13-43 (FKD),3.705 (1.316),,"3,3,1","3,3,1","5,9,12",,,,SF6_Lily_236mk_1stock.png,SF6_Lily_236mk_1stock_hitbox.png,Consumes 1 Windclad Stock; 3 hits (can lose hits from farther range); can be spaced out for better frame advantage if only 3rd hit connects; puts opponent into limited juggle state on hit; can land a follow-up juggle with 7f startup (up to 11f startup on max range connect),supercombo_only,,,,,,,
45,Specials,special,lily_236hk_1stock,W.236HK,Condor Spire (Windclad),"100x2,1000",17,"5(6)11,7",2+12 land,59,KD +52(+50~56),+1(+7),LH,-,,"25x2,250",20% Starter; Combo (2 hits),KD +52(+50~56),-19(-13),,,,,,44(22),"7,7,9","1500x2,2000","[500x2,6000]","600,700x2","250x2,600 (175x2,420)","125x2,300 (62x2,150)",,,17-47 (FKD),4.342 (1.469),,"3,3,1","3,3,1","5,9,12",,,,SF6_Lily_236hk_1stock.png,SF6_Lily_236hk_1stock_hitbox.png,Consumes 1 Windclad Stock; 3 hits (can lose hits from farther range); can be spaced out for better frame advantage if only 3rd hit connects; puts opponent into limited juggle state on hit; can land a follow-up juggle with 10f startup (up to 14f startup on max range connect),supercombo_only,,,,,,,
46,Specials,special,lily_236mkhk_1stock,W.236MKHK,Condor Spire (Windclad),"100x2,1000",9,"14,3,7",2+12 land,46,KD +56(+62),+2(+8),LH,SA2,51(14),"25x2,250",20% Starter; Combo (2 hits),KD +56(+62),-19(-13),,,,,,40(23),"7,7,12","1500x2,2000",[7000],-20000,"250x2,600 (175x2,420)","125x2,300 (62x2,150)",9-32 Projectile,,9-34 (FKD),3.831 (0.902),,"3,3,1","3,3,1","5,9,12",,,,SF6_Lily_236kk_1stock.png,"SF6_Lily_236kk_1stock_hitbox.png, SF6_Lily_236kk_1stock_hitbox2.png",Consumes 1 Windclad Stock; 3 hits (can lose hits from farther range); can be spaced out for better frame advantage if only 3rd hit connects; puts opponent into limited juggle state on hit; can land a follow-up juggle with 16f startup (up to 22f startup on max range connect); SA2 hitconfirm time decreases when connecting from longer ranges; longer travel distance and more knockdown advantage than the LKK version; range on the 3rd hit's first active frame: 3.351,supercombo_only,,,,,,,
47,Specials,special,lily_236lkmk_1stock,W.236LKMK or W.236LKHK,Condor Spire (Windclad),"100x2,1000",9,"14,3,7",2+12 land,46,KD +44(+50),+2(+8),LH,SA2,51(14),"25x2,250",20% Starter; Combo (2 hits),KD +44(+50),-19(-13),,,,,,40(23),"7,7,12","1500x2,2000",[7000],-20000,"250x2,600 (175x2,420)","125x2,300 (62x2,150)",9-32 Projectile,,9-34 (FKD),3.206 (0.902),,"3,3,1","3,3,1","5,9,12",,,,SF6_Lily_236kk_1stock.png,"SF6_Lily_236kk_1stock_hitbox.png, SF6_Lily_236kk_1stock_hitbox2.png",Consumes 1 Windclad Stock; 3 hits (can lose hits from farther range); can be spaced out for better frame advantage if only 3rd hit connects; puts opponent into limited juggle state on hit; can land a follow-up juggle with 8f startup (up to 14f startup on max range connect); SA2 hitconfirm time decreases when connecting from longer ranges; shorter travel distance and less knockdown advantage than the MKHK version; easier to space on a late active frame (becomes safe to Drive Reversal); range on the 3rd hit's first active frame: 2.876,supercombo_only,,,,,,,
52,Specials,special,lily_623lp_1stock,W.623LP,Tomahawk Buster (Windclad),"400,600",4,"4,9",21+12 land,49,KD +41(+43),-25,LH,-,,"100,150",,KD +41(+43),-37(-44),,,,,,21(17),"15,12",2000x2,[5000],1000x2,"500,600 (350,420)","250,300 (125,150)",1-10 Air,,7-37 (FKD),0.80 (1st),,"1,1","1,1","12,13",,,,SF6_Lily_623lp_1stock.png,SF6_Lily_623lp_1stock_hitbox.png,"Consumes 1 Windclad Stock (2f faster, 100 more damage, better juggles and KD Adv.); puts opponents into limited juggle state; 4f startup means this move cannot be safe jumped unless jump-in is spaced out to make it whiff; if 2nd hit connects vs. standing grounded opponent, they are launched close enough to follow up midscreen with SA1, SA2, 2HK, or 2HP (and more in the corner); KD Adv. of 2nd hit is +49~53 depending on distance; cannot hit cross-up",supercombo_only,,,,,,,
