row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
19,Specials,special,rashid_walljump,9 (against wall),Wall Jump,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,Until Land (FKD),,,,,,,,,SF6_Rashid_walljump.png,SF6_Rashid_walljump_hitbox.png,"Counter-hit state during entire duration; can be done from Back or Neutral jump if fully against the wall, or after Forward Jump against a cornered opponent; cannot be performed after j.2HP or j.214K",supercombo_only,,,,,,,
25,Specials,special,rashid_66_hold,6[6],Run,-,18,-,5(18),90,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Rashid_66_hold.png,SF6_Rashid_66_hold_hitbox.png,"Input by holding forward after a forward dash; cancelable into 6P or 6K follow-ups on frames 18-72; after 72f, Rashid has 18f stopping recovery if no follow-up is input (90f total); stopping the run early has 5f recovery; no stopping recovery if jumping forward out of the run animation (neutral/back jump still plays out the 5f recovery); counter-hit state during entire run animation; affected by Air Current for entire duration except for 18f recovery, causing Rashid to run faster",supercombo_only,,,,,,,
26,Normals and Target Combos,ground_normal,rashid_66_hold_6p,6[6]~6P,Backup,400x2,18+8,10,17,34,+7,-10(-1),"L,LH","SA (2nd, hit only)",43 SA,,20% Starter,+11,-25(-16),,,,,48 total,17,"9,8",3000,"[2500,5000]",1000x2 (1000),500x2 (350x2),250 (125),1-19 Upper Body Projectile,,,2.728 (1.965),,"0,1","0,1","10,10",,,,SF6_Rashid_66_hold_6p.png,"SF6_Rashid_66_hold_6p_hitbox_preview.png, SF6_Rashid_66_hold_6p_hitbox_1.png, SF6_Rashid_66_hold_6p_hitbox_2.png","Crouching state for entire move duration; on hit, connects twice and switches sides, remaining projectile invincible throughout the entire animation; on block, connects once and stays on the same side; if opponent is cornered, Rashid is close enough for a follow-up combo; counter-hit/Punish Counter bonus advantage applies to both hits; frames 1-17 can be affected by Air Current",supercombo_only,,,,,,,
27,Normals and Target Combos,ground_normal,rashid_66_hold_6k,6[6]~6K,Tempest Moon,600x2,18+16,2(4)3,21,45,+3,-4,"LH,LH",SA (2nd),30(14) SA,,15% Starter,+7,-22(-21),,,,,33 total,26 total,"10,10",2500x2,[5000x2],1000x2,500x2 (350x2),250x2 (125x2),6-21 Throw,,6-21 (FKD),2.597 (2.076),,1 air,"1,1","10,10",,,,SF6_Rashid_66_hold_6k.png,"SF6_Rashid_66_hold_6k_hitbox_1.png, SF6_Rashid_66_hold_6k_hitbox_2_3_preview.png, SF6_Rashid_66_hold_6k_hitbox_2.png, SF6_Rashid_66_hold_6k_hitbox_3.png","Counter-hit/Punish Counter bonus advantage applies to both hits; frames 1-3 can be affected by Air Current, becoming the Enhanced version",supercombo_only,,,,,,,
28,Normals and Target Combos,ground_normal,rashid_66_hold_6k_enhanced,6[6]~6K (Air Current),Tempest Moon (Air Current),"400x2,600",18+9,3(21)2(3)3,22,62,KD +56 OTG / KD +22,-5,"LH,LH",-,,,20% Starter; Combo (2 hits),KD +56 OTG / KD +22,-21,,,,,,49 total,"10,10,11","2000,2500x2","[5000,2500x2]","500,1000x2",200x3 (140x3),100x3 (50x3),,,21-36 (FKD),3.89 / 3.369 (1.711),,1,"1,1,1","4,10,10",,,,SF6_Rashid_66_hold_6k.png,"SF6_Rashid_66_hold_6k_air_hitbox_1_2_preview.png, SF6_Rashid_66_hold_6k_air_hitbox_3_4_preview.png, SF6_Rashid_66_hold_6k_air_hitbox_1.png, SF6_Rashid_66_hold_6k_hitbox_2.png, SF6_Rashid_66_hold_6k_air_hitbox_3.png, SF6_Rashid_66_hold_6k_air_hitbox_4.png",Puts opponent into limited juggle OTG state if first hit connects (regular knockdown if first hit doesn't connect),supercombo_only,,,,,,,
29,Specials,special,rashid_6kk,6KK,Side Flip,-,32 total,-,-,32,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Rashid_6kk.png,SF6_Rashid_6kk_hitbox.png,"Can input 4KK/5KK/6KK follow-up on frames 19-25; collision box disappears frames 8-23, allowing Rashid to pass through opponents; can be affected by Air Current on frames 2-20, traveling nearly fullscreen; travel distance: 1.7 (3.62 enhanced)",supercombo_only,,,,,,,
30,Specials,special,rashid_6kk_kk,6KK~KK,Front Flip,-,18+51 total,-,8 land,51,-,-,-,-,,,,,,,,,,,,,,,,,,,,11-43 (FKD),,,,,,,,,SF6_Rashid_6kk_kk.png,SF6_Rashid_6kk_kk_hitbox.png,"Input during 6KK; holding forward/back/neutral direction affects flip distance; can use any air attack frames 22-40; can be affected by Air Current on frames 1-36, traveling forward fullscreen",supercombo_only,,,,,,,
42,Specials,special,rashid_236lp_enhanced,236LP (Air Current),Spinning Mixer,"200,100x8 (1000)",6,2(4)3(3)3(4)3(3) 3(4)3(3)3(4)3(3)3,15,74,+4,+2,LH,SA3 (1st),9,"50,25x8 (250)",20% Starter; Combo (2 hits),+8,-15,,,,,73 total,71 total,"6,2x7,9","500x8,1000","[500x8,1000]",100x9,"100,50x8 (70,35x8)","50,25x8 (25,12x8)",,,,7.58 (0.86),,"0x8,7 air","0x8,7",9x9,,,,SF6_Rashid_236lp_air.png,SF6_Rashid_236lp_air_hitbox.png,Fullscreen advancing move that gives a combo on hit and frame advantage on block; counter-hit/Punish Counter bonus advantage applies through all hits (allows for a stronger follow-up combo),supercombo_only,,,,,,,
44,Specials,special,rashid_236mp_enhanced,236MP (Air Current),Spinning Mixer,"200x2,100x8,200 (1400)",5,"1,2(2)2(4)2(3)2(6) 2(3)2(5)2(3)2(5)2(3)2",37+24 land,120,KD +37,-75(-83)(-88),LH,SA3,8,"75x2,100x3 (350~450)",,KD +37,-90(-103),,,,,,41(28),"2x10,8",1250x5,[5000],"150x10,500 (150x5)","150x2,50x8,100 (105x2,35x8,70)","75x2,25x3 (37x2,12x3)",3-11 Air,,9-96 (FKD),0.956 (1st),,"1,0x9,1","0x10,1","10x2,20x9",,,,SF6_Rashid_236mp_air.png,SF6_Rashid_236mp_air_hitbox.png,"On block, gets +1 hit vs. tall standing characters, and -1 hit vs. crouching characters (affects block data, chip, meter gain, etc.); cannot anti-air cross-ups; travels fullscreen",supercombo_only,,,,,,,
46,Specials,special,rashid_236hp_enhanced,236HP (Air Current),Spinning Mixer,"125x8,800 (1800)",5,2(2)3(3)3(4)3(3) 3(2)3(2)3(2)3(3)3,39+14 land,104,KD +27,-83,LH,-,,31,,KD +27,-98,,,,,,17,"2x8,10",5000,[5000],"200x8,1000 (200)","110x8,120 (77x8,84)",55 (27),"5-11 Air, 7-9 Throw",,7-90 (FKD),0.98 (1st),,"1x8,5","0x8,99",10x9,,,,SF6_Rashid_236hp.png,SF6_Rashid_236hp_hitbox.png,Good anti-air that can hit cross-ups,supercombo_only,,,,,,,
