row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes,suggested_handling,link_type,primary_official_row_order,primary_official_move_name,enabled_by_official_row_order,enabled_by_official_move_name,value_policy,link_note
24,Normals and Target Combos,air_normal,m.bison_jmp_jmp,j.MP~j.MP,Hell Attack,700,7,4,3 land,,-,-,LH,-,,,,,,,,,,,,11,,,1000,500 (350),,,,,,,,2,2,,,,SF6_Mbison_jmp_jmp.png,SF6_Mbison_jmp_jmp_hitbox.png,"Keeps airborne opponents in a limited juggle state after j.MP; can be delayed significantly, giving Bison better advantage to juggle after landing",supercombo_only,,,,,,,
31,Drive and Throw,drive,m.bison_mpmk_66_pdr,MPMK~66,Parry Drive Rush,-,3+8,-,15(37),26(48),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-10000,,,,,,,,,,,,,,SF6_Mbison_66.png,SF6_Mbison_66_hitbox.png,"See Drive Rush; 1-bar version performed out of a Parry; startup refers to minimum time before an attack can cancel the Drive Rush animation (if performed immediately after a successful Parry, only 1+8 startup); the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties; Distance: 0.593 (min/throw), 2.650 (min/block), 4.425 (max/final DR frame)",supercombo_only,,,,,,,
32,Drive and Throw,drive,m.bison_mpmk_66_drc,MPMK or 66,Drive Rush Cancel,-,9,-,15(37),24(46),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-30000,,,,,,,,,,,,,,SF6_Mbison_66.png,SF6_Mbison_66_hitbox.png,See Drive Rush; 3-bar version performed on hit/block from a cancelable normal; can also be performed on whiff from cancelable light normals; startup refers to minimum time before an attack can cancel the Drive Rush animation; the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties,supercombo_only,,,,,,,
33,Specials,special,m.bison_psycho_mine,-,Psycho Mine (Detonation),500,300,1,-,,KD,-,LH,-,,125,,KD,,,,,,,30,5,3000,[5000],2000,500 (350),250 (125),,,,,,1,0,99,,,,SF6_Mbison_psycho_mine.png,SF6_Mbison_psycho_mine_hitbox.png,"Projectile hitbox (can be avoided with projectile invuln moves, including some with upper-body invuln); Mine dissipates if Bison is hit; explosion happens automatically 300f after a mine has been planted by the 2nd hit of Backfist Combo; also triggered by Psycho Crusher, Backfist Combo, and Devil Reverse on hit/block (only Backfist Combo triggers the detonation on Perfect Parry); explosion puts opponent into free juggle state or maintains existing juggle state; performing Forward Taunt causes Bison to start a countdown to trigger the explosion; explosion only counts as a hit for damage scaling when the timer expires (not when automatically activated from a special move)",supercombo_only,,,,,,,
34,Specials,special,m.bison_46lp,[4]6LP,Psycho Crusher Attack,1200,14,16,24,53,KD +24(+39),-20(-5),LH,SA3,17 SA,300,30% Starter,KD +24(+39),-38(-23),,,,,,20,10,6000,[10000],2000,1200 (840),600 (300),"6-15 Air, 15-29 Projectile (Head/Arm)",,20-29 (FKD),3.917 (1.343),,1,1,10,,,,SF6_Mbison_46lp.png,"SF6_Mbison_46lp_hitbox_1.png, SF6_Mbison_46p_hitbox_2.png","45f charge time (charge lasts 8f after releasing back direction, and must be holding forward when LP is input); 1-hit projectile clash hitbox on frames 14-29",supercombo_only,,,,,,,
35,Specials,special,m.bison_46mp,[4]6MP,Psycho Crusher Attack,1400,20,16,24,59,KD +24(+39),-20(-5),LH,SA3,15 SA,350,30% Starter,KD +24(+39),-38(-23),,,,,,20,8,7000,[10000],3500,1300 (910),650 (325),"6-21 Air, 21-35 Projectile (Head/Arm)",,26-35 (FKD),4.15 (1.328),,1,1,10,,,,SF6_Mbison_46lp.png,"SF6_Mbison_46mp_hitbox_1.png, SF6_Mbison_46p_hitbox_2.png","45f charge time (charge lasts 8f after releasing back direction, and must be holding forward when MP is input); 1-hit projectile clash hitbox on frames 20-35",supercombo_only,,,,,,,
36,Specials,special,m.bison_46hp,[4]6HP,Psycho Crusher Attack,1600,24,26,24,73,KD +14(+39),-23(+2),LH,SA3,15 SA,400,30% Starter,KD +14(+39),-48(-23),,,,,,27,8,8000,[10000],5000,1500 (1050),750 (375),"6-25 Air, 23-49 Projectile (Head/Arm)",,30-49 (FKD),5.609 (1.353),,1,1,10,,,,SF6_Mbison_46lp.png,"SF6_Mbison_46hp_hitbox_1.png, SF6_Mbison_46p_hitbox_2.png","45f charge time (charge lasts 8f after releasing back direction, and must be holding forward when HP is input); 1-hit projectile clash hitbox on frames 24-49",supercombo_only,,,,,,,
37,Specials,special,m.bison_46pp,[4]6PP,Psycho Crusher Attack,"400x2,500 (1300)",16,"7,6,3",20,51,KD +35(+37),-3(-1),LH,SA2* SA3,47/35/24 SA,"100x2,125 (325)",30% Starter,KD +35(+37),-25(-19),,,,,,33/25/20 total,"5,5,15","1500x2,2000 (5000)",[7000],-20000,400x3 (280x3),200x3 (100x3),"6-17 Air, 13-31 Projectile",,20-31 (FKD),4.869 (1.60),,1x4,1x4,10,,,,SF6_Mbison_46pp.png,"SF6_Mbison_46pp_hitbox_preview.png, SF6_Mbison_46pp_hitbox_1.png, SF6_Mbison_46pp_hitbox_2.png, SF6_Mbison_46pp_hitbox_3.png","45f charge time (charge lasts 8f after releasing back direction, and must be holding forward when PP is input); cancel into SA2 does not combo",supercombo_only,,,,,,,
38,Specials,special,m.bison_46lp_mine,[4]6LP,Psycho Crusher (Mine),"1200,500 (1700)",14,"14,1",23,53,KD +39(+42),+6,LH,SA3,17 SA,"300,125 (425)",30% Starter,KD +39(+42),-38(-23),,,,,,46 total,"16,15,8","6000,3000 (9000)",[10000],2000x2 (4000),"1200,500 (840,350)","600,250 (425,125)","6-15 Air, 15-29 Projectile (Head/Arm)",,20-29 (FKD),3.917 (1.343),,"1,1","1,1",10,,,,SF6_Mbison_46lp.png,"SF6_Mbison_46lp_hitbox_1.png, SF6_Mbison_46p_hitbox_2.png","45f charge time (charge lasts 8f after releasing back direction, and must be holding forward when LP is input); strike hitbox surrounded by a 1-hit projectile clash hitbox on frames 14-29; detonates Psycho Mine on hit/block (does not trigger on Perfect Parry); puts opponent into limited juggle state (cancel into SA3 connects before Psycho Mine explodes); KD advantage depends on spacing (+41 close range, +42 most mid ranges, +39 on last active frame); useful pressure tool after Backfist Combo due to its block advantage, but is susceptible to Perfect Parry; when Perfect Parried, Bison will usually be airborne as the opponent punishes",supercombo_only,,,,,,,
39,Specials,special,m.bison_46mp_mine,[4]6MP,Psycho Crusher (Mine),"1400,500 (1900)",20,"16,1",23,59,KD +39(+42),+6,LH,SA3,15 SA,"350,125 (475)",30% Starter,KD +39(+42),-38(-23),,,,,,46 total,"16,15,8","7000,3000 (10000)",[10000],"3500,2000 (5500)","1300,500 (910,350)","650,250 (325,125)","6-21 Air, 21-35 Projectile (Head/Arm)",,26-35 (FKD),4.15 (1.328),,"1,1","1,1",10,,,,SF6_Mbison_46lp.png,"SF6_Mbison_46mp_hitbox_1.png, SF6_Mbison_46p_hitbox_2.png","45f charge time (charge lasts 8f after releasing back direction, and must be holding forward when MP is input); strike hitbox surrounded by a 1-hit projectile clash hitbox on frames 20-35; detonates Psycho Mine on hit/block (does not trigger on Perfect Parry); puts opponent into limited juggle state (cancel into SA3 connects before Psycho Mine explodes); KD advantage depends on spacing (+41 close range, +42 most mid ranges, +39 on last active frame); useful pressure tool after Backfist Combo due to its block advantage, but is susceptible to Perfect Parry; when Perfect Parried, Bison will usually be airborne as the opponent punishes",supercombo_only,,,,,,,
