category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes
1,通常技,1,立ち弱P （蛇突）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P （蛇突）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-6,7,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,2,立ち弱K （蛇咬脚）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K （蛇咬脚）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,12,3,-3,C,300,始動補正20%,250,-500,-2000,300,上,
1,通常技,3,立ち中P （蛇咬手）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P （蛇咬手）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-10,14,3,-3,C,600,,1500,-3000,-4000,500,上,ガード、空振り時硬直2F増加
1,通常技,4,立ち中K （蛇蝎蹴）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K （蛇蝎蹴）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,15,6,-2,,700,,2000,-4000,-6000,700,上,空振り時硬直2F増加
1,通常技,5,立ち強P （蛇突牙）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P （蛇突牙）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-14,21,1,-4,,800,,3000,-5000,-8000,1000,上,
1,通常技,6,立ち強K （蛇旋脚）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K （蛇旋脚）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-12,19,4,-3,C,800,,2000,-5000,-8000,1000,上,強制立ち効果 パニッシュカウンター時+12F
1,通常技,7,しゃがみ弱P （潜蛇突）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P （潜蛇突）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,9,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,8,しゃがみ弱K （蹴突蛇）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K （蹴突蛇）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,8,3,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
1,通常技,9,しゃがみ中P （蛇伸突）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P （蛇伸突）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-9,18,1,-3,C,600,,1500,-3000,-4000,500,上,
1,通常技,10,しゃがみ中K （蛇落蹴）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K （蛇落蹴）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-9,16,5,1,SA,600,始動補正20%,1000,-2000,-4000,600,下,
