category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes
1,通常技,1,立ち弱K（スタンドロー）,modern_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（スタンドロー）""}, {""type"": ""image"", ""value"": ""modern_l"", ""src"": ""/6/assets/images/common/controller/modern_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,11,2,-4,C,300,始動補正20%,250,-500,-2000,300,上,
1,通常技,2,立ち中P（ブレイズパーチ）,modern_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（ブレイズパーチ）""}, {""type"": ""image"", ""value"": ""modern_m"", ""src"": ""/6/assets/images/common/controller/modern_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-12,15,3,-3,SA,600,,1500,-3000,-4000,500,上,パニッシュカウンター時強制立ち効果
1,通常技,3,立ち中K（スプルースベンド）,modern_auto key-plus modern_h 強,"[{""type"": ""text"", ""value"": ""立ち中K（スプルースベンド）""}, {""type"": ""image"", ""value"": ""modern_auto"", ""src"": ""/6/assets/images/common/controller/modern_auto.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_auto.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""modern_h"", ""src"": ""/6/assets/images/common/controller/modern_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,13,5,1,C,500,,1000,-2000,-3000,500,上,空振り時硬直2F増加
1,通常技,4,立ち強P（ラウンドホップ）,modern_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（ラウンドホップ）""}, {""type"": ""image"", ""value"": ""modern_h"", ""src"": ""/6/assets/images/common/controller/modern_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-15,20,2,-2,,800,,2000,-5000,-8000,1000,上,強制立ち効果 パニッシュカウンター時吹き飛びダウン
1,通常技,5,しゃがみ弱P（クラウチングフロント）,key-d key-plus modern_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（クラウチングフロント）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""modern_l"", ""src"": ""/6/assets/images/common/controller/modern_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,8,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,6,しゃがみ弱K（リトルラップ）,modern_auto key-plus modern_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（リトルラップ）""}, {""type"": ""image"", ""value"": ""modern_auto"", ""src"": ""/6/assets/images/common/controller/modern_auto.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_auto.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""modern_l"", ""src"": ""/6/assets/images/common/controller/modern_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,8,3,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
1,通常技,7,しゃがみ中P（リングカッター）,modern_auto key-plus modern_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（リングカッター）""}, {""type"": ""image"", ""value"": ""modern_auto"", ""src"": ""/6/assets/images/common/controller/modern_auto.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_auto.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""modern_m"", ""src"": ""/6/assets/images/common/controller/modern_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,20,1,-4,C,600,,1000,-3000,-4000,600,上,
1,通常技,8,しゃがみ中K（サーフェスキック）,key-d key-plus modern_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（サーフェスキック）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""modern_m"", ""src"": ""/6/assets/images/common/controller/modern_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,18,4,-4,,600,始動補正20%,1000,-3000,-4000,600,下,ヒット時硬直2F減少
1,通常技,9,しゃがみ強P（アカシアブランチ）,key-d key-plus modern_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強P（アカシアブランチ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""modern_h"", ""src"": ""/6/assets/images/common/controller/modern_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-18,20,6,-7,C,800,始動補正20%,4000,-5000,-8000,1000,上,強制立ち効果
1,通常技,10,ジャンプ弱P（ニーアタック）,（ジャンプ中に） modern_l 弱,"[{""type"": ""text"", ""value"": ""ジャンプ弱P（ニーアタック）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""modern_l"", ""src"": ""/6/assets/images/common/controller/modern_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/modern_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-10,着地後3,,,,300,,500,-1500,-2000,300,中,めくり性能
