category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes
1,通常技,1,立ち弱P（ノーシ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ノーシ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-8,10,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,2,立ち弱K（ニージニイ・ウダール）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（ニージニイ・ウダール）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,11,3,-2,C,300,始動補正20%,250,-500,-2000,300,上,
1,通常技,3,立ち中P（シュトゥールム）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（シュトゥールム）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-14,21,1,-6,※,700,,3000,-4000,-6000,500,上,※ヴィーハト・チェーニのみキャンセル可能
1,通常技,4,立ち中K（ウームヌィ・ウダール）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（ウームヌィ・ウダール）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,19,3,-3,C,600,,1500,-3000,-4000,500,上,
1,通常技,5,立ち強P（キンターヴル）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（キンターヴル）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-13,22,3,-3,C,800,始動補正20%,2000,-5000,-8000,1000,上,空中ヒット時吹き飛びダウン パニッシュカウンター時+25F
1,通常技,6,立ち強K（オボロートニ）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（オボロートニ）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-15,17,7,2,,800,,3000,-4000,-10000,1000,上,※ヴィーハト・チェーニのみキャンセル可能
1,通常技,7,しゃがみ弱P（ブィストルイ・ウダール）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（ブィストルイ・ウダール）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-5,11,4,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,8,しゃがみ弱K（リョーフキー・ウダール）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（リョーフキー・ウダール）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-7,10,2,-2,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応 ※ヴィーハト・チェーニのみキャンセル可能
1,通常技,9,しゃがみ中P（ズミヤー）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（ズミヤー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-10,14,6,-2,C,600,,1500,-3000,-4000,500,上,
1,通常技,10,しゃがみ中K（ズローバ）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（ズローバ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,17,3,-3,,700,始動補正20%,2000,-4000,-6000,500,下,※ヴィーハト・チェーニのみキャンセル可能
