category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes
1,通常技,1,立ち弱P（首甲殺）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（首甲殺）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-7,7,5,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,2,[チェーンコンボ]立ち弱P（首甲殺）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち弱P（首甲殺）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-7,7,5,-2,C,100,始動補正20%,62,-125,-500,0,上,連打キャンセル対応 空中ヒット時吹き飛びダウン
1,通常技,3,立ち弱K（微弄脚）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（微弄脚）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,9,2,-3,C,300,始動補正20%,250,-500,-2000,300,上,
1,通常技,4,[チェーンコンボ]立ち弱K（微弄脚）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち弱K（微弄脚）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-7,9,2,-3,C,100,始動補正20%,62,-125,-500,0,上,空中ヒット時吹き飛びダウン
1,通常技,5,立ち中P（胸破殺）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（胸破殺）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,12,7,2,C,600,,1500,-3000,-4000,500,上,
1,通常技,6,[チェーンコンボ]立ち中P（胸破殺）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち中P（胸破殺）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-9,12,7,2,C,400,,375,-750,-1000,0,上,空中ヒット時吹き飛びダウン
1,通常技,7,立ち中K（伸腿蹴）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（伸腿蹴）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-10,17,3,-4,C,700,,2000,-4000,-6000,1050,上,
1,通常技,8,[チェーンコンボ]立ち中K（伸腿蹴）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち中K（伸腿蹴）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-10,17,3,-4,C,500,,500,-1000,-1500,0,上,空中ヒット時吹き飛びダウン
1,通常技,9,立ち強P（蜘殺）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（蜘殺）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-12,24,-1,-5,C,800,,2000,-5000,-8000,1000,上,強制立ち効果
1,通常技,10,[チェーンコンボ]立ち強P（蜘殺）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""[チェーンコンボ]立ち強P（蜘殺）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-12,24,D,-5,C,600,,500,-1250,-2000,0,上,
