row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,a.k.i._5lp,5LP,Standing Light Punch,300,5,2,7,13,+4,-1,LH,Sp SA TC,"12 Sp, 14 TC",,20% Starter,+8,-7,+3,-2,+8,+3,13,8,9,500,[2000],250,300 (210),150 (75),,,,0.90,Short range punish into 5LP~LP Target Combo,1,1,0,,,,SF6_A.K.I._5lp.png,SF6_A.K.I._5lp_hitbox.png,"Sinister Slide cancel: +1/-4; short range and not chainable, primarily used for the 5LP~LP Target Combo"
2,Normals and Target Combos,ground_normal,a.k.i._5mp,5MP,Standing Medium Punch,600,6,5,14(16),24(26),+3,-3,LH,Sp SA,16,,,+7,-17,+11,+7,+7,+1,22,18,12,3000,[4000],1500,500 (350),250 (125),,,,1.269,,1,1,0,,,,SF6_A.K.I._5mp.png,SF6_A.K.I._5mp_hitbox.png,2 extra recovery frames on whiff/block; Sinister Slide cancel: +9/+5; moves A.K.I. forward; useful combo tool after 5MK or in counter-hit routes but does not combo into 236PP; high active frame count makes it useful as a meaty (up to +7/+1); special/DR cancel is delayed until after 2nd active frame
3,Normals and Target Combos,ground_normal,a.k.i._5hp,5HP,Standing Heavy Punch,800,12,3,21,35,+1,-4,LH,TC,20,,,+5,-22,,,+5,0,25,20,13,5000,[8000],3000,1000 (700),500 (250),,,,1.782,,1,1,0,,,,SF6_A.K.I._5hp.png,SF6_A.K.I._5hp_hitbox.png,"Very good poke that can avoid some low attacks; hitconfirmable into 5HP~HP Target Combo, which is especially strong vs. poisoned opponents"
4,Normals and Target Combos,ground_normal,a.k.i._5lk,5LK,Standing Light Kick,300,4,3,12,18,+3,-3,LH,Sp SA,13 (DR: 14),,20% Starter,+7,-13,+5,-1,+7,+1,18,12,9,500,[2000],250,300 (210),150 (75),,,,1.04,,1,1,0,,0.211,0.379,SF6_A.K.I._5lk.png,SF6_A.K.I._5lk_hitbox.png,Sinister Slide cancel: +6/0; DR cancel is delayed until after 1st recovery frame
5,Normals and Target Combos,ground_normal,a.k.i._5mk,5MK,Standing Medium Kick,700,8,3,15(17),25(27),+6,-2,LH,-,,,,+10,-16,,,+10,+2,24,16,11,4000,[6000],2000,700 (490),350 (175),,,,1.48,,1,1,0,,,,SF6_A.K.I._5mk.png,SF6_A.K.I._5mk_hitbox.png,2 extra recovery frames on whiff; useful poke and combo starter
6,Normals and Target Combos,ground_normal,a.k.i._5hk,5HK,Standing Heavy Kick,800,9,4,19,31,+4,-3,LH,Sp SA,18,,,+12 Stagger,-21,+16,+9,+8,+1,27,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.376,,1,1,0,,,,SF6_A.K.I._5hk.png,"SF6_A.K.I._5hk_hitbox_preview.png, SF6_A.K.I._5hk_hitbox_1.png, SF6_A.K.I._5hk_hitbox_2.png, SF6_A.K.I._5hk_hitbox_3.png","Forces stand on hit; active frames 3-4 whiff on crouching opponents unless they extend a vertical hurtbox; important combo and juggle tool (combos into 2PP~K naturally, and 2PP~P on Punish Counter); staggers opponent on grounded Punish Counter and launches into a high limited juggle state on airborne Punish Counter; good anti-air on frames 10-12 but cannot hit cross-up; head hurtbox is anti-air invuln 5-12f; kicking leg and upper body hurtbox is anti-air invuln on frame 10-12; extends a hurtbox 1f before active that is vulnerable to projectiles; Sinister Slide cancel: +15/+8; DR cancel is delayed until after 2nd active frame"
7,Normals and Target Combos,ground_normal,a.k.i._2lp,2LP,Crouching Light Punch,300,4,2,9,14,+4,-1,LH,Chn Sp SA,12,,20% Starter,+8,-9,+5,0,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,0.96,,1,1,0,,0.277,0.286,SF6_A.K.I._2lp.png,SF6_A.K.I._2lp_hitbox.png,Chains into 2LP/2LK (true blockstring into 2LP); Sinister Slide cancel: +3/-2; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,a.k.i._2mp,2MP,Crouching Medium Punch,600,7,3,18,27,+1,-3,LH,Sp SA,15,,,+5,-19,+12,+8,+5,+1,22,18,11,3000,[4000],1500,500 (350),250 (125),,,,1.375,,1,1,0,,,,SF6_A.K.I._2mp.png,SF6_A.K.I._2mp_hitbox.png,Sinister Slide cancel: +10/+6; combo/buffer tool with good range; topmost hurtbox on frames 1-20 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,a.k.i._2hp,2HP,Xiu She,900,10,3,28,40,KD +27,-8,L,-,,,,HKD +49,-29,,,KD +27,-4,,23,13,4000,[10000],3000,1000 (700),500 (250),,,,1.923,Does not actually slide forward during active frames like the animation suggests,1,1,2,,,,SF6_A.K.I._2hp.png,SF6_A.K.I._2hp_hitbox.png,"Hitbox does not move during active frames (cannot space to make it safer in neutral); very disjointed hitbox, but easily punished in neutral; has some juggle potential"
10,Normals and Target Combos,ground_normal,a.k.i._2lk,2LK,Crouching Light Kick,200,5,3,8,15,+3,-2,L,Chn,,,20% Starter,+7,-9,,,+7,+2,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.19,Only useful as max range Punish Counter linked into 2MK,1,1,0,,,,SF6_A.K.I._2lk.png,SF6_A.K.I._2lk_hitbox.png,"Chains into 2LP/2LK; highest range light normal, can be used in 4-hit blockstrings and to stuff grounded approaches"
