row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,blanka_5lp,5LP,Standing Light Punch,300,5,3,10,17,+3,-3,LH,Sp SA,13,,20% Starter,+7,-11,+6,0,+7,+1,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.36,,1,1,0,,,,SF6_Blanka_5lp.png,SF6_Blanka_5lp_hitbox.png,Mostly used for special cancels (cannot link or chain into other normals); SA2 cancel: +5/-1; Forward Hop cancel: -12/-18; Coward Crouch cancel: -3/-9
2,Normals and Target Combos,ground_normal,blanka_5mp,5MP,Standing Medium Punch,700,10,3,15,27,+3,-4,LH,SA,15 SA,,,+7,-16,,,+7,0,21,14,11,4000,[6000],2000,500 (350),250 (125),,,,1.64,,1,1,0,,,,SF6_Blanka_5mp.png,SF6_Blanka_5mp_hitbox.png,Solid neutral poke; SA2 cancel: +10/+3
3,Normals and Target Combos,ground_normal,blanka_5hp,5HP,Standing Heavy Punch,800,10,7,17(22),33(38),+3,-3,LH,Sp SA,16,,,+7,-27,+17,+11,+7,+1,27,21,13,5000,[8000],2000,1000 (700),500 (250),,,,1.561 (1.429),,1,1,0,,,,SF6_Blanka_5hp.png,"SF6_Blanka_5hp_hitbox_preview.png, SF6_Blanka_5hp_hitbox_1.png, SF6_Blanka_5hp_hitbox_2.png, SF6_Blanka_5hp_hitbox_3.png",Combo tool with enough hitstun to follow up with Coward Crouch + Wild Lift; forces stand; 5f extra recovery on whiff; final 2 active frames only hit airborne opponents above Blanka; SA2 cancel: +16/+10; Forward Hop cancel: -1/-7; Coward Crouch cancel: +8/+2
4,Normals and Target Combos,ground_normal,blanka_5lk,5LK,Standing Light Kick,300,4,4,7,14,+5,-2,LH,Chn Sp SA,14,,20% Starter,+9,-9,+6,-1,+9,+2,16,9,9,500,[2000],250,300 (210),150 (75),,,,1.11,,1,1,0,,0.499,0.522,SF6_Blanka_5lk.png,SF6_Blanka_5lk_hitbox.png,Chains into 5LK/2LP/2LK; Blanka's fastest light normal; SA2 cancel: +5/-2; Forward Hop cancel: -12/-19; Coward Crouch cancel: -3/-10
5,Normals and Target Combos,ground_normal,blanka_5mk,5MK,Standing Medium Kick,600,8,3,17(20),27(30),+5,-2,LH,Sp SA,15,,,+9,-18,+15,+8,+9,+2,25,18,11,3000,[6000],2000,700 (490),350 (175),,,,1.494,,1,1,0,,,,SF6_Blanka_5mk.png,SF6_Blanka_5mk_hitbox.png,3f extra recovery on whiff; forward movement makes it more consistent in cancels like OD Backstep Roll; SA2 cancel: +14/+7; Forward Hop cancel: -3/-10; Coward Crouch cancel: +6/-1
6,Normals and Target Combos,ground_normal,blanka_5hk,5HK,Standing Heavy Kick,800,7,9,18(15),33(30),+6,-4,LH,-,,,,+10,-22,,,+10,0,33,20,13,4000,[10000],3000,1000 (700),500 (250),,,,1.435 (1.175),,1,1,0,,,,SF6_Blanka_5hk.png,"SF6_Blanka_5hk_hitbox_preview.png, SF6_Blanka_5hk_hitbox_1.png, SF6_Blanka_5hk_hitbox_2.png, SF6_Blanka_5hk_hitbox_3.png","Forces stand; great anti-air that can hit cross-up on active frames 7-9 unlike most AAs; Counter-hit/Punish Counter launches airborne opponents into a limited juggle state (very high float state); high active frame count makes it useful as a meaty tool, and the fast startup + hit advantage makes it useful in combos; 3f less recovery on block; extends a hurtbox 1f before active that is vulnerable to projectiles"
7,Normals and Target Combos,ground_normal,blanka_2lp,2LP,Crouching Light Punch,300,6,3,8,16,+5,-2,LH,Chn Sp SA,13,,20% Starter,+9,-9,+6,-1,+9,+2,16,9,9,500,[2000],250,300 (210),150 (75),,,,1.40,,1,1,0,,,,SF6_Blanka_2lp.png,SF6_Blanka_2lp_hitbox.png,Chains into 5LK/2LP/2LK; longest range of Blanka's light normals; SA2 cancel: +5/-2; Forward Hop cancel: -12/-19; Coward Crouch cancel: -3/-10
8,Normals and Target Combos,ground_normal,blanka_2mp,2MP,Crouching Medium Punch,600,9,5,16,29,-1,-5,LH,Sp SA,19,,,+3,-19,+10,+6,+3,-1,20,16,11,3000,[4000],1500,500 (350),250 (125),,,,1.72 (1.04),,1,1,0,,,,SF6_Blanka_2mp.png,"SF6_Blanka_2mp_hitbox_preview_1_2.png, SF6_Blanka_2mp_hitbox_3.png, SF6_Blanka_2mp_hitbox_preview_4_5.png, SF6_Blanka_2mp_hitbox_1.png, SF6_Blanka_2mp_hitbox_2.png, SF6_Blanka_2mp_hitbox_4.png, SF6_Blanka_2mp_hitbox_5.png","Long range cancelable poke with a lenient hitconfirm window; can be spaced to hit up to 3rd active frame (2f better advantage, 2f harder hitconfirm window); situational anti-air on active frames 4-5 but cannot hit cross-up; SA2 cancel: +9/+5; Forward Hop cancel: -8/-12; Coward Crouch cancel: +1/-3"
9,Normals and Target Combos,ground_normal,blanka_2hp,2HP,Crouching Heavy Punch,900,15,5,20(21),39(40),0,-5,LH,-,,,,HKD +80,-24,,,+4,-1,25,21,13,6000,[10000],4000,1000 (700),500 (250),,,,2.137,,1,1,0,,,,SF6_Blanka_2hp.png,SF6_Blanka_2hp_hitbox.png,Knocks down on Counter-hit (KD +40) and Punish Counter (HKD +80) with follow-up juggles possible on airborne opponents (limited juggle state); 1f extra recovery on block; forces stand; long range poke that can anti-air near its max range (but is likely to lose or trade due to poor hitbox priority); extends a hurtbox 1f before active that is vulnerable to projectiles
10,Normals and Target Combos,ground_normal,blanka_2lk,2LK,Crouching Light Kick,200,5,2,10,16,+3,-3,L,Chn,,,20% Starter,+7,-10,,,+7,+1,15,9,9,500,[2000],250,300 (210),150 (75),,,,1.23,,1,1,0,,,,SF6_Blanka_2lk.png,SF6_Blanka_2lk_hitbox.png,Chains into 5LK/2LP/2LK; leaves a 4f blockstring gap when chained into 2LP (opponent can trade with their own 4f normal)
