row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,Chun-Li_5lp,5LP,Standing Light Punch,300,4,3,7,13,+5,-3,LH,SS Chn Sp SA,13,,20% Starter,+9,-8,+4,-3,+9,+1,15,7,9,500,[2000],250,300 (210),150 (75),,,,1.05,,1,1,0,,0.320,0.343,SF6_Chun-Li_5lp.png,SF6_Chun-Li_5lp_hitbox.png,Chains into 5LP/2LP/2LK; combos naturally to 5MP; Stance Cancel: -1/-8; special/DR cancel is delayed until after 2nd active frame
2,Normals and Target Combos,ground_normal,Chun-Li_5mp,5MP,Standing Medium Punch,600,5,4,10,18,+6,+1,LH,SS Sp SA,16,,,+10,-12,+8,+3,+10,+5,20,15,11,3000,[4000],1500,600 (420),300 (150),,,,0.803,"Short range, but strong 5f punish starter if it reaches",1,1,0,,,,SF6_Chun-Li_5mp.png,SF6_Chun-Li_5mp_hitbox.png,Good combo/frame trap starter; Stance Cancel: +3/-1; special/DR cancel is delayed until after 3rd active frame
3,Normals and Target Combos,ground_normal,Chun-Li_5hp,5HP,Standing Heavy Punch,800,13,3,20,35,+2,-3,LH,SS,19 (stance),,,+6,-21,,,+6,0,25,20,13,6000,[8000],4000,800 (560),400 (200),,,,1.756 (1.697),,1,1,0,,,,SF6_Chun-Li_5hp.png,SF6_Chun-Li_5hp_hitbox.png,"Great long-ranged poke and whiff punish tool; cancelable into Stance and can input follow-ups after 16f; combos naturally to Stance LP if close enough, or stance MK/HK on Punish Counter; Stance Cancel: +6/+1 into follow-up, -4/-9 into blocking"
4,Normals and Target Combos,ground_normal,Chun-Li_5lk,5LK,Standing Light Kick,300,5,3,10,17,+2,-2,LH,SS Sp SA,13,,20% Starter,+6,-11,+4,0,+6,+2,15,11,9,500,[2000],250,300 (210),150 (75),,,,1.13,"Chun's longest 5-frame normal, short compared to most 5f punishes (may need to use 236LK instead)",1,1,0,,,,SF6_Chun-Li_5lk.png,SF6_Chun-Li_5lk_hitbox.png,Stance Cancel: 0/-3; DR cancel is delayed until after 2nd active frame
5,Normals and Target Combos,ground_normal,Chun-Li_5mk,5MK,Standing Medium Kick,500,7,4,16,26,+4,-2,LH,SS Sp SA,16,,,+8,-18,+14,+8,+8,+2,24,18,11,3000,[4000],1500,700 (490),350 (175),,,,0.73,,1,1,0,,,,SF6_Chun-Li_5mk.png,SF6_Chun-Li_5mk_hitbox.png,Cannot hit crouching opponents; good anti-air (cannot hit cross-up); Stance Cancel: +9/+4
6,Normals and Target Combos,ground_normal,Chun-Li_5hk,5HK,Standing Heavy Kick,900,14,3,18,34,+4,0,LH,SS,18 (stance),,20% Starter,+8,-19,,,+8,+4,25,21,13,6000,[10000],3000,1000 (700),500 (250),,,,1.841,,1 air [0 PC Air],1,0,,,,SF6_Chun-Li_5hk.png,"SF6_Chun-Li_5hk_hitbox_preview.png, SF6_Chun-Li_5hk_hitbox_1.png, SF6_Chun-Li_5hk_hitbox_2.png","Cannot hit crouching opponents; slow but rewarding mid-range anti-air (leg/head are invulnerable to airborne strikes 14-16f); cannot hit cross-up; puts airborne opponents into limited juggle state; Stance Cancel: +10/+6 into follow-up, -3/-7 into blocking"
7,Normals and Target Combos,ground_normal,Chun-Li_2lp,2LP,Crouching Light Punch,300,4,3,7,13,+4,-2,LH,SS Chn Sp SA,13,,20% Starter,+8,-8,+4,-2,+8,+2,14,8,9,500,[2000],250,300 (210),150 (75),,,,0.91,,1,1,0,,0.321,0.338,SF6_Chun-Li_2lp.png,SF6_Chun-Li_2lp_hitbox.png,Chains into 5LP/2LP/2LK; Stance Cancel: -1/-6
8,Normals and Target Combos,ground_normal,Chun-Li_2mp,2MP,Crouching Medium Punch,600,6,4,13(14),22(23),+4,-2,LH,SS Sp SA,16,,,+8,-15,+11,+5,+8,+2,21,15,11,3000,[4000],1500,600 (420),300 (150),,,,1.10,,1,1,0,,,,SF6_Chun-Li_2mp.png,SF6_Chun-Li_2mp_hitbox.png,1f extra recovery on whiff; decent range and hitbox disjoint for a poke; Stance Cancel: +6/+1; topmost hurtbox on frames 1-9 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,Chun-Li_2hp,2HP,Crouching Heavy Punch,450x2,11,3(5)5,18,41,+1,-3,LH,SS Sp SA (2nd),29 (30 stance),,,+5,-21,+14,+10,+5,+1,32 total,28 total,"5,9",2500x2,[4000x2],1000x2,"600,400 (420,280)","300,200 (150,100)",,,,1.537 (1.292),,"1,1","0,0","0,1",,,,SF6_Chun-Li_2hp.png,"SF6_Chun-Li_2hp_hitbox_preview.png, SF6_Chun-Li_2hp_hitbox_1.png, SF6_Chun-Li_2hp_hitbox_2.png, SF6_Chun-Li_2hp_hitbox_3.png","2 hits (only 2nd is cancelable); forces stand on hit; solid anti-air on frames 12-13 and 21-23 (cannot hit cross-up); 1st hit puts airborne opponent into limited juggle state (2nd hit causes air reset, but can whiff for a knockdown); counter-hit/Punish Counter bonus advantage applies to both hits; Stance Cancel: +8/+4 into follow-up, -6/-10 into blocking"
10,Normals and Target Combos,ground_normal,Chun-Li_2lk,2LK,Crouching Light Kick,200,4,2,10,15,0,-2,L,SS Chn Sp SA,12,,20% Starter,+4,-10,+2,0,+4,+2,12,10,9,500,[2000],250,300 (210),150 (75),,,,0.85,,1,1,0,,0.325,0.330,SF6_Chun-Li_2lk.png,SF6_Chun-Li_2lk_hitbox.png,Chains into 5LP/2LP/2LK; fully cancelable (rare for a 2LK); Stance Cancel: -3/-4
11,Normals and Target Combos,ground_normal,Chun-Li_2mk,2MK,Crouching Medium Kick,500,7,3,19,28,-2,-6,L,SS Sp SA,13,,20% Starter,+2,-20,+8,+4,+2,-2,20,16,9,2000,[4000],1000,500 (350),250 (125),,,,1.477,,1,1,0,,,,SF6_Chun-Li_2mk.png,SF6_Chun-Li_2mk_hitbox.png,Good range for a cancelable low poke; Stance Cancel: +5/+2; Range: 1.477; DR cancel is delayed until after active frames
12,Normals and Target Combos,ground_normal,Chun-Li_2hk,2HK,Gen Assassin Kick,900,9,6,19(21),33(35),KD +40,-9,L,SS,29 (stance),,,HKD +48,-25,,,KD +40,-5,,18,13,4000,[10000],3000,1000 (700),500 (250),,,,1.715,,1,1,0,,,,SF6_Chun-Li_2hk.png,SF6_Chun-Li_2hk_hitbox.png,"2f extra recovery on block; more active frames than most sweeps (can be as safe as -4 with meaty timing); puts airborne opponents into limited juggle state (can juggle after late anti-air 2HK); Stance Cancel: KD/-11 into follow-up, KD/-21 into blocking"
13,Normals and Target Combos,air_normal,Chun-Li_jlp,j.LP,Jumping Light Punch,300,4,10,3 land,-,+4(+9),+1(+6),H,-,,,,+8(+13),-7(-2),,,,,13,10,9,1500,[2000],500,300 (210),150 (75),,,,0.85,,1,1,0,,,,SF6_Chun-Li_jlp.png,SF6_Chun-Li_jlp_hitbox.png,Fast downward-angled air-to-air; can be used as a fuzzy instant overhead vs. Dee Jay/JP/Marisa/Zangief
