row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,c.viper_5lp,5LP,Standing Light Punch,300,4,3,8,14,+4,-2,LH,Chn Sp SA HJ,13,,20% Starter,+8,-9,+5,-1,+8,+2,15,9,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.288,0.333,SF6_Cviper_5lp.png,SF6_Cviper_5lp_hitbox.png,Chains into 5LP/2LP/2LK; 214HP Feint cancel: -4 oH / -10 oB; more range than 2LP but worse advantage on hit/block
2,Normals and Target Combos,ground_normal,c.viper_5mp,5MP,Standing Medium Punch,600,8,4,12,23,+6,+1,LH,Sp SA HJ,16,,,+10,-14,+12,+7,+10,+5,22,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.01,,1,1,0,,,,SF6_Cviper_5mp.png,SF6_Cviper_5mp_hitbox.png,Primary combo and frame trap starter; 214HP Feint cancel: +3 oH / -2 oB
3,Normals and Target Combos,ground_normal,c.viper_5hp,5HP,Standing Heavy Punch,900,12,3,21,35,+3,-2,LH,HJ,17 (HJ),,,+7,-22,,,+7,+2,27,22,13,6000,[10000],3000,1000 (700),500 (250),,,,1.78,,1,1,0,,,,SF6_Cviper_5hp.png,SF6_Cviper_5hp_hitbox.png,Long range poke that can be converted into damaging combos with High Jump cancel into Feint or Seismo; HJC~214HP Feint cancel: +6 oH / +1 oB
4,Normals and Target Combos,ground_normal,c.viper_5lk,5LK,Standing Light Kick,300,5,3,11,18,+3,-2,LH,Sp SA HJ,13 (DR: 14),,20% Starter,+7,-12,+5,0,+7,+2,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.20,,1,1,0,,,,SF6_Cviper_5lk.png,SF6_Cviper_5lk_hitbox.png,Primary 5f punish tool; higher hitstun than other lights (can combo into 214MP); links from 2LP allowing C.Viper to combo 4 light normals; DR cancel is delayed until after active frames; 214HP Feint cancel: -2 oH / -7 oB
5,Normals and Target Combos,ground_normal,c.viper_5mk,5MK,Standing Medium Kick,700,8,3,18(20),28(30),+4,-3,LH,HJ,15 (HJ),,,+8,-19,,,+8,+1,25,18,11,4000,[6000],2000,700 (490),350 (175),,,,1.57,,1,1,0,,,,SF6_Cviper_5mk.png,SF6_Cviper_5mk_hitbox.png,Strong poke that can combo into specials with a High Jump cancel (214HP can whiff at farther ranges); 2f extra recovery on whiff; HJC~214HP Feint cancel: +4 oH / -3 oB
6,Normals and Target Combos,ground_normal,c.viper_5hk,5HK,Standing Heavy Kick,900,10,4,20,33,+4,-3,LH,HJ,18 (HJ),,,+19,-22,,,+8,+1,28,21,13,6000,[10000],3000,1000 (700),500 (250),,,,1.36,,2,1,3,,,,SF6_Cviper_5hk.png,SF6_Cviper_5hk_hitbox.png,"Staggers opponent on Punish Counter; shorter range vs. crouching opponents; puts airborne opponents into a limited juggle OTG bounce that can be followed up with High Jump cancel into Thunder Dash, OD Burning Kick, or any Super; can be juggled into after Seismo > HJC Air Burning Kick, then High Jump canceled into more damage; extends a hurtbox 1f before active that is vulnerable to projectiles; HJC~214HP Feint cancel: +7 oH / 0 oB / +22 onPC; HJC~214K~Dash cancel onPC: +8 meterless / +11 OD; strict 2f timing to input HJC into grounded Burning Kick (cannot be buffered on the first frame of High Jump)"
7,Normals and Target Combos,ground_normal,c.viper_2lp,2LP,Crouching Light Punch,300,4,3,8,14,+5,-1,LH,Chn Sp SA HJ,13,,20% Starter,+9,-9,+5,-1,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,0.95,,1,1,0,,0.276,0.330,SF6_Cviper_2lp.png,SF6_Cviper_2lp_hitbox.png,"Chains into 5LP/2LP/2LK; DR cancel is delayed until after 2nd active frame; 214HP Feint cancel: -3 oH / -9 oB; topmost hurtbox on frames 1-6 is vulnerable only to aerial attacks, preventing its use as an anti-air"
8,Normals and Target Combos,ground_normal,c.viper_2mp,2MP,Crouching Medium Punch,600,6,4,16,25,+5,-2,LH,Sp SA HJ,15,,,+9,-18,+15,+8,+9,+2,25,18,11,3000,[4000],1500,500 (250),250 (125),,,,1.14,,1,1,0,,,,SF6_Cviper_2mp.png,SF6_Cviper_2mp_hitbox.png,"High hitstun for a medium normal (combos into OD Seismo); special/DI/High Jump cancel is delayed until after 2nd active frame; 214HP Feint cancel: +5 oH / -2 oB; topmost hurtbox on frames 1-8 is vulnerable only to aerial attacks, preventing its use as an anti-air"
9,Normals and Target Combos,ground_normal,c.viper_2hp,2HP,Crouching Heavy Punch,800,9,3,20,31,+2,-5,LH,Sp SA HJ,17,,,+6,-21,+15,+8,+6,-1,25,18,13,5000,[8000],2000,1000 (700),500 (250),,,,1.54,,1,1,0,,,,SF6_Cviper_2hp.png,SF6_Cviper_2hp_hitbox.png,C.Viper's main cancelable poke (no High Jump cancel required) that combos into meterless Seismic Hammer; forces stand on hit; 214HP Feint cancel: +6 oH / -1 oB
10,Normals and Target Combos,ground_normal,c.viper_2lk,2LK,Crouching Light Kick,200,5,2,9,15,+4,-1,L,Chn HJ,12 (HJ),,20% Starter,+8,-9,,,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,1.06,,1,1,0,,,,SF6_Cviper_2lk.png,SF6_Cviper_2lk_hitbox.png,Chains into 5LP/2LP/2LK; can be High Jump canceled allowing for stronger combo options than most 2LKs; HJC~214HP Feint cancel: -6 oH / -11 oB
