row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,dhalsim_5lp,5LP,Standing Light Punch,300,4,3,8,14,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-9,+5,0,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,0.88,,1,1,0,,0.373,0.385,SF6_Dhalsim_5lp.png,SF6_Dhalsim_5lp_hitbox.png,Chains into 5LP/2LP/1LK
2,Normals and Target Combos,ground_normal,dhalsim_5mp,5MP,Standing Medium Punch,700,14,3,19,35,0,-5,LH,-,,,,+4,-20,,,+4,-1,22,17,11,3000,[6000],2000,500 (350),250 (125),,,,2.983,,1,1,2,,,,SF6_Dhalsim_5mp.png,SF6_Dhalsim_5mp_hitbox.png,Long range poke; extends hurtbox 1f before active so it can be counterpoked
3,Normals and Target Combos,ground_normal,dhalsim_5hp,5HP,Standing Heavy Punch,1000,16,4,27,46,-6,-11,LH,-,,,,KD +32,-29,,,-2,-7,25,20,13,5000,[8000],4000,1000 (700),500 (250),,,,3.624 (2.604),,1,1,2,,,,SF6_Dhalsim_5hp.png,"SF6_Dhalsim_5hp_hitbox_preview.png, SF6_Dhalsim_5hp_hitbox_1.png, SF6_Dhalsim_5hp_hitbox_2.png","Long range poke; extended hurtbox lingers for the first 16 recovery frames (slightly retracts on 12-16f of recovery), making it easily whiff punished even at max range"
4,Normals and Target Combos,ground_normal,dhalsim_5lk,5LK,Standing Light Kick,300,9,4,11,23,+2,-6,LH,Sp SA,14,,20% Starter,+6,-13,+6,-2,+6,-2,17,9,9,500,[2000],250,300 (210),150 (75),,,,1.55,,1,1,0,,,,SF6_Dhalsim_5lk.png,SF6_Dhalsim_5lk_hitbox.png,"Extremely long range for a light normal, but has startup similar to a medium poke; DR cancel is delayed until after 2nd active frame"
5,Normals and Target Combos,ground_normal,dhalsim_5mk,5MK,Standing Medium Kick,600,12,3,18,32,-2,-6,LH,-,,,,+2,-19,,,+2,-2,19,15,11,3000,[6000],2000,500 (350),250 (125),,,,2.50,,1,1,2,,,,SF6_Dhalsim_5mk.png,SF6_Dhalsim_5mk_hitbox.png,Long range poke; extends hurtbox 1f before active so it can be counterpoked
6,Normals and Target Combos,ground_normal,dhalsim_5hk,5HK,Standing Heavy Kick,800,17,3,20,39,+3,-6,LH,Sp SA,20,,,+24 Stagger,-21,+12,+3,+7,-2,26,17,13,4000,[8000],2500,1000 (700),500 (250),,,,3.34,,1 air,6,1,,,,SF6_Dhalsim_5hk.png,SF6_Dhalsim_5hk_hitbox.png,"Only the closest hitbox can hit crouching opponents; mid-range hitbox whiffs on crouching opponents unless they extend a vertical hurtbox; the 2 farthest hitboxes whiff on all crouching opponents (even with an extended vertical hurtbox); extremely long range cancelable poke and anti-air; puts airborne opponents into limited juggle state; stagger on Punish Counter can combo into 5HP at most ranges, or can confirm into Drive Rush for stronger punishes; leg has an extended hurtbox 2f before active that is vulnerable to projectiles, and 1f before active that can be counterpoked; tip of Dhalsim's foot hurtbox is anti-air invincible on frames 16-23; special/DR cancel is delayed until after 2nd recovery frame"
7,Normals and Target Combos,ground_normal,dhalsim_2lp,2LP,Crouching Light Punch,300,5,3,9,16,+4,-1,LH,Chn Sp SA,15,,20% Starter,+8,-10,+6,+1,+8,+3,16,11,9,500,[2000],250,300 (210),150 (75),,,,1.14,,1,1,0,,,,SF6_Dhalsim_2lp.png,SF6_Dhalsim_2lp_hitbox.png,Chains into 5LP/2LP/1LK
8,Normals and Target Combos,ground_normal,dhalsim_2mp,2MP,Crouching Medium Punch,600,12,3,16,30,0,-4,LH,Sp SA,15,,,+4,-17,+9,+5,+4,0,19,15,11,3000,[4000],2000,500 (350),250 (125),,,,1.96,,1,1,2,,,,SF6_Dhalsim_2mp.png,SF6_Dhalsim_2mp_hitbox.png,Long range cancelable poke; extends hurtbox 1f before active so it can be counterpoked
9,Normals and Target Combos,ground_normal,dhalsim_2hp,2HP,Crouching Heavy Punch,800,19,4,20(24),42(46),+3,-8,L,-,,,,+7,-26,,,+7,-4,27,16,13,4000,[8000],3500,1000 (700),500 (250),11-39 Projectile (Upper Body),,,2.95,,1,1,2,,,,SF6_Dhalsim_2hp.png,SF6_Dhalsim_2hp_hitbox.png,Low Profile 11-46f (until recovery); can be used to punish projectiles from long range; 4f extra recovery on whiff and Perfect Parry
10,Normals and Target Combos,ground_normal,dhalsim_2lk,2LK,Crouching Light Kick,200,4,7,16,26,-5(+1),-10(-4),L,-,,,,-1(+5),-21(-15),,,-1(+5),-6(0),18,13,9,500,[2000],250,300 (210),150 (75),Projectile 4-10 (Upper Body),,,1.44 (0.814),,1,1,2,,0.422,0.431,SF6_Dhalsim_2lk.png,SF6_Dhalsim_2lk_hitbox.png,Short range slide; semi-low profile 2-26f (until recovery)
11,Normals and Target Combos,ground_normal,dhalsim_2mk,2MK,Crouching Medium Kick,500,10,13,14,36,-3(+9),-10(+2),L,-,,,20% Starter,+1+13,-25(-13),,,+1+13,-6(+6),24,17,11,2000,[3000],1000,500 (350),250 (125),"Projectile 10-22 (Upper Body), 10-28 (Foot)",,,2.51 (1.302),,1,1,2,,,,SF6_Dhalsim_2mk.png,SF6_Dhalsim_2mk_hitbox.png,Medium range slide; semi-low profile 10-30f; can lead to follow-up combos or pressure if well spaced; opponent has a different reeling animation when spaced to be +4 or better on hit
