row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,ed_5lp,5LP,Standing Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,0.92,,1,1,0,,0.289,0.278,SF6_Ed_5lp.png,SF6_Ed_5lp_hitbox.png,Chains into 5LP/2LP; chained 5LP has unique animation for 2nd/3rd hits but has identical frame data and hitbox; very short range but low pushback for 3-hit confirms from point blank; Kill Rush (Forward/Back) cancel advantage: -18/-23
2,Normals and Target Combos,ground_normal,ed_5mp,5MP,Standing Medium Punch,600,7,3,15,24,+6,-1,LH,Sp SA TC,15,,,+10,-16,+14,+7,+10,+3,24,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.176,,1,1,0,,,,SF6_Ed_5mp.png,SF6_Ed_5mp_hitbox.png,Combo tool with a useful Target Combo follow-up; useful button out of 2MP~DRC as other combo buttons are too slow; Kill Rush (Forward/Back) cancel advantage: -8/-15
3,Normals and Target Combos,ground_normal,ed_5hp,5HP,Standing Heavy Punch,800,10,4,18,31,+5,-2,LH,Sp SA,18,,,+9,-20,+17,+10,+9,+2,27,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.551 (1.416),,1,1,0,,,,SF6_Ed_5hp.png,SF6_Ed_5hp_hitbox.png,Forces stand; can be charged for Psycho Knuckle (releasing before 30f results in regular 5HP; startup of the release varies from 4-8f depending on charge time); good hitconfirmable poke that can combo into 2MK on Punish Counter even from max range; Kill Rush (Forward/Back) cancel advantage: -5/-12
4,Normals and Target Combos,ground_normal,ed_5lk,5LK,Standing Light Kick,300,6,2,13,20,+3,-3,LH,TC,14,,20% Starter,+7,-13,,,+7,+1,18,12,9,500,[2000],250,300 (210),150 (75),,,,1.30,,1,1,0,,,,SF6_Ed_5lk.png,SF6_Ed_5lk_hitbox.png,Range and startup are more comparable to a medium normal; leads into safe hitconfirmable Target Combo; very susceptible to counterpokes (extends strike-only hurtbox 3f before active frames)
5,Normals and Target Combos,ground_normal,ed_5mk,5MK,Standing Medium Kick,600,10,2,16(20),27(31),0,-5,LH,Sp SA TC,14 Sp / 17 TC,,,+4,-16,+8,+3,+4,-1,18,13,11,3000,[4000],1500,700 (490),350 (175),,,,1.661,,1,1,0,,,,SF6_Ed_5mk.png,SF6_Ed_5mk_hitbox.png,4f extra recovery on whiff; no true blockstring when DR canceled (weaker as an approach tool); great range with a relatively safe Target Combo when spaced out; extends a strike-only hurtbox on frames 4-9 (easier to counter-poke but not affected by projectiles); extends a wide hurtbox until the end of recovery; Kill Rush (Forward/Back) cancel advantage: -14/-19
6,Normals and Target Combos,ground_normal,ed_5hk,5HK,Standing Heavy Kick,800,10,3,12,24,+8,+4,LH,Sp SA,17,,,+12,-13,+13,+9,+12,+8,23,19,13,6000,[10000],3000,1000 (700),500 (250),,,,1.222,,1,1,0,,,,SF6_Ed_5hk.png,SF6_Ed_5hk_hitbox.png,Whiffs on crouching opponents unless they extend a vertical hurtbox; useful anti-air and close range combo/pressure tool; extremely fast recovery for a heavy normal; Kill Rush (Forward/Back) cancel advantage: -9/-13
7,Normals and Target Combos,ground_normal,ed_2lp,2LP,Crouching Light Punch,200,4,3,10,16,+3,-3,L,Chn,,,20% Starter,+7,-11,,,+7,+1,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.02,,1,1,0,,0.361,0.338,SF6_Ed_2lp.png,SF6_Ed_2lp_hitbox.png,Chains into 5LP/2LP; more range than 5LP but not very useful since it can't be canceled; comparable to a 2LK for most characters
8,Normals and Target Combos,ground_normal,ed_2mp,2MP,Crouching Medium Punch,500,8,3,19,29,+2,-6,L,Sp SA,13,,20% Starter,+6,-20,+12,+4,+6,-2,24,16,9,2000,[4000],1000,500 (350),250 (125),,,,1.411,"2MP (low poke, functions like 2MK for most characters)",1,1,0,,,,SF6_Ed_2mp.png,SF6_Ed_2mp_hitbox.png,Functions like a 2MK for most characters (with below-average range); DR cancel is delayed until after active frames; has an extended hurtbox on whiff until the end of recovery; Range: 1.41; Kill Rush (Forward/Back) cancel advantage: -8/-16
9,Normals and Target Combos,ground_normal,ed_2hp,2HP,Low Hook Punch,900,10,4,24,37,KD +30,-12,L,-,,,,HKD +47,-26,,,KD +30,-8,,16,13,4000,[10000],3000,1000 (700),500 (250),,,,1.782,,1,1,1,,,,SF6_Ed_2hp.png,SF6_Ed_2hp_hitbox.png,Ed's sweep (comparable to 2HK for most characters); has juggle potential
10,Normals and Target Combos,ground_normal,ed_2lk,2LK,Crouching Light Kick,300,5,2,12,18,+2,-4,LH,Sp SA,12,,20% Starter,+6,-12,+5,-1,+6,0,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.30,,1,1,0,,,,SF6_Ed_2lk.png,SF6_Ed_2lk_hitbox.png,Excellent range for a light normal (functions like a 5LK for most characters); special/DR cancel is delayed until after active frames; extends a strike-only hurtbox 2f before active and a wider hurtbox until the end of recovery; Kill Rush (Forward/Back) cancel advantage: -17/-24; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
