row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,e.honda_5lp,5LP,Standing Light Punch,300,5,3,10,17,+4,-1,LH,Sp SA TC,13 (18 TC),,20% Starter,+8,-11,+7,+2,+8,+3,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.28,,1,1,0,,,,SF6_Ehonda_5lp.png,SF6_Ehonda_5lp_hitbox.png,Good range for a light normal; very lenient hitconfirm window into 5LP~MP Target Combo for a light normal (though the MP can whiff at max range)
2,Normals and Target Combos,ground_normal,e.honda_5mp,5MP,Standing Medium Punch,700,10,4,13(15),26(28),+6,+1,LH,Sp SA TC,16,,,+10,-15,+13,+8,+10,+5,23,18,11,4000,[6000],2000,500 (350),250 (125),,,,1.687,,1,1,0,,,,SF6_Ehonda_5mp.png,SF6_Ehonda_5mp_hitbox.png,"2f extra recovery on whiff; good poke and pressure starter due to its hitbox priority, distance traveled, and block advantage"
3,Normals and Target Combos,ground_normal,e.honda_5hp,5HP,Standing Heavy Punch,900,8(9),7,20,34,+1(+4),-6(-3),LH,Sp SA,16 (17 SS 214P),,,KD +77(+80) Crumple,-24(-21),+17,+10,+5(+8),-2(+1),27,20,13,5000,[8000],2000,1000 (700),500 (250),8-10 Air (Upper Body),,,1.46 (0.97),,-1 PC ground / 0 PC air,1,0,,,,SF6_Ehonda_5hp.png,"SF6_Ehonda_5hp_hitbox_1.png, SF6_Ehonda_5hp_hitbox_2.png, SF6_Ehonda_5hp_hitbox_3.png, SF6_Ehonda_5hp_hitbox_preview.png","1st active frame only hits above Honda, and 2nd active frame only hits point blank (realistically 10f startup vs. grounded opponents in most scenarios); first 3 active frames are cancelable and a solid anti-air (cannot hit cross-up); Punish Counter causes a crumple vs. grounded opponents, or slams airborne opponents down into a free OTG juggle state (5HP must be canceled to combo afterwards); only the first 3 active frames are cancelable (with Sumo Spirit, later active frames can be canceled into 214P); final 4 active frames make 5HP a solid poke in neutral; extends a hurtbox on frame 10 (1f before longer-range active frames) that is vulnerable to projectiles; special/DR cancel is delayed until after 2nd active frame; Honda's most important meterless route into 236K~2P launcher (higher damage and identical range compared to 5HK 1st hit)"
4,Normals and Target Combos,ground_normal,e.honda_5lk,5LK,Standing Light Kick,300,4,2,9,14,+5,-1,LH,Sp SA,12,,20% Starter,+9,-9,+6,0,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.12,,1,1,0,,0.531,0.550,SF6_Ehonda_5lk.png,SF6_Ehonda_5lk_hitbox.png,"4f normal with less range than 2LP, but allows a link into 5LP on hit"
5,Normals and Target Combos,ground_normal,e.honda_5mk,5MK,Standing Medium Kick,700,10,4,16,29,+4,-3,LH,-,16*,,,+8,-18,,,+8,+1,24,17,11,2500,[4000],1000,700 (490),350 (175),,,,1.543,,1,1,0,,,,SF6_Ehonda_5mk.png,SF6_Ehonda_5mk_hitbox.png,"No leg hurtbox (except for back foot) on frames 7-13, making it useful vs. low pokes; cancelable into 214P with Sumo Spirit enhancement (combos into any strength version)"
6,Normals and Target Combos,ground_normal,e.honda_5hk,5HK,Standing Heavy Kick,400x2,8,2(1)4,22,36,-1,-5(-11),LH,Sp SA,34 (1st: 18 oH/21 oB),,,+3,-27(-24),+17(+15),+8(+11),+3,-1(-7),28(25),"18,21(24)",13,2000x2,[5000x2],1500x2,400x2 (280x2),200x2 (100x2),,,,1.554 (0.974),,"0,1","0,1","0,1",,,,"SF6_Ehonda_5hk.png, SF6_Ehonda_5hk2.png","SF6_Ehonda_5hk_hitbox_preview.png, SF6_Ehonda_5hk_hitbox_1.png, SF6_Ehonda_5hk_hitbox_2.png","1st hit forces stand (can only connect on crouchers at close range); 2nd hit whiffs vs. crouching opponents unless they extend a vertical hurtbox; if 1st hit connects on crouch block and the 2nd hit whiffs, the cancel window of the first hit is extended, making it possible to confirm into a safe special move; 1st hit puts airborne opponents into a free juggle state; 2nd hit puts airborne opponents into a limited juggle state; Counter-hit/Punish Counter advantage carries through both hits; gives Honda a meterless combo into 236K~2P launcher (weaker than 5HP starter, but required in some routes like CH 5MP/2MK or DR~2LP)"
7,Normals and Target Combos,ground_normal,e.honda_2lp,2LP,Crouching Light Punch,300,4,3,10,16,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-11,+7,+2,+8,+3,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.23,,1,1,0,,0.402,0.412,SF6_Ehonda_2lp.png,SF6_Ehonda_2lp_hitbox.png,Chains into 2LP/2LK; true blockstring when chained into 2LP; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,e.honda_2mp,2MP,Crouching Medium Punch,600,8,4,16,27,+3,-3,LH,Sp SA,16,,,+7,-18,+13,+7,+7,+1,23,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.37,,1,1,0,,,,SF6_Ehonda_2mp.png,SF6_Ehonda_2mp_hitbox.png,Great bufferable poke with strong hitbox priority; topmost hurtbox on frames 1-11 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,e.honda_2hp,2HP,Crouching Heavy Punch,800,11,4,17(19),31(33),+3(+5),-3(-1),LH,-,18*,,,+7(+9),-19(-17),,,+7(+9),+1(+3),24,18,13,6000,[10000],3000,1000 (700),500 (250),,,,1.917 (1.75),,1,1,0,,,,SF6_Ehonda_2hp.png,SF6_Ehonda_2hp_hitbox.png,2f extra recovery on whiff or if armor absorbed; not a low attack despite the animation; can be spaced to hit on later active frames for improved advantage; cancelable into 214P with Sumo Spirit enhancement (combos into any strength version)
10,Normals and Target Combos,ground_normal,e.honda_2lk,2LK,Crouching Light Kick,200,5,2,9,15,+3,-3,L,Chn,12,,20% Starter,+7,-9,,,+7,+1,14,8,9,500,[2000],250,300 (210),150 (75),,,,1.11,,1,1,0,,,,SF6_Ehonda_2lk.png,SF6_Ehonda_2lk_hitbox.png,Chains into 2LP/2LK; cancelable into 214P with Sumo Spirit enhancement (combos into LP version only)
11,Normals and Target Combos,ground_normal,e.honda_2mk,2MK,Crouching Medium Kick,500,9,3,17,28,+6,-2,L,-,15,,20% Starter,+10,-18,,,+10,+2,26,18,11,4000,[6000],2000,600 (420),300 (150),,,,1.43,,1,1,0,,,,SF6_Ehonda_2mk.png,SF6_Ehonda_2mk_hitbox.png,Low poke that can combo after hit (much stronger combo opportunities when used out of Drive Rush); cancelable into 214P with Sumo Spirit enhancement (combos into any strength version)
12,Normals and Target Combos,ground_normal,e.honda_2hk,2HK,Dohyo Sweep,900,11,3(6)5,14,38,KD +30(+39),-10(-1),L,-,,,,HKD +45(+54),-26(-17),,,KD +30(+39),-6(+3),,18,13,4000,[10000],3000,1000 (700),500 (250),,,,1.605,,"1,1","1,1","5,5",,,,SF6_Ehonda_2hk.png,"SF6_Ehonda_2hk_hitbox_1.png, SF6_Ehonda_2hk_hitbox_2.png, SF6_Ehonda_2hk_hitbox_preview.png",Has juggle potential; 2nd hit is behind E. Honda (safe on block and better KD Adv. if it connects); 2nd hit puts airborne opponents into limited juggle state (useful in some side-switch juggles)
13,Normals and Target Combos,air_normal,e.honda_jlp,j.LP,Jumping Light Punch,300,5,6,3 land,-,+3(+9),-1(+5),H,-,,,,+7(+13),-8(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,1.31,,1,1,0,,,,SF6_Ehonda_jlp.png,SF6_Ehonda_jlp_hitbox.png,Strong horizontal jump-in hitbox; can be used as a fuzzy instant overhead
14,Normals and Target Combos,air_normal,e.honda_jmp,j.MP,Jumping Medium Punch,700,6,8,3 land,-,+5(+11),+1(+7),H,-,,,,+9(+15),-8(-2),,,,,15,11,11,2500,[4000],1000,500 (350),250 (125),,,,1.38,,1,1,0,,,,SF6_Ehonda_jmp.png,"SF6_Ehonda_jmp_hitbox_preview.png, SF6_Ehonda_jmp_hitbox_1.png, SF6_Ehonda_jmp_hitbox_2.png, SF6_Ehonda_jmp_hitbox_3.png",Puts airborne opponents into limited juggle state; lower body projectile invuln 6-22f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
15,Normals and Target Combos,air_normal,e.honda_jhp,j.HP,Jumping Heavy Punch,800,9,4,3 land,-,+9(+15),+5(+11),H,-,,,,+13(+19),-8(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.30,,1,0,0,,,,SF6_Ehonda_jhp.png,SF6_Ehonda_jhp_hitbox.png,Strong horizontal jump-in hitbox; causes spike knockdown vs. airborne opponents on Counter-hit/Punish Counter; lower body projectile invuln 9-27f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
16,Normals and Target Combos,air_normal,e.honda_8jhp,8HP,Neutral Jump Heavy Punch,800,10,8,3 land,-,+12(+15),+8(+11),H,-,,,,+16(+19),-5(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.23,,1,0,0,,,,SF6_Ehonda_8jhp.png,SF6_Ehonda_8jhp_hitbox.png,Can be steered forward or backward in the air (forward movement is faster than backward); great air-to-air hitbox; lower body projectile invuln 10-29f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
17,Normals and Target Combos,air_normal,e.honda_jlk,j.LK,Jumping Light Kick,300,6,6,3 land,-,+5(+10),+1(+6),H,-,,,,+9(+14),-7(-2),,,,,14,10,9,1500,[2000],500,300 (210),150 (75),,,,0.53,,1,1,0,,,,SF6_Ehonda_jlk.png,SF6_Ehonda_jlk_hitbox.png,Cross-up
18,Normals and Target Combos,air_normal,e.honda_jmk,j.MK,Jumping Medium Kick,700,9,6,3 land,-,+8(+13),+4(+9),H,-,,,,+12(+17),-7(-2),,,,,17,13,11,2500,[4000],1000,500 (350),250 (125),,,,1.14,,1,1,0,,,,SF6_Ehonda_jmk.png,SF6_Ehonda_jmk_hitbox.png,Decent air-to-air; lower body projectile invuln 9-20f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
19,Normals and Target Combos,air_normal,e.honda_jhk,j.HK,Jumping Heavy Kick,800,10,8,3 land,-,+8(+15),+4(+11),H,-,,,,+12(+19),-9(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.13,,1,0,0,,,,SF6_Ehonda_jhk.png,SF6_Ehonda_jhk_hitbox.png,Farthest downward-reaching jump-in; lower body projectile invuln 10-19f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
20,Normals and Target Combos,ground_normal,e.honda_6hk,6HK,Harai Kick,900,14,3,21,37,+1,-5,L,-,,,,KD +45,-22,,,+5,-1,25,19,13,6000,[10000],3000,1000 (700),500 (250),,,,2.114,Only knocks down on Punish Counter,1,1,0,,,,SF6_Ehonda_6hk.png,SF6_Ehonda_6hk_hitbox.png,Ranged low poke that knocks down on Punish Counter; can be made safe due to pushback
21,Normals and Target Combos,ground_normal,e.honda_3hk,3HK,Power Stomp,800,22,6,18,45,+3,-3,H,kara,,,Combo (2 hits),+7,-22,,,+7,+1,27,21,13,5000,[7000],2000,1000 (700),500 (250),,,,0.95,,1,1,5,,,,SF6_Ehonda_3hk.png,SF6_Ehonda_3hk_hitbox.png,"Overhead with startup that can kara-cancel into specials/supers on frames 15-16 (can start buffering the cancel beginning on frame 9); Honda lifts up his front leg hurtbox on frames 4-20, making it strong vs. low pokes; slams juggled opponents down for an OTG bounce and Hard Knockdown (+59~65)"
22,Normals and Target Combos,air_normal,e.honda_j2mk,j.2MK,Flying Sumo Press,500,11,9,3 land,-,+10(+13),+6(+9),H,-,,,,+14(+17),-5(-2),,,,,17,13,11,2500,[4000],1000,500 (350),250 (125),,,,0.64,,1,1,0,,,,SF6_Ehonda_j2mk.png,SF6_Ehonda_j2mk_hitbox.png,Cross-up; can only be performed during forward jump; lower body projectile invuln 11-23f on center of body only (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
23,Normals and Target Combos,ground_normal,e.honda_5lp_mp,5LP~MP,Double Slaps,600(480),4,4,20,27,KD +34,-10,LH,Sp SA,35-36,,,KD +34,,KD +48,+4,,,,14,11,3000,[4000],1000,500 (350),250 (125),,,,,,1,1,0,,,,SF6_Ehonda_5mp.png,SF6_Ehonda_5lp_mp_hitbox.png,Puts opponent into limited juggle state on hit; MP follow-up can whiff at max range; very lenient hitconfirm window from a light starter
24,Normals and Target Combos,ground_normal,e.honda_5mp_3hk,5MP~3HK,Toko Shizume,800,22,6,18,45,+3,-3,H,kara,,,,+7,-22,,,,,27,21,13,5000,[7000],2000,1000 (700),500 (250),,,,,,1,1,5,,,,SF6_Ehonda_3hk.png,SF6_Ehonda_3hk_hitbox.png,"Overhead Target Combo with a 6f gap between hits on block and 2f gap on hit (requires Drive Rush or Punish Counter to combo); 3HK startup can kara-cancel into specials/supers on frames 14-15 (can start buffering the cancel beginning on frame 9); kara-cancel into 63214K command throw also has a 7f interruptible gap; Honda lifts up his front leg hurtbox on frames 4-20; slams juggled opponents down for a Hard Knockdown (+43~46); the 3HK is cancelable into Sumo Spirit on hit by inputting 2HK (-30 vs. grounded opponents, only useful in juggles, HKD +11~14)"
25,Drive and Throw,throw,e.honda_lplk,LPLK,Saba Ori,1200 (2040),5,3,23,30,KD +17,-,T,-,,,20% Immediate,HKD +17,,,,,,,,,,[10000],2000,2000(1400) [PC:4000],,,,,0.90,,,,,,,,SF6_Ehonda_lplk.png,SF6_Ehonda_lplk_hitbox.png,"No corner throw loop, but can Drive Rush and meaty with any normal 9f or faster; a successful Throw Escape builds 0.5 Drive bars for the defender; Throw Escape is awarded to a random player if input simultaneously"
26,Drive and Throw,throw,e.honda_4lplk,4LPLK,Tawara Throw,1200 (2040),5,3,23,30,KD +24,-,T,-,,,20% Immediate,HKD +24,,,,,,,,,,[10000],2000,2000(1400) [PC:4000],,,,,0.90,,,,,,,,SF6_Ehonda_4lplk.png,SF6_Ehonda_lplk_hitbox.png,"Side switch; after throwing opponent into corner, can Dash (+5) into LK/OD Oicho Throw or a ranged meaty, or use Drive Rush for strike/throw mixup (DR~2HP is +10/+4 auto-timed); a successful Throw Escape builds 0.5 Drive bars for the defender; Throw Escape is awarded to a random player if input simultaneously"
27,Drive and Throw,drive,e.honda_hphk,HPHK,Sumo Crunch,800,26,2,35,62,KD +35 / Wall Splat KD +65,-3 / Wall Splat HKD +72,LH,-,,200,20% Starter (Hit) 20% Multiplier (Block),"Crumple (Standing +21, Juggle +46, HKD +104)",-35,,,,,,34,25,5000,10000 [15000],-10000,[3000(2100)],,,1-27,,2.539,,0,1,0,,,,SF6_Ehonda_hphk.png,SF6_Ehonda_hphk_hitbox.png,See Drive Impact. Airborne connect gives spinning juggle state on Punish Counter or corner Wall Splat with variable height.
28,Drive and Throw,drive,e.honda_6hphk,6HPHK,Raiden-Ho (Block),500 recoverable,20,3,26(31),48(53),KD +23,-6,LH,-,,125 recoverable,,KD +23,-27,,,,,,23,20,,,-20000,,,1-22 Full,Break,,2.02,,200,100,1,,,,SF6_Ehonda_6hphk.png,SF6_Ehonda_6hphk_hitbox.png,Performed by inputting 6HPHK during blockstun; 5f extra recovery on hit; freezes the screen for 4f during startup; see Drive Reversal.
29,Drive and Throw,drive,e.honda_6hphk_recovery,6HPHK,Raiden-Ho (Recovery),500 recoverable,18,3,26(31),46(51),KD +23,-6,LH,-,,125 recoverable,,KD +23,-27,,,,,,23,20,,,-20000(-10000),,,1-20 Full,Break,,2.02,,200,100,1,,,,SF6_Ehonda_6hphk.png,SF6_Ehonda_6hphk_hitbox.png,Performed by holding 6HPHK on wakeup; 5f extra recovery on hit; does not have any screen freeze except for a 12f freeze when interacting with the opponent's throw hitbox (this also refunds 1 Drive bar after punishing the throw); see Drive Reversal.
30,Drive and Throw,drive,e.honda_mpmk,MPMK,Drive Parry,-,1,12 or until released,33(1)(11),45(3),-,-,-,-,,,50% Multiplier (Perfect),,,,,,,,,,,,"-5000,250~",,,6 Full (after Perfect Parry),,,,,,,,,,,SF6_Ehonda_mpmk.png,SF6_Ehonda_mpmk_hitbox.png,"See Drive Parry. Perfect Parrying has only 1F of recovery and disables the opponent from canceling their attack. Perfect Parrying projectiles puts you into fixed 11 frames of recovery. After a Perfect Parry, all Super Gauge gain is reduced by 20% and Drive Gauge gain/damage is reduced by 50% for the entire punish combo."
