row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
16,Normals and Target Combos,air_normal,e.honda_8jhp,8HP,Neutral Jump Heavy Punch,800,10,8,3 land,-,+12(+15),+8(+11),H,-,,,,+16(+19),-5(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.23,,1,0,0,,,,SF6_Ehonda_8jhp.png,SF6_Ehonda_8jhp_hitbox.png,Can be steered forward or backward in the air (forward movement is faster than backward); great air-to-air hitbox; lower body projectile invuln 10-29f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
31,Drive and Throw,drive,e.honda_mpmk_66_pdr,MPMK~66,Parry Drive Rush,-,3+8,-,15(37),26(48),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-10000,,,,,,,,,,,,,,SF6_Ehonda_66.png,SF6_Ehonda_66_hitbox.png,"See Drive Rush; 1-bar version performed out of a Parry; startup refers to minimum time before an attack can cancel the Drive Rush animation (if performed immediately after a successful Parry, only 1+8 startup); the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties; Distance: 0.213 (min/throw), 1.769 (min/block), 3.375 (max/final DR frame)"
32,Drive and Throw,drive,e.honda_mpmk_66_drc,MPMK or 66,Drive Rush Cancel,-,9,-,15(37),24(46),-,-,-,-,,,15% Multiplier (Mid-Combo),,,,,,,,,,,,-30000,,,,,,,,,,,,,,SF6_Ehonda_66.png,SF6_Ehonda_66_hitbox.png,See Drive Rush; 3-bar version performed on hit/block from a cancelable normal; can also be performed on whiff from cancelable light normals; startup refers to minimum time before an attack can cancel the Drive Rush animation; the first 15 recovery frames are cancelable into any attack; the final 22 recovery frames are cancelable into any attack or movement option or blocking (except Parry); only Normal and Command Normal attacks are enhanced with +4 frame advantage and improved juggle properties
38,Specials,special,e.honda_46lp,[4]6LP,Sumo Headbutt,1400(1000),10,1~22,2+18(17) land,29(51),KD +40,-3,LH,SA3,17,350(250),30% Starter,KD +40,-18,,,,,,17,15,6000,[12500],2000,1000 (700),500 (250),4-13 Air,,14-33 (FKD),2.861 (1.42/0.84),,1,1,20,,,,SF6_Ehonda_46lp.png,"SF6_Ehonda_46p_hitbox1.png,SF6_Ehonda_46p_hitbox2.png","() refers to reduced damage on active frame 5 onward; 1f less landing recovery on block; 40f charge time (charge lasts 10f after releasing back direction); travels ~50% screen length; only first 4 active frames are cancelable into SA3; always -3 on block regardless of how meaty it connects, and usually in range for opponent's 4f normal to connect; extra pushback on block when opponent is in Burnout; good for chipping at opponent's Drive gauge"
39,Specials,special,e.honda_46mp,[4]6MP,Sumo Headbutt,1400(1100),10,1~24,2+18(20) land,30(53),KD +40,-3,LH,SA3,17,350(275),30% Starter,KD +40,-21,,,,,,20,15,6000,[12500],2000,1000 (700),500 (250),5-13 Air,,14-35 (FKD),3.877 (1.42/0.84),,1,1,20,,,,SF6_Ehonda_46mp.png,SF6_Ehonda_46mp_hitbox.png,"() refers to reduced damage on active frame 5 onward; 2f extra landing recovery on block; 40f charge time (charge lasts 10f after releasing back direction); travels ~80% screen length; only first 4 active frames are cancelable into SA3; always -3 on block regardless of how meaty it connects, and usually in range for opponent's 4f normal to connect; extra pushback on block when opponent is in Burnout; good for chipping at opponent's Drive gauge"
40,Specials,special,e.honda_46hp,[4]6HP,Sumo Headbutt,1500(1300),14,1~34,2+18(20) land,34(67),KD +40,-3,LH,SA3,17,375(325),30% Starter,KD +40,-21,,,,,,20,15,7500,[12500],2000,1000 (700),500 (250),6-16 Air,,18-30(49) (FKD),6.85 (1.322/0.777),,1,1,20,,,,SF6_Ehonda_46hp.png,SF6_Ehonda_46hp_hitbox.png,"() refers to reduced damage on active frame 5 onward; 2f extra landing recovery on block; 40f charge time (charge lasts 10f after releasing back direction); continues until it reaches opponent or edge of screen (variable Active and Total frame count); only first 4 active frames are cancelable into SA3; always -3 on block regardless of how meaty it connects, and usually in range for opponent's 4f normal to connect; extra pushback on block when opponent is in Burnout; good for chipping at opponent's Drive gauge; if Honda switches sides, he will start landing recovery (11+9 land) after 15 active frames (cannot safely fly under neutral jumps)"
41,Specials,special,e.honda_46pp,[4]6PP,Sumo Headbutt,"600,1000",9,"5,1~30",30(37) land,44(73),KD +36(+37),-20,LH,-,,"150,250",,KD +36(+37),-41(-36),,,,,,23(18),"11,11","500,7500",[3000],-20000,"300,700 (210,490)","150,350 (75,175)",,"1-8, 9-34",14-25(34) (FKD),6.793 (0.797),,"1,100","1,100","20,21",,,,SF6_Ehonda_46pp.png,SF6_Ehonda_46pp_hitbox.png,"2 hits if used from close range; 2nd hit continues until it reaches opponent or edge of screen (variable Active and Total frame count); 7f extra landing recovery on block; 40f charge time (charge lasts 10f after releasing back direction); 1 hit of armor before active frames, then another hit of armor that lasts until end of active frames; armor has fixed 7f hitstop that allows it to punish safe jumps using Medium/Heavy air normals (Light safe jumps can still block OD Headbutt); always -20 on block regardless of how meaty it connects; from frame 26 onward, Honda transitions to his 30f recovery animation if he switches sides with the opponent"
42,Specials,special,e.honda_28lk,[2]8LK,Sumo Smash,"400,1000 [800]",11(45),4(26)8,17 land,65,HKD +23[+27],+1,"LH,H",-,,"100,250 [200]",25% Starter,KD +23[+55],-19(-18),,,,,,"17,22","15,10","4000,10000",[10000],"500,1500","200,1000 (140,700)","100,500 (50,250)",,,7-48 (FKD),,,"1,1","1,1","10,11",,,,SF6_Ehonda_28lk.png,"SF6_Ehonda_28k_hitbox1.png,SF6_Ehonda_28k_hitbox2.png",[] refers to damage on cross-up version of downward smash; () refers to total startup on the overhead downward smash vs. standing opponents (2nd hit becomes active mid-air on frame 41); downward smash has 1f better KD Adv. vs. crouching opponents; 40f charge time (holds charge for 12f after releasing down direction); 1st hit whiffs on crouching opponents and cannot hit cross-up; can alter trajectory on the way up by holding forward/back
43,Specials,special,e.honda_28mk,[2]8MK,Sumo Smash,"400,1000 [800]",11(42),4(24)7,17 land,62,HKD +23[+27],+1,"LH,H",-,,"100,250 [200]",25% Starter,KD +23[+55],-19(-18),,,,,,"17,22","15,10","4000,10000",[10000],"500,1500","200,1000 (140,700)","100,500 (50,250)",,,7-45 (FKD),,,"1,1","1,1","10,11",,,,SF6_Ehonda_28mk.png,SF6_Ehonda_28mk_hitbox.png,[] refers to damage on cross-up version of downward smash; () refers to total startup on the overhead downward smash vs. standing opponents (2nd hit becomes active mid-air on frame 39); downward smash has 1f better KD Adv. vs. crouching opponents; 40f charge time (holds charge for 12f after releasing down direction); 1st hit whiffs on crouching opponents and cannot hit cross-up; can alter trajectory on the way up by holding forward/back
44,Specials,special,e.honda_28hk,[2]8HK,Sumo Smash,"400,1000 [800]",11(39),4(22)6,17 land,59,HKD +23[+27],+1,"LH,H",-,,"100,250 [200]",25% Starter,KD +23[+55],-19(-18),,,,,,"17,22","15,10","4000,10000",[10000],"500,1500","200,1000 (140,700)","100,500 (50,250)",,,7-42 (FKD),,,"1,1","1,1","10,11",,,,SF6_Ehonda_28hk.png,SF6_Ehonda_28hk_hitbox.png,[] refers to damage on cross-up version of downward smash; () refers to total startup on the overhead downward smash vs. standing opponents (2nd hit becomes active mid-air on frame 37); downward smash has 1f better KD Adv. vs. crouching opponents; 40f charge time (holds charge for 12f after releasing down direction); 1st hit whiffs on crouching opponents and cannot hit cross-up; can alter trajectory on the way up by holding forward/back
45,Specials,special,e.honda_28kk,[2]8KK,Sumo Smash,"400,1000 [800]",6(31~36),12(13~17)9,17 land,56~60,HKD +23[+27],+2,"LH,H",-,,"100,250 [200]",25% Starter,HKD +23[+54],-19(-18),,,,,,"17,22","15,10","4000,8000",[10000],-20000,"200,1000 (140,700)","100,500 (50,250)","5-17 Air, 5-13 Throw",,5-39(43) (FKD),,,"1,1","1,1","20,21",,,,SF6_Ehonda_28kk.png,SF6_Ehonda_28kk_hitbox.png,"[] refers to damage on cross-up version of downward smash; () refers to total startup on the overhead downward smash vs. standing opponents (2nd hit becomes active mid-air on frame 31); downward smash has 1f better KD Adv. vs. crouching opponents; 40f charge time (holds charge for 12f after releasing down direction); 1st hit whiffs on crouching opponents and cannot hit cross-up; can alter trajectory on the way up by holding forward/back; holding LK or MK will cause Honda to hang mid-air before starting his descent (LK 4f longer, MK 2f longer)"
52,Specials,special,e.honda_236k_p,236K~P,Teppo Triple Slap 1,400x2,14+9,3(13)3,22,49,KD +42,-3,LH,SA3,44 SA / 51 Follow-up,100x2,,KD +42,-23,,,,,,38(22),"9,15",2500x2,[2500x2],2000x2,500x2 (350x2),250x2 (125x2),,,,,,"1,1","1,1","15,16",,,,"SF6_Ehonda_236k_p.png, SF6_Ehonda_236k_p_2.png","SF6_Ehonda_236k_p_hitbox_preview.png, SF6_Ehonda_236k_p_hitbox_1.png, SF6_Ehonda_236k_p_hitbox_2.png","Puts opponents into limited juggle state on hit, allowing for Super or P follow-up to juggle; incredibly disjointed hitbox for neutral approaches; safe but minus on block (recovers outside the opponent's throw range if well spaced); canceling into the final P follow-up creates a 2f frame trap that can punish opponents trying to retake their turn; sets up a safe jump anywhere on screen"
53,Specials,special,e.honda_236kk_p,236KK~P,Teppo Triple Slap 1,400x2,13+9,3(13)3,17,44,+3,+3,LH,SA2 SA3,44 SA / 51 Follow-up,100x2,,+7,-18,,,,,39(23),39(23),"9,15",2500x2,[2500x2],,500x2 (350x2),250x2 (125x2),,,,,,"1,1","1,1","15,16",,,,SF6_Ehonda_236kk_p.png,"SF6_Ehonda_236k_p_hitbox_preview.png, SF6_Ehonda_236k_p_hitbox_1.png, SF6_Ehonda_236k_p_hitbox_2.png",Honda advances forward with frame advantage on hit or block for more mixups/pressure; incredibly disjointed hitbox for neutral approaches; puts airborne opponents into limited juggle state; always a true blockstring into the follow-up attack (should only be done on hit unless it will chip out)
54,Specials,special,e.honda_236k_p_p,236K~P~P,Teppo Triple Slap 2,600,14,3,38,54,KD +22,-24,LH,-,,150,,KD +25,-39,,,,,,17,15,5000,[5000],2000,1000 (700),500 (250),,,,,,1,1,20,,,,SF6_Ehonda_236k_p_p.png,SF6_Ehonda_236k_p_p_hitbox.png,Easily hitconfirmable ender after a safe 236K~P starter; can be used to frame trap opponent trying to take back their turn from the -3 situation (2f gap on block); ender cannot be performed on whiff
55,Specials,special,e.honda_236kk_p_p,236KK~P~P,Teppo Triple Slap 2,800,14,3,38,54,KD +54,-24,LH,-,,200,,KD +54,-39,,,,,,27,15,5000,[5000],,1000 (700),500 (250),,,,,,1,1,20,,,,SF6_Ehonda_236kk_p_p.png,SF6_Ehonda_236kk_p_p_hitbox.png,Easily hitconfirmable ender after a safe 236KK~P starter; ender cannot be performed on whiff; true blockstring from 236KK~P
56,Specials,special,e.honda_236k_2p,236K~2P,Taiho Cannon Lift,400x2,12,2(17)3,32(15),65(49),KD +64,-22,LH,SA3,54,100x2,,KD +64,-33,,,,,,32(13),"15,15",2500x2,[2500x2],1000x2,500x2 (350x2),250x2 (125x2),,,,,,"0,3","0,3","0,5",,,,"SF6_Ehonda_236k_2p.png, SF6_Ehonda_236k_2p_2.png","SF6_Ehonda_236k_2p_hitbox1.png,SF6_Ehonda_236k_2p_hitbox2.png",Launches opponent into a limited juggle state; reduced recovery on hit only
57,Specials,special,e.honda_236kk_2p,236KK~2P,Taiho Cannon Lift,500x2,12,2(17)3,32(15),65(49),KD +64,-22,LH,SA2 SA3,54,125x2,,KD +64,-33,,,,,,32(13),"15,15",2500x2,[2500x2],,500x2 (350x2),250x2 (125x2),,,,,,"0,1","0,3","0,5",,,,SF6_Ehonda_236kk_2p.png,SF6_Ehonda_236kk_2p_hitbox.png,Launches opponent into a limited juggle state; reduced recovery on hit only; leaves opponent closer than the meterless version with a more lenient juggle state
60,Supers,super,e.honda_4646k,[4]646K,Ultimate Killer Head Ram,2850(2800),12,"2(2),1~21",2+43 land,61(81),HKD +13,-27,LH,-,,"10,740",40% Minimum,HKD +13,-48(-44),,,,,,23(19),"9,15","500,4500",10000(9500),,-20000,-20000,"1-18 Full, 19-36 Projectile",Break,14~land (FKD),5.758 (1.323),,,,99,,,,SF6_Ehonda_4646k.png,"SF6_Ehonda_4646k_hitbox1.png,SF6_Ehonda_4646k_hitbox2.png","40f charge (charge lasts 28f after releasing back direction); travels full screen, making it a useful anti-projectile tool; becomes projectile invincible on hit up until the fully invincible cinematic ender (ensures a full connect even against slow projectiles); first hit has very short range (slightly less damage and Drive damage from longer ranges); from frame 24 onward, Honda transitions to his 45f recovery animation if he switches sides with the opponent; if Honda whiffs entire SA2 without crossing under the opponent, landing recovery becomes 12+33 (total recovery time is unchanged); full dmg distribution: 50,500,100x14,900; detailed charge requirements: first Forward input must be within 28f of releasing charge, next Back input must be within the next 6 frames, next Forward input must be within the next 6 frames, final K input must be within the next 6 frames (slowest possible input takes 48f after releasing charge)"
63,Taunts,taunt,e.honda_5pppkkk,5PPPKKK,Neutral Taunt,-,88,[178],45,310,-,-,-,-,,,,,,,,,,,,,,,,,,,88-266,,,,,,,,,,SF6_Ehonda_5pppkkk.png,SF6_Ehonda_5pppkkk_hitbox.png,"""Just bring it!""; active frames refer to armored period"
64,Taunts,taunt,e.honda_6pppkkk,6PPPKKK,Forward Taunt,-,100 (total),-,-,100,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Ehonda_6pppkkk.png,,"""You ready to rumble, chump?"""
65,Taunts,taunt,e.honda_4pppkkk,4PPPKKK,Back Taunt,-,205 (total),-,-,205,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Ehonda_4pppkkk.png,,"""You know what? I'm all fired up!"""
