row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,elena_5lp,5LP,Standing Light Punch,300,5,4,8,16,+4,-2,LH,Sp SA,14,,20% Starter,+8,-10,+4,-2,+8,+2,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.16,Much stronger link options than 5LK,1,1,0,,,,SF6_Elena_5lp.png,SF6_Elena_5lp_hitbox.png,"Good range for a light normal; less range than 5LK, but leads to better 5f punish combos; DR cancel is delayed until after 3rd active frame"
2,Normals and Target Combos,ground_normal,elena_5mp,5MP,Standing Medium Punch,600,8,5,15,27,+3(+5),-3(-1),LH,SA TC,18 SA / 18(20) TC,,,+7(+9),-18(-16),,,+7(+9),+1(+3),23,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.765 (1.495),,1,1,0,,,,SF6_Elena_5mp.png,"SF6_Elena_5mp_hitbox_1.png, SF6_Elena_5mp_hitbox_2.png, SF6_Elena_5mp_hitbox_3.png","Strong neutral buffer tool; active frames 1-2 have shorter range (this close-range hitbox disappears after the 3rd active frame, making it less useful as a meaty); active frames 3-5 gain a longer range foot hitbox, but cannot hit crouching opponents and cannot hit cross-up; these later active frames result in 2f better frame advantage; the final 2 TC cancel frames do not combo without at least a Counter-hit starter; lenient hitconfirm window gives time to confirm a Super, or a TC follow-up if the opponent is standing; forces stand on Punish Counter, ensuring the TC will fully connect"
3,Normals and Target Combos,ground_normal,elena_5hp,5HP,Standing Heavy Punch,800,12,4,20,35,+2,-2,LH,TC,19 (PC: 31),,,KD +46,-22,,,+6,+2,26,22,13 (PC: 25),5000,[8000],2000,1000 (700),500 (250),,,,1.729,,1,1,0,,,,SF6_Elena_5hp.png,"SF6_Elena_5hp_hitbox_1.png, SF6_Elena_5hp_hitbox_2.png, SF6_Elena_5hp_hitbox_3.png",Forces stand; foot hitbox cannot hit crouching opponents (shorter range vs. crouching); Punish Counter puts opponent into limited juggle state; strong anti-air hitbox at longer ranges but cannot hit cross-up; extends hurtbox 1f before active that is vulnerable to projectiles
4,Normals and Target Combos,ground_normal,elena_5lk,5LK,Standing Light Kick,300,5,3,11,18,+2,-4,LH,Sp SA,13,,20% Starter,+6,-12,+4,-2,+6,0,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.31,,1,1,0,,,,SF6_Elena_5lk.png,SF6_Elena_5lk_hitbox.png,"Ranged light poke that gives Elena strong punishes and confirms; allows for 4-light confirm strings after chained 2LPs, but does not combo naturally into 214LK; Special/DI cancel is delayed until after 2nd active frame; DR cancel is delayed until after 3rd active frame"
5,Normals and Target Combos,ground_normal,elena_5mk,5MK,Standing Medium Kick,500,6,4,13(15),22(24),+5,+1,LH,Sp SA TC,16,,,+9,-15,+12,+8,+9,+5,22,18,11,2000,[3000],1000,500 (350),250 (125),,,,1.11,,1,1,0,,,,SF6_Elena_5mk.png,SF6_Elena_5mk_hitbox.png,2f extra recovery on whiff; useful combo and frame trap tool; short range for a 6-frame medium
6,Normals and Target Combos,ground_normal,elena_5hk,5HK,Standing Heavy Kick,900,12,4,19,34,+2,-4,LH,-,,,,KD +53,-21,,,+6,0,25,19,13 (PC: 25),6000,[10000],3000,1000 (700),500 (250),,,,1.915,,1,1,0,,,,SF6_Elena_5hk.png,SF6_Elena_5hk_hitbox.png,Low Crush 9-17f (not airborne); good mid-range poke; Punish Counter puts opponent into limited juggle state (combos reliably into 236KK or SA2 unless whiff punishing a ranged attack); also causes limited juggle state on airborne Counter-hit (into 623HK at close range) and Punish Counter (slightly better juggles than grounded PC); extends hurtbox 1f before active that is vulnerable to projectiles; hitbox does not move forward during the active frames (cannot be spaced in neutral for better advantage)
7,Normals and Target Combos,ground_normal,elena_2lp,2LP,Crouching Light Punch,300,4,3,8,14,+5,-1,LH,Chn Sp SA,13,,20% Starter,+9,-9,+5,-1,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.07,,1,1,0,,0.361,0.338,SF6_Elena_2lp.png,SF6_Elena_2lp_hitbox.png,Chains into 2LP/2LK; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air); DR cancel is delayed until after 2nd active frame
8,Normals and Target Combos,ground_normal,elena_2mp,2MP,Crouching Medium Punch,600,8,3,20,30,+1,-4,LH,Sp SA,15,,,+5,-21,+12,+7,+5,0,24,19,11,3000,[4000],1000,600 (420),300 (150),,,,1.50,,1,1,0,,,,SF6_Elena_2mp.png,SF6_Elena_2mp_hitbox.png,Great cancelable poke in neutral; not an anti-air despite the animation; DR cancel is delayed until after active frames
9,Normals and Target Combos,ground_normal,elena_2hp,2HP,Crouching Heavy Punch,400x2,9,3(4)3,20,38,+6,-7,LH,Sp SA (2nd),26(13),,20% Starter,+10,-21,+19,+6,+10,-3,36(29),23(16),"6,9",2500x2,[4000x2],2000x2,500x2 (350x2),250x2 (125x2),,,,1.195 (0.843),,"1,1","1,1","0,1",,,,SF6_Elena_2hp.png,"SF6_Elena_2hp_hitbox.png, SF6_Elena_2hp_hitbox_2.png","2 hits; Upper Body/Legs are anti-air invuln on frames 8-19 (solid anti-air but cannot hit cross-up); causes air reset vs. airborne opponents; anti-airing with the first hit results in very little frame advantage as the 2nd hit continues to whiff; forces stand (important for 236K combo routes); cancel only comes out on the 2nd hit (will cancel on whiff if the first hit connects on airborne opponent); anti-air cancel into Lynx Song allows Elena to threaten with a meaty roll follow-up or feint to bait Parry (timing/advantage varies heavily based on anti-air timing); high pushback on hit; follow-up links require a Counter-hit, Punish Counter, Drive Rush starter into a ranged button; Counter-hit/Punish Counter bonus advantage carries through both hits; if 1st hit is Perfect Parried, opponent can interrupt 2nd hit with 5f or faster attack"
10,Normals and Target Combos,ground_normal,elena_2lk,2LK,Crouching Light Kick,200,5,3,8,15,+3,-1,L,Chn,,,20% Starter,+7,-9,,,+7,+3,14,10,9,500,[2000],250,300 (210),150 (75),,,,1.09,,1,1,0,,,,SF6_Elena_2lk.png,SF6_Elena_2lk_hitbox.png,Chains into 2LP/2LK
11,Normals and Target Combos,ground_normal,elena_2mk,2MK,Crouching Medium Kick,600,9,3,16(18),27(29),+4,-4,L,TC,15,,20% Starter,+8,-19,,,+8,0,23,17,11,3000,[4000],1000,600 (420),300 (150),,,,1.726 (1.669),TC cancel only; 1st active frame: 1.669,1,1,0,,,,SF6_Elena_2mk.png,SF6_Elena_2mk_hitbox.png,"2f extra recovery on whiff/block; good combo starter out of Drive Rush but leaves Elena neutral if blocked; can combo naturally into 2LP, but Elena is always punishable by the opponent's 4f normal at this range"
12,Normals and Target Combos,ground_normal,elena_2hk,2HK,Root Breaker,900,11,3,24,37,KD +31,-12,L,-,,,,HKD +46,-25,,,KD +31,-8,,15,13,4000,[10000],3000,1000 (700),500 (250),,,,1.967 (1.962),,1,1,5,,,,SF6_Elena_2hk.png,"SF6_Elena_2hk_hitbox.png, SF6_Elena_2hk_hitbox_2.png",Long range sweep; has juggle potential; punishable by most other sweeps even at max range
13,Normals and Target Combos,air_normal,elena_jlp,j.LP,Jumping Light Punch,300,5,6,3 land,-,+5(+10),+1(+6),H,TC,,,,+9(+14),-7(-2),,,,,14,10,9,1500,[2000],500,300 (210),150 (75),,,,0.55,,1,1,0,,,,SF6_Elena_jlp.png,SF6_Elena_jlp_hitbox.png,"Cross-up; can be used as a fuzzy instant overhead (except vs. Blanka); Target Combo extension can lead to better advantage vs. grounded opponents, giving more time to hitconfirm a follow-up"
14,Normals and Target Combos,air_normal,elena_jmp,j.MP,Jumping Medium Punch,700,8,5,3 land,-,+11(+13),+5(+7),H,TC,,,,+15(+17),-4(-2),,,,,17,11,11,2500,[4000],1000,500 (350),250 (125),,,,1.21,,1,1,0,,,,SF6_Elena_jmp.png,SF6_Elena_jmp_hitbox.png,"Puts airborne opponents into limited juggle state; at most air-to-air timings, Elena's only follow-up juggle is a Target Combo extension; whiffs against standard-sized crouching opponents; lower body projectile invuln 8-17f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
15,Normals and Target Combos,air_normal,elena_jhp,j.HP,Jumping Heavy Punch,800,10,7,3 land,-,+9(+15),+5(+11),H,-,,,,+13(+19),-8(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.20,,1,1,0,,,,SF6_Elena_jhp.png,SF6_Elena_jhp_hitbox.png,Elena's strongest overall jump-in (reaches downward faster than j.HK and deals all its damage in one hit); lower body projectile invuln 10-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
16,Normals and Target Combos,air_normal,elena_jlk,j.LK,Jumping Light Kick,300,5,6,3 land,-,+2(+9),-2(+5),H,-,,,,+6(+13),-9(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,0.82,,1,1,0,,,,SF6_Elena_jlk.png,SF6_Elena_jlk_hitbox.png,Can be used as a fuzzy instant overhead; good downward hitbox priority (likely to beat or trade with anti-airs)
17,Normals and Target Combos,air_normal,elena_jmk,j.MK,Jumping Medium Kick,500,7,5,3 land,-,+9(+13),+5(+9),H,-,,,,+13(+17),-6(-2),,,,,17,13,11,2500,[4000],1000,500 (350),250 (125),,,,1.17,,1,1,0,,,,SF6_Elena_jmk.png,SF6_Elena_jmk_hitbox.png,Cross-up with a wide hitbox in both directions; lower body projectile invuln 7-20f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
18,Normals and Target Combos,air_normal,elena_jhk,j.HK,Jumping Heavy Kick,400x2,10,2(1)8,3 land,-,+11(+15),+7(+11),"H,H",-,,,,+15(+19),-6(-2),,,,,"19,19","15,15","10,13","2000,4000","[2000,5000]",1000x2,1000x2 (700x2),500x2 (250x2),,,,1.27 (0.74),,"1,1","1,0","0,1",,,,SF6_Elena_jhk.png,"SF6_Elena_jhk_hitbox.png, SF6_Elena_jhk_hitbox_2.png","2 hits; 1st hit puts airborne opponents into limited juggle state; 2nd hit causes spike knockdown vs. airborne opponents; 2nd hit has the most horizontal range of Elena's air normals; overall weaker as an air approach due to the damage being split between 2 hits (very specific timing required to land both hits vs. grounded opponents); if 1st hit is stand blocked, the 2nd hit will not hit overhead against crouch block; lower body projectile invuln 10-22f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"
19,Normals and Target Combos,ground_normal,elena_6hp,6HP,Trunk Slap 1,900,16,4,20,39,+1,-4,LH,TC,21,,,+5,-22,,,+5,0,25,20,13,6000,[10000],3000,1000 (700),500 (250),,,,2.01,,1,1,0,,,,SF6_Elena_6hp.png,SF6_Elena_6hp_hitbox.png,"Forward-moving ranged poke that can be hitconfirmed into a TC knockdown follow-up; TC is always a true blockstring; pushback keeps Elena safe (except at close range vs. Marisa/E.Honda/Sagat 2LP and Zangief 2LK); pushback also prevents a follow-up link even with Drive Rush (+5), but can link 5LK after a corner Punish Counter"
20,Normals and Target Combos,ground_normal,elena_6mk,6MK,Handstand Whip 1,600,20,3,19,41,+2,-3,H,TC,17,,,+6,-20,,,+6,+1,24,19,11,2500,[5000],1500,700 (490),350 (175),,,,1.716,,1,1,0,,,,SF6_Elena_6mk.png,SF6_Elena_6mk_hitbox.png,Long-range overhead with fast startup and a hitconfirmable TC follow-up
21,Normals and Target Combos,ground_normal,elena_4hk,4HK,Round Arch,900,14,4,17(19),34(36),+3,-3,LH,-,,,20% Starter,KD +39,-19,,,+7,+1,24,18,11 (PC: 13),6000,[10000],3000,1000 (700),500 (250),,,,0.790,,1,1,0,,,,SF6_Elena_4hk.png,"SF6_Elena_4hk_hitbox.png, SF6_Elena_4hk_hitbox_2.png","Low Crush 9-17f (not airborne); 2f extra recovery on whiff; Counter-hit/Punish Counter puts opponent into a limited juggle state (can chase with DR oki, 236LP~6LP~6LK pressure, or juggle 623MK/623KK if used point blank in the corner); Elena moves backward starting on frame 5 (can help avoid the opponent's attack or throw)"
22,Normals and Target Combos,ground_normal,elena_3hk,3HK,Slide,900,14,9,18(22),40(44),HKD +31(+39),-10(-2),L,-,,,,HKD +46(+54),-29(-21),,,HKD +31(+39),-6(+2),,17,13,4000,[10000],3000,1000 (700),500 (250),,,,2.88 (1.69),Slides forward; Range 1.69 on 1st active frame,1,1,0,,,,SF6_Elena_3hk.png,"SF6_Elena_3hk_hitbox.png, SF6_Elena_3hk_hitbox_2.png",4f extra recovery on whiff or vs. armor; does not low profile under projectiles; reaches ~1/2 screen and is safe when spaced well
23,Normals and Target Combos,ground_normal,elena_5mp_mp,5MP~MP,Starling Beak,400,17,5,20,41,-4 / -24 whiff,-10 / -30 whiff,LH,Sp SA,48~50 (17),,,0,-23,+11,+5,,,21,15,11,2000,[3000],1000,700 (490),350 (175),,,,1.94 (1.76),,1,1,0,,,,SF6_Elena_5mp_mp.png,SF6_Elena_5mp_mp_hitbox.png,Whiffs on crouching opponents (but can force stand with Punish Counter 5MP); interruptible 6-8f gap between hits; does not combo from the final 2 cancelable frames of 5MP without at least a Counter-hit
24,Normals and Target Combos,ground_normal,elena_5hp_hp,5HP~HP,Turning Tail,400x2,17,4(3)4,17,44,KD +55(+45),-3 / (-10/-23),LH,-,,,20% Starter,KD +45,-19*,,,,,,25(18),"5,8",2000x2,[4000],1000x2,500x2 (350x2),250x2 (125x2),,,,2.35 (1.79),,"1,1","0,1","1,2",,,,"SF6_Elena_5hp_hp.png, SF6_Elena_5hp_hp_2.png","SF6_Elena_5hp_hp_hitbox.png, SF6_Elena_5hp_hp_2_hitbox.png","Whiffs on crouch blocking opponents; puts opponents into limited juggle state with a much more rewarding juggle after Punish Counter 5HP; if 5HP is stand blocked, the first hit of the follow-up will also be stand blocked, but the last hit still whiffs leaving Elena unsafe; starter scaling only applies if the 2nd HP begins the combo (e.g. opponent tries to jump out after crouch blocking 5HP)"
25,Normals and Target Combos,ground_normal,elena_5mk_hk,5MK~HK,Hind Kick,400,12,3,24,38,KD +33,-8,LH,Sp SA,41,,,KD +33,,KD +47,+6,,,,19,10,2000,[7000],1000,700 (490),350 (175),,,,1.612,,1,1,2,,,,SF6_Elena_5mk_hk.png,SF6_Elena_5mk_hk_hitbox.png,Puts opponent into limited juggle state; Elena's main Target Combo conversion on crouching opponents; Special/DI/DR cancel is delayed until after 1st recovery frame
26,Normals and Target Combos,ground_normal,elena_2mk_hk,2MK~HK,Fluttering Lark,400(320),15,1,20(24),35(39),+4 / -18 (whiff),-9* / -24 (whiff),LH,Sp SA,41~42 (14*),,,+8 / -14 (whiff),-23*,+14,+5*,,,25,16*,9,,[3000],1000,600 (420),300* (150*),,,,2.00,,1,1,2,,,,SF6_Elena_2mk_hk.png,SF6_Elena_2mk_hk_hitbox.png,"() refers to scaled damage from 2MK combo starter; whiffs on crouching opponents (-18 after 2MK on hit, -24 after 2MK on block); 4f extra recovery on whiff or parry; the HK itself usually cannot be blocked since a blocked 2MK forces the opponent to crouch under it, but the entire sequence can be parried (block data notated with * refers to this scenario); if the TC is delayed as late as possible, the opponent can block 2MK and then Parry the follow-up or get hit while trying to jump; Special/DI/DR cancel is delayed until after 1st recovery frame"
