row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,Jamie_5lp,5LP,Stand LP (DL0),270,5,2,7,13,+5,0,LH,Sp SA,12,,20% Starter,+9,-7,+4,-1,+9,+4,14,9,9,500,[2000],250,300 (210),150 (75),,,,0.97,(DL0) Listed for comparison only; use 2LP or 5LK at Drink Lv.0,1,1,0,,,,SF6_Jamie_5lp.png,SF6_Jamie_5lp_hitbox.png,"Drink Lv.0 only (changes at DL1-DL4); better frame advantage than the DL1-DL4 version, but has less range and no Target Combo; SA2 cancel: +7/+2; Drink cancel: -37/-42"
2,Normals and Target Combos,ground_normal,Jamie_5lp_dl2,5LP,Stand LP (DL2),300,5,3,9,16,+2,-3,LH,Sp SA TC,13,,20% Starter,+6,-10,+4,-1,+6,+1,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.213,(DL1) Jamie's best 5-frame punish once he has taken at least 1 drink,1,1,0,,,,SF6_Jamie_5lp_dl1.png,SF6_Jamie_5lp_dl1_hitbox.png,"Damage DL1-DL4: 285/300/315/330; requires Drink Lv.1 or higher; cannot link afterward naturally, but gives new Target Combo follow-up; good range for a light normal (slightly shorter range vs. crouching opponents); SA2 cancel: +7/+2; Drink cancel: -37/-42"
3,Normals and Target Combos,ground_normal,Jamie_5mp_dl2,5MP,Stand MP (DL2),600,8,4,14,25,+6,+2,LH,-,,,,+10,-16,,,+10,+6,24,20,11,4000,[6000],2000,500 (350),250 (125),,,,1.234,,1,1,0,,,,SF6_Jamie_5mp.png,SF6_Jamie_5mp_hitbox.png,"Damage DL0-DL4: 540/570/600/630/660; good combo and frame trap starter, but has no conversions near its max range"
4,Normals and Target Combos,ground_normal,Jamie_5hp_dl2,5HP,Stand HP (DL2),"100x2,700 (900)",5,1(1)1(4)3,20,34,+1(+3),-3(-1),LH,Sp SA (2nd),18,,,+5(+7),-21,+8,+2,+5(+7),+1(+3),31(24),27(20),"5,5,13","500x2,4000","[0,0,8000]","250x2,1500","300x2,1000 (210x2,700)","150x2,500 (75x2,250)",,,,1.732 (0.924),Short range on frame 5 (0.924) but very rewarding if it can reach,1,"1,1,1","1,1,2",,,,SF6_Jamie_5hp.png,"SF6_Jamie_5hp_hitbox_preview.png, SF6_Jamie_5hp_hitbox_1.png, SF6_Jamie_5hp_hitbox_2.png, SF6_Jamie_5hp_hitbox_3.png","Damage DL0-DL4: 810/855/900/945/990; very fast startup for heavy normal; 3 hits (can break Drive Impact from close range); great option out of Drive Rush (forward momentum, plus on block, combo on hit) or vs. opponent in Burnout; 3rd hit has longer range (effectively 12f startup with better frame advantage when spaced out); all hits receive counter-hit/Punish Counter advantage; Punish Counter Drive damage will not occur if the attack is canceled; all 3 hits put airborne opponent into limited juggle state (juggling into last 2 hits will maintain juggle state); SA2 cancel: +11/+5; Drink cancel: -33/-39; special/DR cancel is delayed until after 3rd recovery frame on 2nd hit"
5,Normals and Target Combos,ground_normal,Jamie_5lk_dl2,5LK,Stand LK (DL2),300,5,2,11,17,+3,-1,LH,Chn Sp SA,13,,20% Starter,+7,-11,+5,+1,+7,+3,16,12,9,500,[2000],250,300 (210),150 (75),,,,1.13,,1,1,0,,,,"SF6_Jamie_5lk.png, SF6_Jamie_5lk_mash.png","SF6_Jamie_5lk_hitbox.png, SF6_Jamie_5lk_mash_hitbox.png","Damage DL0-DL4: 270/285/300/315/330; chains into 5LK/2LP/2LK; chaining out of 5LK shifts Jamie's position forward, making light combos more consistent; chains into itself infinitely even on whiff (different animation than when chained into from other normals); SA2 cancel: +9/+5; Drink cancel: -35/-39; DR cancel is delayed until after 2nd active frame"
6,Normals and Target Combos,ground_normal,Jamie_5mk_dl2,5MK,Stand MK (DL2),600,9,3,17(18),28(29),+2,-3,LH,Sp SA,15,,,+5,-18,+12,+7,+6,+1,22,17,11,3000,[4000],1500,700 (490),350 (175),,,,1.476,,1,1,0,,,,SF6_Jamie_5mk.png,SF6_Jamie_5mk_hitbox.png,Damage DL0-DL4: 540/570/600/630/660; good poke and mid-range buffer; lifts up leg hurtbox on frames 4-12 (can avoid low pokes); 1f extra recovery on whiff; can combo naturally into 214MP/214PP; extends a wider hurtbox on whiff until the end of recovery; SA2 cancel: +15/+10; Drink cancel: -29/-34
7,Normals and Target Combos,ground_normal,Jamie_5hk_dl2,5HK,Stand HK (DL2),800,15,3,21,38,+3,-5,LH,Sp SA,17 (29 PC),,,KD +71 Crumple,-22,+16,+8,+7,-1,27,19,13,4000,[10000],3000,1000 (700),500 (250),,,,1.803 (1.721),,1 [-1 PC Ground],0,0,,,,SF6_Jamie_5hk.png,"SF6_Jamie_5hk_hitbox_preview.png, SF6_Jamie_5hk_hitbox_1.png, SF6_Jamie_5hk_hitbox_2.png","Damage DL0-DL4: 720/760/800/840/880; grounded Punish Counter crumple is +9 before opponent becomes airborne; puts airborne opponents into limited juggle state; very long range for cancelable normal; on midscreen Punish Counter, can safely cancel into 2 Drinks (corner: Drink, juggle 2LP > 214PP, juggle 2HK~HK~P); SA2 cancel: +19/+11 (PC: KD+87); Drink cancel: -25/-33 (PC: KD+43); special/DR cancel is delayed until after 2nd active frame; extends a hurtbox 1f before active that is vulnerable to projectiles"
8,Normals and Target Combos,ground_normal,Jamie_2lp_dl2,2LP,Crouch LP (DL2),250,4,2,9,14,+5,-1,LH,Chn Sp SA,13,,20% Starter,+9,-9,+5,-1,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,0.98,,1,1,0,,0.361,0.374,SF6_Jamie_2lp.png,SF6_Jamie_2lp_hitbox.png,"Damage DL0-DL4: 225/237/250/262/275; chains into 5LK/2LP/2LK; Jamie's only 4f normal, useful for comboing into 5f lights; SA2 cancel: +9/+3; Drink cancel: -35/-41; DR cancel is delayed until after 2nd active frame"
9,Normals and Target Combos,ground_normal,Jamie_2mp_dl2,2MP,Crouch MP (DL2),600,6,3,13(15),21(23),+5,-1,LH,Sp SA,16,,,+9,-14,+11,+5,+9,+3,21,15,11,3000,[4000],1500,500 (350),250 (125),,,,1.08,,1,1,0,,,,SF6_Jamie_2mp.png,SF6_Jamie_2mp_hitbox.png,"Damage DL0-DL4: 540/570/600/630/660; 2f extra recovery on whiff; decent tool for buffers, combos, and frame traps; extends a hurtbox on whiff until the end of recovery; SA2 cancel: +14/+8; Drink cancel: -30/-36"
10,Normals and Target Combos,ground_normal,Jamie_2hp_dl2,2HP,Crouch HP (DL2),900,8,5,23,35,0,-8,LH,Sp SA,16,,,+4,-26,+18,+10,+4,-4,28,20,13,5000,[7000],2500,1000 (700),500 (250),,,,1.132 (1.042),,1,0,0,,,,SF6_Jamie_2hp.png,"SF6_Jamie_2hp_hitbox_preview.png, SF6_Jamie_2hp_hitbox_1.png, SF6_Jamie_2hp_hitbox_2.png, SF6_Jamie_2hp_hitbox_3.png","Damage DL0-DL4: 810/855/900/945/990; good vertical anti-air (cannot hit cross-up, but head hurtbox is anti-air invincible on frames 8-32); forces stand on hit; only the first 2 active frames are cancelable; important combo tool for high-damage punishes and Drive Rush confirms and as a follow-up to Tenshin; SA2 cancel: +21/+13; Drink cancel: -23/-31"
