row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
21,Normals and Target Combos,ground_normal,Jamie_6mk,6MK,Falling Star Kick (DL0),540,22,3,20,44,+1,-3,H,-,,,,+5,-21,,,+5,+1,24,20,12,2500,[4000],1000,500 (350),250 (125),,,,1.81 (1.693),,1,1,0,,,,SF6_Jamie_6mk.png,"SF6_Jamie_6mk_hitbox_preview.png, SF6_Jamie_6mk_hitbox_1.png, SF6_Jamie_6mk_hitbox_2.png",Damage DL0-DL1: 540/570; 10-19f Low Crush; gains ~25% more range and Target Combo follow-up at Drink Lv.2; can be spaced to hit later in active frames for better advantage; causes spike knockdown vs. airborne opponents
24,Normals and Target Combos,ground_normal,Jamie_4hp_dl3,4HP,Hermit's Elbow (DL3),840,18,4,21(19),42(40),+1,-3,LH,SA TC,19 SA / 20 TC,,,+5,-23,,,+5,+1,24,22,13,4000,[7000],2000,1000 (700),500 (250),,,,1.368 (1.223),,1,1,0,,,,SF6_Jamie_4hp_dl3.png,SF6_Jamie_4hp_dl3_hitbox.png,Damage DL3-DL4: 840/880; 2f less recovery on hit only; throw hurtbox retracts on frames 4-14; strike hurtbox retracts on frames 5-12; useful as a throw bait for scoring a Punish Counter into follow-up combo; can be spaced to hit on later active frames for better advantage; Target Combo follow-up requires extra frame advantage (meaty/Counter-Hit/Punish Counter/Drive Rush) to combo; ~11% more range than DL0-DL2 version; Super cancel is delayed until after active frames; SA2 cancel: +14/+12
36,Normals and Target Combos,ground_normal,Jamie_6hk_4hk_p_close_dl4,6HK~4HK~P (close),Ransui Haze Headbutt (DL4),935,(24~45)+14,5,28,46,KD +31,-13,LH,Sp SA,21 Headbutt / 59 Total,,Combo (2 hits),KD +31,-30,KD +51,+7,,,,20,13,5000,[7000],2000,1000 (700),500 (250),,,,1.935 (1.879),,0,1,1,,,,SF6_Jamie_6hk_4hk_p_close.png,SF6_Jamie_6hk_4hk_p_close_hitbox.png,Drink Lv.4 only; 3f gap on block; combos naturally on hit (relatively confirmable); cancelable into any special or Super; startup includes 6HK plus the delay before Headbutt can be input; SA2 cancel: KD+54/+10; Drink cancel: KD+10/-34; special/DR cancel is delayed until after active frames; puts airborne opponents into free juggle state (e.g. if opponent tries to jump after 6HK)
37,Normals and Target Combos,ground_normal,Jamie_6hk_4hk_p_mid_dl4,6HK~4HK~P (mid),Ransui Haze Triple Fist (DL4),"330x2,660 (1320)",(51~75)+4,2(8)2(11)2,27,55,KD +35,-9,LH,Sp SA,60/40/17,,,KD +35,-27,KD +54,+10,,,,42(33)(20),"10,10,13","3000x2,5000",[7000],"1000x2,2000","500x2,1000 (350x2,700)","250x2,500 (125x2,250)",,,,2.749 / 2.078 / 1.235,,1,"1,1,1","2,2,3",,,,SF6_Jamie_6hk_4hk_p_mid.png,"SF6_Jamie_6hk_4hk_p_mid_hitbox_preview.png, SF6_Jamie_6hk_4hk_p_mid_hitbox_1.png, SF6_Jamie_6hk_4hk_p_mid_hitbox_2.png, SF6_Jamie_6hk_4hk_p_mid_hitbox_3.png",Drink Lv.4 only; can be performed on whiff; can punish attempts to chase down the sway; first hit has short range and may whiff if the opponent is stationary; final hit is cancelable into any special or Super; startup includes 6HK plus the delay before Spin can be input; SA2 cancel: KD+57/+13; Drink cancel: KD+13/-31
38,Normals and Target Combos,ground_normal,Jamie_6hk_4hk_p_far_dl4,6HK~4HK~P (far),Ransui Haze Drink (DL4),-,(76~100)+Drink,-,52(112),52(112),-,-,-,-,,,,,,,,,,,,,,,10000(20000),,,,,,,,,,,,,,SF6_Jamie_6hk_4hk_p_far.png,SF6_Jamie_6hk_4hk_p_far_hitbox.png,Drink Lv.4 only; can be performed on whiff; restores 1 bar of Drive gauge on the final recovery frame (2 bars if no input is made until frame 112); startup includes 6HK plus the delay before Drink can be input
40,Drive and Throw,throw,Jamie_lplk_dl2_hold,LPLK (hold),Back Shaver + Drink (DL2),1200 (2040),5,3,23,30,KD +7,-,T,-,,,20% Immediate,HKD +7,,,,,,,,,,[10000],7000 / 12000 (DL4),2000(1400) [4000(2800)],,,,,0.80,,,,,,,,SF6_Jamie_lplk_hold.png,SF6_Jamie_lplk_hitbox.png,"Damage DL0-DL4: 1080/1139/1200/1259/1320 (PC: 1836/1937/2040/2141/2244); leaves Jamie too far for follow-up oki, but can get corner pressure with ranged normals like 5MK; LP+LK must be pressed on frame 92 of throw animation for the drink to occur; builds an extra 0.5 Drive bars, or an extra 1 Drive bar at DL4; a successful Throw Escape builds 0.5 Drive bars for the defender; Throw Escape is awarded to a random player if input simultaneously"
49,Specials,special,Jamie_22p_2,22P (hold),The Devil Inside (2 drinks),-,92(90),-,5,97,-,-,-,-,,,,,,,,,,,,,,,5000 / 10000 (DL4),,,,,,,,,,,,,,SF6_Jamie_22p.png,SF6_Jamie_22p_hitbox.png,"Increases Jamie's Drink Level by 2; build 0.5 Drive bars; if already at DL4, builds 1 Drive bar; 2f shorter duration if DL4 is activated; entire animation is in a counter-hit state; startup refers to the time it takes for +2 Drink Levels to actually increase"
50,Specials,special,Jamie_22p_3,22P (hold),The Devil Inside (3 drinks),-,141(139),-,5,146,-,-,-,-,,,,,,,,,,,,,,,7500 / 15000 (DL4),,,,,,,,,,,,,,SF6_Jamie_22p.png,SF6_Jamie_22p_hitbox.png,"Increases Jamie's Drink Level by 3; builds 0.75 Drive bars; if already at DL4, builds 1.5 Drive bars; 2f shorter duration if DL4 is activated; entire animation is in a counter-hit state; startup refers to the time it takes for +3 Drink Level to actually increase"
51,Specials,special,Jamie_22p_4,22P (hold),The Devil Inside (4 drinks),-,188,-,5,193,-,-,-,-,,,,,,,,,,,,,,,10000 / 20000 (DL4),,,,,,,,,,,,,,SF6_Jamie_22p.png,SF6_Jamie_22p_hitbox.png,"Increases Jamie's Drink Level by 4; builds 1 Drive bar; if already at DL4, builds 2 Drive bars; entire animation is in a counter-hit state; startup refers to the time it takes for +4 Drink Level to actually increase"
52,Specials,special,Jamie_22p_activation,22P (activation),The Devil Inside (DL4 activation),-,1,-,4,5,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Jamie_22p_activation.png,SF6_Jamie_22p_activation_hitbox.png,"Occurs automatically upon reaching Drink Level 4; causes drink animation to recover slightly faster, potentially giving better oki; screen freezes for 25f (invincible for 1f right as freeze occurs); 4f recovery is in a counter-hit state"
62,Specials,special,Jamie_236lp_6p_dl4,236LP~6P,LP Freeflow Strikes Punch 1 (DL4),"220,275 (495)",15 [48],2(5)2,27,50,-2,-10,LH,-,28 (follow-up),"55,68",,-2(+2),-27,,,,,34 total,26 total,"3,8",1500x2,[4000],500x2,500x2 (350x2),250x2 (125x2),,,,1.606 (1.387),,"1,1","1,1","5,6",,,,"SF6_Jamie_236lp_6p_dl4.png, SF6_Jamie_236lp_6p_dl4_2.png","SF6_Jamie_236lp_6p_dl4_hitbox_1.png, SF6_Jamie_236lp_6p_dl4_hitbox_2.png",Can be performed on hit/block/whiff (startup is delayed by 4f on whiff version); [] refers to total startup when whiffing initial 236P; 2 hits; counter-hit/Punish Counter bonus only applies if 2nd hit connects; 2-7f blockstring gap depending on input timing
64,Specials,special,Jamie_236mp_6p_dl4,236MP~6P,MP Freeflow Strikes Punch 1 (DL4),"220,275 (495)",15 [51],2(5)2,27,50,-2,-10,LH,-,28 (follow-up),"55,68",,-2(+2),-27,,,,,34 total,26 total,"3,8",1500x2,[4000],500x2,500x2 (350x2),250x2 (125x2),,,,1.606 (1.387),,"1,1","1,1","5,6",,,,SF6_Jamie_236mp_6p.png,SF6_Jamie_236mp_6p_hitbox.png,Can be performed on hit/block/whiff (startup is delayed by 4f on whiff version); [] refers to total startup when whiffing initial 236P; 2 hits; counter-hit/Punish Counter bonus only applies if 2nd hit connects; 2-7f blockstring gap depending on input timing
66,Specials,special,Jamie_236hp_6p_dl4,236HP~6P,HP Freeflow Strikes Punch 1 (DL4),"220,275 (495)",15 [54],2(5)2,27,50,-2,-10,LH,-,28 (follow-up),"55,68",,-2(+2),-27,,,,,34 total,26 total,"3,8",1500x2,[4000],500x2,500x2 (350x2),250x2 (125x2),,,,1.606 (1.387),,"1,1","1,1","5,6",,,,SF6_Jamie_236hp_6p.png,SF6_Jamie_236hp_6p_hitbox.png,Can be performed on hit/block/whiff (startup is delayed by 4f on whiff version); [] refers to total startup when whiffing initial 236P; 2 hits; counter-hit/Punish Counter bonus only applies if 2nd hit connects; 2-7f blockstring gap depending on input timing
70,Specials,special,Jamie_236lp_6p_6p_dl4,236LP~6P~6P,LP Freeflow Strikes Punch 2 (DL4),"165x2,495 (132x2,396)",16 [78],2(4)2(14)3,28,68,KD +27,-14,LH,SA3,46,"40x2,123",20% Starter,KD +27,-29,,,,,,39 total,"3,3,12",1500x3,[4000],500x3,"500x2,400 (350x2,280)","250x2,200 (125x2,100)",,,,2.407 (1.77),,"1,1,1","1,1,1","7,7,10",,,,"SF6_Jamie_236lp_6p_6p_dl4.png, SF6_Jamie_236lp_6p_6p_dl4_2.png, SF6_Jamie_236lp_6p_6p_dl4_3.png","SF6_Jamie_236lp_6p_6p_dl4_hitbox.png, SF6_Jamie_236lp_6p_6p_dl4_hitbox2.png",Can be performed on hit/block/whiff (startup is delayed by 3f on whiff version); [] refers to total startup when whiffing initial 236P~6P; () refers to scaled damage when starting combo from 236P; 3 hits; 2-6f gap between 2nd/3rd Rekkas on block
72,Specials,special,Jamie_236mp_6p_6p_dl4,236MP~6P~6P,MP Freeflow Strikes Punch 2 (DL4),"162x2,495 (132x2,396)",16 [81],2(4)2(14)3,28,68,KD +27,-14,LH,SA3,46,"40x2,123",20% Starter,KD +27,-29,,,,,,39 total,"3,3,12",1500x3,[4000],500x3,"500x2,400 (350x2,280)","250x2,200 (125x2,100)",,,,2.407 (1.77),,"1,1,1","1,1,1","7,7,10",,,,SF6_Jamie_236mp_6p_6p_dl4.png,SF6_Jamie_236mp_6p_6p_dl4_hitbox.png,Can be performed on hit/block/whiff (startup is delayed by 3f on whiff version); [] refers to total startup when whiffing initial 236P~6P; () refers to scaled damage when starting combo from 236P; 3 hits; 2-6f gap between 2nd/3rd Rekkas on block
74,Specials,special,Jamie_236hp_6p_6p_dl4,236HP~6P~6P,HP Freeflow Strikes Punch 2 (DL4),"162x2,495 (132x2,396)",16 [84],2(4)2(14)3,28,68,KD +27,-14,LH,SA3,46,"40x2,123",20% Starter,KD +27,-29,,,,,,39 total,"3,3,12",1500x3,[4000],500x3,"500x2,400 (350x2,280)","250x2,200 (125x2,100)",,,,2.407 (1.77),,"1,1,1","1,1,1","7,7,10",,,,SF6_Jamie_236hp_6p_6p_dl4.png,SF6_Jamie_236hp_6p_6p_dl4_hitbox.png,Can be performed on hit/block/whiff (startup is delayed by 3f on whiff version); [] refers to total startup when whiffing initial 236P~6P; () refers to scaled damage when starting combo from 236P; 3 hits; 2-6f gap between 2nd/3rd Rekkas on block
104,Supers,super,Jamie_236236k_drink_dl2,236236K~[2],Breakin' ~ Drink,1850,8,"2,7(6)5(6)2(7)2(7) 2(6)2(5)2(7) 2(7)2(6)2",107(86),201(180),KD +4 (DL3: KD +25),-93 (DL3: -72),LH,-,,400,30% Minimum,KD +4 (DL3: KD +25),-107 (DL3: -86),,,,,,97 total,"2,4,2x6,3,2,16","150x10,1000 (2500)","200x2,400x8,1400 (5000)",5000 / 10000 (DL4),-10000,-10000,1-12 Strike/Throw,Break,,3.526 (1.836),,1,"0x10,1","0x10,25",,,,SF6_Jamie_236236k.png,SF6_Jamie_236236k_hitbox.png,"Damage DL0-DL4: 1665/1753/1850/1938/2035 (Chip: 360/380/400/420/440); increases Drink Level by 1 at the cost of some damage and KD Advantage; DL3 version has 21f less recovery, granting better advantage upon DL4 activation; drink builds 0.5 Drive bars; at DL4, builds 1 Drive bar; cannot hit cross-up"
108,Taunts,taunt,Jamie_5pppkkk,5PPPKKK,Neutral Taunt (DL0-DL3),-,434 (total),-,-,434,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Jamie_5pppkkk.png,SF6_Jamie_5pppkkk_hitbox.png,"""Where's my bed? You're putting me to sleep, man.""; has a different variation at Drink Lv.4"
109,Taunts,taunt,Jamie_5pppkkk_dl4,5PPPKKK,Neutral Taunt (DL4),-,599 (total),-,-,599,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Jamie_5pppkkk_dl4.png,SF6_Jamie_5pppkkk_hitbox.png,"""You're still here? This... is your last chance."""
110,Taunts,taunt,Jamie_6pppkkk,6PPPKKK,Forward Taunt (DL0),-,116 (total),-,-,116,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Jamie_6pppkkk.png,SF6_Jamie_6pppkkk_hitbox.png,"""Bring it!""; Changes with each Drink Level"
111,Taunts,taunt,Jamie_6pppkkk_dl1,6PPPKKK,Forward Taunt (DL1),-,169 (total),-,-,169,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Jamie_6pppkkk_dl1.png,SF6_Jamie_6pppkkk_hitbox.png,"""Come on, let me see your sick flow!""; Changes with each Drink Level"
112,Taunts,taunt,Jamie_6pppkkk_dl2,6PPPKKK,Forward Taunt (DL2),-,243 (total),-,-,243,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Jamie_6pppkkk_dl2.png,SF6_Jamie_6pppkkk_hitbox.png,"""You gonna show me some moves? Don't screw up!""; Changes with each Drink Level"
113,Taunts,taunt,Jamie_6pppkkk_dl3,6PPPKKK,Forward Taunt (DL3),-,255 (total),-,-,255,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Jamie_6pppkkk_dl3.png,SF6_Jamie_6pppkkk_hitbox.png,"""You think you knew what I'm gonna do next?""; Changes with each Drink Level"
114,Taunts,taunt,Jamie_6pppkkk_dl4,6PPPKKK,Forward Taunt (DL4),-,738 (total),-,-,738,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Jamie_6pppkkk_dl4.png,SF6_Jamie_6pppkkk_hitbox.png,"""I ain't through with you.... zzz ... oh man, oh man.""; Changes with each Drink Level"
115,Taunts,taunt,Jamie_4pppkkk,5PPPKKK,Back Taunt,-,608 (total),-,-,608,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Jamie_4pppkkk.png,SF6_Jamie_4pppkkk_hitbox.png,"""Listen! Da na, da na da na, da da da... right!"""
