row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,Juri_5lp,5LP,Standing Light Punch,300,4,4,7,14,+5,-2,LH,Chn Sp SA,14,,20% Starter,+9,-9,+4,-3,+9,+2,16,9,9,500,[2000],250,300 (210),150 (75),,,,0.85,,1,1,0,,0.319,0.333,SF6_Juri_5lp.png,SF6_Juri_5lp_hitbox.png,Chains into 5LP/2LP/2LK; high active frame count makes it a useful meaty (up to +8/+1); SA2 cancel: +8/+1; DR cancel is delayed until after 3rd active frame
2,Normals and Target Combos,ground_normal,Juri_5lp_fse,5LP (FSE Chain),Standing Light Punch,100,4,4,7,14,+5,-2,LH,Chn Sp SA,14 Sp / 16 Chn,,20% Starter,+9,-9,+4,-3,,,16,9,9,125,[500],62,,,,,,0.85,,1,1,10,,,,SF6_Juri_5lp.png,SF6_Juri_5lp_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; DR cancel is delayed until after 3rd active frame
3,Normals and Target Combos,ground_normal,Juri_5mp,5MP,Standing Medium Punch,600,6,4,12,21,+7,+2,LH,Sp SA TC,16,,,+11,-14,+12,+7,+11,+6,23,18,11,3000,[4000],1500,500 (350),250 (125),,,,0.93,,1,1,0,,,,SF6_Juri_5mp.png,SF6_Juri_5mp_hitbox.png,"Strong combo/pressure starter and meaty tool, especially out of Drive Rush to minimize pushback; meaty timing can be up to +10/+5; SA2 cancel: +14/+9; special/DR cancel is delayed until after 2nd active frame"
4,Normals and Target Combos,ground_normal,Juri_5mp_fse,5MP (FSE Chain),Standing Medium Punch,400,6,4,12,21,+7,+2,LH,Chn Sp SA,16 Sp / 18 Chn,,,+11,-14,+12,+7,,,23,18,9,750,[1000],375,,,,,,0.93,,1,1,10,,,,SF6_Juri_5mp.png,SF6_Juri_5mp_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; 2f shorter hitconfirm window when chained into; special/DR cancel is delayed until after 2nd active frame
5,Normals and Target Combos,ground_normal,Juri_5hp,5HP,Standing Heavy Punch,800,10,3,24,36,-1,-5,LH,Sp SA,17,,,+3,-25,+16,+12,+3,-1,26,22,13,5000,[8000],2000,1000 (700),500 (250),,,,1.588 (1.49),,1,1,0,,,,SF6_Juri_5hp.png,SF6_Juri_5hp_hitbox.png,Forces stand on hit; good whiff punish tool with long range; large hurtbox makes it weak as an anti-air; SA2 cancel: +18/+14
6,Normals and Target Combos,ground_normal,Juri_5hp_fse,5HP (FSE Chain),Standing Heavy Punch,600,10,3,24,36,KD +29,-5,LH,Chn Sp SA,17 Sp / 19 Chn,,,KD +29,-25,KD +46,+12,,,,22,12,1250,[2000],500,,,,,,1.588 (1.49),,1,1,10,,,,SF6_Juri_5hp.png,SF6_Juri_5hp_hitbox.png,Chained version during SA2 (FSE); forces stand on hit; maintains juggle state vs. airborne opponents; 1f shorter hitconfirm window when chained into
7,Normals and Target Combos,ground_normal,Juri_5lk,5LK,Standing Light Kick,300,5,3,9,16,+2,-3,LH,Sp SA,13,,20% Starter,+6,-10,+4,-1,+6,+1,13,7,9,500,[2000],250,300 (210),150 (75),,,,1.16,,1,1,0,,,,SF6_Juri_5lk.png,SF6_Juri_5lk_hitbox.png,"Good range for a light normal, but can't combo into 214MK; SA2 cancel: +5/0; special cancel is delayed until after 2nd active frame"
8,Normals and Target Combos,ground_normal,Juri_5lk_fse,5LK (FSE Chain),Standing Light Kick,100,5,3,9,16,+2,-3,LH,Chn Sp SA,13 Sp / 15 Chn,,20% Starter,+6,-10,+4,-1,,,13,7,9,125,[500],62,,,,,,1.16,,1,1,10,,,,SF6_Juri_5lk.png,SF6_Juri_5lk_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; special cancel is delayed until after 2nd active frame
9,Normals and Target Combos,ground_normal,Juri_5mk,5MK,Standing Medium Kick,"400,300 (700)",5(8),2(1)3,17,27,+3,-4,LH,Sp SA (1st),14,,,+7,-21 / -18,+17,+5,+7,0,"27,23","15,16","11,11",2000x2,[3000x2],1000x2,"350,700 (245,490)","175,350 (87,175)",,,,1.427 (0.74),"Extremely short range as a 5-frame punish (0.74), but more rewarding when landed","1,1","1,1","0,0",,,,"SF6_Juri_5mk_1.png, SF6_Juri_5mk_2.png","SF6_Juri_5mk_hitbox_preview.png, SF6_Juri_5mk_hitbox_1.png, SF6_Juri_5mk_hitbox_2.png",8f startup for 2nd hit only; 1st hit can combo from 5LP and has enough hitstun to combo to 214HK for a launch and Fuha stock; great poke in neutral (1st hit can interrupt opponent's button while 2nd hit extends for long range); very effective when used out of Drive Rush; SA2 cancel: +19/+7 (1st hit)
10,Normals and Target Combos,ground_normal,Juri_5mk_fse,5MK (FSE Chain),Standing Medium Kick,"300,200",5(8),2(1)3,17,27,+3,-4,LH,Chn Sp SA,29(15) Sp / 31(17) Chn,,,+7,-21 / -18,+13 / +13,+5 / +6,,,"23,23","15,16","9,9",500x2,[750x2],250x2,,,,,,1.427 (0.74),,"1,1","1,1","10,11",,,,"SF6_Juri_5mk_1.png, SF6_Juri_5mk_2.png","SF6_Juri_5mk_hitbox_preview.png, SF6_Juri_5mk_hitbox_1.png, SF6_Juri_5mk_hitbox_2.png","Chained version during SA2 (FSE); 1st hit has 4f less hitstun (cannot combo into 214HK); when chained into, 4f shorter hitconfirm window (2f if 2nd hit only); maintains juggle state vs. airborne opponents"
11,Normals and Target Combos,ground_normal,Juri_5hk,5HK,Standing Heavy Kick,900,17,4,19,39,+2(+5),-3(0),LH,-,,,20% Starter,KD +42(+45) Launch,-21(-18),,,+6(+9),+1(+4),25,20,13,6000,[10000],4000,1000 (700),500 (250),,,,2.264 (2.19),,1 PC Ground [1 CH/PC Air],1,0,,,,SF6_Juri_5hk.png,SF6_Juri_5hk_hitbox.png,Not airborne despite the animation; Counter-Hit/Punish Counter puts airborne opponents into limited juggle state; Punish Counter also puts grounded opponents into limited juggle state with a follow-up juggle; long range and safe on block makes it great in neutral; better frame advantage when well spaced (very difficult to connect with the final active frame); extends a hurtbox 1f before active that is vulnerable to projectiles
12,Normals and Target Combos,ground_normal,Juri_5hk_fse,5HK (FSE Chain),Standing Heavy Kick,700,17,4,19,39,KD +34,-3,LH,Chn Sp SA,26 Sp/Chn (PC: 38),,20% Starter,KD +34,-21,+7 (KD +39),+2,,,,20,11,1500,[2500],1000,,,,,,2.264 (2.19),,1,1,10,,,,SF6_Juri_5hk.png,SF6_Juri_5hk_hitbox.png,"Becomes fully cancelable during FSE, even when not chained into; not airborne despite the animation; maintains juggle state vs. airborne opponents; 2f shorter hitconfirm window when chained into; special/DR cancel is delayed until after 5th recovery frame; extends a hurtbox 1f before active that is vulnerable to projectiles"
13,Normals and Target Combos,ground_normal,Juri_2lp,2LP,Crouching Light Punch,300,4,3,8,14,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-9,+4,-1,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,0.92,,1,1,0,,0.320,0.330,SF6_Juri_2lp.png,SF6_Juri_2lp_hitbox.png,Chains into 5LP/2LP/2LK; SA2 cancel: +7/+2; DR cancel is delayed until after 2nd active frame
14,Normals and Target Combos,ground_normal,Juri_2lp_fse,2LP (FSE Chain),Crouching Light Punch,100,4,3,8,14,+4,-1,LH,Chn Sp SA,13 Sp / 15 Chn,,20% Starter,+8,-9,+4,-1,,,15,10,9,125,[500],62,,,,,,0.92,,1,1,10,,,,SF6_Juri_2lp.png,SF6_Juri_2lp_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; DR cancel is delayed until after 2nd active frame
15,Normals and Target Combos,ground_normal,Juri_2mp,2MP,Crouching Medium Punch,600,6,4,14(15),23(24),+5,-2,LH,Sp SA,16,,,+9,-16,+13,+6,+9,+2,23,16,11,3000,[4000],1500,500 (350),250 (125),,,,1.12,,1,1,0,,,,SF6_Juri_2mp.png,SF6_Juri_2mp_hitbox.png,1f extra recovery on whiff and extends a wider hurtbox until the end of recovery; good combo tool and useful when buffered in neutral; good anti-air for horizontal approaches (hitbox is above her extended fist); SA2 cancel: +15/+8
16,Normals and Target Combos,ground_normal,Juri_2mp_fse,2MP (FSE Chain),Crouching Medium Punch,400,6,4,14(15),23(24),+5,-2,LH,Chn Sp SA,16 Sp / 18 Chn,,,+9,-16,+13,+6,,,23,16,9,750,[1000],375,,,,,,1.12,,1,1,10,,,,SF6_Juri_2mp.png,SF6_Juri_2mp_hitbox.png,Chained version during SA2 (FSE); 1f extra recovery on whiff and extends a wider hurtbox until the end of recovery; maintains juggle state vs. airborne opponents; 2f shorter hitconfirm window when chained into
17,Normals and Target Combos,ground_normal,Juri_2hp,2HP,Crouching Heavy Punch,900,8,4,23,34,+3,-11,LH,Sp SA,18,,,+7,-25,+20,+6,+7,-7,30,16,13,5000,[8000],2000,1000 (700),500 (250),,,,0.873,,1,1,0,,,,SF6_Juri_2hp.png,SF6_Juri_2hp_hitbox.png,Forces stand on hit; great anti-air but cannot hit cross-up (upward leg hurtbox is anti-air invincible on frames 8-15); Punish Counter puts airborne opponents into spinning free juggle state; all active frames are cancelable; powerful combo starter after a canceled Drive Rush hitconfirm; SA2 cancel: +22/+8
18,Normals and Target Combos,ground_normal,Juri_2hp_fse,2HP (FSE Chain),Crouching Heavy Punch,700,8,4,23,34,KD +34,-11,LH,Sp SA Jmp,16 Sp / 18 Jmp / 20 Chn,,,KD +34,-25,KD +51,+6,,,,16,11,1250,[2000],750,,,,,,0.873,,1,1,10,,,,SF6_Juri_2hp.png,SF6_Juri_2hp_hitbox.png,"Chained version of 2HP during SA2 (FSE); jump cancelable on hit only; when jump canceled, FSE air normals cause juggle state; 2f shorter CHAIN react window when chained into"
19,Normals and Target Combos,ground_normal,Juri_2lk,2LK,Crouching Light Kick,200,5,3,8,15,+3,-1,L,Chn,,,20% Starter,+7,-9,,,+7,+3,14,10,9,500,[2000],250,300 (210),150 (75),,,,0.97,,1,1,0,,,,SF6_Juri_2lk.png,SF6_Juri_2lk_hitbox.png,Chains into 5LP/2LP/2LK; becomes fully cancelable during Feng Shui Engine
20,Normals and Target Combos,ground_normal,Juri_2lk_fse,2LK (FSE Chain),Crouching Light Kick,100,5,3,8,15,+3,-1,L,Chn Sp SA,15 Sp/Chn,,20% Starter,+7,-9,+4,0,,,14,10,9,125,[500],62,,,,,,0.97,,1,1,10,,,,SF6_Juri_2lk.png,SF6_Juri_2lk_hitbox.png,Chained version during SA2 (FSE); 2f shorter special hitconfirm window when chained into; maintains juggle state vs. airborne opponents
21,Normals and Target Combos,ground_normal,Juri_2mk,2MK,Crouching Medium Kick,500,8,3,19,29,+1,-6,L,Sp SA,13,,20% Starter,+5,-20,+11,+4,+5,-2,23,16,9,2000,[4000],1000,600 (420),300 (150),,,,1.517 (1.446),1st active frame: 1.446,1,1,0,,,,SF6_Juri_2mk.png,SF6_Juri_2mk_hitbox.png,Excellent range for a cancelable low poke in neutral; SA2 cancel: +15/+8; Range: 1.517 (1st frame: 1.446); DR cancel is delayed until after active frames; has an extended hurtbox on whiff until the end of recovery
22,Normals and Target Combos,ground_normal,Juri_2mk_fse,2MK (FSE Chain),Crouching Medium Kick,300,8,3,19,29,+1,-6,L,Chn Sp SA,13 Sp / 15 Chn,,20% Starter,+5,-20,+11,+4,,,23,16,8,500,[1000],250,,,,,,1.517 (1.446),,1,1,10,,,,SF6_Juri_2mk.png,SF6_Juri_2mk_hitbox.png,Chained version during SA2 (FSE); 1f shorter hitconfirm window when chained into; maintains juggle state vs. airborne opponents; Range: 1.517 (1st frame: 1.446); DR cancel is delayed until after active frames; has an extended hurtbox on whiff until the end of recovery
23,Normals and Target Combos,ground_normal,Juri_2hk,2HK,Slash Kick,900,10,3,23,35,KD +38,-11,L,-,,,,HKD +47,-24,,,KD +38,-7,,15,13,4000,[10000],3000,1000 (700),500 (250),,,,1.798 (1.787),,1,1,0,,,,SF6_Juri_2hk.png,SF6_Juri_2hk_hitbox.png,Becomes fully cancelable during Feng Shui Engine (even when not chained into)
24,Normals and Target Combos,ground_normal,Juri_2hk_fse,2HK (FSE Chain),Slash Kick,700,10,3,23,35,KD +38,-11,L,Sp SA,17 Sp / 19 Chn,,,HKD +47,-24,KD +54,+5,,,,15,9,1000,[2500],750,,,,,,1.798 (1.787),,1,1,10,,,,SF6_Juri_2hk.png,SF6_Juri_2hk_hitbox.png,Chained version of 2HP during SA2 (FSE); maintains juggle state vs. airborne opponents; 4f shorter hitconfirm window when chained into
25,Normals and Target Combos,air_normal,Juri_jlp,j.LP,Jumping Light Punch,300,5,6,3 land,-,+6(+9),+2(+5),H,-,,,,+10(+13),-5(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,0.82,,1,1,0,,,,SF6_Juri_jlp.png,SF6_Juri_jlp_hitbox.png,"During FSE forward jump, can cancel into divekick"
26,Normals and Target Combos,air_normal,Juri_jlp_fse,j.LP (FSE Chain),Jumping Light Punch,100,5,6,3 land,-,+9,+5,H,Chn Sp,,,,+13,,,,,,13,9,9,375,,125,,,,,,0.82,,1,1,20,,,,SF6_Juri_jlp.png,SF6_Juri_jlp_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents
27,Normals and Target Combos,air_normal,Juri_jmp,j.MP,Jumping Medium Punch,500,7,5,3 land,-,+4(+13),-2(+7),H,Sp,,,,+8(+17),-11(-2),,,,,17,11,11,2500,[4000],1000,500 (350),250 (125),,,,0.79,,1,1,0,,,,SF6_Juri_jmp.png,SF6_Juri_jmp_hitbox.png,Puts airborne opponents into limited juggle state; cancelable into divekick; instant j.MP > j.214KK is a useful option against corner throw loops (much less punishable than a blocked reversal); can only be used as a fuzzy instant overhead if the opponent is in Burnout and blocks a deep j.HK
28,Normals and Target Combos,air_normal,Juri_jmp_fse,j.MP (FSE Chain),Jumping Medium Punch,300,7,5,3 land,-,-,-,H,Chn Sp,,,,,,,,,,17,11,11,,,250,,,,,,0.79,,1,1,20,,,,SF6_Juri_jmp.png,SF6_Juri_jmp_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents
29,Normals and Target Combos,air_normal,Juri_jhp,j.HP,Jumping Heavy Punch,900,12,6,3 land,-,HKD +23(+34),0(+7),H,-,,,,HKD +23(+34),-13(-6),,,,,,15,13,4000,[5000],2000,1000 (700),500 (250),,,,0.16,,100,1,0,,,,SF6_Juri_jhp.png,SF6_Juri_jhp_hitbox.png,"Cross-up; causes a spike knockdown vs. airborne opponents with no Hard Knockdown; better KD Adv. when hitting lower to the ground; Juri's collision box prevents her from connecting this on grounded opponents late in her jump arc (cannot use in safe jump setups); during FSE forward jump, can cancel into divekick; lower body projectile invuln 12-23f (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"
30,Normals and Target Combos,air_normal,Juri_jhp_fse,j.HP (FSE Chain),Jumping Heavy Punch,700,12,6,3 land,-,KD,-,H,Chn Sp,,,,,,,,,,,15,13,,,500,,,,,,0.16,,1,1,20,,,,SF6_Juri_jhp.png,SF6_Juri_jhp_hitbox.png,Chained version during SA2 (FSE); lower body projectile invuln 12-23f
31,Normals and Target Combos,air_normal,Juri_jlk,j.LK,Jumping Light Kick,300,4,6,3 land,-,+5(+10),+1(+6),H,-,,,,+9(+14),-7(-2),,,,,14,10,9,1500,[2000],500,300 (210),150 (75),,,,0.55,,1,1,0,,,,SF6_Juri_jlk.png,SF6_Juri_jlk_hitbox.png,"Cross-up; can be used as a fuzzy instant overhead (vs. Blanka, will not work after perfect safe jump j.HK timing); during FSE forward jump, can cancel into divekick"
32,Normals and Target Combos,air_normal,Juri_jlk_fse,j.LK (FSE Chain),Jumping Light Kick,100,4,6,3 land,-,-,-,H,Chn Sp,,,,,,,,,,14,10,9,,,125,,,,,,0.55,,1,1,20,,,,SF6_Juri_jlk.png,SF6_Juri_jlk_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents
33,Normals and Target Combos,air_normal,Juri_jmk,j.MK,Jumping Medium Kick,500,6,6,3 land,-,+8(+13),+4(+9),H,-,,,,+12(+17),-7(-2),,,,,17,13,11,2500,[4000],1000,500 (350),250 (125),,,,1.09,,1,1,0,,,,SF6_Juri_jmk.png,SF6_Juri_jmk_hitbox.png,"Cross-up; during FSE forward jump, can cancel into divekick; lower body projectile invuln 6-20f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"
34,Normals and Target Combos,air_normal,Juri_jmk_fse,j.MK (FSE Chain),Jumping Medium Kick,300,6,6,3 land,-,+10(+13),+6(+9),H,Chn Sp,,,,,,,,,,17,13,11,625,[1000],250,,,,,,1.09,,1,1,20,,,,SF6_Juri_jmk.png,SF6_Juri_jmk_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; lower body projectile invuln 6-20f except around attack hitbox
35,Normals and Target Combos,air_normal,Juri_jhk,7HK or 9HK,Jumping Heavy Kick,800,10,6,3 land,-,+6(+15),+2(+11),H,-,,,,+10(+19),-11(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,0.96,,1,1,0,,,,SF6_Juri_jhk.png,"SF6_Juri_jhk_hitbox_preview.png, SF6_Juri_jhk_hitbox_1.png, SF6_Juri_jhk_hitbox_2.png, SF6_Juri_jhk_hitbox_3.png","During FSE forward jump, can cancel into divekick; lower body projectile invuln 10-13f and kicking leg 10-19f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
