row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
2,Normals and Target Combos,ground_normal,Juri_5lp_fse,5LP (FSE Chain),Standing Light Punch,100,4,4,7,14,+5,-2,LH,Chn Sp SA,14 Sp / 16 Chn,,20% Starter,+9,-9,+4,-3,,,16,9,9,125,[500],62,,,,,,0.85,,1,1,10,,,,SF6_Juri_5lp.png,SF6_Juri_5lp_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; DR cancel is delayed until after 3rd active frame
4,Normals and Target Combos,ground_normal,Juri_5mp_fse,5MP (FSE Chain),Standing Medium Punch,400,6,4,12,21,+7,+2,LH,Chn Sp SA,16 Sp / 18 Chn,,,+11,-14,+12,+7,,,23,18,9,750,[1000],375,,,,,,0.93,,1,1,10,,,,SF6_Juri_5mp.png,SF6_Juri_5mp_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; 2f shorter hitconfirm window when chained into; special/DR cancel is delayed until after 2nd active frame
6,Normals and Target Combos,ground_normal,Juri_5hp_fse,5HP (FSE Chain),Standing Heavy Punch,600,10,3,24,36,KD +29,-5,LH,Chn Sp SA,17 Sp / 19 Chn,,,KD +29,-25,KD +46,+12,,,,22,12,1250,[2000],500,,,,,,1.588 (1.49),,1,1,10,,,,SF6_Juri_5hp.png,SF6_Juri_5hp_hitbox.png,Chained version during SA2 (FSE); forces stand on hit; maintains juggle state vs. airborne opponents; 1f shorter hitconfirm window when chained into
8,Normals and Target Combos,ground_normal,Juri_5lk_fse,5LK (FSE Chain),Standing Light Kick,100,5,3,9,16,+2,-3,LH,Chn Sp SA,13 Sp / 15 Chn,,20% Starter,+6,-10,+4,-1,,,13,7,9,125,[500],62,,,,,,1.16,,1,1,10,,,,SF6_Juri_5lk.png,SF6_Juri_5lk_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; special cancel is delayed until after 2nd active frame
10,Normals and Target Combos,ground_normal,Juri_5mk_fse,5MK (FSE Chain),Standing Medium Kick,"300,200",5(8),2(1)3,17,27,+3,-4,LH,Chn Sp SA,29(15) Sp / 31(17) Chn,,,+7,-21 / -18,+13 / +13,+5 / +6,,,"23,23","15,16","9,9",500x2,[750x2],250x2,,,,,,1.427 (0.74),,"1,1","1,1","10,11",,,,"SF6_Juri_5mk_1.png, SF6_Juri_5mk_2.png","SF6_Juri_5mk_hitbox_preview.png, SF6_Juri_5mk_hitbox_1.png, SF6_Juri_5mk_hitbox_2.png","Chained version during SA2 (FSE); 1st hit has 4f less hitstun (cannot combo into 214HK); when chained into, 4f shorter hitconfirm window (2f if 2nd hit only); maintains juggle state vs. airborne opponents"
12,Normals and Target Combos,ground_normal,Juri_5hk_fse,5HK (FSE Chain),Standing Heavy Kick,700,17,4,19,39,KD +34,-3,LH,Chn Sp SA,26 Sp/Chn (PC: 38),,20% Starter,KD +34,-21,+7 (KD +39),+2,,,,20,11,1500,[2500],1000,,,,,,2.264 (2.19),,1,1,10,,,,SF6_Juri_5hk.png,SF6_Juri_5hk_hitbox.png,"Becomes fully cancelable during FSE, even when not chained into; not airborne despite the animation; maintains juggle state vs. airborne opponents; 2f shorter hitconfirm window when chained into; special/DR cancel is delayed until after 5th recovery frame; extends a hurtbox 1f before active that is vulnerable to projectiles"
14,Normals and Target Combos,ground_normal,Juri_2lp_fse,2LP (FSE Chain),Crouching Light Punch,100,4,3,8,14,+4,-1,LH,Chn Sp SA,13 Sp / 15 Chn,,20% Starter,+8,-9,+4,-1,,,15,10,9,125,[500],62,,,,,,0.92,,1,1,10,,,,SF6_Juri_2lp.png,SF6_Juri_2lp_hitbox.png,Chained version during SA2 (FSE); maintains juggle state vs. airborne opponents; DR cancel is delayed until after 2nd active frame
16,Normals and Target Combos,ground_normal,Juri_2mp_fse,2MP (FSE Chain),Crouching Medium Punch,400,6,4,14(15),23(24),+5,-2,LH,Chn Sp SA,16 Sp / 18 Chn,,,+9,-16,+13,+6,,,23,16,9,750,[1000],375,,,,,,1.12,,1,1,10,,,,SF6_Juri_2mp.png,SF6_Juri_2mp_hitbox.png,Chained version during SA2 (FSE); 1f extra recovery on whiff and extends a wider hurtbox until the end of recovery; maintains juggle state vs. airborne opponents; 2f shorter hitconfirm window when chained into
18,Normals and Target Combos,ground_normal,Juri_2hp_fse,2HP (FSE Chain),Crouching Heavy Punch,700,8,4,23,34,KD +34,-11,LH,Sp SA Jmp,16 Sp / 18 Jmp / 20 Chn,,,KD +34,-25,KD +51,+6,,,,16,11,1250,[2000],750,,,,,,0.873,,1,1,10,,,,SF6_Juri_2hp.png,SF6_Juri_2hp_hitbox.png,"Chained version of 2HP during SA2 (FSE); jump cancelable on hit only; when jump canceled, FSE air normals cause juggle state; 2f shorter CHAIN react window when chained into"
20,Normals and Target Combos,ground_normal,Juri_2lk_fse,2LK (FSE Chain),Crouching Light Kick,100,5,3,8,15,+3,-1,L,Chn Sp SA,15 Sp/Chn,,20% Starter,+7,-9,+4,0,,,14,10,9,125,[500],62,,,,,,0.97,,1,1,10,,,,SF6_Juri_2lk.png,SF6_Juri_2lk_hitbox.png,Chained version during SA2 (FSE); 2f shorter special hitconfirm window when chained into; maintains juggle state vs. airborne opponents
