row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,ken_5lp,5LP,Standing Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.375,0.333,SF6_Ken_5LP.png,SF6_Ken_5lp_hitbox.png,Chains into 5LP/2LP/2LK; Run~Stop cancel: -14/-19
2,Normals and Target Combos,ground_normal,ken_5mp,5MP,Standing Medium Punch,600,5,4,14,22,+4,-2,LH,Sp SA TC,16 (17 TC),,,+8,-16,+12,+6,+8,+2,22,16,11,3000,[4000],1500,500 (350),250 (125),,,,0.914,Short range but strong 5f punish starter if it reaches,1,1,0,,,,SF6_Ken_5mp.png,SF6_Ken_5mp_hitbox.png,Easily hitconfirmable into Target Combo; farthest ~40% of hitbox is shifted upward (can whiff against some crouching attack hurtboxes in whiff punish scenarios); extends a forward leg hurtbox until end of recovery; Run~Stop cancel: -6/-12
3,Normals and Target Combos,ground_normal,ken_5hp,5HP,Standing Heavy Punch,800,10,5,17,31,+3,-2,LH,Sp SA,19,,,+7,-20,+15,+10,+7,+2,25,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.491,,1,1,0,,,,SF6_Ken_5hp.png,SF6_Ken_5hp_hitbox.png,"Great poke in neutral; large number of active frames make it a great meaty; when used out of Drive Rush, links into 2MK on hit or gives pressure on block; Run~Stop cancel: -3/-8"
4,Normals and Target Combos,ground_normal,ken_5lk,5LK,Standing Light Kick,300,5,2,12,18,0,-2,LH,Sp SA,12,,20% Starter,+4,-12,+3,+1,+4,+2,14,12,9,500,[2000],250,300 (210),150 (75),,,,1.32,,1,1,0,,,,SF6_Ken_5lk.png,SF6_Ken_5lk_hitbox.png,Incredible range for a light normal and a great whiff punish; Run~Stop cancel: -14/-16; DR cancel is delayed until after 2nd active frame
5,Normals and Target Combos,ground_normal,ken_5mk,5MK,Standing Medium Kick,600,8,3,20,30,+3,-5,LH,SA TC,15 SA / 19 TC,,,+7,-21,,,+7,-1,26,18,11,4000,[6000],2000,700 (490),350 (175),,,,1.73,,1,1,0,,,,SF6_Ken_5mk.png,SF6_Ken_5mk_hitbox.png,"Has good forward movement; whiffs on crouching opponents at farther ranges unless they extend a vertical hurtbox; hitconfirmable Target Combo follow-up makes it strong in neutral; Super is much harder to hitconfirm but can buffer into a safe SA2 in neutral; front leg hurtbox is raised on frames 4-15, allowing it to dodge some low attacks"
6,Normals and Target Combos,ground_normal,ken_5hk,5HK,Standing Heavy Kick,800,12,2,23(25),36(38),+1,-5,LH,-,,,30% Starter,KD +56 Spin,-25,,,+5,-1,26,20,13,6000,[8000],3000,1000 (700),500 (250),,,,1.921 (1.898),,1,1,0,,,,SF6_Ken_5hk.png,SF6_Ken_5hk_hitbox.png,"Excellent ranged poke and whiff punish tool; even at max range, can convert Punish Counter spinning juggle state into 623KK or Drive Rush 5HP juggles; 2 extra recovery frames on whiff; extends a hurtbox 1f before active that is vulnerable to projectiles"
7,Normals and Target Combos,ground_normal,ken_2lp,2LP,Crouching Light Punch,300,4,2,9,14,+5,-1,LH,Chn Sp SA,12 (DR: 13),,20% Starter,+9,-9,+4,-2,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,0.89,,1,1,0,,0.351,0.330,SF6_Ken_2lp.png,SF6_Ken_2lp_hitbox.png,Primary combo starter; chains into 5LP/2LP/2LK; Run~Stop cancel: -12/-18; DR cancel is delayed until after 1st recovery frame; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,ken_2mp,2MP,Crouching Medium Punch,700,6,3,14(16),22(24),+3,0,LH,Sp SA,15,,,+7,-15,+10,+7,+7,+4,20,17,11,3000,[4000],1500,600 (420),250 (125),,,,1.12,,1,1,0,,,,SF6_Ken_2mp.png,SF6_Ken_2mp_hitbox.png,Good buffer tool and great for pressure out of Drive Rush; Run~Stop cancel: -8/-11; 2f extra recovery on whiff and extends a wider hurtbox until the end of recovery; topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,ken_2hp,2HP,Crouching Heavy Punch,800,8,4,24,35,+3,-7,LH,Sp SA,16,,,+7,-26,+21,+11,+7,-3,31,21,13,5000,[8000],2000,1000 (700),500 (250),,,,1.148,,1,1,0,,,,SF6_Ken_2hp.png,"SF6_Ken_2hp_hitbox_preview.png, SF6_Ken_2hp_hitbox_1.png, SF6_Ken_2hp_hitbox_2.png",Forces stand; decent anti-air (cannot hit cross-up); only first 2 active frames are cancelable; cancel into 236HK on block leaves a 5f gap and is DI-safe; Run~Stop cancel: +3/-7
10,Normals and Target Combos,ground_normal,ken_2lk,2LK,Crouching Light Kick,200,5,3,10,17,+1,-3,L,Chn,,,20% Starter,+5,-11,,,+5,+1,14,10,9,500,[2000],250,300 (210),150 (75),,,,1.04,,1,1,0,,,,SF6_Ken_2lk.png,SF6_Ken_2lk_hitbox.png,Chains into 5LP/2LP/2LK
11,Normals and Target Combos,ground_normal,ken_2mk,2MK,Crouching Medium Kick,500,7,3,19,28,-2,-6,L,Sp SA,13,,20% Starter,+2,-20,+8,+4,+2,-2,20,16,9,2000,[4000],1000,600 (420),300 (150),,,,1.46,,1,1,0,,,,SF6_Ken_2mk.png,SF6_Ken_2mk_hitbox.png,Run~Stop cancel: -8/-12; Range: 1.46; DR cancel is delayed until after active frames
12,Normals and Target Combos,ground_normal,ken_2hk,2HK,Low Spinning Sweep,900,8,3,24(27),34(37),KD +40,-10,L,-,,,,HKD +47,-26,,,KD +40,-6,,18,13,4000,[10000],3000,1000 (700),500 (250),,,,1.645,,1,1,3,,,,SF6_Ken_2hk.png,SF6_Ken_2hk_hitbox.png,"Has juggle potential; on block, always plays out a fixed 27f recovery (cannot be made safer with meaty timing)"
13,Normals and Target Combos,air_normal,ken_jlp,j.LP,Jumping Light Punch,300,5,7,3 land,-,+9,+5,H,-,,,,+13,-2,,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,0.60,,1,1,0,,,,SF6_Ken_jlp.png,SF6_Ken_jlp_hitbox.png,
14,Normals and Target Combos,air_normal,ken_jmp,j.MP,Jumping Medium Punch,700,6,4,3 land,-,+9(+11),+5(+7),H,Sp,,,,+13(+15),-4(-2),,,,,15,11,11,2500,[4000],1000,500 (350),250 (125),,,,1.09,,1,1,2,,,,SF6_Ken_jmp.png,SF6_Ken_jmp_hitbox.png,"Puts airborne opponents into limited juggle state; cancels to j.214K with a long cancel window; lower body projectile invuln 6-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
15,Normals and Target Combos,air_normal,ken_jhp,j.HP,Jumping Heavy Punch,800,9,6,3 land,-,+7(+15),+3(+11),H,-,,,,+11(+19),-10(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,0.61,,1,1,0,,,,SF6_Ken_jhp.png,SF6_Ken_jhp_hitbox.png,Spike Knockdown on counter-hit/Punish Counter vs. airborne opponents; great downward hitbox for close jump-ins and neutral jump throw baits; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
