row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,lily_5lp,5LP,Standing Light Punch,350,5,3,8,15,+6,-1,LH,Chn Sp SA,13,,20% Starter,+10,-9,+6,-1,+10,+3,17,10,9,500,[2000],250,300 (210),150 (75),,,,1.23,,1,1,0,,,,SF6_Lily_5lp.png,SF6_Lily_5lp_hitbox.png,Chains into 5LP/5LK/2LP/2LK; more damage than other light attacks; DR cancel is delayed until after 2nd active frame
2,Normals and Target Combos,ground_normal,lily_5mp,5MP,Standing Medium Punch,800,9,4,17,29,+1,-4,LH,-,,,,+5,-19,,,+5,0,22,17,11,4000,[6000],2000,500 (350),250 (125),,,,1.72 (1.58),,1,1,0,,,,SF6_Lily_5mp.png,"SF6_Lily_5mp_hitbox_preview.png, SF6_Lily_5mp_hitbox_1.png, SF6_Lily_5mp_hitbox_2.png",Strong poke with great range and hitbox priority; no head hurtbox on frames 8-25
3,Normals and Target Combos,ground_normal,lily_5hp,5HP,Standing Heavy Punch,900,10,3,22,34,0,-5,LH,Sp SA,19,,,KD +84 Crumple,-23,+14,+9,+4,-1,25,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.506,,1,1,0,,,,SF6_Lily_5hp.png,"SF6_Lily_5hp_hitbox_preview.png, SF6_Lily_5hp_hitbox_1.png, SF6_Lily_5hp_hitbox_2.png",Punish Counter crumple state is +5 before opponent becomes airborne and +28 to land a juggle follow-up; Punish Counter puts airborne opponents into limited juggle state (requires very precise timing); extends a large hurtbox 1f before active that is vulnerable to projectiles; no head hurtbox on frames 9-34; special/DR cancel is delayed until after 2nd active frame; Lily's best link after Punish Counter 5LP due to its range and damage
4,Normals and Target Combos,ground_normal,lily_5lk,5LK,Standing Light Kick,300,4,3,8,14,+5,-1,LH,Chn Sp SA,13,,20% Starter,+9,-13,+6,0,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,0.82,,1,1,0,,0.425,0.436,SF6_Lily_5lk.png,SF6_Lily_5lk_hitbox.png,Chains into 5LP/5LK/2LP/2LK; true blockstring when chained from 2LK; Lily's fastest button but incredibly short range
5,Normals and Target Combos,ground_normal,lily_5mk,5MK,Standing Medium Kick,600,7,3,15,24,+2,-1,LH,Sp SA,15,,,+6,-16,+10,+7,+6,+3,20,17,11,3000,[4000],1500,700 (490),350 (175),,,,1.293,,1,1,0,,,,SF6_Lily_5mk.png,SF6_Lily_5mk_hitbox.png,Combo tool (primarily for counter-hit links); decent neutral buffer that can go over low pokes and has low whiff recovery
6,Normals and Target Combos,ground_normal,lily_5hk,5HK,Standing Heavy Kick,1000,14,4,21,38,+1,-5,LH,-,,,,KD +47,-23,,,+5,-1,26,20,13,6000,[10000],3000,1000 (700),500 (250),,,,1.962,,1,1,0,,,,SF6_Lily_5hk.png,SF6_Lily_5hk_hitbox.png,Solid poke with good range and high pushback; useful whiff punish due to the Punish Counter knockdown; Punish Counter puts airborne opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles
7,Normals and Target Combos,ground_normal,lily_2lp,2LP,Crouching Light Punch,300,6,3,8,16,+6,-1,LH,Chn Sp SA,13,,20% Starter,+10,-9,+6,-1,+10,+3,17,10,9,500,[2000],250,300 (210),150 (75),,,,1.32,,1,1,0,,,,SF6_Lily_2lp.png,SF6_Lily_2lp_hitbox.png,Chains into 5LP/5LK/2LP/2LK; great range for a light attack; topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air); DR cancel is delayed until after 2nd active frame
8,Normals and Target Combos,ground_normal,lily_2mp,2MP,Crouching Medium Punch,700,8,3,18,28,+1,-3,LH,SA,15 (SA),,,+5,-19,,,+5,+1,22,18,11,4000,[6000],2000,500 (350),250 (125),,,,1.438,,1,1,0,,,,SF6_Lily_2mp.png,SF6_Lily_2mp_hitbox.png,Strong poke with great hitbox priority; can buffer into Super Arts (SA2 is likely to whiff if buffered as a counterpoke); topmost hurtbox on frames 1-10 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,lily_2hp,2HP,Crouching Heavy Punch,500x2,10,"2,4",22,37,0,-2,LH,Sp SA (2nd),30(18),,,+4,-26(-24),+15,+13,+4,+2,28(26),26(24),"10,13",2500x2,[4000x2],1000x2,500x2 (350x2),250x2 (125x2),,,,1.71 (1.18/0.89),,"1,1","0,1","0,1",,,,SF6_Lily_2hp.png,"SF6_Lily_2hp_hitbox_1.png, SF6_Lily_2hp_hitbox_2_3_preview.png, SF6_Lily_2hp_hitbox_2.png, SF6_Lily_2hp_hitbox_3.png",Counter-hit/Punish Counter puts airborne opponents into limited juggle state; incredible anti-air hitbox but cannot hit cross-up; ; special/DR cancel is delayed until after 4th active frame (2nd active frame of 2nd hit); has an extended hurtbox on whiff until the end of recovery
10,Normals and Target Combos,ground_normal,lily_2lk,2LK,Crouching Light Kick,200,5,2,12,18,+2,-2,L,Chn,,,20% Starter,+6,-12,,,+6,+2,16,12,9,500,[2000],250,300 (210),150 (75),,,,1.13,,1,1,0,,,,SF6_Lily_2lk.png,SF6_Lily_2lk_hitbox.png,Chains into 5LP/5LK/2LP/2LK
