row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,Luke_5lp,5LP,Standing Light Punch,300,7,2,11(14),19(22),+2,-3,LH,Sp SA TC,15 (14 TC),,20% Starter,+6,-11,+4,-1,+6,+1,15,10,11,500,[2000],250,300 (210),150 (75),,,,1.38 (1.31),,1,1,0,,,,SF6_Luke_5lp.png,SF6_Luke_5lp_hitbox.png,"Long range for a cancelable light normal, good whiff punish tool; 3f extra recovery on whiff; greatly extends hurtbox for 3f before active, making it susceptible to counterpokes; special/DR cancel is delayed until after active frames"
2,Normals and Target Combos,ground_normal,Luke_5mp,5MP,Standing Medium Punch,600,9,4,16,28,+2,-3,LH,SA TC,16 SA / 17 TC,,,+6,-18,,,+6,+1,22,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.673 (1.553),,1,1,0,,,,SF6_Luke_5mp.png,SF6_Luke_5mp_hitbox.png,Good whiff punish tool when buffered into Target Combo or Super
3,Normals and Target Combos,ground_normal,Luke_5hp,5HP,Standing Heavy Punch,800,10,3,23(22),35(34),+1,-5,LH,Sp SA,17,,,+5,-23,+17,+10,+5,-1,27,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.687 (1.462),,1,1,0,,,,SF6_Luke_5hp.png,"SF6_Luke_5hp_hitbox.png,SF6_Luke_5hp_hitbox_2.png,SF6_Luke_5hp_hitbox_3.png",Good whiff punish tool due to its long range and cancelability; extends a vertical collision box to reduce the risk of whiffing under opponent mid-juggle
4,Normals and Target Combos,ground_normal,Luke_5lk,5LK,Standing Light Kick,300,5,2,12,18,+3,-2,LH,Sp SA,12 (DR: 13),,20% Starter,+7,-12,+5,0,+7,+2,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.26,,1,1,0,,,,SF6_Luke_5lk.png,SF6_Luke_5lk_hitbox.png,DR cancel is delayed until after 1st recovery frame
5,Normals and Target Combos,ground_normal,Luke_5mk,5MK,Standing Medium Kick,700,8,3,16(19),26(29),+1,-3,LH,-,,,,+5,-18,,,+5,+1,24,20,11,4000,[6000],2000,700 (490),350 (175),,,,1.53,,1,1,0,,,,SF6_Luke_5mk.png,SF6_Luke_5mk_hitbox.png,"Good neutral poke; 3f extra recovery on whiff; lifts up leg hurtbox on frames 4-11, making it strong vs. low attacks"
6,Normals and Target Combos,ground_normal,Luke_5hk,5HK,Standing Heavy Kick,900,10,7,16,32,+2(+8),-5(+1),LH,-,,,,KD +49(+55),-21(-15),,,+6(+12),-1(+5),25,18,13,6000,[10000],4000,1000 (700),500 (250),,,,1.663 (1.304),,1,1,0,,,,SF6_Luke_5hk.png,"SF6_Luke_5hk_hitbox.png, SF6_Luke_5hk_hitbox_2.png, SF6_Luke_5hk_hitbox_3.png",8-15f Low Crush (feet are strike invincible); puts airborne opponents into limited juggle state; Punish Counter launches opponent high into a limited juggle state; can be spaced for significantly better advantage; extends a hurtbox 1f before active that is vulnerable to projectiles; first 2 active frames have shorter range (makes it easier to space properly); causes camera shake effect on block when connecting with final active frame (easier to tell when Luke has advantage)
7,Normals and Target Combos,ground_normal,Luke_2lp,2LP,Crouching Light Punch,300,4,2,10,15,+4,-2,LH,Chn Sp SA,13,,20% Starter,+8,-10,+4,-2,+8,+2,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.11,,1,1,0,,0.351,0.330,SF6_Luke_2lp.png,SF6_Luke_2lp_hitbox.png,"Chains into 2LP/2LK; Luke's only 4f normal, useful in 3-hit light confirms; DR cancel is delayed until after 1st recovery frame; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
8,Normals and Target Combos,ground_normal,Luke_2mp,2MP,Crouching Medium Punch,600,6,2,14(17),21(24),+5,+1,LH,Sp SA,16,,15% Starter,+9,-14,+11,+7,+9,+5,21,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.24,,1,1,0,,,,SF6_Luke_2mp.png,SF6_Luke_2mp_hitbox.png,3f extra recovery on whiff; great pressure tool with high reward on counter-hit or when canceled to Drive Rush; has an extended hurtbox on whiff until the end of recovery; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,Luke_2hp,2HP,Crouching Heavy Punch,800,7,5,24,35,+1,-13,LH,Sp SA,15,,Combo (5% Extra),+5,-27,+20,+6,+5,-9,30,16,13,5000,[8000],2000,1000 (700),500 (250),,,,0.93,,1,1,0,,,,SF6_Luke_2hp.png,"SF6_Luke_2hp_hitbox.png,SF6_Luke_2hp_hitbox_2.png,SF6_Luke_2hp_hitbox_3.png",Forces stand on hit; only the first active frame is cancelable; good anti-air hitbox but cannot hit cross-ups
10,Normals and Target Combos,ground_normal,Luke_2lk,2LK,Crouching Light Kick,200,5,3,11,18,0,-3,L,Chn,,,20% Starter,+4,-12,,,+4,+1,14,11,9,500,[2000],250,300 (210),150 (75),,,,1.05,,1,1,0,,,,SF6_Luke_2lk.png,SF6_Luke_2lk_hitbox.png,Chains into 2LP/2LK
