row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
42,Specials,special,Luke_236pp_pp,236PP~PP,Fatal Shot,1000(800),8,-,42,50,KD +46~58,-21,LH,-,,150,,KD +46~58,-32,,,,,,39~43 total,10,1000,[7000],-10000,1000 (700),500 (250),,,,,,1,0,11,0.2,,,SF6_Luke_236pp_pp.png,"SF6_Luke_236pp_pp_hitbox.png, SF6_Luke_236pp_pp_hitbox_2.png","1-hit OD projectile; costs 1 extra Drive bar; () refers to scaled damage after 236PP connects; causes a wallsplat on hit (can combo near the corner, or whiff 236K~P to safely gain ground); extends a projectile invuln hurtbox on frames 10-32 (more vulnerable to ranged jumps and anti-projectile moves)"
47,Specials,special,Luke_623pp_pp,623PP~PP,Slam Dunk,600,16,3,14+16 land,48,KD +14,-,H,-,,,,KD +14,,,,,,,,13,,,-10000,700 (490),,,,,,,10,10,50,,,,SF6_Luke_623pp_pp.png,SF6_Luke_623pp_pp_hitbox.png,Follow-up on hit only for 1 additional Drive bar; can whiff against high juggled opponent; counts as a separate hit for damage scaling
49,Specials,special,Luke_214lp_hold,214[LP],LP Flash Knuckle (hold),"600,200",26,"2,2",25(26),54(55),KD +54,-8,LH,SA3,,"150,50",Both hits apply scaling,KD +54,-27,,,,,,21 total,"15,5","3000,1000","[4000,2000]","2000,250","500,100 (350,70)","250,50 (125,25)",,,,1.669 (1.618),,"0,3","0,3","2,2",,,,SF6_Luke_214lp_hold.png,SF6_Luke_214lp_hold_hitbox.png,Puts opponent into limited juggle state; active frames 3-4 can nullify normal 1-hit projectiles; canceling to SA3 will cause juggle to whiff; 1f more recovery on hit/block; no head hurtbox on frames 6-29 for improved anti-air
50,Specials,special,Luke_214lp_perfect,pf.214[LP],LP Flash Knuckle (perfect),"700,200",26,"2,2",22(23),51(52),KD +56,-8,LH,SA3,,"175,50",Both hits apply scaling,KD +56,-24,,,,,,18 total,"15,5","3000,1000","[4000,2000]","2000,250","500,200 (350,140)","250,100 (125,50)",,,,1.669 (1.618),,"0,3","0,3","2,2",,,,SF6_Luke_214lp_perfect.png,SF6_Luke_214lp_hold_hitbox.png,Hold LP 18-20f for perfect version; launches opponent high into a limited juggle state; active frames 3-4 can nullify normal 1-hit projectiles; canceling to SA3 will cause juggle to whiff; 1f more recovery on hit/block; no head hurtbox on frames 6-29 for improved anti-air
52,Specials,special,Luke_214mp_hold,214[MP],MP Flash Knuckle (hold),"800,200",29,"2,2",26,58,KD +54(+67),-3,LH,SA3,20,"200,50",Both hits apply scaling,KD +54(+67),-28,,,,,,27 total,"12,5","5000,1000","[6000,2000]","2000,0","700,100 (490,70)","350,50 (175,25)",,,,2.006 (1.943),,1,"1,0","7,8",,,,SF6_Luke_214mp_hold.png,SF6_Luke_214mp_hold_hitbox.png,Wall Bounce on hit for a limited juggle state; active frames 3-4 can nullify normal 1-hit projectiles; higher KD Adv when farther from wall (opponent may bounce over Luke's head if too close to the wall); SA3 cancel only juggles properly in corner; 1f more recovery on hit/block; cannot combo naturally when canceled from 2HP
53,Specials,special,Luke_214mp_perfect,pf.214[MP],MP Flash Knuckle (perfect),"850,250",29,"2,2",26(27),58(59),KD +53(+66),-3,LH,SA3,18,"213,63",,KD +53(+66),-28,,,,,,27 total,"12,5","5000,1000","[6000,2000]","2000,0 (1000,0)","700,200 (490,140)","350,100 (175,50)",,,,2.006 (1.943),,1,"1,0","7,8",,,,SF6_Luke_214mp_perfect.png,SF6_Luke_214mp_hold_hitbox.png,Hold MP 18-20f for perfect version; Wall Bounce on hit for a limited juggle state; active frames 3-4 can nullify normal 1-hit projectiles; higher KD Adv. when farther from wall (opponent may bounce over Luke's head if too close to the wall); SA3 cancel only juggles properly in corner; 1f more recovery on hit/block; perfect timing allows natural combo from 2HP cancel
55,Specials,special,Luke_214hp_hold,214[HP],HP Flash Knuckle (hold),"1000,300",33,"2,2",24(25),60,KD +64,+4,LH,SA3,25,"250,75",Both hits apply scaling,KD +64,-26,,,,,,32 total,"15 / 17,5","6000,1000","[7000,2000]",1500x2,"800,300 (560,210)","400,150 (200,75)",,,,2.422 (2.336),,"1,1","1,1","10,11",,,,SF6_Luke_214hp_hold.png,SF6_Luke_214hp_hold_hitbox.png,1f extra recovery on hit/block; active frames 3-4 can nullify normal 1-hit projectiles; cancelable into SA3 on reaction if opponent attempts a Drive Impact; pulls back hurtbox on frames 5-25; leaves opponent close on block for a 2LK~2LP hitconfirm or a 1f microwalk into throw (slightly longer if opponent walks back)
56,Specials,special,Luke_214hp_perfect,pf.214[HP],HP Flash Knuckle (perfect),"1200,400",33,"2,2",24(25),60,KD +64,+4,LH,SA3,30,"300,100",Both hits apply scaling,KD +64,-26,,,,,,32 total,"15 / 17,5","6000,1000","[7000,2000]",1500x2,"800,400 (560,280)","400,200 (200,100)",,,,2.422 (2.336),,"1,1","1,1","10,11",,,,SF6_Luke_214hp_perfect.png,SF6_Luke_214hp_hold_hitbox.png,Hold HP 18-20f for perfect version; active frames 3-4 can nullify normal 1-hit projectiles; 1f more recovery on hit/block; cancelable into SA3 on reaction if opponent attempts a Drive Impact; pulls back hurtbox on frames 5-25; leaves opponent close on block for a 2LK~2LP hitconfirm or a 1f microwalk into throw (slightly longer if opponent walks back)
58,Specials,special,Luke_214pp_pp,214PP~PP,DDT,2500,1,-,-,161,HKD +12,-,-,-,,,,HKD +12,,,,,,,,,,,-10000,3000 (2100),,,,,,,,,10,,,,SF6_Luke_214pp_pp.png,SF6_Luke_214pp_pp_hitbox.png,"Costs 1 extra Drive bar on 214PP 1st hit only (cannot activate on block or when armor absorbed); leaves Luke close enough to walk in for a strike/throw mixup; counts as a separate hit from 214PP for damage scaling; in juggles, only connects on opponents low to the ground and will not come out if opponent is juggled higher"
60,Specials,special,Luke_j214p_hold,j.214[P],Aerial Flash Knuckle (hold),1000,23,6,15 land,-,KD ~,-30(-21),LH,-,,250,,KD ~,-46(-32),,,,,,18,15,7000,[9000],2000,800 (560),400 (200),,,Until Land (FKD),1.82 (1.49),,1,1,15,,,,SF6_Luke_j214p_hold.png,SF6_Luke_j214p_hold_hitbox.png,Can be input during forward/neutral jump (or back jump when canceled from j.MP); the final 12 recovery frames are in a crouching state; puts the opponent into a limited juggle state (can follow-up with 623LP if opponent is juggled at max height)
