row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
34,Specials,special,mai_236lp_flame,236LP,Kachousen (Flame),300x2,16,-,29,45,+1,-3,LH,SA3,4,75x2,,+5,-8,,,,,31 total,27 total,"8,8",1250x2,[1500x2],500x2,300x2 (210x2),150x2 (75x2),,,,,,"1,1","1,0","1,2",0.04,,,SF6_Mai_236p_flame.png,SF6_Mai_236p_hold_hitbox.png,Enhanced version that costs 1 Flame Stock; slowest travel speed; 2-hit standard projectile (cannot be dissipated by strikes); can hold the button for 19f to charge to a stronger version; startup can increase up to 23f when partially held; only the first hit is cancelable to SA3; puts airborne opponents into a limited juggle state; Counter-hit/Punish Counter advantage carries through both hits; Mai has an extended hurtbox vulnerable to strikes on her leg (3-45f) and arm (16-42f)
36,Specials,special,mai_236mp_flame,236MP,Kachousen (Flame),300x2,14,-,31,45,-1,-5,LH,SA3,4,75x2,,+3,-10,,,,,31 total,27 total,"8,8",1250x2,[1500x2],500x2,300x2 (210x2),150x2 (75x2),,,,,,"1,1","1,0","1,2",0.05,,,SF6_Mai_236p_flame.png,SF6_Mai_236p_flame_hitbox.png,Enhanced version that costs 1 Flame Stock; medium travel speed; 2-hit standard projectile (cannot be dissipated by strikes); can hold the button for 19f to charge to a stronger version; startup can increase up to 22f when partially held; only the first hit is cancelable to SA3; puts airborne opponents into a limited juggle state; Counter-hit/Punish Counter advantage carries through both hits; Mai has an extended hurtbox vulnerable to strikes on her leg (3-45f) and arm (14-40f)
38,Specials,special,mai_236hp_flame,236HP,Kachousen (Flame),300x2,12,-,33,45,-3,-7,LH,SA3,4,75x2,,+1,-12,,,,,31 total,27 total,"8,8",1250x2,[1500x2],500x2,300x2 (210x2),150x2 (75x2),,,,,,"1,1","1,0","1,2",0.07,,,SF6_Mai_236p_flame.png,SF6_Mai_236p_flame_hitbox.png,Enhanced version that costs 1 Flame Stock; fastest travel speed; 2-hit standard projectile (cannot be dissipated by strikes); can hold the button for 19f to charge to a stronger version; startup can increase up to 20f when partially held; only the first hit is cancelable to SA3; puts airborne opponents into a limited juggle state; Counter-hit/Punish Counter advantage carries through both hits; Mai has an extended hurtbox vulnerable to strikes on her leg (3-45f) and arm (12-38f)
40,Specials,special,mai_236pp_flame,236PP,Kachousen (Flame),"300x2,(200)",12,-,30,42,+3,+1,LH,SA2 SA3,4,"75x2,(50)",20% Starter; Combo (2 hits),+7,-8,,,,,"34 total,(25)","32 total,(21)","8,8,(8)","1250x2,1000","[1500x2,2500]",-20000,300x3 (210x3),150x3 (75x3),,,,,,"1,1,1","1,0,1","5,6,6",0.05,,,SF6_Mai_236pp_flame.png,"SF6_Mai_236pp_hitbox.png, SF6_Mai_236pp_hitbox_2.png","Enhanced version that costs 1 Flame Stock; 2-hit OD projectile (cannot be dissipated by strikes); bounces upward on contact with the opponent, then drops downward for a follow-up hit; () refers to damage/hitstun values of the bouncing fan follow-up on hit or block; can hold the button for 19f for a charged version that throws 2 fans; startup can increase up to 21f when partially held; only the first hit is cancelable to SA2/SA3; puts airborne opponents into a limited juggle state; Mai has an extended hurtbox vulnerable to strikes on her leg (12-37f) and upper body (15-27f); frame gap before follow-up bounce: 24f stand / 30f crouch (on hit), 26f stand / 32f crouch (on block); all gaps are 1f smaller vs. standing Dee Jay, 2f smaller vs. standing JP/Marisa/Sagat/Zangief; the bouncing fan does not trigger proximity guard (allowing back walk) and counts as an air attack (allows anti-air invuln moves to pass through)"
41,Specials,special,mai_236p_hold,236[P],Kachousen (Hold),"500,(200)",32,-,32,64,-1,-5,LH,SA3,4,"125,(50)",20% Starter,+3,-22,,,,,"32,(25)","28,(21)","8,(8)","2500,1000","[3000,2500]",1000x2,"600,300 (420,210)","300,150 (150,75)",,,,,,"1,1","1,1","1,2",LP 0.04 / MP 0.05 / HP 0.07,,,SF6_Mai_236p_hold.png,"SF6_Mai_236p_hold_hitbox.png, SF6_Mai_236p_hold_hitbox_2.png","Charged version acts as a standard 1-hit projectile (does not dissipate on contact with strike hitboxes); puts airborne opponents into a limited juggle state; bounces upward on contact with the opponent, then drops downward for a follow-up hit; () refers to damage/hitstun values of the bouncing fan follow-up on hit or block; the listed frame advantage refers to the first hit at point blank range before the follow-up connects; any hit that connects after the follow-up bounce overwrites the fan's hitstun/blockstun; projectile speed depends on button strength (LP slow / MP medium / HP fast); bounce height depends on button strength (LP low / MP medium / HP high); the time difference between the first and second fan on hit or block varies based on this bounce height; Mai has an extended hurtbox vulnerable to strikes on her leg (32-62f) and arm (32-48f); LP Version frame gap before follow-up bounce: 2f stand / 8f crouch (on hit), 6f stand / 12f crouch (on block); MP Version frame gap before follow-up bounce: 19f stand / 25f crouch (on hit), 23f stand / 29f crouch (on block); HP Version frame gap before follow-up bounce: 31f stand / 37f crouch (on hit), 35f stand / 41f crouch (on block); all gaps are 1f smaller vs. standing Dee Jay, and 2f smaller vs. standing JP/Marisa/Sagat/Zangief which allows the LP bounce follow-up to naturally combo; tall characters cannot punish a close range 236[LP] with Throw before the bouncing fan connects, making them more susceptible to corner fan pressure (but they can weaken the mixup by trading with an immediate crouching medium/heavy normal); the bouncing fan does not trigger proximity guard (allowing back walk) and counts as an air attack (allows anti-air invuln moves to pass through)"
42,Specials,special,mai_236p_flame_hold,236[P],Kachousen (Flame+Hold),"300x2,(200)",32,-,30,62,+1,-1,LH,SA3,4,"75x2,(50)",,+5,-8,,,,,"32 total,(25)","30 total,(21)","8,8,(8)","1250x2,1000","[1500x2,2500]","500x2,1000",300x3 (210x3),150x3 (75x3),,,,,,"1,1,1","1,0,1","1,2,2",LP 0.04 / MP 0.05 / HP 0.07,,,SF6_Mai_236p_flame_hold.png,SF6_Mai_236p_flame_hold_hitbox.png,"Charged/Enhanced version acts as a standard 2-hit projectile (does not dissipate on contact with strike hitboxes); bounces upward on contact with the opponent, then drops downward for a follow-up hit (this bounce is higher/slower than the non-flame version); () refers to damage/hitstun values of the bouncing fan follow-up on hit or block; the listed frame advantage refers to the first hit at point blank range before the follow-up connects; any hit that connects after the follow-up bounce overwrites the fan's hitstun/blockstun; projectile speed depends on button strength (LP slow / MP medium / HP fast); bounce height depends on button strength (LP low / MP medium / HP high); the time difference between the first and second fan on hit or block varies based on this bounce height; puts airborne opponents into a limited juggle state; Counter-hit/Punish Counter advantage carries through both hits; Mai has an extended hurtbox vulnerable to strikes on her leg (32-62f) and arm (32-48f); LP Version frame gap before follow-up bounce: 10f stand / 16f crouch (on hit), 12f stand / 18f crouch (on block); MP Version frame gap before follow-up bounce: 27f stand / 33f crouch (on hit), 29f stand / 35f crouch (on block); HP Version frame gap before follow-up bounce: 39f stand / 45f crouch (on hit), 41f stand / 47f crouch (on block); all gaps are 1f smaller vs. standing Dee Jay, 2f smaller vs. standing JP/Marisa/Sagat/Zangief; the bouncing fan does not trigger proximity guard (allowing back walk) and counts as an air attack (allows anti-air invuln moves to pass through)"
43,Specials,special,mai_236pp_hold,236[PP],Kachousen (Hold),300x2,28(48),-,10,58,+14,+12,LH,SA2 SA3 (1st),4 SA / 31 (~6P),75x2,,+18,0,,,,,"32,25 (45 total)","30,23 (43 total)","8,8",1000x2,[2000x2],-20000,300x2 (210x2),150x2 (75x2),,,,,,"1,1","0,0","2,2",0.05,,,SF6_Mai_236pp_hold.png,SF6_Mai_236pp_hold_hitbox.png,Throws 2 single-hit fans (these fans do NOT bounce on contact with the opponent); has OD priority and cannot be dissipated by a strike; cancelable into a follow-up (~6P) that throws 2 additional fans at no extra cost; puts airborne opponents into a limited juggle state (does not affect any existing juggle state); Counter-hit/Punish Counter advantage carries through both hits; only the first hit is cancelable to SA2/SA3; Mai has an extended hurtbox vulnerable to strikes on her arm and head (28-58f)
44,Specials,special,mai_236pp_flame_hold,236[PP],Kachousen (Flame+Hold),"200x2,150x2 (700)",28(48),-,10,58,+45(+52),+46(+53),LH,SA2 SA3 (1st),4 SA / 31 (~6P),"50x2,37x2 (174)",,+45(+52),+11(+44),,,,,"32,25,26,25 (76 total)","30,23,26x2 (77 total)","8,8,(8,8)",1000x4,"[2000x2,2500x2]",-20000,300x4 (210x4),150x4 (75x4),,,,,,"[1,1]x2","[0,0]x2","[2,6]x2",0.05,,,SF6_Mai_236pp_flame_hold.png,SF6_Mai_236pp_hold_hitbox.png,Throws 2 fans that bounce on contact with the opponent for up to 4 hits total; has OD priority and cannot be dissipated by a strike; all 4 fan hits form a true combo or blockstring after the first one connects; the listed frame advantage is for point blank standing(crouching) characters (slightly less advantage taller characters like Dee Jay/JP/Marisa/Sagat/Zangief); cancelable into a follow-up (~6P) that throws 2 additional fans at no extra cost; puts airborne opponents into a limited juggle state (does not affect any existing juggle state); only the first hit is cancelable to SA2/SA3; Mai has an extended hurtbox vulnerable to strikes on her arm and head (28-58f); the bouncing fan does not trigger proximity guard (allowing back walk) and counts as an air attack (allows anti-air invuln moves to pass through)
45,Specials,special,mai_236pp_hold_6p,236[PP]~6P,Midare Kachousen,"150x2,(300x2)",57+15,-,24,39(96),KD +61~,0,LH,-,,"37x2,(75x2)",,KD +61~,-2 (+10 Tall),,,,,"KD,(25x2)","25,(26x2)","8x2,(8x2)","500x2,(1000x2)",[1000x2 / (2500)],,"150x2,300x2 (105x2,210x2)","75x2,150x2 (37x2,75x2)",,,,,,"1,1,(1,1)","1,1,(0,0)","3,3,(6,6)",0.072,,,SF6_Mai_236pp_hold_6p.png,SF6_Mai_236pp_hold_6p_hitbox.png,"Throws an additional 2-hit projectile with OD priority (does not dissipate on contact with strike hitboxes); on contact with the opponent, the fan splits into 2 additional projectiles and bounces up before hitting on the way down; the two falling fans bounce at staggered heights, with the second hitting much later than the first; if 1 hit of the first Midare Kachousen is dissipated then the low bouncing fan does not appear; puts opponents into a limited juggle state if the initial Midare Kachousen fan connects, while the falling fans keep the opponent in grounded hitstun; () refers to damage/hitstun values of the bouncing follow-ups on hit or block; any hit that connects after the follow-up bounce overwrites the fan's hitstun/blockstun; Mai has an extended hurtbox vulnerable to strikes on her arm/head (28-79f); the listed frame advantage assumes Mai is at point blank range; there are small interruptible gaps on block before Midare Kachousen or the bouncing follow-ups connect; the exact gaps between falling fans varies greatly depending on spacing, standing/crouching, and character height; the bouncing fan does not trigger proximity guard (allowing back walk) and counts as an air attack (allows anti-air invuln moves to pass through)"
46,Specials,special,mai_236pp_hold_6p_flame,236[PP]~6P,Midare Kachousen (Flame),"200x2,(300x2)",57+15,-,24,39(96),KD +60~,+33~40 (+15~39 Tall),LH,-,,"50x2,(75x2)",,KD +60~,+10 (+15 Tall),,,,,"KD,(25x2)","25,(26x2)","8x2,(8x2)","500x2,(1000x2)",[1000x2 / (2500)],,"150x2,300x2 (105x2,210x2)","75x2,150x2 (37x2,75x2)",,,,,,"1,1,(1,1)","1,1,(0,0)","3,3,(6,6)",0.072,,,SF6_Mai_236pp_hold_6p.png,SF6_Mai_236pp_hold_6p_hitbox.png,"Throws an additional 2-hit projectile with OD priority (does not dissipate on contact with strike hitboxes); on contact with the opponent, the fan splits into 2 additional projectiles and bounces up before hitting on the way down; the two falling fans bounce at staggered heights, with the second hitting much later than the first; if 1 hit of the first Midare Kachousen is dissipated then the low bouncing fan does not appear; puts opponents into a limited juggle state if the initial Midare Kachousen fan connects, while the falling fans keep the opponent in grounded hitstun; () refers to damage/hitstun values of the bouncing follow-ups on hit or block; any hit that connects after the follow-up bounce overwrites the fan's hitstun/blockstun; Mai has an extended hurtbox vulnerable to strikes on her arm/head (28-79f); the listed frame advantage assumes Mai is at point blank range; all hits up to the first bouncing fan are a true blockstring (advantage is calculated from that point, ignoring the final delayed fan); the bouncing fan does not trigger proximity guard (allowing back walk) and counts as an air attack (allows anti-air invuln moves to pass through)"
