row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,manon_5lp,5LP,Standing Light Punch,300,4,3,10,16,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-11,+5,0,+8,+3,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.424,0.433,SF6_Manon_5lp.png,SF6_Manon_5lp_hitbox.png,Chains into 5LP/2LP/2LK; higher hitstun than other light normals allows a natural combo into 214LK/214MK; DR cancel is delayed until after active frames
2,Normals and Target Combos,ground_normal,manon_5mp,5MP,Standing Medium Punch,600,7,4,15,25,+2,-2,LH,Sp SA TC,16 (19 TC),,,+6,-17,+11,+7,+6,+2,21,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.48,,1,1,0,,,,SF6_Manon_5mp.png,SF6_Manon_5mp_hitbox.png,Moves forward during startup; easily hitconfirmable into TC follow-up (always a true blockstring even if delayed); high active frame count makes it good for oki; Punish Counter causes the follow-up Target Combo (5MP~MK) to change properties (causes hard knockdown instead of standing reset); strong Drive Rush check that can combo into 236LP on counter-hit for a medal
3,Normals and Target Combos,ground_normal,manon_5hp,5HP,Standing Heavy Punch,800,10,4,20,33,0,-3,LH,SA TC,18 SA (29 TC),,,+4,-22,,,+4,+1,24,21,13,6000,[10000],3000,1000 (700),500 (250),,,,1.66,,1,1,1,,,,SF6_Manon_5hp.png,SF6_Manon_5hp_hitbox.png,Very lenient hitconfirm window (always a true blockstring even if delayed); puts airborne opponents into limited juggle state; Punish Counter causes the follow-up Target Combo (5HP~HP) to change properties (causes limited juggle state knockdown instead of standing reset); can be used in juggle routes to cancel into 5HP~HP or SA2 (e.g. after j.MP / 236P~K / corner 236KK / corner 236PP~K > 4HP)
4,Normals and Target Combos,ground_normal,manon_5lk,5LK,Standing Light Kick,300,5,2,12,18,+2,-2,LH,Sp SA,12,,20% Starter,+6,-12,+6,+2,+6,+2,16,12,9,500,[2000],250,300 (210),150 (75),,,,1.35,,1,1,0,,,,SF6_Manon_5lk.png,SF6_Manon_5lk_hitbox.png,Longest ranged light normal (important for punishing -5 or -6 attacks); does not naturally combo into 214LK/214MK outside of Punish Counter situations
5,Normals and Target Combos,ground_normal,manon_5mk,5MK,Standing Medium Kick,600,10,3,18,30,-2,-5,LH,Sp SA,18,,,+2,-19,+7,+4,+2,-1,19,16,11,3000,[4000],1500,700 (490),350 (175),,,,1.587 (1.408),,1,1,0,,,,SF6_Manon_5mk.png,SF6_Manon_5mk_hitbox.png,"Front leg hurtbox is raised on frames 9-12, making it a good poke against low attacks; DR cancel is delayed until after active frames"
6,Normals and Target Combos,ground_normal,manon_5hk,5HK,Standing Heavy Kick,900,15,3,23(26),40(43),+1,-6,LH,-,,,,+17 Stagger,-27,,,+5,-2,27,23,13,6000,[10000],3000,1000 (700),500 (250),,,,2.28 (2.241),,1 [0 PC Air],0,0,,,,SF6_Manon_5hk.png,SF6_Manon_5hk_hitbox.png,3f extra recovery on block/whiff; incredibly long range poke that can combo into 214LK/214MK on Punish Counter from max range; Punish Counter puts airborne opponents into spinning free juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; the slow startup and recovery makes it especially vulnerable to Drive Impact
7,Normals and Target Combos,ground_normal,manon_2lp,2LP,Crouching Light Punch,300,4,2,11,16,+3,-2,LH,Chn Sp SA,12,,20% Starter,+7,-11,+6,+1,+7,+2,16,11,9,500,[2000],250,300 (210),150 (75),,,,1.09,,1,1,0,,0.427,0.436,SF6_Manon_2lp.png,SF6_Manon_2lp_hitbox.png,"Chains into 5LP/2LP/2LK; true blockstring when chained into 5LP/2LP; cannot combo into 214LK/214MK, but gives more reliable 3-hit light confirm; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
8,Normals and Target Combos,ground_normal,manon_2mp,2MP,Crouching Medium Punch,600,7,3,11(15),20(24),+6,-1,LH,Sp SA,15,,,+10,-12,+10,+3,+10,+3,20,13,11,3000,[4000],1500,500 (350),250 (125),,,,1.29,,1,1,0,,,,SF6_Manon_2mp.png,SF6_Manon_2mp_hitbox.png,4f extra recovery on whiff; Manon's primary combo starter
9,Normals and Target Combos,ground_normal,manon_2hp,2HP,Crouching Heavy Punch,600,10,5,21,35,-2,-8,LH,TC,23 TC,,,+2,-24,,,+2,-4,24,18,11,6000,[10000],3000,1000 (700),500 (250),7-34 Air (Arm/Head),,,0.89,,10,10,0,,,,SF6_Manon_2hp.png,SF6_Manon_2hp_hitbox.png,"Very strong anti-air but cannot hit cross-up; the hurtbox on Manon's arm and head is invincible to airborne strikes, and her hurtbox remains in a crouching state for the entire animation allowing for late anti-airs to work"
10,Normals and Target Combos,ground_normal,manon_2lk,2LK,Crouching Light Kick,200,5,2,13,19,-1,-3,L,Chn,,,20% Starter,+3,-13,,,+3,+1,14,12,9,500,[2000],250,300 (210),150 (75),,,,1.33,,1,1,0,,,,SF6_Manon_2lk.png,SF6_Manon_2lk_hitbox.png,Chains into 5LP/2LP/2LK; primary low combo starter; less pushback than other chainable light normals (allows tick throws and easier 3-light string confirms)
