row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,marisa_5lp,5LP,Standing Light Punch,400,6,3,11,19,0,-2,LH,TC,13,,20% Starter,+4,-12,,,+4,+2,14,12,9,500,[2000],250,300 (210),150 (75),,,,1.216,,1,1,1,,,,SF6_Marisa_5lp.png,SF6_Marisa_5lp_hitbox.png,Good neutral buffer into 5LP~LP Target Combo (requires at least a Counter-hit to combo); causes air reset if juggled into
2,Normals and Target Combos,ground_normal,marisa_5mp,5MP,Standing Medium Punch,700,7,4,15(17),25(27),+2,-1,LH,TC,16,,,+6,-17,,,+6,+3,21,18,11,3000,[4000],1500,500 (350),250 (125),,,,1.356,,1,1,1,,,,SF6_Marisa_5mp.png,SF6_Marisa_5mp_hitbox.png,2f extra recovery on whiff; great hitbox and a strong buffer into 5MP~MP Target Combo
3,Normals and Target Combos,ground_normal,marisa_5hp,5HP,Standing Heavy Punch,1000,12,2,23,36,+3,-3,LH,TC,18,,10% Starter,+7,-23,,,+7,+1,28,22,13,5000,[8000],2000,1000 (700),500 (250),,,,1.958,,1,1,1,,,,SF6_Marisa_5hp.png,"SF6_Marisa_5hp_hitbox_preview.png, SF6_Marisa_5hp_hitbox_1.png, SF6_Marisa_5hp_hitbox_2.png",Can hold button 21f for improved properties; strong whiff punish tool
4,Normals and Target Combos,ground_normal,marisa_5hp_hold,5[HP],Marisa Style (HP),1200,23(5),2,21(22),45(46),+7,+4,LH,TC,20,,10% Starter,+15,-21,,,+11,+8,30,27,15,8000,[12000],3000,1000 (700),500 (250),,,,2.188,,1,1,1,,,,SF6_Marisa_5hp_hold.png,"SF6_Marisa_5hp_hitbox_preview.png, SF6_Marisa_5hp_hitbox_1.png, SF6_Marisa_5hp_hitbox_2.png",1f extra recovery on whiff; releasing the button on frames 7-17 results in uncharged version with 5f startup; great range and frame advantage for follow-up combos and pressure; puts airborne opponents into limited juggle state
5,Normals and Target Combos,ground_normal,marisa_5lk,5LK,Standing Light Kick,400,6,2,14,21,0,-2,LH,Sp SA,15,,20% Starter,+4,-14,+2,0,+4,+2,16,14,9,500,[2000],250,300 (210),150 (75),,,,1.433,,1,1,0,,,,SF6_Marisa_5lk.png,SF6_Marisa_5lk_hitbox.png,"At farther ranges, can only combo into SA2; special cancel is delayed until after 2nd recovery frame; DR cancel is delayed until after 3rd recovery frame"
6,Normals and Target Combos,ground_normal,marisa_5mk,5MK,Standing Medium Kick,800,11,4,16,30,+4,-2,LH,-,,,,+8,-18,,,+8,+2,24,18,11,4000,[6000],2000,700 (490),350 (175),,,,1.749,,1,1,1,,,,SF6_Marisa_5mk.png,SF6_Marisa_5mk_hitbox.png,Good poke and Drive Rush starter
7,Normals and Target Combos,ground_normal,marisa_5hk,5HK,Standing Heavy Kick,1000,15,2,25,41,+1,-3,LH,-,,,10% Starter,KD +58 Launch,-25,,,+5,+1,28,24,13,5000,[8000],3000,1000 (700),500 (250),,,,2.045 (2.016),,1 [0 PC],1,1,,,,SF6_Marisa_5hk.png,SF6_Marisa_5hk_hitbox.png,Can hold button 17f for improved properties; solid poke with good hitbox priority; Punish Counter puts opponent into free juggle state; puts airborne opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles
8,Normals and Target Combos,ground_normal,marisa_5hk_hold,5[HK],Marisa Style (HK),1200,24(10),2,25,50,KD +36,+1,LH,-,,,10% Starter,KD +65 Launch,-25,,,KD +36,+5,,28,15,8000,[12000],3000,1000 (700),500 (250),,,,2.235 (2.206),,1 [0 PC],1,1,,,,SF6_Marisa_5hk_hold.png,SF6_Marisa_5hk_hitbox.png,Releasing the button on frames 5-13 results in uncharged version with 10f startup; puts airborne opponents into limited juggle state; Punish Counter causes free juggle state
9,Normals and Target Combos,ground_normal,marisa_2lp,2LP,Crouching Light Punch,300,4,2,10,15,+4,-1,LH,Chn Sp SA,15,,20% Starter,+8,-10,+3,-2,+8,+3,16,11,9,500,[2000],250,300 (210),150 (75),,,,1.17,,1,1,0,,0.363,0.389,SF6_Marisa_2lp.png,SF6_Marisa_2lp_hitbox.png,Chains into 2LP/2LK; Marisa's only 4f normal; special cancel is delayed until after active frames; DR cancel is delayed until after 2nd recovery frame
10,Normals and Target Combos,ground_normal,marisa_2mp,2MP,Crouching Medium Punch,700,8,3,16,26,+3,-2,LH,Sp SA,15,,,+7,-17,+12,+7,+7,+2,22,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.45,,1,1,0,,,,SF6_Marisa_2mp.png,SF6_Marisa_2mp_hitbox.png,Long range for a cancelable 2MP (but slower than average startup); topmost hurtboxes on frames 8-15 are projectile invincible (avoids Sagat's MP/HP Tiger Shot)
