row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
4,Normals and Target Combos,ground_normal,marisa_5hp_hold,5[HP],Marisa Style (HP),1200,23(5),2,21(22),45(46),+7,+4,LH,TC,20,,10% Starter,+15,-21,,,+11,+8,30,27,15,8000,[12000],3000,1000 (700),500 (250),,,,2.188,,1,1,1,,,,SF6_Marisa_5hp_hold.png,"SF6_Marisa_5hp_hitbox_preview.png, SF6_Marisa_5hp_hitbox_1.png, SF6_Marisa_5hp_hitbox_2.png",1f extra recovery on whiff; releasing the button on frames 7-17 results in uncharged version with 5f startup; great range and frame advantage for follow-up combos and pressure; puts airborne opponents into limited juggle state
8,Normals and Target Combos,ground_normal,marisa_5hk_hold,5[HK],Marisa Style (HK),1200,24(10),2,25,50,KD +36,+1,LH,-,,,10% Starter,KD +65 Launch,-25,,,KD +36,+5,,28,15,8000,[12000],3000,1000 (700),500 (250),,,,2.235 (2.206),,1 [0 PC],1,1,,,,SF6_Marisa_5hk_hold.png,SF6_Marisa_5hk_hitbox.png,Releasing the button on frames 5-13 results in uncharged version with 10f startup; puts airborne opponents into limited juggle state; Punish Counter causes free juggle state
12,Normals and Target Combos,ground_normal,marisa_2hp_hold,2[HP],Crouching Heavy Punch (Hold),1000,21(4),6,21,47,KD +52,-3,LH,SA,20,,,KD +61,-25,,,KD +52 (Free Juggle),+1,,24,17(15),8000,[12000],3000,1000 (700),500 (250),20-31 Air (Head),,,1.103,,1,1,1,,,,SF6_Marisa_2hp_hold.png,"SF6_Marisa_2hp_hold_hitbox_preview.png, SF6_Marisa_2hp_hold_hitbox_1.png, SF6_Marisa_2hp_hold_hitbox_2.png, SF6_Marisa_2hp_hold_hitbox_3.png","Launches opponent into limited juggle state on hit, and much higher launch on Punish Counter; useful for continuing juggles; cannot hit cross-up and too slow to realistically anti-air; only first 2 active frames hit grounded opponents; active frames 3-6 only hit airborne opponents; releasing the button on frames 5-16 results in uncharged version with 4f startup; only Super cancelable on the first 2 active frames; can always combo into a fully charged SA1 for incredible 1-bar damage; hitstop is 2 frames longer on hit than on block for easier cancel hitconfirms"
16,Normals and Target Combos,ground_normal,marisa_2hk_hold,2[HK],Gaia Bash (Hold),1200,20(4),3,20(23),42(45),KD +35,-3,L,-,,,,HKD +50,-24,,,KD +35,+1,,20,15,8000,[12000],3000,1000 (700),500 (250),,,,1.956,,1,1,5,,,,SF6_Marisa_2hk_hold.png,SF6_Marisa_2hk_hold_hitbox.png,3f extra recovery on whiff; has juggle potential and keeps the opponent in a limited juggle state (e.g. corner OTG bounce > 2[HK] > SA2); releasing the button on frames 7-15 results in uncharged version with 4f startup; topmost hurtboxes on frames 1-7 are projectile invincible (avoids Sagat's MP/HP Tiger Shot but becomes vulnerable on frame 8~)
20,Normals and Target Combos,air_normal,marisa_jhp_hold,j.[HP],Marisa Style (j.HP),1500,28(5),6,3 land,-,HKD +69(+75),+12(+18),H,-,,,,HKD +69(+75),-8(-2),,,,,,22,15,6000,[15000],2000,1000 (700),500 (250),,,,1.14,,1,1,1,,,,SF6_Marisa_jhp_hold.png,"SF6_Marisa_jhp_hold_hitbox_preview.png, SF6_Marisa_jhp_hold_hitbox_1.png, SF6_Marisa_jhp_hold_hitbox_2.png",Releasing the button on frames 5-19 results in uncharged version with 5f startup; causes spike knockdown; lower body projectile invuln 28-37f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
24,Normals and Target Combos,air_normal,marisa_jhk_hold,j.[HK],Marisa Style (j.HK),1500,29(3),6,3 land,-,HKD +70(+75),+13(+18),H,-,,,,HKD +70(+75),-7(-2),,,,,,22,15,6000,[15000],2000,1000 (700),500 (250),,,,1.19,,1,1,1,,,,SF6_Marisa_jhk_hold.png,SF6_Marisa_jhk_hitbox.png,Releasing the button on frames 7-19 results in uncharged version with 3f startup; causes spike knockdown; lower body projectile invuln 29-37f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
27,Normals and Target Combos,ground_normal,marisa_4hp_hold,4[HP],Magna Bunker (Hold),1000,20(3),2,19(24),39(45),+13,+4,LH,Sp SA,20,,,+17,-18,+23,+14,+17,+8,33,24,15,6000,[10000],2500,500 (350),250 (125),,,,1.413 (1.361),,1,1,1,,,,SF6_Marisa_4hp_hold.png,SF6_Marisa_4hp_hitbox.png,"5f extra recovery on whiff; 2nd active frame is omitted on hit/block (when combined with the extra whiff recovery, the total frame count is 6f longer on whiff compared to hit/block); releasing the button on frames 5-16 results in uncharged version with 3f startup; short range but excellent combo and pressure tool; meaty connect does not give extra frame advantage; puts airborne opponents into limited juggle state"
29,Normals and Target Combos,ground_normal,marisa_3hp_hold,3[HP],Malleus Breaker 1 (Hold),1000,28(14),2,19,48,+5,+2,H,TC,16,,,+9,-19,,,+9,+6,26,23,13,5000,[12000],1500,500 (350),250 (125),,,,1.907,,1,1,1,,,,SF6_Marisa_3hp_hold.png,SF6_Marisa_3hp_hitbox.png,Slow overhead that can combo on hit or give pressure on block; releasing the button on frames 7-13 results in uncharged version with 14f startup; causes a short OTG bounce vs. airborne opponents
31,Normals and Target Combos,ground_normal,marisa_6hk_hold,6[HK],Falx Crusher 1 (Hold),1000,27(4~7),4,19,49,+10,+3,LH,Sp SA TC,20 Sp / 25 TC,,,+14,-21,+21,+14,+14,+7,33,26,15,8000,[12000],3000,1000 (700),500 (250),,,,2.212,,1,1,1,,,,SF6_Marisa_6hk_hold.png,SF6_Marisa_6hk_hitbox.png,Releasing the button on frames 7-14 results in uncharged version with 7f startup (frames 15-20: 4f startup); has a hitconfirmable Target Combo follow-up; forces stand on hit; puts airborne opponents into limited juggle state; more range than uncharged version with excellent follow-up combos or block pressure; special/DR cancel is delayed until after 3rd active frame
32,Normals and Target Combos,air_normal,marisa_nj2hp,nj.2HP,Caelum Arc,800,9,9,3 land,-,+11(+15),+7(+11),H,-,,,,+15(+19),-6(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,0.93,,1,1,1,,,,SF6_Marisa_nj2hp.png,SF6_Marisa_nj2hp_hitbox.png,Can hit Cross-up; can hold button 20f for improved properties; causes spike knockdown vs. airborne opponents; lower body projectile invuln 9f until land except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
33,Normals and Target Combos,air_normal,marisa_nj2hp_hold,nj.2[HP],Caelum Arc (Hold),1500,28(4),9,3 land,-,HKD +71(+75),+14(+18),H,-,,,,HKD +71(+75),-6(-2),,,,,,22,15,6000,[15000],2000,1000 (700),500 (250),,,,0.93,,1,1,1,,,,SF6_Marisa_nj2hp_hold.png,SF6_Marisa_nj2hp_hitbox.png,Can hit Cross-up; releasing the button on frames 5-19 results in uncharged version with 4f startup; causes spike knockdown; lower body projectile invuln 28f until land except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
51,Specials,special,marisa_236lp_hold,236[LP],Gladius (Hold),"1200,1000,200 (2400)",30,4,20,53,HKD +40,+4,LH,SA3 (1st),17,300,,HKD +40,-22,,,,,,28,15,8000,[12000],2000x2 (2000),"1150,1500[1150] (805,1050[805])",575 (287),,Break; 5-26 (High/Mid),,2.075 (1.869),,0,"1,1","0,6",,,,"SF6_Marisa_236p_hold.png, SF6_Marisa_236p_hold_2.png",SF6_Marisa_236p_hold_hitbox.png,"Armor loses to low attacks; transitions to a cinematic follow-up on hit; vs. airborne opponents, 2nd follow-up hit whiffs (no Hard Knockdown and reduced Super Meter gain); cannot hit cross-up"
53,Specials,special,marisa_236mp_hold,236[MP],Gladius (Hold),"1400,1000,200 (2600)",35,4,20,58,HKD +40,+4,LH,SA3 (1st),17,350,,HKD +40,-22,,,,,,28,15,8000,[12000],2000x2 (2000),"1150,1500[1150] (805,1050[805])",575 (287),,Break; 5-29 (High/Mid),,2.255 (2.049),,0,"1,1","0,6",,,,SF6_Marisa_236p_hold.png,SF6_Marisa_236p_hold_hitbox.png,"Armor loses to low attacks; transitions to a cinematic follow-up on hit; vs. airborne opponents, 2nd follow-up hit whiffs (no Hard Knockdown and reduced Super Meter gain); cannot hit cross-up"
55,Specials,special,marisa_236hp_hold,236[HP],Gladius (Hold),"1600,1000,200 (2800)",41,4,20,64,HKD +40,+4,LH,SA3 (1st),17,400,,HKD +40,-22,,,,,,28,15,8000,[12000],2000x2 (2000),"1150,1500[1150] (805,1050[805])",575 (287),,Break; 5-35 (High/Mid),,2.375 (2.169),,0,"1,1","0,6",,,,SF6_Marisa_236p_hold.png,SF6_Marisa_236p_hold_hitbox.png,"Armor loses to low attacks; transitions to a cinematic follow-up on hit; vs. airborne opponents, 2nd follow-up hit whiffs (no Hard Knockdown and reduced Super Meter gain); cannot hit cross-up"
57,Specials,special,marisa_236pp_hold,236[PP],Gladius (Hold),"1700,1000,200 (2900)",35,4,20,58,HKD +40,+4,LH,SA2 SA3 (1st),17,425,30% Starter,HKD +40,-22,,,,,,28,15,8000,[12000],-20000,"1150,1500[1150] (805,1050[805])",575 (287),,"Break; 1-38 (2-hit, High/Mid)",,2.269 (2.169),,0,"1,1","0,6",,,,SF6_Marisa_236pp_hold.png,SF6_Marisa_236pp_hold_hitbox.png,"Armor loses to low attacks; transitions to a cinematic follow-up on hit; vs. airborne opponents, 2nd follow-up hit whiffs (no Hard Knockdown and reduced Super Meter gain); cannot hit cross-up"
76,Specials,special,marisa_214k_counter,214K,Scutum (Counter),700,7,4,20,30,-1,-3,LH,-,,175,,+3,-22,,,,,23,21,11(13),2500,[4000],1000,500 (350),250 (125),,Break,,1.916,,1,1,0,,,,SF6_Marisa_214k_counter.png,SF6_Marisa_214k_counter_hitbox.png,"Automatically triggers counterattack after 214K absorbs attack; Marisa is in a Punish Counter state for entire duration; can hold button to remain in Scutum stance after counterattack; hit advantage depends on attack that is absorbed; Marisa's short 6f hitstop causes attack to land as a +1 Counter-hit against most Medium/Heavy normals, while landing as a +3 Punish Counter against Lights"
77,Specials,special,marisa_214kk_counter,214KK,Scutum (Counter),700,7,4,20,30,-1,-3,LH,-,,175,,+3,-22,,,,,23,21,11(13),2500,[4000],,500 (350),250 (125),,1-10; Break,,1.816,,1,1,0,,,,SF6_Marisa_214kk_counter.png,SF6_Marisa_214kk_counter_hitbox.png,"Automatically triggers counterattack after 214KK absorbs attack; Marisa is in a Punish Counter state for entire duration; can hold button to remain in Scutum stance after counterattack; hit advantage depends on attack that is absorbed; Marisa's short 6f hitstop causes attack to land as a +1 Counter-hit against most Medium/Heavy normals, while landing as a +3 Punish Counter against Lights"
78,Specials,special,marisa_214k_p,214K~P,Tonitrus 1,900,8+15(16),3,23(25),40(42),+1,-3,H,TC,17(16),225,,+5,-23,,,,,26,22,13,5000,[5000],1000,500 (350),250 (125),,,,2.253,,1,1,1,,,,SF6_Marisa_214k_p.png,"SF6_Marisa_214k_p_hitbox.png, SF6_Marisa_214k_p_hitbox2.png",1st active frame only hits airborne opponents (functionally 8+16f startup vs. grounded); causes spike knockdown vs. airborne opponents; Marisa is in a Punish Counter state for entire duration; hitconfirm window is 1f shorter vs. grounded opponents; cannot be canceled into Tonitrus 2 on whiff; range includes 0.218 forward movement from 214K startup
79,Specials,special,marisa_214k_p_p,214K~P~P,Tonitrus 2,1000,20,3,36,58,KD +31,-21,LH,-,,250,,KD +31,,,,,,,18,13,5000,[5000],1500,1150 (805),575 (287),,,,,,0,0,1,,,,SF6_Marisa_214k_p_p.png,SF6_Marisa_214k_p_p_hitbox.png,True blockstring from overhead starter; Marisa is in a Punish Counter state for entire duration; cannot be performed when Tonitrus 1 whiffs
